"affectionate" "agreeable" "amiable" "anxious" "awkward" "capable" "certain" "civil" "cold" "constant" "determined" "eager" "earnest" "elegant" "ignorant" "impatient" "indifferent" "intimate" "kind" "lively" "natural" "particular" "pleasant" "proper" "proud" "reasonable" "serious" "silent" "sincere" "steady" "vain" "violent" "wild"
"affectionate" 0 2 3 3 1 1 2 0 0 3 1 1 3 1 4 1 1 2 3 2 3 1 1 3 2 4 2 1 4 2 2 2 3
"agreeable" 2 0 7 6 4 3 11 4 9 2 3 3 2 6 0 2 4 3 3 5 3 8 6 4 6 1 4 5 1 5 4 2 2
"amiable" 3 7 0 6 3 6 6 4 2 1 1 3 6 4 2 1 5 3 3 6 3 6 3 5 8 4 5 7 4 1 3 4 1
"anxious" 3 6 6 0 3 2 5 3 3 1 3 3 3 1 2 2 3 1 3 4 1 1 0 0 5 3 3 5 1 1 0 2 1
"awkward" 1 4 3 3 0 1 3 3 1 0 1 0 2 1 0 0 0 0 1 2 1 1 3 1 3 1 1 2 1 1 0 1 1
"capable" 1 3 6 2 1 0 6 3 2 1 1 4 0 0 1 1 2 2 2 2 1 6 2 1 4 0 2 1 0 1 2 1 0
"certain" 2 11 6 5 3 6 0 2 4 4 5 5 3 3 1 2 2 2 5 2 6 7 7 3 3 2 5 6 3 3 4 3 4
"civil" 0 4 4 3 3 3 2 0 2 0 1 2 0 1 0 1 2 1 1 1 3 2 4 1 5 2 4 1 0 1 1 1 2
"cold" 0 9 2 3 1 2 4 2 0 0 1 2 1 3 0 1 3 0 3 0 1 2 3 0 2 2 2 3 1 2 2 0 1
"constant" 3 2 1 1 0 1 4 0 0 0 2 1 0 0 2 1 0 0 1 0 3 0 0 3 1 1 3 0 1 0 1 2 3
"determined" 1 3 1 3 1 1 5 1 1 2 0 2 1 0 2 1 1 1 2 1 0 3 0 0 1 3 0 0 0 0 1 2 1
"eager" 1 3 3 3 0 4 5 2 2 1 2 0 1 0 0 1 1 3 4 2 2 3 0 2 1 1 2 2 2 0 0 0 0
"earnest" 3 2 6 3 2 0 3 0 1 0 1 1 0 1 1 1 1 1 4 3 0 0 0 2 3 1 0 2 2 0 3 2 1
"elegant" 1 6 4 1 1 0 3 1 3 0 0 0 1 0 0 0 1 0 0 1 0 2 2 3 1 1 3 0 3 0 0 1 1
"ignorant" 4 0 2 2 0 1 1 0 0 2 2 0 1 0 0 0 1 1 2 2 1 3 0 2 1 4 2 2 3 1 2 2 2
"impatient" 1 2 1 2 0 1 2 1 1 1 1 1 1 0 0 0 1 1 2 0 1 0 0 1 1 1 0 3 0 2 2 3 2
"indifferent" 1 4 5 3 0 2 2 2 3 0 1 1 1 1 1 1 0 0 2 0 4 3 0 1 1 0 1 5 1 3 2 2 0
"intimate" 2 3 3 1 0 2 2 1 0 0 1 3 1 0 1 1 0 0 1 0 2 3 1 1 2 1 0 0 2 0 3 0 1
"kind" 3 3 3 3 1 2 5 1 3 1 2 4 4 0 2 2 2 1 0 2 3 1 1 0 2 2 4 5 2 1 2 2 1
"lively" 2 5 6 4 2 2 2 1 0 0 1 2 3 1 2 0 0 0 2 0 1 4 4 2 5 1 1 1 0 2 0 3 0
"natural" 3 3 3 1 1 1 6 3 1 3 0 2 0 0 1 1 4 2 3 1 0 5 4 1 3 2 3 2 2 2 3 2 3
"particular" 1 8 6 1 1 6 7 2 2 0 3 3 0 2 3 0 3 3 1 4 5 0 4 2 4 3 1 3 0 2 3 3 2
"pleasant" 1 6 3 0 3 2 7 4 3 0 0 0 0 2 0 0 0 1 1 4 4 4 0 1 2 0 1 1 0 2 1 1 2
"proper" 3 4 5 0 1 1 3 1 0 3 0 2 2 3 2 1 1 1 0 2 1 2 1 0 1 1 2 2 0 3 1 1 0
"proud" 2 6 8 5 3 4 3 5 2 1 1 1 3 1 1 1 1 2 2 5 3 4 2 1 0 3 3 1 1 1 3 2 1
"reasonable" 4 1 4 3 1 0 2 2 2 1 3 1 1 1 4 1 0 1 2 1 2 3 0 1 3 0 2 1 2 0 1 2 2
"serious" 2 4 5 3 1 2 5 4 2 3 0 2 0 3 2 0 1 0 4 1 3 1 1 2 3 2 0 3 2 0 1 0 1
"silent" 1 5 7 5 2 1 6 1 3 0 0 2 2 0 2 3 5 0 5 1 2 3 1 2 1 1 3 0 1 3 4 2 0
"sincere" 4 1 4 1 1 0 3 0 1 1 0 2 2 3 3 0 1 2 2 0 2 0 0 0 1 2 2 1 0 1 2 1 0
"steady" 2 5 1 1 1 1 3 1 2 0 0 0 0 0 1 2 3 0 1 2 2 2 2 3 1 0 0 3 1 0 1 1 0
"vain" 2 4 3 0 0 2 4 1 2 1 1 0 3 0 2 2 2 3 2 0 3 3 1 1 3 1 1 4 2 1 0 1 3
"violent" 2 2 4 2 1 1 3 1 0 2 2 0 2 1 2 3 2 0 2 3 2 3 1 1 2 2 0 2 1 1 1 0 1
"wild" 3 2 1 1 1 0 4 2 1 3 1 0 1 1 2 2 0 1 1 0 3 2 2 0 1 2 1 0 0 0 3 1 0
