"agreeable" "anxious" "brave" "bright" "careless" "certain" "coarse" "cold" "cool" "cruel" "curious" "deep" "distant" "dull" "earnest" "expressive" "fierce" "friendly" "gentle" "gloomy" "gracious" "honest" "loud" "moral" "narrow" "natural" "original" "particular" "pleasant" "quick" "quiet" "rough" "shrewd" "silent" "slow" "solemn" "steady" "wild"
"agreeable" 0 0 1 0 1 1 0 0 1 0 1 0 2 0 0 1 1 1 0 0 0 0 1 0 1 2 1 0 2 1 1 0 1 2 0 0 1 2
"anxious" 0 0 0 4 2 3 1 4 1 0 3 3 0 2 2 0 1 1 1 1 2 1 1 2 1 4 2 2 4 2 1 1 3 3 0 0 1 2
"brave" 1 0 0 1 0 0 1 1 2 1 1 2 0 0 0 0 1 0 1 0 0 0 2 0 1 1 1 0 0 1 1 0 0 2 0 0 0 3
"bright" 0 4 1 0 1 4 1 5 1 0 2 4 2 2 2 3 0 1 4 1 2 1 1 0 3 3 2 0 2 3 6 2 2 3 1 5 5 4
"careless" 1 2 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 2 1 0 0 2
"certain" 1 3 0 4 1 0 4 2 2 1 2 3 4 1 3 3 1 0 1 1 2 1 2 2 0 6 1 1 4 0 6 3 2 4 0 5 1 3
"coarse" 0 1 1 1 1 4 0 2 0 2 0 0 1 0 0 1 1 0 0 1 2 1 0 2 0 1 1 1 0 0 1 2 1 1 1 1 1 4
"cold" 0 4 1 5 1 2 2 0 1 2 1 3 0 2 2 0 1 0 3 2 0 4 1 1 3 4 1 3 3 2 6 3 1 2 2 1 1 4
"cool" 1 1 2 1 0 2 0 1 0 3 2 1 1 0 1 1 0 0 1 0 0 0 3 0 0 0 0 1 2 2 4 0 2 0 0 0 0 1
"cruel" 0 0 1 0 1 1 2 2 3 0 1 3 2 1 0 0 2 2 1 3 0 1 3 0 2 0 0 0 0 3 4 2 0 1 0 0 3 2
"curious" 1 3 1 2 0 2 0 1 2 1 0 2 1 1 2 0 0 1 1 0 1 0 2 0 0 2 0 1 3 0 2 2 2 0 0 0 2 2
