"affectionate" "amiable" "anxious" "benevolent" "bitter" "bright" "calm" "capable" "cheerful" "cold" "constant" "deep" "distant" "fearful" "gentle" "gloomy" "harsh" "ignorant" "intense" "kind" "lifeless" "lively" "loud" "natural" "nervous" "peaceful" "placid" "pleasant" "quick" "serene" "silent" "slow" "solemn" "vain" "violent" "warm" "wild"
"affectionate" 0 2 1 1 0 0 1 0 1 0 1 0 0 1 2 1 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2
"amiable" 2 0 1 4 2 0 1 1 3 3 1 1 0 0 5 1 3 1 0 1 0 1 1 1 1 2 1 1 2 1 3 0 0 1 0 0 0
"anxious" 1 1 0 1 1 0 2 0 1 0 1 0 2 2 0 0 0 1 0 1 0 0 0 1 0 1 2 0 0 0 2 0 0 1 0 0 1
"benevolent" 1 4 1 0 1 0 2 0 3 5 2 2 1 0 3 1 4 1 1 1 1 1 1 2 1 1 1 1 3 2 1 1 0 1 1 0 1
"bitter" 0 2 1 1 0 0 1 5 0 5 0 2 2 0 4 1 1 2 0 2 2 0 1 2 0 1 1 0 0 0 3 1 1 1 0 2 2
"bright" 0 0 0 0 0 0 2 1 2 1 0 1 0 1 3 1 1 0 1 0 0 0 0 1 0 1 1 1 0 2 1 0 1 1 2 1 0
"calm" 1 1 2 2 1 2 0 1 0 5 3 3 1 2 1 2 0 1 1 1 2 1 2 2 2 2 1 2 2 2 3 1 1 4 3 1 0
"capable" 0 1 0 0 5 1 1 0 2 5 0 1 1 1 3 2 1 0 1 2 3 0 1 2 1 1 0 2 1 0 3 3 1 1 1 1 0
"cheerful" 1 3 1 3 0 2 0 2 0 2 1 1 1 2 5 0 2 1 0 2 0 0 1 1 0 0 3 2 1 1 3 1 2 0 0 1 0
"cold" 0 3 0 5 5 1 5 5 2 0 1 2 2 1 8 0 3 4 0 2 5 3 2 2 4 1 1 5 3 1 4 2 3 5 2 2 4
"constant" 1 1 1 2 0 0 3 0 1 1 0 2 1 0 1 0 0 0 0 2 1 1 1 0 1 0 1 1 2 1 1 0 0 0 0 1 0
"deep" 0 1 0 2 2 1 3 1 1 2 2 0 0 2 4 1 2 0 2 1 0 0 2 0 0 0 1 2 2 1 5 0 1 0 0 0 1
"distant" 0 0 2 1 2 0 1 1 1 2 1 0 0 0 2 1 0 0 0 2 0 2 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1
"fearful" 1 0 2 0 0 1 2 1 2 1 0 2 0 0 2 0 0 2 2 0 0 0 1 0 0 1 0 1 0 0 3 1 2 2 1 0 3
"gentle" 2 5 0 3 4 3 1 3 5 8 1 4 2 2 0 2 4 3 2 1 1 3 1 1 2 1 1 4 4 1 3 1 1 1 2 2 5
"gloomy" 1 1 0 1 1 1 2 2 0 0 0 1 1 0 2 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 2 1 2
"harsh" 1 3 0 4 1 1 0 1 2 3 0 2 0 0 4 0 0 0 1 1 0 1 1 1 1 1 0 2 3 2 1 1 0 0 1 0 0
"ignorant" 1 1 1 1 2 0 1 0 1 4 0 0 0 2 3 0 0 0 1 1 1 2 1 0 0 0 1 0 0 0 2 1 3 3 0 1 2
"intense" 1 0 0 1 0 1 1 1 0 0 0 2 0 2 2 1 1 1 0 1 0 0 1 2 0 1 0 0 2 1 1 1 1 1 2 0 3
"kind" 0 1 1 1 2 0 1 2 2 2 2 1 2 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 2 1 1 1 0 0 1 0 0
"lifeless" 0 0 0 1 2 0 2 3 0 5 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 1 2 1 0 1 0 1 0 0 1
"lively" 1 1 0 1 0 0 1 0 0 3 1 0 2 0 3 0 1 2 0 0 0 0 0 1 2 0 0 1 1 1 0 1 1 1 1 1 0
