"agreeable" "amiable" "bold" "capable" "certain" "cheerful" "confused" "cruel" "deep" "determined" "distant" "dull" "eager" "earnest" "foolish" "generous" "gentle" "humble" "ignorant" "impertinent" "indifferent" "kind" "loud" "modest" "natural" "particular" "polite" "proper" "proud" "quiet" "serious" "silent" "vain" "violent"
"agreeable" 0 1 1 1 0 0 1 0 0 1 2 0 0 0 1 1 3 1 3 3 1 2 0 0 0 4 0 0 0 0 0 2 1 3
"amiable" 1 0 0 1 1 2 1 4 3 0 2 0 2 2 1 2 3 3 1 1 4 1 0 0 4 3 1 4 3 0 2 3 1 1
"bold" 1 0 0 1 0 0 1 2 1 1 0 1 0 0 2 1 1 1 2 4 1 2 3 2 2 2 1 0 0 2 1 2 2 3
"capable" 1 1 1 0 2 0 1 3 1 1 0 0 3 0 1 3 0 2 2 1 1 2 0 1 2 2 2 1 0 0 2 3 2 1
"certain" 0 1 0 2 0 0 0 5 0 2 3 2 5 2 2 2 1 2 3 5 3 1 2 2 4 3 1 1 1 2 2 3 0 3
"cheerful" 0 2 0 0 0 0 0 2 2 0 1 0 2 0 1 1 1 0 0 0 2 2 0 2 0 2 0 1 1 0 1 5 2 0
"confused" 1 1 1 1 0 0 0 1 0 0 1 0 1 0 2 1 1 0 2 0 1 1 4 0 0 3 0 2 0 1 3 4 1 0
"cruel" 0 4 2 3 5 2 1 0 4 2 2 2 4 3 2 4 1 1 2 7 3 2 1 4 1 3 3 6 4 4 3 8 3 5
"deep" 0 3 1 1 0 2 0 4 0 0 0 2 1 1 0 0 0 0 1 0 2 0 1 1 1 1 0 2 3 0 1 4 4 2
"determined" 1 0 1 1 2 0 0 2 0 0 0 1 2 0 0 3 0 3 2 2 0 1 2 0 2 1 1 0 2 0 0 3 1 2
"distant" 2 2 0 0 3 1 1 2 0 0 0 0 1 0 1 1 3 2 2 1 0 1 0 1 1 1 0 0 0 2 1 4 0 0
"dull" 0 0 1 0 2 0 0 2 2 1 0 0 1 2 1 2 0 1 3 2 1 0 1 1 1 2 0 0 3 0 0 2 2 2
"eager" 0 2 0 3 5 2 1 4 1 2 1 1 0 1 0 2 1 1 2 4 4 0 3 1 3 4 0 2 2 3 2 4 2 3
"earnest" 0 2 0 0 2 0 0 3 1 0 0 2 1 0 2 1 0 0 1 3 1 0 3 0 2 1 1 1 1 1 0 1 1 2
"foolish" 1 1 2 1 2 1 2 2 0 0 1 1 0 2 0 1 1 1 3 4 2 1 4 1 0 2 1 3 1 2 1 5 1 2
"generous" 1 2 1 3 2 1 1 4 0 3 1 2 2 1 1 0 1 3 3 4 0 2 2 2 3 1 2 5 2 0 2 5 2 5
"gentle" 3 3 1 0 1 1 1 1 0 0 3 0 1 0 1 1 0 2 1 3 1 0 0 0 1 3 0 0 0 0 1 2 1 1
"humble" 1 3 1 2 2 0 0 1 0 3 2 1 1 0 1 3 2 0 3 2 1 0 2 0 3 1 1 2 1 0 1 2 2 2
"ignorant" 3 1 2 2 3 0 2 2 1 2 2 3 2 1 3 3 1 3 0 3 3 2 1 5 1 2 1 2 3 1 3 7 1 1
"impertinent" 3 1 4 1 5 0 0 7 0 2 1 2 4 3 4 4 3 2 3 0 0 1 6 1 4 2 2 3 2 2 0 6 5 4
"indifferent" 1 4 1 1 3 2 1 3 2 0 0 1 4 1 2 0 1 1 3 0 0 2 1 3 2 4 0 3 4 1 2 3 0 2
"kind" 2 1 2 2 1 2 1 2 0 1 1 0 0 0 1 2 0 0 2 1 2 0 0 2 0 1 1 0 0 1 1 2 3 1
"loud" 0 0 3 0 2 0 4 1 1 2 0 1 3 3 4 2 0 2 1 6 1 0 0 0 1 1 1 5 0 4 0 4 3 4
"modest" 0 0 2 1 2 2 0 4 1 0 1 1 1 0 1 2 0 0 5 1 3 2 0 0 1 0 1 2 0 1 2 4 2 0
"natural" 0 4 2 2 4 0 0 1 1 2 1 1 3 2 0 3 1 3 1 4 2 0 1 1 0 3 0 2 2 0 2 5 1 0
"particular" 4 3 2 2 3 2 3 3 1 1 1 2 4 1 2 1 3 1 2 2 4 1 1 0 3 0 0 2 2 1 5 7 1 5
"polite" 0 1 1 2 1 0 0 3 0 1 0 0 0 1 1 2 0 1 1 2 0 1 1 1 0 0 0 1 1 2 2 0 0 0
"proper" 0 4 0 1 1 1 2 6 2 0 0 0 2 1 3 5 0 2 2 3 3 0 5 2 2 2 1 0 1 2 1 4 4 3
"proud" 0 3 0 0 1 1 0 4 3 2 0 3 2 1 1 2 0 1 3 2 4 0 0 0 2 2 1 1 0 0 2 1 2 1
"quiet" 0 0 2 0 2 0 1 4 0 0 2 0 3 1 2 0 0 0 1 2 1 1 4 1 0 1 2 2 0 0 1 1 0 1
"serious" 0 2 1 2 2 1 3 3 1 0 1 0 2 0 1 2 1 1 3 0 2 1 0 2 2 5 2 1 2 1 0 6 0 2
"silent" 2 3 2 3 3 5 4 8 4 3 4 2 4 1 5 5 2 2 7 6 3 2 4 4 5 7 0 4 1 1 6 0 5 3
"vain" 1 1 2 2 0 2 1 3 4 1 0 2 2 1 1 2 1 2 1 5 0 3 3 2 1 1 0 4 2 0 0 5 0 2
"violent" 3 1 3 1 3 0 0 5 2 2 0 2 3 2 2 5 1 2 1 4 2 1 4 0 0 5 0 3 1 1 2 3 2 0
