"agreeable" "amiable" "anxious" "capable" "certain" "cheerful" "cold" "constant" "deep" "determined" "eager" "elegant" "gentle" "indifferent" "intimate" "kind" "natural" "particular" "pleasant" "proper" "quick" "rational" "serious" "severe" "silent" "steady" "warm"
"agreeable" 0 3 5 0 5 1 6 3 2 5 4 4 3 2 2 5 6 6 4 7 1 3 4 1 4 2 7
"amiable" 3 0 1 1 2 0 1 2 0 0 0 0 2 1 2 1 2 2 0 1 1 0 1 0 0 2 4
"anxious" 5 1 0 3 2 2 1 0 0 2 2 2 4 0 1 2 3 1 1 2 2 3 2 2 0 0 2
"capable" 0 1 3 0 0 0 0 0 2 0 1 0 2 1 0 0 2 0 1 1 1 2 4 2 1 0 2
"certain" 5 2 2 0 0 2 3 1 2 2 0 1 1 2 1 1 6 5 1 4 1 0 3 2 2 1 4
"cheerful" 1 0 2 0 2 0 1 1 0 1 2 2 1 2 1 0 1 2 1 2 0 0 1 3 3 0 4
"cold" 6 1 1 0 3 1 0 1 0 4 2 2 1 0 1 1 4 3 1 4 1 0 2 2 2 1 2
"constant" 3 2 0 0 1 1 1 0 1 0 0 1 1 3 2 0 1 3 0 2 0 1 1 2 1 4 2
"deep" 2 0 0 2 2 0 0 1 0 1 2 0 0 1 0 2 4 1 1 2 1 2 2 1 2 2 0
"determined" 5 0 2 0 2 1 4 0 1 0 1 0 1 1 0 3 2 1 0 3 2 1 4 0 2 1 2
"eager" 4 0 2 1 0 2 2 0 2 1 0 0 0 1 0 1 2 1 2 2 0 2 2 2 1 0 0
"elegant" 4 0 2 0 1 2 2 1 0 0 0 0 1 0 1 2 1 3 2 2 0 0 1 3 3 0 1
"gentle" 3 2 4 2 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 1 2 2 1 2 1 0 3
"indifferent" 2 1 0 1 2 2 0 3 1 1 1 0 0 0 0 0 2 1 1 1 0 0 2 1 1 2 3
"intimate" 2 2 1 0 1 1 1 2 0 0 0 1 1 0 0 0 1 2 1 2 0 0 0 0 3 1 1
"kind" 5 1 2 0 1 0 1 0 2 3 1 2 0 0 0 0 2 1 3 3 0 1 1 0 0 2 2
"natural" 6 2 3 2 6 1 4 1 4 2 2 1 1 2 1 2 0 6 2 2 2 0 4 2 3 2 3
"particular" 6 2 1 0 5 2 3 3 1 1 1 3 0 1 2 1 6 0 2 4 0 0 0 4 5 2 3
"pleasant" 4 0 1 1 1 1 1 0 1 0 2 2 0 1 1 3 2 2 0 4 0 0 3 1 1 1 2
"proper" 7 1 2 1 4 2 4 2 2 3 2 2 1 1 2 3 2 4 4 0 2 0 2 3 4 0 3
"quick" 1 1 2 1 1 0 1 0 1 2 0 0 2 0 0 0 2 0 0 2 0 1 2 1 0 0 1
"rational" 3 0 3 2 0 0 0 1 2 1 2 0 2 0 0 1 0 0 0 0 1 0 2 2 1 1 1
"serious" 4 1 2 4 3 1 2 1 2 4 2 1 1 2 0 1 4 0 3 2 2 2 0 2 0 1 3
"severe" 1 0 2 2 2 3 2 2 1 0 2 3 2 1 0 0 2 4 1 3 1 2 2 0 5 1 1
"silent" 4 0 0 1 2 3 2 1 2 2 1 3 1 1 3 0 3 5 1 4 0 1 0 5 0 1 1
"steady" 2 2 0 0 1 0 1 4 2 1 0 0 0 2 1 2 2 2 1 0 0 1 1 1 1 0 1
"warm" 7 4 2 2 4 4 2 2 0 2 0 1 3 3 1 2 3 3 2 3 1 1 3 1 1 1 0
