"anxious" "bright" "certain" "cheerful" "clever" "cold" "curious" "deep" "distant" "earnest" "gentle" "gloomy" "kind" "loud" "narrow" "particular" "pleasant" "proper" "quick" "quiet" "rough" "silent" "solemn" "violent" "warm" "wild"
"anxious" 0 1 7 1 1 7 1 5 2 3 4 3 5 1 5 2 2 1 4 7 2 5 2 1 4 2
"bright" 1 0 5 2 2 7 1 3 1 2 1 1 2 3 1 2 1 1 2 4 1 3 2 3 0 1
"certain" 7 5 0 2 2 12 1 6 1 1 3 3 3 3 2 4 2 4 1 8 2 3 1 4 2 0
"cheerful" 1 2 2 0 1 3 2 7 0 3 2 1 1 0 0 0 2 1 1 1 3 4 2 1 1 0
"clever" 1 2 2 1 0 2 2 1 0 2 1 0 1 2 0 2 1 0 1 2 1 1 2 2 1 0
"cold" 7 7 12 3 2 0 0 8 3 4 8 6 5 10 4 7 1 5 4 8 3 7 0 6 6 3
"curious" 1 1 1 2 2 0 0 4 0 1 1 0 0 0 0 1 1 1 1 2 2 1 0 3 0 0
"deep" 5 3 6 7 1 8 4 0 3 5 9 4 3 5 5 1 4 3 6 4 5 10 4 1 5 3
"distant" 2 1 1 0 0 3 0 3 0 1 3 1 2 2 1 1 1 0 1 1 0 4 1 4 2 0
"earnest" 3 2 1 3 2 4 1 5 1 0 3 1 1 1 1 0 2 0 1 1 2 4 0 2 1 4
"gentle" 4 1 3 2 1 8 1 9 3 3 0 1 8 1 1 3 6 1 3 5 1 4 4 3 7 2
"gloomy" 3 1 3 1 0 6 0 4 1 1 1 0 1 4 3 1 2 2 3 3 1 1 0 2 1 3
"kind" 5 2 3 1 1 5 0 3 2 1 8 1 0 1 1 0 1 1 1 6 0 3 1 2 4 0
"loud" 1 3 3 0 2 10 0 5 2 1 1 4 1 0 2 2 0 4 3 3 0 5 1 6 2 0
"narrow" 5 1 2 0 0 4 0 5 1 1 1 3 1 2 0 2 1 2 3 3 2 6 1 0 2 2
"particular" 2 2 4 0 2 7 1 1 1 0 3 1 0 2 2 0 1 3 2 3 0 3 0 0 1 3
"pleasant" 2 1 2 2 1 1 1 4 1 2 6 2 1 0 1 1 0 0 2 4 2 2 2 1 3 3
"proper" 1 1 4 1 0 5 1 3 0 0 1 2 1 4 2 3 0 0 2 3 0 3 0 1 1 1
"quick" 4 2 1 1 1 4 1 6 1 1 3 3 1 3 3 2 2 2 0 1 2 6 1 2 2 1
"quiet" 7 4 8 1 2 8 2 4 1 1 5 3 6 3 3 3 4 3 1 0 3 4 4 3 5 3
"rough" 2 1 2 3 1 3 2 5 0 2 1 1 0 0 2 0 2 0 2 3 0 3 0 0 0 0
"silent" 5 3 3 4 1 7 1 10 4 4 4 1 3 5 6 3 2 3 6 4 3 0 2 3 1 1
"solemn" 2 2 1 2 2 0 0 4 1 0 4 0 1 1 1 0 2 0 1 4 0 2 0 2 2 1
"violent" 1 3 4 1 2 6 3 1 4 2 3 2 2 6 0 0 1 1 2 3 0 3 2 0 1 1
"warm" 4 0 2 1 1 6 0 5 2 1 7 1 4 2 2 1 3 1 2 5 0 1 2 1 0 1
"wild" 2 1 0 0 0 3 0 3 0 4 2 3 0 0 2 3 3 1 1 3 0 1 1 1 1 0
