"afraid" "agreeable" "alone" "anxious" "bad" "beautiful" "bright" "certain" "cheerful" "cold" "curious" "difficult" "fair" "fine" "gentle" "glad" "good" "great" "handsome" "happy" "hard" "honest" "innocent" "little" "natural" "old" "open" "plain" "pleasant" "poor" "practical" "proud" "quiet" "remarkable" "short" "strange" "strong" "worthy" "young"
"afraid" 0 1 2 1 4 1 2 0 0 1 0 0 1 2 1 1 8 8 1 3 0 0 3 10 1 5 1 2 3 7 1 1 3 0 2 1 3 0 6
"agreeable" 1 0 3 1 0 0 1 2 0 1 1 1 1 2 0 1 9 9 1 2 0 0 0 11 2 5 1 2 1 4 0 2 3 3 4 1 1 2 3
"alone" 2 3 0 3 2 2 5 2 0 3 2 1 1 3 2 3 10 9 2 1 2 0 3 13 2 5 2 2 1 5 1 5 6 3 3 1 3 2 7
"anxious" 1 1 3 0 1 0 2 1 1 1 1 1 1 0 1 1 8 5 1 2 0 0 1 9 2 5 0 1 1 4 0 0 3 0 4 0 3 0 3
"bad" 4 0 2 1 0 1 4 5 1 1 3 2 3 5 4 2 18 12 3 4 3 4 3 22 2 13 6 4 3 14 3 2 4 3 8 2 8 2 16
"beautiful" 1 0 2 0 1 0 1 0 1 3 2 0 0 1 0 2 5 4 0 1 2 1 2 7 1 6 1 0 1 2 0 3 1 2 3 1 0 0 4
"bright" 2 1 5 2 4 1 0 1 0 1 0 1 1 1 1 0 9 6 1 3 1 0 0 9 0 5 0 1 2 4 1 1 4 0 2 0 1 1 4
"certain" 0 2 2 1 5 0 1 0 3 4 0 1 2 3 3 3 9 6 1 1 2 2 1 10 1 8 2 1 2 4 0 0 6 3 2 0 3 0 7
"cheerful" 0 0 0 1 1 1 0 3 0 4 3 3 0 2 1 5 7 6 1 5 2 1 1 7 4 7 1 0 1 4 1 1 4 2 1 2 1 1 6
"cold" 1 1 3 1 1 3 1 4 4 0 2 0 1 2 0 5 10 8 1 4 3 0 4 12 4 6 1 0 0 2 2 3 3 3 2 3 2 2 6
"curious" 0 1 2 1 3 2 0 0 3 2 0 4 1 2 1 2 8 8 1 2 2 1 1 9 2 7 1 2 0 6 1 2 2 1 3 1 2 0 9
"difficult" 0 1 1 1 2 0 1 1 3 0 4 0 1 2 3 2 8 7 0 2 2 1 0 9 3 5 1 1 2 3 1 1 4 2 3 1 2 1 7
"fair" 1 1 1 1 3 0 1 2 0 1 1 1 0 2 1 0 6 4 1 0 1 0 0 8 0 6 1 1 0 1 1 1 0 0 0 0 2 0 4
"fine" 2 2 3 0 5 1 1 3 2 2 2 2 2 0 3 4 12 11 3 4 6 2 3 11 3 9 1 3 1 3 2 3 5 1 3 3 2 4 10
"gentle" 1 0 2 1 4 0 1 3 1 0 1 3 1 3 0 1 7 5 1 0 1 2 1 7 1 6 0 0 1 4 0 3 5 1 2 1 1 1 6
"glad" 1 1 3 1 2 2 0 3 5 5 2 2 0 4 1 0 8 9 3 6 2 0 1 10 2 4 0 2 0 3 0 4 4 3 3 1 2 3 7
"good" 8 9 10 8 18 5 9 9 7 10 8 8 6 12 7 8 0 43 6 13 15 9 6 61 10 37 6 11 7 26 6 8 20 9 19 8 15 6 39
"great" 8 9 9 5 12 4 6 6 6 8 8 7 4 11 5 9 43 0 3 13 9 3 7 48 8 33 4 10 6 18 6 8 15 10 17 8 14 6 33
"handsome" 1 1 2 1 3 0 1 1 1 1 1 0 1 3 1 3 6 3 0 3 2 2 0 8 2 4 0 2 0 5 0 1 0 2 1 1 0 1 5
"happy" 3 2 1 2 4 1 3 1 5 4 2 2 0 4 0 6 13 13 3 0 2 1 3 15 2 6 0 4 1 5 2 1 4 2 4 4 4 1 7
