"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awkward" "bad" "beautiful" "capable" "certain" "charming" "cold" "comfortable" "delighted" "delightful" "desirable" "determined" "difficult" "eager" "excellent" "extraordinary" "fair" "fine" "fortunate" "glad" "good" "grateful" "great" "handsome" "happy" "ignorant" "impatient" "important" "interesting" "kind" "little" "lively" "natural" "old" "open" "pleasant" "pleased" "pleasing" "poor" "pretty" "private" "proper" "proud" "reasonable" "respectable" "rich" "satisfied" "sensible" "serious" "short" "sincere" "strange" "strong" "surprised" "unhappy" "unlucky" "valuable" "violent" "young"
"affectionate" 0 5 2 1 1 3 3 2 1 2 2 1 2 2 0 1 1 1 1 1 1 1 2 0 4 1 1 2 12 2 10 2 9 4 1 0 0 3 13 2 3 0 1 1 2 4 4 2 2 3 2 4 0 2 3 1 2 2 4 1 4 1 1 2 1 2 9
"afraid" 5 0 7 4 4 5 5 1 2 6 3 4 11 5 3 3 3 5 2 2 1 1 4 5 4 4 5 8 25 1 19 5 13 3 3 3 2 4 24 1 5 3 2 6 7 4 6 2 2 5 4 4 3 1 6 5 6 11 2 3 3 5 2 4 2 3 15
"agreeable" 2 7 0 4 2 6 4 2 4 3 4 3 11 6 9 5 2 5 4 3 2 3 9 0 6 4 5 7 22 4 23 9 16 0 2 2 4 3 20 5 3 3 2 6 10 7 3 6 5 4 6 1 3 2 7 10 4 12 1 4 5 9 3 1 2 2 19
"alone" 1 4 4 0 1 3 2 1 0 2 1 2 2 1 1 0 0 0 2 0 1 1 2 0 2 2 0 4 8 0 8 1 6 1 0 0 1 3 10 2 2 1 1 1 3 3 4 2 2 0 1 1 1 1 4 4 2 4 0 0 1 1 3 0 2 1 5
"angry" 1 4 2 1 0 4 2 0 1 0 2 1 6 0 0 0 1 4 1 0 2 1 1 3 2 5 1 1 9 1 10 3 5 1 0 1 0 1 13 3 1 1 4 2 3 2 1 2 1 3 2 2 0 2 2 2 3 5 1 1 2 3 0 1 1 1 8
"anxious" 3 5 6 3 4 0 2 1 3 4 3 2 5 3 3 3 3 3 0 3 1 3 4 2 3 4 1 4 18 0 16 6 11 2 2 1 2 3 16 4 1 1 1 0 4 5 3 1 1 0 5 3 3 2 2 7 3 7 1 2 0 4 1 1 1 2 12
"ashamed" 3 5 4 2 2 2 0 1 0 1 0 2 2 1 2 3 0 3 0 0 0 4 2 3 2 0 1 3 12 0 11 1 6 1 0 2 2 1 9 2 3 3 0 2 6 0 2 2 0 3 3 5 2 0 3 6 4 4 1 1 3 1 2 2 1 0 7
"attentive" 2 1 2 1 0 1 1 0 2 1 1 2 2 2 3 3 1 1 1 1 0 2 0 0 3 0 1 2 6 0 7 3 3 1 1 0 3 3 6 1 0 0 0 1 2 3 2 0 1 1 3 0 1 2 1 2 0 3 1 1 0 2 2 0 0 1 5
"awkward" 1 2 4 0 1 3 0 2 0 0 2 1 3 2 1 2 2 2 1 1 1 0 1 1 3 2 0 1 6 2 8 3 5 0 0 0 1 1 6 2 1 1 0 3 1 1 2 0 2 1 3 1 3 3 1 1 1 1 1 0 1 2 1 0 0 1 4
"bad" 2 6 3 2 0 4 1 1 0 0 1 2 5 1 0 1 1 0 0 3 0 2 2 1 0 3 2 4 10 1 10 2 6 1 2 2 0 2 9 1 2 0 0 2 3 3 4 2 1 1 2 0 3 0 3 1 1 4 1 0 2 2 2 0 2 4 6
"beautiful" 2 3 4 1 2 3 0 1 2 1 0 0 4 3 1 0 3 3 0 0 0 0 2 1 1 4 4 0 9 1 8 3 4 1 1 0 1 1 9 3 4 1 0 3 2 4 1 4 1 0 4 2 2 1 1 2 1 3 0 1 0 0 0 0 0 2 5
"capable" 1 4 3 2 1 2 2 2 1 2 0 0 6 1 2 2 2 2 2 1 2 4 0 0 3 1 1 3 8 1 8 3 5 1 1 1 3 2 10 2 1 2 0 2 5 1 5 1 1 1 4 0 1 2 2 2 2 2 0 0 2 4 1 3 3 1 9
"certain" 2 11 11 2 6 5 2 2 3 5 4 6 0 4 4 4 2 7 4 5 1 5 7 5 4 7 4 8 24 4 21 6 16 1 2 3 2 5 22 2 6 7 4 7 8 5 6 4 3 3 3 2 5 5 5 6 5 11 3 3 4 5 5 3 4 3 20
"charming" 2 5 6 1 0 3 1 2 2 1 3 1 4 0 2 1 1 2 2 0 0 0 2 2 0 4 4 2 10 1 12 8 8 0 1 3 2 2 10 1 1 1 1 1 6 6 1 2 1 2 4 0 3 4 3 5 3 3 2 3 0 3 0 2 0 0 8
"cold" 0 3 9 1 0 3 2 3 1 0 1 2 4 2 0 1 0 3 0 1 0 2 2 0 2 0 1 6 8 0 6 1 5 0 1 1 1 3 10 0 1 1 1 3 3 1 2 1 2 0 2 2 0 1 1 1 2 6 1 0 1 4 2 1 0 0 4
"comfortable" 1 3 5 0 0 3 3 3 2 1 0 2 4 1 1 0 0 1 0 1 0 1 4 0 1 0 2 3 9 2 9 2 7 0 2 0 3 1 5 0 1 1 0 3 3 1 2 1 1 1 1 0 1 1 2 5 0 3 0 2 4 4 0 1 0 1 5
"delighted" 1 3 2 0 1 3 0 1 2 1 3 2 2 1 0 0 0 2 3 3 2 1 1 2 2 3 2 4 7 0 8 3 5 2 1 0 1 2 8 3 1 3 0 1 1 1 1 1 1 2 2 1 3 2 0 1 1 1 0 1 0 2 1 1 0 2 9
"delightful" 1 5 5 0 4 3 3 1 2 0 3 2 7 2 3 1 2 0 0 0 0 1 2 1 4 3 3 2 14 1 11 4 5 1 0 0 0 2 9 2 2 3 0 4 1 1 1 4 1 1 3 2 0 1 4 2 1 6 1 1 3 4 0 4 0 2 8
"desirable" 1 2 4 2 1 0 0 1 1 0 0 2 4 2 0 0 3 0 0 0 2 1 2 1 3 1 0 4 5 0 6 2 7 2 1 0 1 1 5 2 1 2 2 0 2 1 1 1 1 3 0 0 2 2 3 3 2 2 2 3 1 2 1 1 0 1 8
"determined" 1 2 3 0 0 3 0 1 1 3 0 1 5 0 1 1 3 0 0 0 1 2 2 3 1 2 1 4 7 1 6 1 3 2 1 0 1 2 7 1 0 1 0 0 2 1 2 0 0 0 1 3 3 1 0 1 0 2 0 0 1 2 1 0 1 2 7
"difficult" 1 1 2 1 2 1 0 0 1 0 0 2 1 0 0 0 2 0 2 1 0 2 1 1 1 2 1 3 7 1 8 2 3 2 0 1 1 3 9 3 2 1 0 1 2 1 4 0 0 2 1 0 2 1 3 1 2 1 1 1 1 1 1 1 2 0 7
"eager" 1 1 3 1 1 3 4 2 0 2 0 4 5 0 2 1 1 1 1 2 2 0 0 2 3 0 1 2 8 2 9 1 6 0 1 2 3 4 8 2 2 1 1 0 5 1 1 0 0 2 1 1 2 1 2 2 2 4 2 0 0 2 1 2 1 0 7
"excellent" 2 4 9 2 1 4 2 0 1 2 2 0 7 2 2 4 1 2 2 2 1 0 0 2 2 4 4 4 12 2 16 1 8 3 1 3 1 1 9 2 1 2 3 5 5 3 5 3 1 1 1 1 4 1 1 8 2 4 2 2 4 3 1 1 3 1 12
"extraordinary" 0 5 0 0 3 2 3 0 1 1 1 0 5 2 0 0 2 1 1 3 1 2 2 0 2 5 0 3 10 2 8 4 4 2 3 2 2 3 10 1 2 3 2 1 6 0 3 0 0 3 2 4 3 2 2 5 2 4 2 0 1 2 0 0 1 1 9
"fair" 4 4 6 2 2 3 2 3 3 0 1 3 4 0 2 1 2 4 3 1 1 3 2 2 0 1 1 5 12 1 12 2 9 0 1 0 2 4 14 0 2 2 0 0 2 1 3 2 2 4 1 1 2 0 1 7 2 7 1 0 3 3 1 4 0 1 12
"fine" 1 4 4 2 5 4 0 0 2 3 4 1 7 4 0 0 3 3 1 2 2 0 4 5 1 0 2 3 12 2 15 10 6 1 3 1 2 2 14 5 3 6 2 6 4 5 5 5 2 5 5 1 3 1 5 3 2 3 0 1 2 2 1 0 2 2 12
"fortunate" 1 5 5 0 1 1 1 1 0 2 4 1 4 4 1 2 2 3 0 1 1 1 4 0 1 2 0 2 12 3 9 4 9 1 2 3 1 0 12 2 1 0 0 2 5 4 1 2 0 3 3 1 1 1 1 4 1 3 0 0 1 1 0 2 1 3 9
