"afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "bright" "certain" "cold" "curious" "difficult" "fair" "fine" "glad" "good" "great" "handsome" "happy" "hard" "kind" "little" "natural" "old" "open" "plain" "pleasant" "poor" "pretty" "proud" "quiet" "rich" "sensible" "short" "strange" "strong" "surprised" "weak" "well" "wonderful" "young"
"afraid" 0 9 10 5 6 6 3 6 6 6 3 9 5 1 6 13 44 37 1 10 6 10 46 8 32 13 1 7 28 1 10 11 6 5 11 11 10 5 3 4 9 14
"agreeable" 9 0 6 1 3 4 1 2 3 8 1 3 3 5 7 12 30 24 4 7 5 4 30 6 24 7 4 5 12 3 6 7 6 3 9 2 4 4 3 2 7 15
"alone" 10 6 0 5 5 2 5 8 7 13 7 3 5 7 5 11 38 29 4 6 4 8 44 10 32 6 4 4 22 5 8 13 6 3 12 6 12 7 5 7 6 21
"angry" 5 1 5 0 4 4 6 3 5 6 1 3 6 3 2 7 18 20 3 3 4 5 23 3 19 3 2 6 16 1 7 7 2 4 10 5 7 1 3 3 3 13
"anxious" 6 3 5 4 0 6 4 5 6 4 3 2 1 2 7 4 24 24 1 5 5 6 28 3 22 4 5 6 18 2 8 12 4 1 8 5 3 3 4 1 2 9
"ashamed" 6 4 2 4 6 0 4 4 4 7 3 1 4 2 3 5 23 16 2 2 4 3 25 5 17 7 2 6 16 2 5 6 2 3 10 3 4 4 2 3 3 6
"bad" 3 1 5 6 4 4 0 4 4 11 4 5 4 1 5 7 26 27 5 5 6 7 35 3 25 10 3 5 18 2 4 4 0 1 10 3 10 2 6 3 3 9
"beautiful" 6 2 8 3 5 4 4 0 9 11 5 4 5 3 3 11 34 28 5 10 4 3 44 7 33 10 4 6 24 8 7 15 7 2 11 6 11 6 4 6 9 24
"bright" 6 3 7 5 6 4 4 9 0 15 4 6 4 4 4 9 37 33 3 9 8 10 45 7 34 8 7 6 22 5 7 12 10 2 12 7 10 2 4 5 9 16
"certain" 6 8 13 6 4 7 11 11 15 0 11 13 11 7 14 25 59 47 11 14 12 12 72 14 52 15 10 9 32 7 11 14 11 7 28 12 16 9 10 5 11 32
"cold" 3 1 7 1 3 3 4 5 4 11 0 5 2 3 4 8 21 27 2 5 5 8 32 5 22 11 3 5 16 2 2 8 3 3 6 6 13 4 7 6 6 17
"curious" 9 3 3 3 2 1 5 4 6 13 5 0 5 2 1 10 22 25 4 7 5 2 30 4 22 8 3 6 10 4 2 7 4 2 11 5 4 3 2 2 5 24
"difficult" 5 3 5 6 1 4 4 5 4 11 2 5 0 5 5 11 23 21 7 3 4 3 29 6 22 2 3 5 15 4 9 5 3 4 11 4 3 1 1 6 4 15
"fair" 1 5 7 3 2 2 1 3 4 7 3 2 5 0 7 8 28 20 8 6 1 4 25 8 22 4 6 5 13 2 7 5 6 5 11 2 6 4 4 5 2 14
"fine" 6 7 5 2 7 3 5 3 4 14 4 1 5 7 0 11 30 28 6 7 3 5 38 7 26 3 2 5 16 4 11 4 10 2 8 4 2 2 4 3 4 15
