"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "calm" "capable" "certain" "charming" "cheerful" "cold" "comfortable" "delighted" "delightful" "determined" "disappointed" "eager" "excellent" "extraordinary" "fine" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "important" "interesting" "kind" "little" "lucky" "natural" "old" "open" "pleasant" "pleased" "pleasing" "poor" "pretty" "private" "proper" "quiet" "reasonable" "respectable" "rich" "satisfied" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "surprised" "sweet" "uncomfortable" "unhappy" "violent" "warm" "young"
"affectionate" 0 3 2 1 1 0 1 3 2 0 3 4 7 0 1 4 1 1 1 1 0 4 2 4 1 1 3 16 1 9 3 10 0 2 2 10 0 5 2 6 1 2 2 7 2 2 4 3 2 0 2 3 1 1 3 4 2 0 4 5 2 2 0 3 2 1 8
"afraid" 3 0 4 0 3 3 3 3 2 1 1 2 5 3 0 2 5 3 1 2 2 4 0 2 3 1 7 11 1 14 4 9 1 1 2 14 1 5 5 3 0 3 1 5 3 0 1 2 0 1 2 1 1 4 2 4 1 1 3 0 5 3 1 2 2 1 9
"agreeable" 2 4 0 0 1 4 3 1 5 0 0 1 4 5 1 4 1 5 4 1 2 3 1 1 3 2 8 16 0 15 4 9 2 1 2 10 4 4 5 1 3 8 4 2 6 2 0 2 0 4 1 2 0 4 5 7 0 4 3 5 4 4 3 2 2 0 9
"alone" 1 0 0 0 1 4 0 2 0 0 3 1 4 0 1 0 0 1 1 2 0 0 1 1 1 0 5 8 2 11 0 8 3 3 0 12 1 5 3 2 1 3 0 5 2 3 2 2 0 0 0 3 2 0 1 10 1 0 1 4 1 1 2 3 0 1 5
"angry" 1 3 1 1 0 1 0 0 3 1 2 0 3 1 0 2 2 2 1 2 2 2 0 0 3 1 3 7 1 8 2 6 0 1 0 8 1 2 1 3 1 0 0 2 2 2 1 1 1 1 0 1 3 2 0 5 0 0 1 3 2 0 1 1 0 3 6
"anxious" 0 3 4 4 1 0 0 2 2 1 2 4 4 3 1 4 5 2 4 3 1 1 3 2 4 0 7 17 3 17 4 10 3 1 5 14 6 6 7 4 3 6 0 2 5 1 2 1 4 1 4 4 1 2 4 3 3 2 2 7 2 1 3 4 5 2 11
"ashamed" 1 3 3 0 0 0 0 1 2 0 1 0 3 2 0 2 0 0 2 0 1 2 3 1 2 2 2 5 0 6 1 4 1 1 1 7 0 4 4 3 1 2 0 2 0 1 1 2 0 1 1 1 1 0 0 4 0 2 0 2 4 2 0 0 2 0 5
"bad" 3 3 1 2 0 2 1 0 0 0 1 0 3 0 0 1 0 0 2 2 1 1 1 4 0 0 4 8 0 8 1 5 0 1 1 7 0 2 3 2 1 1 0 5 2 0 2 0 1 0 1 1 0 1 0 2 1 0 2 0 0 1 0 1 1 0 3
"beautiful" 2 2 5 0 3 2 2 0 0 0 0 1 5 2 0 1 0 1 3 0 0 0 0 1 6 3 3 8 1 6 2 7 0 2 1 6 2 2 3 4 1 1 0 2 3 0 2 2 0 2 1 1 0 2 1 4 1 3 2 1 2 4 0 0 1 2 8
"busy" 0 1 0 0 1 1 0 0 0 0 1 0 2 1 2 1 2 1 0 2 2 2 0 0 4 0 3 6 1 4 2 6 1 1 1 5 1 0 4 4 3 2 0 4 0 0 0 1 0 1 2 2 1 0 2 2 0 1 1 0 1 0 1 0 0 2 6
