"afraid" "bad" "big" "curious" "delighted" "eager" "excellent" "famous" "fine" "gentle" "glad" "good" "gracious" "great" "hard" "honest" "ignorant" "innocent" "little" "nice" "old" "open" "ordinary" "pleasant" "pleased" "proper" "reasonable" "rich" "rough" "short" "strange" "strong" "sweet" "wise" "young"
"afraid" 0 1 0 0 0 0 0 1 1 1 1 2 0 1 0 1 0 0 2 0 1 1 0 0 1 0 1 0 0 0 1 0 0 1 1
"bad" 1 0 0 0 0 0 1 1 0 1 0 5 0 7 1 1 0 1 6 1 0 1 1 1 1 1 1 3 0 1 2 0 0 1 2
"big" 0 0 0 0 0 0 0 0 1 0 0 2 0 3 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1
"curious" 0 0 0 0 0 0 2 0 0 0 1 3 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 2
"delighted" 0 0 0 0 0 0 1 2 0 0 0 0 1 2 0 0 1 0 2 1 1 1 0 1 1 0 0 2 0 0 1 0 0 1 0
"eager" 0 0 0 0 0 0 1 0 1 0 1 2 0 2 2 0 0 2 3 0 0 1 1 1 0 0 1 2 0 2 0 0 1 3 1
"excellent" 0 1 0 2 1 1 0 1 0 1 2 5 1 6 1 1 0 1 5 1 0 1 1 1 1 0 0 2 0 1 0 0 2 1 1
"famous" 1 1 0 0 2 0 1 0 0 1 0 1 1 3 0 0 1 0 3 1 1 1 0 1 2 0 1 2 0 0 2 0 0 2 1
"fine" 1 0 1 0 0 1 0 0 0 0 1 4 0 3 1 1 2 1 4 0 2 3 0 0 0 0 0 0 0 1 0 0 0 2 0
"gentle" 1 1 0 0 0 0 1 1 0 0 0 2 0 3 0 1 0 0 3 0 0 1 0 0 1 0 1 1 0 0 1 1 0 1 2
"glad" 1 0 0 1 0 1 2 0 1 0 0 4 0 2 1 2 1 1 5 0 1 1 1 0 0 1 0 0 1 1 0 0 3 1 0
"good" 2 5 2 3 0 2 5 1 4 2 4 0 2 16 4 4 5 3 15 1 4 5 2 1 2 3 2 7 2 6 4 2 4 2 8
"gracious" 0 0 0 0 1 0 1 1 0 0 0 2 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 2 0 0 0 1 0 1 0
"great" 1 7 3 1 2 2 6 3 3 3 2 16 1 0 3 2 5 2 17 2 3 6 1 3 2 2 3 7 2 6 4 1 3 5 6
"hard" 0 1 1 1 0 2 1 0 1 0 1 4 1 3 0 0 1 2 2 0 0 1 1 0 0 1 0 1 0 3 0 1 1 1 1
"honest" 1 1 0 1 0 0 1 0 1 1 2 4 0 2 0 0 0 1 4 1 1 2 0 0 0 0 0 2 0 1 1 1 1 0 1
"ignorant" 0 0 0 0 1 0 0 1 2 0 1 5 1 5 1 0 0 0 4 0 2 2 0 0 0 1 0 2 1 1 1 1 2 1 1
"innocent" 0 1 0 0 0 2 1 0 1 0 1 3 0 2 2 1 0 0 3 0 0 2 1 0 0 0 0 1 0 1 2 0 1 1 0
"little" 2 6 2 2 2 3 5 3 4 3 5 15 1 17 2 4 4 3 0 2 4 6 2 3 2 3 3 8 2 5 3 2 3 6 4
"nice" 0 1 0 0 1 0 1 1 0 0 0 1 1 2 0 1 0 0 2 0 0 1 0 1 1 0 0 2 0 1 0 0 0 1 0
"old" 1 0 0 0 1 0 0 1 2 0 1 4 0 3 0 1 2 0 4 0 0 1 0 0 0 1 0 1 0 0 2 1 0 0 0
"open" 1 1 0 0 1 1 1 1 3 1 1 5 1 6 1 2 2 2 6 1 1 0 0 1 2 0 0 2 2 2 1 1 2 2 2
"ordinary" 0 1 0 0 0 1 1 0 0 0 1 2 0 1 1 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1
"pleasant" 0 1 0 0 1 1 1 1 0 0 0 1 1 3 0 0 0 0 3 1 0 1 0 0 1 0 1 3 0 0 0 0 0 2 0
"pleased" 1 1 0 0 1 0 1 2 0 1 0 2 1 2 0 0 0 0 2 1 0 2 0 1 0 0 1 1 1 0 1 0 1 2 1
"proper" 0 1 1 0 0 0 0 0 0 0 1 3 0 2 1 0 1 0 3 0 1 0 1 0 0 0 0 1 1 2 0 1 1 1 1
"reasonable" 1 1 0 0 0 1 0 1 0 1 0 2 0 3 0 0 0 0 3 0 0 0 0 1 1 0 0 1 0 0 1 0 0 2 1
"rich" 0 3 0 0 2 2 2 2 0 1 0 7 2 7 1 2 2 1 8 2 1 2 1 3 1 1 1 0 1 3 2 1 0 3 2
"rough" 0 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 1 0 2 0 0 2 0 0 1 1 0 1 0 2 0 0 2 1 0
"short" 0 1 2 2 0 2 1 0 1 0 1 6 0 6 3 1 1 1 5 1 0 2 0 0 0 2 0 3 2 0 0 0 1 3 4
"strange" 1 2 0 0 1 0 0 2 0 1 0 4 0 4 0 1 1 2 3 0 2 1 0 0 1 0 1 2 0 0 0 0 0 1 1
"strong" 0 0 0 0 0 0 0 0 0 1 0 2 1 1 1 1 1 0 2 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1
"sweet" 0 0 0 1 0 1 2 0 0 0 3 4 0 3 1 1 2 1 3 0 0 2 1 0 1 1 0 0 2 1 0 0 0 1 1
"wise" 1 1 1 0 1 3 1 2 2 1 1 2 1 5 1 0 1 1 6 1 0 2 0 2 2 1 2 3 1 3 1 0 1 0 2
"young" 1 2 1 2 0 1 1 1 0 2 0 8 0 6 1 1 1 0 4 0 0 2 1 0 1 1 1 2 0 4 1 1 1 2 0
