"afraid" "agreeable" "alone" "anxious" "bad" "beautiful" "bright" "certain" "clean" "cold" "curious" "difficult" "extraordinary" "fine" "glad" "good" "great" "handsome" "happy" "hard" "honest" "little" "natural" "old" "open" "pleasant" "poor" "pretty" "private" "proud" "quiet" "rich" "short" "strange" "strong" "surprised" "young"
"afraid" 0 4 4 4 6 6 8 5 2 3 3 3 3 5 5 14 15 1 2 5 2 23 2 21 10 4 10 2 4 3 7 5 8 1 6 6 12
"agreeable" 4 0 0 2 4 1 4 4 1 3 1 2 1 2 5 12 9 1 2 2 1 9 1 8 3 3 5 0 0 3 2 2 4 1 2 3 8
"alone" 4 0 0 3 3 2 3 4 1 4 0 3 1 2 3 11 8 2 1 5 2 16 0 13 6 1 4 2 2 3 2 3 4 5 4 1 11
"anxious" 4 2 3 0 2 1 4 3 0 5 2 1 2 0 3 9 6 1 0 2 1 13 3 10 5 4 4 1 3 1 7 1 4 1 5 0 4
"bad" 6 4 3 2 0 1 8 6 2 4 4 1 2 3 6 27 24 4 2 11 2 27 4 29 10 2 11 5 4 4 10 3 8 4 10 5 14
"beautiful" 6 1 2 1 1 0 5 2 0 7 3 3 1 5 4 11 13 2 3 3 0 16 3 12 5 3 7 2 2 7 6 3 3 2 4 1 12
"bright" 8 4 3 4 8 5 0 5 1 6 2 6 3 6 1 14 16 2 2 4 3 20 2 17 9 2 10 1 1 5 8 3 5 7 6 2 9
"certain" 5 4 4 3 6 2 5 0 2 8 3 4 2 4 8 25 27 4 4 6 7 35 3 24 10 6 12 5 8 5 6 6 11 10 9 8 15
"clean" 2 1 1 0 2 0 1 2 0 2 2 0 1 1 4 9 6 1 2 0 0 11 2 9 3 4 3 4 3 1 0 4 6 2 0 1 4
"cold" 3 3 4 5 4 7 6 8 2 0 2 4 1 3 6 28 21 2 3 4 2 26 5 24 12 3 12 4 0 5 8 5 7 6 8 1 15
"curious" 3 1 0 2 4 3 2 3 2 2 0 0 2 4 3 12 10 0 1 3 0 16 1 13 5 3 4 1 2 0 4 1 3 1 3 2 7
