"afraid" "alone" "angry" "anxious" "bad" "beautiful" "bright" "busy" "certain" "cold" "cruel" "curious" "dangerous" "difficult" "fair" "fine" "gentle" "good" "great" "handsome" "happy" "hard" "honest" "innocent" "little" "loud" "natural" "old" "open" "plain" "pleasant" "poor" "pretty" "quiet" "remarkable" "rough" "short" "strange" "strong" "sweet" "terrible" "useful" "weak" "wonderful" "young"
"afraid" 0 2 0 1 3 2 0 2 2 2 1 1 1 3 1 2 0 10 8 0 1 3 2 4 13 1 1 7 8 1 1 5 2 2 0 0 6 1 7 2 1 1 3 2 6
"alone" 2 0 3 2 4 2 5 0 2 3 4 2 2 1 2 0 4 12 10 1 2 4 1 3 11 1 1 10 3 3 2 9 4 2 3 0 4 1 3 2 1 1 1 1 3
"angry" 0 3 0 1 3 0 2 1 4 1 1 1 3 1 1 2 1 9 7 0 1 5 1 1 9 1 3 8 3 1 1 3 0 2 2 0 2 1 3 0 2 1 0 1 6
"anxious" 1 2 1 0 2 3 4 1 3 4 0 3 1 3 2 1 1 10 8 1 2 2 1 2 9 1 4 10 3 1 4 4 4 1 2 1 4 3 7 1 0 3 2 0 6
"bad" 3 4 3 2 0 1 3 2 5 4 4 2 3 2 2 2 3 19 12 1 0 4 3 6 19 1 3 15 5 2 2 10 3 2 2 3 7 2 8 3 4 0 3 3 9
"beautiful" 2 2 0 3 1 0 7 0 2 3 0 2 1 0 3 0 3 8 10 1 4 4 0 2 11 1 2 7 4 1 2 10 2 3 2 0 2 3 7 4 0 3 4 2 6
"bright" 0 5 2 4 3 7 0 0 4 5 0 2 2 3 2 2 4 17 12 1 5 7 1 2 17 1 3 11 1 4 2 10 5 6 5 2 5 5 8 2 0 2 2 1 10
"busy" 2 0 1 1 2 0 0 0 3 1 1 0 2 2 1 1 0 6 5 0 2 2 1 2 8 1 2 5 2 1 1 1 1 1 1 1 2 2 5 0 2 0 0 1 4
"certain" 2 2 4 3 5 2 4 3 0 2 1 2 1 3 3 3 1 16 15 1 2 1 1 4 16 2 6 17 7 4 4 7 3 6 2 3 9 3 5 2 1 2 0 4 11
"cold" 2 3 1 4 4 3 5 1 2 0 2 1 2 4 2 2 3 17 17 3 2 5 4 3 19 1 4 13 6 0 3 10 5 6 3 3 9 4 8 3 4 2 1 0 11
"cruel" 1 4 1 0 4 0 0 1 1 2 0 1 1 0 0 4 1 9 14 2 2 3 1 2 10 3 0 6 2 0 0 4 4 4 2 2 2 2 3 0 2 1 1 1 2
"curious" 1 2 1 3 2 2 2 0 2 1 1 0 1 1 3 0 1 8 9 1 0 1 0 3 10 2 2 7 3 2 3 4 2 2 1 2 1 4 6 1 2 1 1 2 3
"dangerous" 1 2 3 1 3 1 2 2 1 2 1 1 0 1 2 1 1 9 9 0 4 1 1 1 10 1 2 8 3 1 0 2 0 4 2 1 2 1 4 1 1 2 0 2 3
"difficult" 3 1 1 3 2 0 3 2 3 4 0 1 1 0 0 1 1 7 6 0 3 3 0 2 11 1 2 5 4 1 1 4 2 2 4 0 5 4 5 0 1 2 1 1 8
"fair" 1 2 1 2 2 3 2 1 3 2 0 3 2 0 0 2 1 14 5 0 2 2 0 2 9 0 4 9 4 5 2 2 2 1 1 2 4 5 3 1 3 1 2 2 6
