"afraid" "agreeable" "alone" "anxious" "bad" "beautiful" "bright" "busy" "certain" "cold" "curious" "difficult" "excellent" "fair" "fine" "glad" "good" "great" "handsome" "happy" "hard" "kind" "little" "natural" "old" "open" "plain" "pleasant" "poor" "pretty" "quiet" "rich" "short" "strange" "strong" "surprised" "young"
"difficult" 7 3 3 5 6 5 5 5 7 4 9 0 6 1 8 3 28 21 3 8 2 2 32 8 23 9 4 4 14 3 7 4 8 6 5 6 19
"excellent" 7 5 4 8 8 7 5 4 7 5 6 6 0 3 6 9 25 23 3 10 4 2 31 10 20 9 2 7 14 4 5 2 12 3 4 1 20
"fair" 5 2 2 1 7 3 5 4 5 4 3 1 3 0 9 7 25 24 6 4 4 3 31 5 22 10 3 4 8 4 7 4 13 0 5 3 15
"fine" 7 13 8 2 10 10 16 8 12 7 9 8 6 9 0 16 47 42 8 9 8 2 54 11 43 12 8 11 19 11 10 6 13 8 13 10 33
"glad" 16 13 8 9 14 11 16 12 13 8 9 3 9 7 16 0 61 53 12 24 11 8 73 14 48 16 10 12 32 14 12 8 24 9 10 9 47
"good" 52 39 37 27 53 39 48 34 42 34 42 28 25 25 47 61 0 181 30 68 35 28 254 47 170 53 26 42 103 40 47 27 67 41 48 28 129
"great" 40 34 29 25 39 41 45 31 33 32 37 21 23 24 42 53 181 0 32 62 26 25 220 44 156 45 22 36 88 37 46 18 70 37 35 26 112
"handsome" 5 7 4 7 9 9 11 7 11 5 7 3 3 6 8 12 30 32 0 10 4 9 38 8 35 6 6 4 12 12 4 8 11 6 4 5 17
"happy" 17 13 9 14 9 15 18 16 12 9 17 8 10 4 9 24 68 62 10 0 9 13 77 15 59 20 8 12 41 19 13 13 21 12 9 10 43
"hard" 6 2 5 4 12 3 4 4 7 6 3 2 4 4 8 11 35 26 4 9 0 0 38 9 27 8 6 9 20 8 6 2 7 3 10 1 25
"kind" 9 4 5 6 7 4 9 5 8 5 7 2 2 3 2 8 28 25 9 13 0 0 31 9 22 5 2 8 14 7 7 3 14 5 5 3 13
