"affectionate" "afraid" "alone" "angry" "bad" "beautiful" "bright" "certain" "charming" "cheerful" "cold" "curious" "difficult" "fair" "friendly" "generous" "glad" "good" "great" "handsome" "happy" "hard" "little" "natural" "nice" "old" "open" "poor" "pretty" "proud" "quiet" "rich" "short" "strange" "strong" "sweet" "well" "worthy" "young"
"affectionate" 0 1 0 2 2 0 2 2 3 0 1 2 1 0 2 2 3 4 1 2 2 2 8 2 2 4 3 4 1 0 2 0 3 3 2 0 1 2 8
"afraid" 1 0 2 0 1 2 3 3 0 1 2 0 0 2 1 2 2 8 5 2 0 2 10 0 1 4 4 5 3 0 3 0 3 1 7 1 2 1 7
"alone" 0 2 0 1 2 4 7 4 1 1 1 3 4 2 0 1 1 14 11 1 3 4 17 7 3 9 7 8 2 4 6 0 5 4 3 2 0 0 10
"angry" 2 0 1 0 2 2 1 0 1 1 2 3 3 0 1 3 0 6 2 1 2 1 6 1 1 5 2 3 1 3 2 1 1 1 2 1 1 3 7
"bad" 2 1 2 2 0 3 1 1 1 2 1 2 3 2 3 1 3 13 9 1 1 2 12 2 1 9 0 8 1 0 3 0 6 3 5 3 2 0 9
"beautiful" 0 2 4 2 3 0 3 3 1 1 1 1 2 1 3 1 1 8 5 2 1 3 8 0 1 6 1 4 1 1 3 2 5 1 4 1 1 0 7
"bright" 2 3 7 1 1 3 0 5 4 3 5 2 1 1 2 1 6 19 14 3 3 7 21 3 4 11 5 12 2 3 4 3 8 7 6 0 1 1 12
"certain" 2 3 4 0 1 3 5 0 3 1 1 2 3 2 3 1 5 17 11 1 1 7 21 3 0 14 8 8 2 1 2 3 6 7 6 5 2 1 10
"charming" 3 0 1 1 1 1 4 3 0 0 0 1 2 0 0 1 3 4 4 1 1 4 6 1 2 2 3 4 0 0 1 0 3 2 1 2 0 1 3
"cheerful" 0 1 1 1 2 1 3 1 0 0 1 0 1 1 1 0 1 7 3 0 0 1 7 1 0 5 0 2 1 2 2 0 3 3 3 0 2 1 5
"cold" 1 2 1 2 1 1 5 1 0 1 0 1 1 3 3 1 2 12 9 2 0 1 10 1 2 9 7 7 2 3 2 2 4 4 3 1 5 2 7
"curious" 2 0 3 3 2 1 2 2 1 0 1 0 1 2 0 1 1 9 5 1 1 2 9 1 0 6 5 2 0 1 4 0 2 1 1 1 0 1 5
"difficult" 1 0 4 3 3 2 1 3 2 1 1 1 0 0 1 2 2 10 7 0 1 2 10 3 2 4 5 8 1 3 2 0 2 2 4 4 1 1 7
