"afraid" "agreeable" "alone" "angry" "ashamed" "bad" "beautiful" "bold" "capable" "certain" "charming" "cheerful" "confused" "cruel" "delighted" "determined" "difficult" "eager" "embarrassed" "excellent" "extraordinary" "fair" "fine" "foolish" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "ignorant" "important" "innocent" "kind" "little" "loud" "modest" "natural" "old" "open" "pleased" "poor" "pretty" "private" "productive" "proper" "proud" "quiet" "ridiculous" "satisfied" "sensible" "serious" "short" "strange" "strong" "surprised" "sweet" "tired" "unhappy" "violent" "weak" "worthy" "young"
"afraid" 0 2 4 4 9 1 0 2 0 1 2 0 1 3 2 3 6 1 2 3 2 1 5 1 3 2 2 4 12 0 15 6 1 0 0 2 10 2 0 1 5 4 7 7 2 2 2 3 1 2 4 3 3 2 6 3 1 6 2 2 4 5 3 1 12
"agreeable" 2 0 2 2 4 2 0 1 1 0 1 0 1 0 1 1 1 0 2 1 0 2 2 1 2 1 3 6 5 1 8 2 3 2 0 2 4 0 0 0 1 4 7 1 3 3 0 0 0 0 2 3 2 0 6 2 0 2 3 2 1 3 0 0 5
"alone" 4 2 0 3 5 2 1 2 0 1 3 2 0 7 1 3 6 2 1 2 2 3 3 2 2 6 2 8 17 5 17 7 4 3 0 3 12 2 1 2 5 2 9 7 2 1 2 3 3 1 2 4 6 1 9 7 2 7 5 1 6 2 3 4 11
"angry" 4 2 3 0 6 2 2 2 2 1 1 1 2 6 1 2 1 2 0 2 1 1 4 4 2 1 1 9 12 2 12 4 1 1 0 2 9 6 0 1 7 1 4 2 4 1 2 5 1 5 3 6 2 2 5 1 0 8 1 4 1 4 1 3 13
"ashamed" 9 4 5 6 0 4 0 4 3 6 2 2 2 6 1 4 5 5 4 2 3 1 8 2 3 3 3 9 21 2 26 7 7 4 0 3 12 3 2 2 7 7 11 9 2 3 1 0 4 1 5 5 7 4 17 5 2 10 6 4 4 5 3 0 10
"bad" 1 2 2 2 4 0 2 1 2 1 1 2 0 1 2 1 3 2 1 1 2 2 3 1 1 1 2 8 9 2 12 5 2 1 0 2 10 3 0 2 4 3 5 4 1 1 1 2 1 1 3 3 0 5 6 3 3 5 1 2 2 6 1 1 7
"beautiful" 0 0 1 2 0 2 0 2 0 1 2 1 0 0 2 2 0 1 2 1 4 1 0 1 0 3 0 5 6 2 5 4 2 0 0 2 4 2 3 0 1 0 2 1 2 1 0 1 0 2 0 1 2 1 1 1 0 4 2 1 1 1 1 0 6
"bold" 2 1 2 2 4 1 2 0 1 0 1 0 1 2 1 1 1 0 0 4 2 3 3 2 1 1 1 6 9 2 8 1 2 0 1 2 9 3 2 2 3 2 3 2 4 2 1 0 0 2 2 2 2 1 6 2 0 2 3 0 2 3 2 1 5
"capable" 0 1 0 2 3 2 0 1 0 2 0 0 1 3 2 1 0 3 0 0 2 0 0 1 1 3 0 3 4 3 6 1 2 1 0 2 5 0 1 2 3 1 1 2 1 1 0 1 0 0 4 2 0 2 3 3 1 3 0 1 3 1 2 1 7
"certain" 1 0 1 1 6 1 1 0 2 0 1 0 0 5 2 2 2 5 0 3 3 1 5 2 2 2 1 5 10 2 14 7 3 3 3 1 9 2 2 4 4 0 5 9 1 1 0 1 1 2 2 1 2 2 3 5 2 5 2 2 1 3 1 1 9
