"afraid" "agreeable" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "certain" "charming" "cheerful" "clever" "cold" "comfortable" "delighted" "delightful" "desirable" "eager" "excellent" "extraordinary" "fair" "fine" "fortunate" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "important" "interesting" "kind" "little" "natural" "old" "open" "pleasant" "pleased" "pleasing" "poor" "pretty" "proper" "quiet" "reasonable" "respectable" "rich" "sad" "satisfied" "sensible" "serious" "short" "strong" "sweet" "unhappy" "useful" "warm" "well" "worthy" "young"
"afraid" 0 6 4 7 3 11 7 6 7 9 7 6 11 6 5 11 3 5 4 3 7 10 7 5 6 11 37 3 36 5 28 6 7 14 40 9 19 6 7 12 3 22 6 11 7 3 5 5 6 9 7 3 13 5 4 5 5 6 6 6 31
"agreeable" 6 0 1 6 5 7 4 3 4 2 7 3 9 11 4 3 2 2 6 3 5 11 6 5 3 15 34 3 29 10 18 3 9 7 30 10 12 8 12 12 6 16 6 9 5 6 3 4 4 8 6 7 10 10 5 1 3 5 1 8 26
"angry" 4 1 0 3 6 1 1 0 2 1 1 1 3 1 3 3 1 0 2 2 1 1 2 2 1 5 10 1 10 2 8 0 2 4 11 2 5 4 1 3 0 7 2 6 0 1 2 0 2 2 1 3 4 1 1 1 2 2 2 1 10
"anxious" 7 6 3 0 3 4 2 2 7 0 4 2 3 4 4 6 3 3 4 1 3 3 2 2 1 5 23 4 21 4 15 5 5 6 24 5 7 6 4 9 2 12 5 10 3 4 3 2 2 7 3 2 7 2 3 4 1 4 3 1 13
"ashamed" 3 5 6 3 0 2 1 1 3 1 4 1 3 3 3 2 1 1 3 4 1 4 3 3 1 6 16 0 17 1 10 0 3 7 16 5 6 5 3 7 1 10 1 7 2 0 1 1 2 5 5 2 4 4 2 0 2 4 1 3 12
"bad" 11 7 1 4 2 0 7 4 2 5 4 3 5 3 1 6 2 3 5 1 8 7 4 3 1 11 27 3 34 5 20 3 5 8 33 8 14 5 3 5 4 16 5 6 3 3 4 2 4 12 4 4 11 9 4 6 5 2 4 3 20
"beautiful" 7 4 1 2 1 7 0 2 1 5 6 3 3 3 1 2 4 1 5 2 0 3 0 1 3 6 15 0 14 5 11 1 4 3 18 5 7 3 3 7 5 5 4 5 4 1 5 3 2 5 4 1 6 2 1 3 4 5 3 0 10
"busy" 6 3 0 2 1 4 2 0 3 1 2 2 3 4 1 3 2 5 0 2 4 2 1 2 0 1 11 4 14 2 8 2 4 6 14 4 7 1 3 2 3 9 1 5 1 4 3 2 2 3 4 1 11 4 3 2 2 2 0 2 11
"certain" 7 4 2 7 3 2 1 3 0 1 1 3 3 2 4 3 3 2 2 5 3 6 1 4 0 4 17 2 19 2 12 0 4 5 21 5 8 3 4 5 2 8 3 5 4 2 0 1 3 6 1 1 9 9 2 3 2 4 1 3 15
"charming" 9 2 1 0 1 5 5 1 1 0 3 1 3 3 4 7 2 2 4 2 0 4 2 1 2 4 15 0 11 3 10 3 3 4 16 3 9 4 4 2 2 8 1 3 5 1 3 2 2 6 1 1 5 2 3 0 1 4 3 3 13
