"afraid" "alone" "angry" "bad" "beautiful" "bright" "busy" "certain" "cold" "extraordinary" "fair" "gentle" "glad" "good" "great" "handsome" "happy" "hard" "innocent" "kind" "little" "lonely" "natural" "old" "open" "plain" "pleasant" "poor" "pretty" "private" "proud" "quiet" "rich" "short" "strange" "strong" "sweet" "weak" "young"
"afraid" 0 15 7 10 14 15 4 14 11 10 4 11 18 52 43 5 17 10 10 10 60 6 12 46 15 3 4 29 8 3 14 13 6 24 12 10 10 5 38
"alone" 15 0 4 8 14 9 1 8 14 8 8 10 9 40 37 7 15 12 11 6 54 6 12 39 5 10 4 19 2 3 22 11 5 11 8 10 7 1 27
"angry" 7 4 0 3 6 6 4 5 7 2 3 2 5 20 20 2 6 5 3 1 19 2 4 21 3 3 0 12 3 3 6 3 3 11 7 10 3 4 14
"bad" 10 8 3 0 8 5 5 5 11 0 5 3 9 27 32 6 7 10 4 3 32 3 2 30 6 5 3 17 4 2 11 4 8 20 6 1 7 4 24
"beautiful" 14 14 6 8 0 16 8 13 16 5 5 13 16 43 47 10 21 10 11 9 55 5 13 42 11 6 8 22 5 5 19 12 10 20 11 14 15 6 35
"bright" 15 9 6 5 16 0 10 15 12 11 6 13 19 42 44 5 19 10 10 11 56 8 5 43 10 6 7 21 9 6 13 16 8 19 13 11 11 9 33
"busy" 4 1 4 5 8 10 0 5 8 3 1 6 9 18 22 2 11 3 4 3 29 2 5 22 6 1 4 12 3 4 10 10 7 9 7 5 5 4 13
"certain" 14 8 5 5 13 15 5 0 13 11 4 8 18 43 39 8 11 9 6 6 52 4 9 40 12 3 9 18 5 7 13 8 4 15 5 14 7 8 28
"cold" 11 14 7 11 16 12 8 13 0 8 8 12 11 38 46 11 10 16 9 6 54 7 10 45 16 3 3 25 4 5 16 13 8 18 16 13 11 9 34
"extraordinary" 10 8 2 0 5 11 3 11 8 0 8 4 9 32 33 5 14 1 3 7 40 2 8 27 5 6 5 11 5 5 10 11 4 16 7 5 11 3 21
"fair" 4 8 3 5 5 6 1 4 8 8 0 5 5 21 22 4 9 7 6 5 32 4 3 25 10 4 5 10 2 7 7 2 3 11 4 7 5 4 21
"gentle" 11 10 2 3 13 13 6 8 12 4 5 0 10 24 26 4 15 5 6 7 36 6 8 34 11 2 4 20 5 3 11 12 6 8 6 8 11 5 23
"glad" 18 9 5 9 16 19 9 18 11 9 5 10 0 53 59 3 26 14 11 19 71 8 14 52 17 7 6 26 10 12 16 14 4 25 13 12 14 14 48
"good" 52 40 20 27 43 42 18 43 38 32 21 24 53 0 155 22 62 36 38 30 191 19 36 157 42 20 25 92 23 22 52 34 25 66 33 36 39 24 119
"great" 43 37 20 32 47 44 22 39 46 33 22 26 59 155 0 19 59 42 31 33 215 17 42 170 49 23 23 81 18 29 53 36 31 74 45 41 37 29 129
"handsome" 5 7 2 6 10 5 2 8 11 5 4 4 3 22 19 0 8 5 6 3 24 5 3 24 9 2 2 10 3 3 18 7 6 4 6 8 4 2 13
"happy" 17 15 6 7 21 19 11 11 10 14 9 15 26 62 59 8 0 9 15 20 68 11 15 54 16 5 14 30 12 11 17 22 9 29 13 15 20 8 48
"hard" 10 12 5 10 10 10 3 9 16 1 7 5 14 36 42 5 9 0 10 7 49 9 7 41 8 6 2 22 2 6 9 7 5 18 8 13 11 7 33
"innocent" 10 11 3 4 11 10 4 6 9 3 6 6 11 38 31 6 15 10 0 11 45 2 8 32 11 1 7 20 5 7 14 7 6 9 7 14 10 5 31
"kind" 10 6 1 3 9 11 3 6 6 7 5 7 19 30 33 3 20 7 11 0 45 6 11 29 10 7 2 20 8 5 9 6 3 12 8 9 12 8 22
"little" 60 54 19 32 55 56 29 52 54 40 32 36 71 191 215 24 68 49 45 45 0 24 49 198 57 27 27 103 24 34 64 52 28 88 53 47 46 33 156
"lonely" 6 6 2 3 5 8 2 4 7 2 4 6 8 19 17 5 11 9 2 6 24 0 6 19 5 4 1 9 6 5 7 7 3 8 10 5 6 4 16
"natural" 12 12 4 2 13 5 5 9 10 8 3 8 14 36 42 3 15 7 8 11 49 6 0 32 10 5 6 19 7 9 11 7 3 14 9 8 8 3 27
"old" 46 39 21 30 42 43 22 40 45 27 25 34 52 157 170 24 54 41 32 29 198 19 32 0 51 23 21 86 18 22 56 35 26 67 43 38 33 31 122
"open" 15 5 3 6 11 10 6 12 16 5 10 11 17 42 49 9 16 8 11 10 57 5 10 51 0 4 7 21 7 6 12 13 5 18 10 15 12 11 31
"plain" 3 10 3 5 6 6 1 3 3 6 4 2 7 20 23 2 5 6 1 7 27 4 5 23 4 0 1 9 1 6 12 7 6 11 5 4 3 3 12
"pleasant" 4 4 0 3 8 7 4 9 3 5 5 4 6 25 23 2 14 2 7 2 27 1 6 21 7 1 0 12 5 4 7 6 4 7 1 5 8 4 17
"poor" 29 19 12 17 22 21 12 18 25 11 10 20 26 92 81 10 30 22 20 20 103 9 19 86 21 9 12 0 14 10 30 21 13 32 21 22 23 15 64
"pretty" 8 2 3 4 5 9 3 5 4 5 2 5 10 23 18 3 12 2 5 8 24 6 7 18 7 1 5 14 0 1 8 9 2 6 4 6 7 5 16
"private" 3 3 3 2 5 6 4 7 5 5 7 3 12 22 29 3 11 6 7 5 34 5 9 22 6 6 4 10 1 0 9 7 3 13 8 6 6 4 18
"proud" 14 22 6 11 19 13 10 13 16 10 7 11 16 52 53 18 17 9 14 9 64 7 11 56 12 12 7 30 8 9 0 18 13 14 12 11 11 7 29
"quiet" 13 11 3 4 12 16 10 8 13 11 2 12 14 34 36 7 22 7 7 6 52 7 7 35 13 7 6 21 9 7 18 0 7 12 17 9 16 7 23
"rich" 6 5 3 8 10 8 7 4 8 4 3 6 4 25 31 6 9 5 6 3 28 3 3 26 5 6 4 13 2 3 13 7 0 10 3 7 8 3 19
"short" 24 11 11 20 20 19 9 15 18 16 11 8 25 66 74 4 29 18 9 12 88 8 14 67 18 11 7 32 6 13 14 12 10 0 21 12 16 8 50
"strange" 12 8 7 6 11 13 7 5 16 7 4 6 13 33 45 6 13 8 7 8 53 10 9 43 10 5 1 21 4 8 12 17 3 21 0 8 11 8 33
"strong" 10 10 10 1 14 11 5 14 13 5 7 8 12 36 41 8 15 13 14 9 47 5 8 38 15 4 5 22 6 6 11 9 7 12 8 0 10 12 30
"sweet" 10 7 3 7 15 11 5 7 11 11 5 11 14 39 37 4 20 11 10 12 46 6 8 33 12 3 8 23 7 6 11 16 8 16 11 10 0 8 33
"weak" 5 1 4 4 6 9 4 8 9 3 4 5 14 24 29 2 8 7 5 8 33 4 3 31 11 3 4 15 5 4 7 7 3 8 8 12 8 0 25
"young" 38 27 14 24 35 33 13 28 34 21 21 23 48 119 129 13 48 33 31 22 156 16 27 122 31 12 17 64 16 18 29 23 19 50 33 30 33 25 0
