"active" "affectionate" "agreeable" "alone" "anxious" "beautiful" "bitter" "blind" "bright" "busy" "calm" "capable" "certain" "cheerful" "childish" "cold" "confused" "dangerous" "delighted" "delightful" "devoted" "evil" "excellent" "expressive" "fair" "familiar" "fine" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "hard" "harmless" "helpless" "ignorant" "impatient" "innocent" "interesting" "kind" "little" "lively" "loud" "lovely" "natural" "nervous" "old" "open" "peaceful" "pleasant" "pleased" "poor" "powerful" "rich" "rude" "sad" "satisfied" "short" "strange" "strong" "surprised" "sweet" "terrible" "thin" "unhappy" "violent" "warm" "weak" "well" "wonderful" "young" "worthy"
"active" 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 2 1 1 0 0 1 0 0 1 0 0 1 0 0 3 0 0 2 0 0 1 0 0 2 0 2 0 0 1 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 1
"affectionate" 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 1 2 2 1 2 0 1 1 0 0 0 1 1 1 0 0 3 1 0 1 0 0 2 0 0 1 0 2 1 0 1 1 1 0 2 0 1 1 0 0 2 0 1 0 0 2 2 0
"agreeable" 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 3 2 0 0 0 0 0 0 0 0 4 0 0 1 0 0 1 1 0 2 0 0 0 0 0 1 1 2 1 0 0 0 0 0 1 0 2 0 0 0 1 0
"alone" 0 1 0 0 1 3 6 3 0 2 1 2 0 0 0 3 0 0 0 0 3 0 3 1 0 1 0 1 2 2 2 4 0 4 5 1 0 1 2 1 2 1 0 3 0 0 4 2 0 1 1 2 0 0 3 3 1 1 0 3 0 2 0 0 2 2 0 1 0 0 1 1 1 0 1
"anxious" 0 1 0 1 0 1 1 0 0 2 2 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 3 0 0 0 1 1 3 1 0 0 0 1 1 1 0 1 3 0 0 2 1 0 2 2 1 0 2 2 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 1 2 1
"beautiful" 0 0 1 3 1 0 2 2 1 1 2 3 1 3 1 2 1 1 1 0 2 1 3 1 5 1 1 0 0 4 1 4 0 7 7 1 0 0 0 0 1 0 0 4 0 0 7 2 0 6 1 2 2 2 5 1 2 1 4 0 2 3 0 1 4 2 2 2 3 0 0 1 3 2 1
"bitter" 0 0 0 6 1 2 0 3 0 2 1 5 0 0 0 5 1 0 0 0 3 2 3 1 2 0 0 0 3 4 1 4 1 8 6 1 1 2 2 0 5 0 2 3 0 1 3 2 0 2 1 1 0 0 6 2 0 1 2 2 2 2 0 0 1 0 0 1 0 2 1 2 2 1 1
"blind" 1 1 0 3 0 2 3 0 1 0 0 1 0 3 0 1 0 0 0 1 2 1 3 0 1 2 0 0 2 4 1 6 1 4 4 0 2 0 2 0 1 0 1 6 1 1 4 0 0 5 0 1 1 0 3 1 1 2 1 0 0 2 1 0 1 1 0 3 0 0 0 0 2 1 0
"bright" 1 0 1 0 0 1 0 1 0 1 2 1 0 2 1 1 1 0 2 0 1 0 0 0 1 2 0 1 0 3 1 0 0 1 3 0 0 1 0 0 0 0 0 5 0 0 3 1 0 0 0 1 1 0 3 0 0 0 0 1 2 1 1 1 3 0 0 3 2 1 0 0 0 2 0
"busy" 0 0 0 2 2 1 2 0 1 0 2 3 0 0 1 1 2 0 1 0 1 0 1 0 0 0 0 2 0 1 0 2 0 3 1 0 0 1 0 1 0 1 0 1 0 0 2 2 1 0 3 2 0 0 1 0 0 0 0 2 1 2 0 0 1 1 0 0 1 0 1 0 1 1 1
