"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "capable" "certain" "charming" "cheerful" "cold" "comfortable" "delighted" "delightful" "determined" "disappointed" "eager" "excellent" "extraordinary" "fair" "fine" "foolish" "gentle" "glad" "good" "great" "handsome" "happy" "honest" "ignorant" "impatient" "important" "interesting" "kind" "little" "natural" "old" "open" "plain" "pleasant" "pleased" "pleasing" "poor" "positive" "pretty" "private" "proper" "quiet" "remarkable" "rich" "satisfied" "secure" "sensible" "short" "strange" "strong" "stupid" "surprised" "sweet" "tired" "uncomfortable" "warm" "young"
"affectionate" 0 1 0 0 0 2 2 0 2 1 2 1 2 2 2 0 2 1 0 3 0 0 1 2 1 0 3 9 7 2 6 1 2 0 2 3 2 7 2 3 2 0 1 1 1 6 1 1 1 0 1 2 1 4 0 3 5 3 2 2 0 1 3 1 2 6
"afraid" 1 0 4 1 1 2 4 0 3 1 0 1 0 1 0 2 6 2 2 0 3 4 2 5 0 1 5 13 11 4 4 0 1 1 1 2 2 10 2 5 4 2 2 4 2 5 0 1 0 2 0 1 1 1 0 0 5 3 4 2 6 2 2 2 3 12
"agreeable" 0 4 0 0 2 3 1 3 1 0 1 4 0 0 2 1 4 0 4 0 2 2 3 4 0 2 5 11 13 3 6 0 1 2 0 0 1 14 2 5 1 2 3 2 2 3 1 1 2 1 1 0 2 0 0 0 6 2 1 0 1 1 3 4 0 11
"alone" 0 1 0 0 2 2 2 0 1 0 1 1 1 0 1 0 0 0 0 3 0 2 0 5 1 0 4 4 3 1 3 0 0 1 0 1 1 4 1 2 2 0 1 2 0 1 1 2 0 1 1 1 0 1 1 2 0 1 0 0 2 2 0 0 1 3
"angry" 0 1 2 2 0 3 1 0 0 0 2 0 0 1 0 1 2 0 0 3 0 1 0 4 1 0 3 6 7 1 3 0 0 2 1 0 3 4 2 4 3 0 3 2 0 2 1 3 1 2 0 0 2 0 2 1 2 2 0 0 1 2 0 1 0 3
"anxious" 2 2 3 2 3 0 2 2 2 2 1 3 0 2 4 0 3 2 2 2 2 1 5 7 1 2 3 7 10 3 6 0 0 2 0 0 3 10 2 4 4 0 2 2 1 3 2 2 2 1 3 0 2 2 1 0 6 5 1 0 2 3 1 2 0 7
"ashamed" 2 4 1 2 1 2 0 2 3 1 1 2 0 1 1 1 2 0 1 1 2 1 3 5 1 2 4 7 6 1 6 1 1 2 0 2 4 8 1 4 2 1 2 1 1 4 0 2 1 0 2 2 1 4 1 2 5 0 1 3 4 2 2 1 1 6
"bad" 0 0 3 0 0 2 2 0 1 1 1 3 1 0 3 0 1 1 1 0 3 2 1 4 1 2 1 6 6 3 4 2 0 1 1 1 2 7 0 4 0 2 0 0 0 2 0 2 1 0 0 1 1 0 2 0 5 2 1 1 1 0 2 0 0 4
"beautiful" 2 3 1 1 0 2 3 1 0 2 2 3 1 1 1 1 5 1 1 2 1 0 3 7 1 2 3 7 9 2 6 0 1 2 0 2 0 7 1 4 3 0 2 3 0 3 2 2 1 1 1 3 2 2 0 1 4 0 2 2 2 1 2 0 3 9
"capable" 1 1 0 0 0 2 1 1 2 0 1 1 1 0 2 0 2 0 0 1 0 0 0 3 0 0 0 4 4 1 2 0 1 2 1 1 0 2 0 1 2 0 0 1 1 1 1 2 0 1 1 2 0 1 0 1 2 2 0 0 2 1 0 0 1 2
