"" "adam::moment" "alexandre_manette::poor" "antoine::fraternal" "antoine::hear" "antoine::poor" "antoine::speck" "antoine::suburb" "antoine::weary" "attorney-general::hands" "attorney-general::nor" "bailey::hands" "barsad::acknowledged" "barsad::antecedents" "barsad::having" "beauvais::whom" "blacksmith::shaded" "brutus::followers" "brutus::sign" "brutus::workman" "carton::consideration" "carton::having" "carton::moment" "carton::nostrils" "carton::poor" "carton::separate" "carton::touched" "charles_darnay::absence" "charles_darnay::carriage" "charles_darnay::ever" "charles_darnay::hands" "charles_darnay::having" "charles_darnay::hear" "charles_darnay::moment" "charles_darnay::noise" "charles_darnay::nor" "charles_darnay::round" "charles_darnay::surprised" "charles_darnay::urgent" "charles_evremonde::bloated" "charles_evremonde::length" "charles_evremonde::whom" "charles::consideration" "charles::hands" "charles::poor" "charles::square" "cinderella::garden" "cinderella::pleased" "cly::touched" "cruncher::#-assist" "cruncher::#-hear" "cruncher::added" "cruncher::conceited" "cruncher::ever" "cruncher::felicity" "cruncher::hands" "cruncher::length" "cruncher::perceived" "cruncher::pleased" "cruncher::round" "cruncher::separate" "cruncher::touched" "cruncher::whom" "cruncher::workman" "damiens::quality" "darnay::circumstances" "darnay::hear" "darnay::touched" "darnay::whom" "darnay::wig" "defarge::certain" "defarge::moment" "defarge::round" "defarge::sprung" "defarge::whom" "foulon::grow" "gabelle::impatient" "gaul::garden" "george_washington::added" "george::hands" "jacques_one::separate" "jacques_three::sprung" "jacques::certain" "jacques::having" "jerry_cruncher::whom" "jerry::chin" "jerry::consideration" "jerry::consultation" "jerry::dress" "jerry::ghost" "jerry::mistrust" "joe_joe::hear" "joe::hear" "lorry::added" "lorry::advised" "lorry::affectionately" "lorry::attentively" "lorry::bench" "lorry::besides" "lorry::carriage" "lorry::charge" "lorry::closing" "lorry::consideration" "lorry::crime" "lorry::dress" "lorry::employment" "lorry::ever" "lorry::exceedingly" "lorry::forbearance" "lorry::gradually" "lorry::hands" "lorry::having" "lorry::length" "lorry::moment" "lorry::round" "lorry::shoe" "lorry::stopped" "lorry::surprised" "lorry::traces" "lorry::whom" "lorry::wild" "lorry::write" "lucie_manette::ever" "lucie_manette::round" "lucie::advised" "lucie::around" "lucie::dress" "lucie::fitful" "lucie::gradually" "lucie::growing" "lucie::having" "lucie::moment" "lucie::noise" "lucie::poor" "lucie::quality" "lucie::surprised" "madame_defarge::apparent" "madame_defarge::bruised" "madame_defarge::certain" "madame_defarge::climbed" "madame_defarge::consultation" "madame_defarge::contents" "madame_defarge::dress" "madame_defarge::ever" "madame_defarge::freedom" "madame_defarge::gradually" "madame_defarge::hands" "madame_defarge::having" "madame_defarge::knots" "madame_defarge::round" "manette::anew" "manette::apparent" "manette::attentively" "manette::employment" "manette::having" "manette::round" "manette::wig" "manette::yourself" "marquis::crime" "miss_manette::poor" "miss_pross::hands" "monsieur_defarge::hands" "monsieur_defarge::round" "monsieur_gabelle::moment" "monsieur_orleans::dress" "monsieur_the_marquis::#-noise" "monsieur_the_marquis::broad" "monsieur_the_marquis::carriage" "monsieur_the_marquis::enchanted" "monsieur_the_marquis::speck" "pross::charge" "pross::consideration" "pross::crime" "pross::dined" "pross::ever" "pross::hands" "pross::having" "pross::imaginary" "pross::nor" "pross::referring" "pross::whom" "solomon::consideration" "stryver::eagles" "tellson::bars" "tellson::having" "tellson::passenger" "young_jerry::discharge" "young_jerry::duty" "young_jerry::perform" "adam::wig" "defarge::poor" "madame_defarge::fraternal" "antoine::mad" "gaspard::poor" "monsieur_the_marquis::weary" "defarge::suburb" "jerry::hands" "jerry::nor" "pross::acknowledged" "barsad::yourself" "manette::whom" "lorry::shaded" "solomon::followers" "brutus::stopped" "pross::workman" "lorry::touched" "carton::round" "darnay::poor" "charles_darnay::separate" "manette::absence" "lucie_manette::carriage" "charles_darnay::suggest" "charles_darnay::responsibility" "lewis::having" "manette::hear" "pross::moment" "pross::noise" "stryver::round" "pross::surprised" "manette::urgent" "darnay::bloated" "darnay::length" "darnay::hands" "charles::sign" "lorry::square" "gaul::pleased" "jerry::touched" "cruncher::closing" "pross::#-hear" "cruncher::neighbour" "jerry::added" "cruncher::prayers" "cruncher::poor" "pross::felicity" "roger_cly::length" "lorry::perceived" "pross::pleased" "pross::round" "pross::separate" "jacques::quality" "manette::circumstances" "darnay::heard" "stryver::touched" "stryver::whom" "lorry::wig" "monsieur::moment" "defarge::stopped" "madame_defarge::sprung" "rend_foulon::grow" "monsieur_gabelle::impatient" "george::added" "tellson::hands" "jacques_three::separate" "saint_antoine::having" "lorry::chin" "solomon::consultation" "jerry::yourself" "jerry::ghosts" "lorry::mistrust" "tom::hear" "tellson::advised" "manette::affectionately" "manette::hands" "monsieur_defarge::bench" "pross::bench" "monsieur_defarge::besides" "lorry::yourself" "monsieur_defarge::closing" "solomon::whom" "pross::traces" "lucie::round" "lorry::growing" "madame_defarge::whom" "stryver::forbearance" "lorry::sought" "monsieur_defarge::wild" "manette::moment" "tellson::stopped" "manette::length" "monsieur_defarge::stopped" "tellson::round" "monsieur_manette::shoe" "manette::write" "manette::ever" "lucie::populace" "madame_defarge::around" "madame_defarge::poor" "pross::fitful" "pross::gradually" "lucie::hands" "stryver::quality" "madame_defarge::hauled" "madame_defarge::expressions" "madame_defarge::separate" "madame_defarge::supple" "madame_defarge::moment" "miss_pross::round" "manette::mad" "manette::fitfully" "tellson::wig" "stryver::yourself" "monsieur::crime" "miss_manette::spite" "monsieur_gabelle::roast" "monsieur_paris::dress" "monsieur_the_marquis::refined" "monsieur_the_marquis::stopped" "solomon::ever" "solomon::hands" "pross::write" "solomon::nor" "stryver::sprinkling" "tellson::obstinacy" "tellson::stroke" "young_jerry::touched"
"adam::moment" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"alexandre_manette::poor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::fraternal" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::hear" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::poor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::speck" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::suburb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"antoine::weary" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"attorney-general::hands" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"attorney-general::nor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
