"anne_page::which";"hugh_evans::which"
"anne_page::possess";"hugh_evans::possess"
"anne_page::indiscretion";"hugh_evans::indiscretion"
"anne_page::about";"hugh_evans::about"
"john_willet::spirit";"john_willet::which"
"john_willet::unquestionably";"john_willet::which"
"willet::#-affected";"willet::glow"
"john::about";"john::you"
"john::affected";"john::likewise"
"john::about";"john::like"
"john::about";"john::remark"
"john::about";"john::which"
"john::like";"john::remark"
"john::like";"john::which"
"john::remark";"john::which"
"joe::mile";"joe::which"
"haredale::fretfully";"haredale::you"
"king_george::which";"king_george::you"
"joe::you";"long_parkes::you"
"joe::you";"joe::your"
"joe::rather";"parkes::rather"
"joe::end";"parkes::end"
"john_willet::like";"john_willet::rather"
"john_willet::like";"natur::like"
"john_willet::like";"natur::rather"
"john_willet::rather";"natur::like"
"john_willet::rather";"natur::rather"
"natur::like";"natur::rather"
"geoffrey::better";"geoffrey::like"
"geoffrey::better";"geoffrey::which"
"geoffrey::better";"geoffrey::you"
"geoffrey::better";"joe::better"
"geoffrey::better";"joe::like"
"geoffrey::better";"joe::which"
"geoffrey::better";"joe::you"
"geoffrey::better";"reuben_haredale::better"
"geoffrey::better";"reuben_haredale::like"
"geoffrey::better";"reuben_haredale::which"
"geoffrey::better";"reuben_haredale::you"
"geoffrey::better";"solomon::better"
"geoffrey::better";"solomon::like"
"geoffrey::better";"solomon::which"
"geoffrey::better";"solomon::you"
"geoffrey::better";"warren::better"
"geoffrey::better";"warren::like"
"geoffrey::better";"warren::which"
"geoffrey::better";"warren::you"
"geoffrey::like";"geoffrey::which"
"geoffrey::like";"geoffrey::you"
"geoffrey::like";"joe::better"
"geoffrey::like";"joe::like"
"geoffrey::like";"joe::which"
"geoffrey::like";"joe::you"
"geoffrey::like";"reuben_haredale::better"
"geoffrey::like";"reuben_haredale::like"
"geoffrey::like";"reuben_haredale::which"
"geoffrey::like";"reuben_haredale::you"
"geoffrey::like";"solomon::better"
"geoffrey::like";"solomon::like"
"geoffrey::like";"solomon::which"
"geoffrey::like";"solomon::you"
"geoffrey::like";"warren::better"
"geoffrey::like";"warren::like"
"geoffrey::like";"warren::which"
"geoffrey::like";"warren::you"
"geoffrey::which";"geoffrey::you"
"geoffrey::which";"joe::better"
"geoffrey::which";"joe::like"
"geoffrey::which";"joe::which"
"geoffrey::which";"joe::you"
"geoffrey::which";"reuben_haredale::better"
"geoffrey::which";"reuben_haredale::like"
"geoffrey::which";"reuben_haredale::which"
"geoffrey::which";"reuben_haredale::you"
"geoffrey::which";"solomon::better"
"geoffrey::which";"solomon::like"
"geoffrey::which";"solomon::which"
"geoffrey::which";"solomon::you"
"geoffrey::which";"warren::better"
"geoffrey::which";"warren::like"
"geoffrey::which";"warren::which"
"geoffrey::which";"warren::you"
"geoffrey::you";"joe::better"
"geoffrey::you";"joe::like"
"geoffrey::you";"joe::which"
"geoffrey::you";"joe::you"
"geoffrey::you";"reuben_haredale::better"
"geoffrey::you";"reuben_haredale::like"
"geoffrey::you";"reuben_haredale::which"
"geoffrey::you";"reuben_haredale::you"
"geoffrey::you";"solomon::better"
"geoffrey::you";"solomon::like"
"geoffrey::you";"solomon::which"
"geoffrey::you";"solomon::you"
"geoffrey::you";"warren::better"
"geoffrey::you";"warren::like"
"geoffrey::you";"warren::which"
"geoffrey::you";"warren::you"
"joe::better";"joe::like"
"joe::better";"joe::which"
"joe::better";"joe::you"
"joe::better";"reuben_haredale::better"
"joe::better";"reuben_haredale::like"
"joe::better";"reuben_haredale::which"
"joe::better";"reuben_haredale::you"
"joe::better";"solomon::better"
"joe::better";"solomon::like"
"joe::better";"solomon::which"
"joe::better";"solomon::you"
"joe::better";"warren::better"
"joe::better";"warren::like"
"joe::better";"warren::which"
"joe::better";"warren::you"
"joe::like";"joe::which"
"joe::like";"joe::you"
"joe::like";"reuben_haredale::better"
"joe::like";"reuben_haredale::like"
"joe::like";"reuben_haredale::which"
