"maria_ward::match";"thomas_bertram::match"
"maria::elevation";"maria::predict"
"maria::elevation";"ward::elevation"
"maria::elevation";"ward::predict"
"maria::predict";"ward::elevation"
"maria::predict";"ward::predict"
"ward::elevation";"ward::predict"
"frances::worse";"norris::worse"
"norris::came";"norris::match"
"norris::came";"norris::was"
"norris::came";"thomas::came"
"norris::came";"thomas::match"
"norris::came";"thomas::was"
"norris::came";"ward::came"
"norris::came";"ward::match"
"norris::came";"ward::was"
"norris::match";"norris::was"
"norris::match";"thomas::came"
"norris::match";"thomas::match"
"norris::match";"thomas::was"
"norris::match";"ward::came"
"norris::match";"ward::match"
"norris::match";"ward::was"
"norris::was";"thomas::came"
"norris::was";"thomas::match"
"norris::was";"thomas::was"
"norris::was";"ward::came"
"norris::was";"ward::match"
"norris::was";"ward::was"
"thomas::came";"thomas::match"
"thomas::came";"thomas::was"
"thomas::came";"ward::came"
"thomas::came";"ward::match"
"thomas::came";"ward::was"
"thomas::match";"thomas::was"
"thomas::match";"ward::came"
"thomas::match";"ward::match"
"thomas::match";"ward::was"
"thomas::was";"ward::came"
"thomas::was";"ward::match"
"thomas::was";"ward::was"
"ward::came";"ward::match"
"ward::came";"ward::was"
"ward::match";"ward::was"
"lady_bertram::devise";"lady_bertram::him"
"lady_bertram::devise";"lady_bertram::was"
"lady_bertram::devise";"lady_bertram::were"
"lady_bertram::devise";"thomas_bertram::devise"
"lady_bertram::devise";"thomas_bertram::him"
"lady_bertram::devise";"thomas_bertram::was"
"lady_bertram::devise";"thomas_bertram::were"
"lady_bertram::him";"lady_bertram::was"
"lady_bertram::him";"lady_bertram::were"
"lady_bertram::him";"thomas_bertram::devise"
"lady_bertram::him";"thomas_bertram::him"
"lady_bertram::him";"thomas_bertram::was"
"lady_bertram::him";"thomas_bertram::were"
"lady_bertram::was";"lady_bertram::were"
"lady_bertram::was";"thomas_bertram::devise"
"lady_bertram::was";"thomas_bertram::him"
"lady_bertram::was";"thomas_bertram::was"
"lady_bertram::was";"thomas_bertram::were"
"lady_bertram::were";"thomas_bertram::devise"
"lady_bertram::were";"thomas_bertram::him"
"lady_bertram::were";"thomas_bertram::was"
"lady_bertram::were";"thomas_bertram::were"
"thomas_bertram::devise";"thomas_bertram::him"
"thomas_bertram::devise";"thomas_bertram::was"
"thomas_bertram::devise";"thomas_bertram::were"
"thomas_bertram::him";"thomas_bertram::was"
"thomas_bertram::him";"thomas_bertram::were"
"thomas_bertram::was";"thomas_bertram::were"
"lady_bertram::consequences";"lady_bertram::herself"
"lady_bertram::consequences";"lady_bertram::ill"
"lady_bertram::consequences";"lady_bertram::matter"
"lady_bertram::consequences";"lady_bertram::was"
"lady_bertram::consequences";"lady_bertram::who"
"lady_bertram::consequences";"lady_bertram::woman"
"lady_bertram::consequences";"norris::consequences"
"lady_bertram::consequences";"norris::herself"
"lady_bertram::consequences";"norris::ill"
"lady_bertram::consequences";"norris::matter"
"lady_bertram::consequences";"norris::was"
"lady_bertram::consequences";"norris::who"
"lady_bertram::consequences";"norris::woman"
"lady_bertram::herself";"lady_bertram::ill"
"lady_bertram::herself";"lady_bertram::matter"
"lady_bertram::herself";"lady_bertram::was"
"lady_bertram::herself";"lady_bertram::who"
"lady_bertram::herself";"lady_bertram::woman"
"lady_bertram::herself";"norris::consequences"
"lady_bertram::herself";"norris::herself"
"lady_bertram::herself";"norris::ill"
