"thomas_--_thomas_gradgrind::measure";"thomas_gradgrind::measure"
"sleary::breath";"sleary::who"
"gradgrind::who";"thquire::who"
"josephine::who";"sissy_jupe::who"
"bounderby::communicated";"sleary::communicated"
"bounderby::subject";"gradgrind::subject"
"emma_gordon::thithter";"joth::thithter"
"gradgrind::speech";"gradgrind::who"
"gradgrind::speech";"jupe::speech"
"gradgrind::speech";"jupe::who"
"gradgrind::who";"jupe::speech"
"gradgrind::who";"jupe::who"
"jupe::speech";"jupe::who"
"gradgrind::breath";"gradgrind::company"
"gradgrind::breath";"jupe::breath"
"gradgrind::breath";"jupe::company"
"gradgrind::company";"jupe::breath"
"gradgrind::company";"jupe::company"
"jupe::breath";"jupe::company"
"gradgrind::company";"gradgrind::thecond"
"cecilia::voices";"sissy::voices"
"cecilia::must";"sissy::must"
"bounderby::triumph";"sparsit::triumph"
"bounderby::captivated";"bounderby::making"
"bounderby::captivated";"sparsit::captivated"
"bounderby::captivated";"sparsit::making"
"bounderby::making";"sparsit::captivated"
"bounderby::making";"sparsit::making"
"sparsit::captivated";"sparsit::making"
"bounderby::could";"sparsit::could"
"sparsit::measure";"sparsit::path"
"an_englishman::castle";"john_bull::castle"
"sparsit::breath";"sparsit::company"
"bounderby::must";"sparsit::must"
"bounderby::must";"thomas::must"
"bounderby::must";"tom_gradgrind::must"
"sparsit::must";"thomas::must"
"sparsit::must";"tom_gradgrind::must"
"thomas::must";"tom_gradgrind::must"
"bounderby::blaze";"sparsit::blaze"
"bounderby::suggests";"sparsit::suggests"
"bounderby::suggests";"tom_gradgrind::suggests"
"sparsit::suggests";"tom_gradgrind::suggests"
"gradgrind::who";"sissy::who"
"gradgrind::proceeded";"gradgrind::who"
"gradgrind::proceeded";"louisa::proceeded"
"gradgrind::proceeded";"louisa::who"
"gradgrind::who";"louisa::proceeded"
"gradgrind::who";"louisa::who"
"louisa::proceeded";"louisa::who"
"gradgrind::looked";"jupe::looked"
"gradgrind::looked";"louisa::looked"
"jupe::looked";"louisa::looked"
"tom::collect";"tom::could"
"tom::collect";"tom::who"
"tom::could";"tom::who"
"bounderby::old";"tom::old"
"tom::looked";"tom::round"
"gradgrind::since";"gradgrind::who"
"gradgrind::since";"louisa::since"
"gradgrind::since";"louisa::who"
"gradgrind::since";"tom::since"
"gradgrind::since";"tom::who"
"gradgrind::who";"louisa::since"
"gradgrind::who";"tom::since"
"gradgrind::who";"tom::who"
"louisa::since";"louisa::who"
"louisa::since";"tom::since"
"louisa::since";"tom::who"
"louisa::who";"tom::since"
"louisa::who";"tom::who"
"tom::since";"tom::who"
"louisa::could";"tom::could"
"gradgrind::energetic";"gradgrind::rendered"
"gradgrind::run";"mchoakumchild::run"
"gradgrind::clung";"jupe::clung"
"louisa_louisa::clearer";"louisa_louisa::thing"
"louisa_louisa::clearer";"louisa::clearer"
"louisa_louisa::clearer";"louisa::thing"
"louisa_louisa::thing";"louisa::clearer"
"louisa_louisa::thing";"louisa::thing"
"louisa::clearer";"louisa::thing"
"louisa::whether";"sissy::whether"
"louisa::must";"mchoakumchild::must"
"sissy::contrition";"sissy::who"
"louisa::astray";"louisa::peculiar"
"louisa::astray";"louisa::terrible"
"louisa::astray";"sissy::astray"
"louisa::astray";"sissy::peculiar"
"louisa::astray";"sissy::terrible"
"louisa::peculiar";"louisa::terrible"
"louisa::peculiar";"sissy::astray"
"louisa::peculiar";"sissy::peculiar"
"louisa::peculiar";"sissy::terrible"
"louisa::terrible";"sissy::astray"
"louisa::terrible";"sissy::peculiar"
"louisa::terrible";"sissy::terrible"
"sissy::astray";"sissy::peculiar"
"sissy::astray";"sissy::terrible"
"sissy::peculiar";"sissy::terrible"
"louisa::covering";"louisa::sobbing"
"louisa::covering";"sissy::covering"
"louisa::covering";"sissy::sobbing"
"louisa::sobbing";"sissy::covering"
"louisa::sobbing";"sissy::sobbing"
"sissy::covering";"sissy::sobbing"
"tom::#-savouring";"tom::coolness"
"sissy::company";"sissy::looked"
"bounderby::old";"bounderby::remonstrated"
"bounderby::old";"tom::remonstrated"
"bounderby::remonstrated";"tom::old"
"bounderby::remonstrated";"tom::remonstrated"
"tom::old";"tom::remonstrated"
"gradgrind::breath";"sleary::breath"
"bounderby::old";"sleary::old"
"sleary::old";"tom::old"
"gradgrind::trembling";"jupe::trembling"
"gradgrind::trembling";"louisa::trembling"
"gradgrind::trembling";"sissy::trembling"
"jupe::trembling";"louisa::trembling"
"jupe::trembling";"sissy::trembling"
"louisa::trembling";"sissy::trembling"
"gradgrind::remonstrated";"jupe::remonstrated"
"gradgrind::could";"jupe::could"
"gradgrind::must";"jupe::must"
"gradgrind::subject";"jupe::subject"
"stephen_blackpool::bricked";"stephen_blackpool::courts"
"stephen_blackpool::bricked";"stephen_blackpool::shapes"
"stephen_blackpool::bricked";"stephen_blackpool::who"
"stephen_blackpool::courts";"stephen_blackpool::shapes"
"stephen_blackpool::courts";"stephen_blackpool::who"
"stephen_blackpool::shapes";"stephen_blackpool::who"
"stephen::remarkable";"stephen::who"
"rachael::neither";"stephen::neither"
"rachael::arm";"rachael::laid"
"rachael::arm";"stephen::arm"
"rachael::arm";"stephen::laid"
"rachael::laid";"stephen::arm"
"rachael::laid";"stephen::laid"
"stephen::arm";"stephen::laid"
"rachael::old";"stephen::old"
"stephen::crashing";"stephen::laboured"
"bounderby::arm";"bounderby::held"
"bounderby::arm";"bounderby::right"
"bounderby::held";"bounderby::right"
"harry::deep";"stephen::deep"
"stephen::arm";"stephen::touch"
"stephen::#-touch";"stephen::could"
"stephen::held";"stephen::old"
"stephen::looked";"stephen::must"
"weaver::breath";"weaver::suspended"
"stephen::could";"stephen::laid"
"mrs_blackpool::looked";"mrs_blackpool::right"
"mrs_blackpool::looked";"rachael::looked"
"mrs_blackpool::looked";"rachael::right"
"mrs_blackpool::right";"rachael::looked"
"mrs_blackpool::right";"rachael::right"
"rachael::looked";"rachael::right"
"mrs_blackpool::moving";"mrs_blackpool::softly"
"stephen::looked";"stephen::red"
"bounderby::period";"gradgrind::period"
"bounderby::period";"thomas::period"
"gradgrind::period";"thomas::period"
"gradgrind::engrossed";"gradgrind::subject"
"louisa::apartment";"louisa::looked"
"bounderby::touch";"tom::touch"
"tom::could";"tom::making"
"bounderby::same";"louisa::same"
"bounderby::fifty";"bounderby::round"
"louisa::cunning";"louisa::must"
"bounderby::who";"gradgrind::who"
"gradgrind::must";"louisa::must"
"gradgrind::remarkable";"louisa::remarkable"
"bounderby::looked";"gradgrind::looked"
"bounderby::looked";"louisa::looked"
"bounderby::looked";"sissy::looked"
"gradgrind::looked";"sissy::looked"
"louisa::looked";"sissy::looked"
"bounderby::occasioned";"sparsit::occasioned"
"bounderby::must";"lady_scadgers::must"
"bounderby::who";"george::who"
"bounderby::looked";"bounderby::minutes"
"bounderby::laid";"sparsit::laid"
"bounderby::confound";"bounderby::could"
"bounderby::confound";"bounderby::right"
"bounderby::confound";"bounderby::tone"
"bounderby::confound";"bounderby::who"
"bounderby::confound";"sparsit::confound"
"bounderby::confound";"sparsit::could"
"bounderby::confound";"sparsit::right"
