"coiler::aristocratic";"pocket::aristocratic"
"drummle::snaky";"startop::snaky"
"flopson::taken";"jane::taken"
"belinda::#-taken";"belinda::ears"
"belinda::#-taken";"belinda::just"
"belinda::#-taken";"matthew::#-taken"
"belinda::#-taken";"matthew::ears"
"belinda::#-taken";"matthew::just"
"belinda::#-taken";"pocket::#-taken"
"belinda::#-taken";"pocket::ears"
"belinda::#-taken";"pocket::just"
"belinda::ears";"belinda::just"
"belinda::ears";"matthew::#-taken"
"belinda::ears";"matthew::ears"
"belinda::ears";"matthew::just"
"belinda::ears";"pocket::#-taken"
"belinda::ears";"pocket::ears"
"belinda::ears";"pocket::just"
"belinda::just";"matthew::#-taken"
"belinda::just";"matthew::ears"
"belinda::just";"matthew::just"
"belinda::just";"pocket::#-taken"
"belinda::just";"pocket::ears"
"belinda::just";"pocket::just"
"matthew::#-taken";"matthew::ears"
"matthew::#-taken";"matthew::just"
"matthew::#-taken";"pocket::#-taken"
"matthew::#-taken";"pocket::ears"
"matthew::#-taken";"pocket::just"
"matthew::ears";"matthew::just"
"matthew::ears";"pocket::#-taken"
"matthew::ears";"pocket::ears"
"matthew::ears";"pocket::just"
"matthew::just";"pocket::#-taken"
"matthew::just";"pocket::ears"
"matthew::just";"pocket::just"
"pocket::#-taken";"pocket::ears"
"pocket::#-taken";"pocket::just"
"pocket::ears";"pocket::just"
"barnard::occurred";"herbert::occurred"
"pocket::taken";"pocket::urged"
"pip::#-sort";"pip::game"
"drummle::lower";"herbert::lower"
"drummle::despised";"drummle::faces"
"pip::drop";"pip::ears"
"gargery::allowed";"wopsle::allowed"
"drummle::father";"herbert::father"
"herbert::entered";"joe::entered"
"joe::extreme";"joe::intervals"
"joe::extreme";"joe::resting"
"joe::intervals";"joe::resting"
"joe::fully";"pip::fully"
"joe::workingman";"joseph::workingman"
"joe::workingman";"pip::workingman"
"joe::workingman";"pumblechook::workingman"
"joseph::workingman";"pip::workingman"
"joseph::workingman";"pumblechook::workingman"
"pip::workingman";"pumblechook::workingman"
"tooby::dirty";"tooby::magic"
"esquimaux::met";"pumblechook::met"
"estella::attributes";"estella::taken"
"havisham::grimly";"havisham::heard"
"havisham::grimly";"havisham::repeated"
"havisham::grimly";"pip::grimly"
"havisham::grimly";"pip::heard"
"havisham::grimly";"pip::repeated"
"havisham::heard";"havisham::repeated"
"havisham::heard";"pip::grimly"
"havisham::heard";"pip::heard"
"havisham::heard";"pip::repeated"
"havisham::repeated";"pip::grimly"
"havisham::repeated";"pip::heard"
"havisham::repeated";"pip::repeated"
"pip::grimly";"pip::heard"
"pip::grimly";"pip::repeated"
"pip::heard";"pip::repeated"
"estella::near";"herbert::near"
"trabb::lower";"trabb::recompense"
"barnard::penitential";"joe::penitential"
"estella::fender";"handel::fender"
"handel::enough";"handel::grave"
"herbert::confidence";"herbert::reputation"
"herbert::confidence";"wopsle::confidence"
"herbert::confidence";"wopsle::reputation"
"herbert::reputation";"wopsle::confidence"
"herbert::reputation";"wopsle::reputation"
"wopsle::confidence";"wopsle::reputation"
"ophelia::madness";"ophelia::taken"
"barnard::inasmuch";"herbert::inasmuch"
"havisham::needed";"havisham::winning"
"camilla::partners";"havisham::partners"
"camilla::partners";"joe::partners"
"havisham::partners";"joe::partners"
"bentley_drummle::floundering";"finch::floundering"
"bentley_drummle::shot";"finch::shot"
"herbert::confidence";"herbert::taken"
"herbert::buying";"herbert::midnight"
"cobbs::bill";"nobbs::bill"
"biddy::near";"joe::near"
"joe::dreadfully";"joe::meantersay"
"joe::dreadfully";"trabb::dreadfully"
"joe::dreadfully";"trabb::meantersay"
"joe::meantersay";"trabb::dreadfully"
"joe::meantersay";"trabb::meantersay"
"trabb::dreadfully";"trabb::meantersay"
"biddy::faces";"hubble::faces"
"biddy::faces";"joe::faces"
"hubble::faces";"joe::faces"
"biddy::flush";"biddy::repeated"
"jaggers::#-negativing";"jaggers::faces"
"john::appliances";"skiffins::appliances"
"skiffins::sign";"wemmick::sign"
"herbert_pocket::met";"wemmick::met"
"herbert::rendered";"wemmick::rendered"
"skiffins::shadowy";"wemmick::shadowy"
"brandley::relations";"estella::relations"
"brandley::enough";"brandley::near"
"brandley::enough";"estella::enough"
"brandley::enough";"estella::near"
"brandley::near";"estella::enough"
"brandley::near";"estella::near"
"estella::enough";"estella::near"
"brandley::heard";"estella::heard"
"drummle::retorted";"estella::retorted"
"joe::rooms";"joe::taken"
"herbert::sort";"provis::sort"
"herbert::recalled";"provis::recalled"
"herbert::slop";"provis::slop"
"herbert::unconsciously";"provis::unconsciously"
"herbert::confess";"provis::confess"
"handel::repeated";"herbert::repeated"
"herbert::taken";"provis::taken"
"herbert::near";"provis::near"
"herbert::consider";"herbert::whether"
"bentley_drummle::measles";"bentley_drummle::taken"
"drummle::whether";"orlick::whether"
"drummle::#-entered";"drummle::whether"
"drummle::#-entered";"orlick::#-entered"
"drummle::#-entered";"orlick::whether"
"drummle::whether";"orlick::#-entered"
"orlick::#-entered";"orlick::whether"
"havisham::nodding";"pip::nodding"
"herbert::whether";"matthew_pocket::whether"
"camilla::contrasting";"miss_georgiana::contrasting"
"camilla::contrasting";"sarah_pocket::contrasting"
"miss_georgiana::contrasting";"sarah_pocket::contrasting"
"wemmick::heard";"wemmick::repeated"
"herbert::near";"jack::near"
"herbert::near";"richard::near"
"herbert::near";"tom::near"
"jack::near";"richard::near"
"jack::near";"tom::near"
"richard::near";"tom::near"
"herbert::taken";"jack::taken"
"herbert::taken";"richard::taken"
"herbert::taken";"tom::taken"
"jack::taken";"richard::taken"
"jack::taken";"tom::taken"
"richard::taken";"tom::taken"
"jack::reason";"richard::reason"
"jack::reason";"tom::reason"
"richard::reason";"tom::reason"
"handel::father";"herbert::father"
"clara_barley::father";"clara_barley::recalled"
"clara_barley::father";"herbert::father"
"clara_barley::father";"herbert::recalled"
"clara_barley::father";"whimple::father"
"clara_barley::father";"whimple::recalled"
"clara_barley::recalled";"herbert::father"
"clara_barley::recalled";"herbert::recalled"
"clara_barley::recalled";"whimple::father"
"clara_barley::recalled";"whimple::recalled"
"herbert::father";"herbert::recalled"
"herbert::father";"whimple::father"
"herbert::father";"whimple::recalled"
"herbert::recalled";"whimple::father"
"herbert::recalled";"whimple::recalled"
"whimple::father";"whimple::recalled"
"clara::winning";"herbert::winning"
"clara::heard";"clara::wooden"
"clara::heard";"herbert::heard"
"clara::heard";"herbert::wooden"
"clara::wooden";"herbert::heard"
"clara::wooden";"herbert::wooden"
"herbert::heard";"herbert::wooden"
"barley::rooms";"provis::rooms"
"barley::#-recall";"provis::#-recall"
"barley::fully";"provis::fully"
"herbert::whether";"wemmick::whether"
"wemmick::heard";"wemmick::just"
"herbert::whether";"provis::whether"
"campbell::taken";"clara::taken"
"campbell::taken";"whimple::taken"
"clara::taken";"whimple::taken"
"wopsle::connection";"wopsle::heard"
"jack::#-heard";"wopsle::#-heard"
"jaggers::grimly";"wemmick::grimly"
"estella::ears";"estella::priory"
"estella::awe";"estella::wooden"
"herbert::reason";"herbert::taken"
"herbert::#-merited";"herbert::reputation"
"herbert::#-merited";"jaggers::#-merited"
"herbert::#-merited";"jaggers::reputation"
"herbert::#-merited";"provis::#-merited"
"herbert::#-merited";"provis::reputation"
"herbert::reputation";"jaggers::#-merited"
"herbert::reputation";"jaggers::reputation"
"herbert::reputation";"provis::#-merited"
"herbert::reputation";"provis::reputation"
"jaggers::#-merited";"jaggers::reputation"
"jaggers::#-merited";"provis::#-merited"
"jaggers::#-merited";"provis::reputation"
"jaggers::reputation";"provis::#-merited"
