"MR1";"MR2";"MR8";"MR9";"MR4";"MR5";"MR3";"MR7";"MR6"
"#-beautiful";0.0573364600763157;-0.0802218894811165;0.0167614366139767;0.325041694314952;0.62313835566823;0.140448502698297;0.213136981184158;0.091885073378997;0.0741550821228981
"accustomed";0.425188916910798;0.111080699973824;0.486364699026769;0.505554214867034;0.103358784131492;0.0730540256637889;0.158169992053827;0.0864218843733999;0.0112718969682269
"adventure";-0.038980481520173;0.901704016459003;-0.0543091931923471;-0.033909836245764;-0.0167750725473413;-0.026765707597473;0.0320523986588622;0.057566611953433;-0.0449874096122533
"afraid";0.0705056101298942;-0.114607101344846;0.00592359297351805;-0.172352799457022;-0.0852153603500192;0.708294502321818;-0.113274303028552;0.0328159004425782;-0.109143370745004
"almighty";-0.0633769280846496;-0.0488478141497621;0.0283723442067098;0.132760299387952;0.714156374374685;0.0780575007622062;-0.0819210114503034;-0.000834640472829518;0.0935345433333951
"beautiful";0.756863277359135;0.181627722771253;0.152859513510554;0.0922196988447208;0.0252651457614601;0.0796172518851339;0.0814996076108831;0.109675329598924;0.0177704861331651
"best";0.327857416803464;0.0892685046279124;0.178230433191561;0.0850834145566688;0.100168589427085;0.329369871094437;-0.0126612725229084;0.14758675632618;0.160356963177858
"blessed";0.285892939698724;0.17516757426895;-0.169615044836549;-0.0768740778034051;-0.108912077228182;0.119382906501176;-0.170820821005493;-0.0244535488977107;0.248760541805771
"brave";0.104888702731257;-0.0201450506676174;-0.0888704543171898;0.197674378605084;0.639469011711455;0.0539452131422763;-0.145921548809887;0.0387466763747838;0.0754872609255364
"calm";0.277208321258498;0.32988127719098;0.410471632748956;0.0234787808478517;0.266983316727213;0.13832536769034;-0.0928450226652778;0.0272998530536603;0.0424210701106861
"capable";0.653878435830826;0.162732460791277;0.4279554600073;0.158037729591287;0.205686959061252;0.0528047730852638;0.0469268170361197;0.000954165714109227;0.164360430078158
"cheerful";0.729444185483869;0.041504373024642;0.202651448401637;0.135853101609695;0.184940253901666;0.0823609448365539;0.175204426446671;0.0785668921155152;0.0401656357361683
"clean";0.792273856083159;-0.00869374721602184;-0.0752282523209889;0.0154526840434557;-0.0490995240168932;0.228960156163612;-0.0338601619818552;-0.00539215181174795;0.0113106396044382
"clever";0.110918689577469;0.0437308021547105;-0.0549147851785808;-0.0176115984924625;0.0564152452101805;-0.0938123121900204;0.750963815903237;0.0166896799598033;-0.117001482398906
"comfortable";0.296853413350667;0.131894709678787;0.015763073673831;0.126349438820262;-0.129724783280121;0.41716278827137;0.296752120207083;-0.076729103747413;0.458104213009217
"competent";0.013153763380476;-0.0616400606826134;0.216023584727901;-0.177365732127052;0.30781695439636;0.322550859487087;0.0720912293340735;-0.0677236728641073;0.0269500280206416
"complex";0.138533957264082;0.154980008793596;-0.0130302302318876;-0.185869247684974;-0.00314954965100197;-0.114328592789153;-0.0017501357591752;0.0690049543328323;0.206309232620628
"confident";0.129807077647925;0.199594602936843;0.0351244109752719;-0.242061259947267;-0.0807665781628715;-0.000537173777818337;0.0183333484955633;0.401430573471968;0.0440592909760777
"cruel";0.307774261854613;-0.00829069879871004;-0.0520552369317467;0.158658855724851;-0.0218589281505647;-0.021788506222816;0.777634143546562;-0.00265582699282983;-0.0471045231506634
"dangerous";0.0433580115996298;0.0739923810529537;0.037492788377521;0.175906851072576;0.242630680897015;-0.116063995027793;-0.150159061239929;0.0974310680820879;0.638297691883592
"delicate";0.279970947423983;-0.11594595293465;-0.0294562004198637;0.473281487247788;0.00720774735521379;-0.098135009508135;0.0498849645829419;0.118443146274894;-0.172474834285192
"delicious";0.229144381817869;-0.083425385958776;0.0541235180585547;0.106243110578128;0.381534319867122;-0.00764846139526068;0.267946824552226;0.0837257351523384;-0.070791594465788
"delighted";0.641862937928715;-0.0459868147188412;0.0427108637820904;0.443857487762946;-0.0297808778941705;0.0641312295293042;0.191349015130929;0.00302346104100985;-0.00660744601544649
"delightful";0.357177253294906;-0.0304778122258042;-0.00735663767438889;-0.00997599775365207;0.608136484063036;-0.0729496297711004;0.0856967612243302;0.131184721721878;-0.105046441140651
"determined";-0.0313338069870066;0.16037135474461;0.538860594302943;0.083344484493425;-0.0197807344089174;-0.053249854007531;-0.0212302653319028;-0.119663558247018;0.0778761127014531
"different";0.710330893528894;0.075462883880389;0.176973625291229;0.1637590067029;0.163901977900207;0.1915933435353;0.173061342778404;0.0464191923015405;0.211586588772762
"direct";0.563938071405051;-0.0419980889937654;-0.0554807169845846;0.317122130138299;0.262817409885287;0.180562483221653;0.187991293124599;-0.0509661963392885;0.0828851047140242
"encouraging";0.0648284846581043;0.109403777336977;0.579627142609876;0.0290349817557742;-0.115113549143232;-0.0891065026130765;-0.202928536727948;0.393419124679577;-0.137678732103138
"enthusiastic";0.514366188736687;-0.150174289806625;-0.174504375567816;0.383193024769787;0.10366949119609;0.0486666691716835;0.0848620386630392;0.203409100027793;-0.0752495233720465
"exciting";0.493743252058334;0.124065924241151;0.131058578170195;0.578391738486071;0.2276145132378;0.058291929622021;0.0100466955265739;-0.126789475427067;0.205780811720503
"extraordinary";0.0410179688582093;0.0938300643173269;-0.0254859407081807;0.248271431522923;-0.0611188958182449;0.0948564875655945;0.296983340685017;0.605135692412812;0.0239592263031077
"extreme";0.671473694846746;0.108430762989194;0.244448199523751;0.288330424256981;0.129049889084693;0.0935822104143722;0.167151364715475;0.0726267082268281;0.134782335012546
"fair";0.735249816634507;0.0330975907165804;0.138913779406415;-0.0181327048060805;0.0402936261082994;0.0769774413589644;0.114496838700884;0.201212619316447;-0.0129051833927724
"faithful";0.405848773604143;0.312581292016093;0.0484792488270411;-0.264861519945643;0.0793553187114309;-0.0927450844805093;0.203245696205276;-0.11907664943562;0.00923341417286164
