"MR1";"MR2"
"#-beautiful";0.433723470224833;-0.0447208996780986
"accustomed";0.66026416067562;0.345211991742305
"adventure";-0.239801323726995;0.683628425591599
"afraid";0.108409626318849;-0.0769800655366581
"almighty";0.202927978564825;-0.0154160388793979
"beautiful";0.648182143803364;0.374563714866246
"best";0.414345678949486;0.25734242241006
"blessed";0.114937939306746;0.15504991237736
"brave";0.296087192284944;-0.00628784668257325
"calm";0.294241305379349;0.520949814926375
"capable";0.685293346607283;0.453747006399403
"cheerful";0.746882894830022;0.266758412007226
"clean";0.629462187386283;0.104374173599548
"clever";0.194901831819785;-0.0214339743973629
"comfortable";0.423206324978519;0.146573217430298
"competent";0.145738558913161;0.0442610855761263
"complex";-0.00973710717839384;0.218425345293017
"confident";-0.0369348074611969;0.34369303451756
"cruel";0.432888449735928;-0.0430637284541606
"dangerous";0.168364223401498;0.190563795216646
"delicate";0.402535182758826;-0.0886945267610584
"delicious";0.389223474347094;-0.00259420676961297
"delighted";0.740258147449821;0.037905110693179
"delightful";0.411484673187582;0.0833322631270333
"determined";0.0385351232650796;0.328092853780987
"different";0.77134229545394;0.282313595704412
"direct";0.723806639206454;-0.00737530212165488
"encouraging";0.030425688924236;0.451980686277776
"enthusiastic";0.610951120613224;-0.0966266163681098
"exciting";0.698150329140178;0.180779542188312
"extraordinary";0.202055168620387;0.187015126713964
"extreme";0.756719680573002;0.320612377657766
"fair";0.62250425459653;0.278745750434007
"faithful";0.179533183510772;0.332713036065043
"familiar";0.411204839008702;0.393885916720642
"fancy";0.117668294722895;0.206289859814532
"free";0.559498086483762;0.359010516858709
"generous";0.614868614056498;0.0703498641334748
"gentle";0.669848552017976;0.202770173101229
"greatest";0.599053213398812;0.394021481383101
"happier";-0.0262351539344272;0.744839796557057
"harmless";0.398156723545256;-0.072379709790468
"heavenly";0.158036836980775;0.499738861513916
"historical";0.19941410954478;0.0970772220281099
"holy";-0.239801323726993;0.683628425591596
"honest";0.182741395800355;-0.0144197602890333
"intellectual";0.030425688924236;0.451980686277776
"interesting";0.331092250838584;0.137131509090849
"irregular";0.319523525764015;0.316445315485028
"liberal";0.187534419605037;0.204551314194992
"loose";0.334670212567289;0.272127375413419
"married";0.194901831819785;-0.0214339743973629
"mighty";0.633251286600703;0.117405795690665
"modest";0.194901831819785;-0.0214339743973629
"moral";-0.0949171912035075;0.696496140358399
"mysterious";-0.119629148863747;0.829037341503624
"natural";0.378956691928362;0.610912876664733
"neat";0.29896615137632;0.0995186458510691
"original";0.657246082952409;0.0287024565469059
"passionate";0.0191925206351581;0.0773955476058002
"peaceful";0.194716466710183;0.589207386675659
"pleasant";0.637940417755231;0.434594598826224
"popular";0.29392552230148;0.188805045284827
"powerful";0.523701452644483;0.264000592708582
"proud";0.142211001057876;0.429378283299847
"prudent";-0.0593674983461801;-0.00943413053433354
"quiet";0.412222368677907;0.145507042179944
"safe";0.314427349245365;0.291060680123633
"secure";0.0656821088223313;0.107374113319283
"selfish";0.326570271535403;0.124174627800038
"sincere";0.120033530649587;0.123162311104272
"social";0.698150329140178;0.180779542188312
"surprising";0.307330724353844;0.319006581426869
"unfair";0.522354696001089;0.232130358918024
"weak";0.343117871862006;0.132772063392526
"professional";0.424505123572578;-0.0762751479817819
"suited";0.131889501404808;-0.146371327595402
"superior";0.720183095839331;0.297503965077338
"universal";0.392792214561474;0.231606811919672
"thoughtful";-0.239801323726993;0.683628425591596
"warmth";0.108409626318849;-0.0769800655366587
"graceful";0.629092825264631;0.0164148796368333
"minded";0.404807930589288;0.179365535014113
"rich";0.558696880848678;0.269756927556675
"uncertain";0.0771158793412179;0.63297488556451
"strong";0.273931622709007;0.415461273289841
"sacred";-0.0931623734865922;0.500322002368623
"welcome";0.0837428417119985;0.134522751578916
"wise";0.202055168620387;0.187015126713963
"curious";0.0783604757024909;0.274464873899861
"pleasing";0.120837337226225;0.113301274904846
"worth";0.421659680954577;0.401381848574041
"kindly";0.296442721624719;0.0588327796745095
"reasonable";0.0997788316498682;0.0875042060895377
