"active" "affectionate" "awkward" "bitter" "bold" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "civil" "clean" "close" "cold" "confident" "confidential" "considerate" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dependent" "determined" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fearful" "fervent" "fierce" "fiery" "firm" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "intense" "jealous" "keen" "kind" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "mournful" "natural" "nervous" "nigh" "noiseless" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "polite" "prompt" "proud" "punctual" "quick" "quiet" "rapid" "reasonable" "respectful" "responsible" "restless" "rigid" "rough" "rusty" "sad" "sarcastic" "scrupulous" "second" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "sober" "soft" "solemn" "spirited" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "susceptible" "sweet" "thoughtful" "thoughtless" "tight" "timid" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing" "worldly" "wise"
"active" 0 1 0 0 1 1 1 1 0 0 3 3 1 1 1 4 0 0 0 2 1 0 1 0 2 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 2 0 0 1 0 0 0 1 0 1 1 3 2 0 0 0 1 0 1 1 0 3 0 0 1 2 0 1 2 0 1 1 1 0 1 0 0 2 1 2 0 2 0 0 0 1 0 0 0 2 3 0 0 2 0 0 0 1 0 2 2 0 2 0 1 3 1 0 0 1 0 1 1 0 0 0 0 0 1 1 2 0 5 1 1 0 1 0 0 3 0 0 0 0 1 1 0 1 0 0 0 0 2
"affectionate" 1 0 1 0 1 0 3 0 1 0 4 2 0 0 3 4 0 2 0 0 1 1 0 2 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 4 1 2 2 0 0 3 1 1 2 1 1 2 0 2 5 1 2 0 3 0 0 3 1 0 1 1 2 1 0 1 2 1 0 1 0 0 4 1 1 0 1 8 5 4 0 0 3 1 1 2 1 0 3 0 0 0 0 1 0 2 0 1 0 1 4 1 1 0 3 0 0 1 0 1 1 0 0 0 3 0 1 9 0 0 3 0 0 1 0 0 1 2 1 1 0 0 1 1 1 2 1 0 0 1 0
"awkward" 0 1 0 1 0 0 1 0 3 0 6 2 1 0 2 3 0 1 1 2 2 1 1 0 1 0 0 0 1 0 1 0 2 1 1 0 0 0 0 0 0 1 3 1 0 0 6 0 1 0 0 0 1 0 0 0 0 1 0 2 0 1 0 2 0 1 2 0 1 1 0 4 1 1 1 0 0 4 1 4 0 0 0 1 1 0 0 1 3 2 4 1 0 2 1 0 3 0 0 4 0 0 1 0 0 1 0 0 0 2 0 2 0 1 0 2 0 2 0 1 2 0 0 1 1 0 0 0 5 2 0 5 0 3 0 0 1 1 3 1 0 0 0 0 0 1 2 0 4 0 1 0
"bitter" 0 0 1 0 1 1 0 1 1 0 2 1 1 0 0 5 0 1 0 1 0 1 0 0 2 0 0 1 3 3 2 0 0 0 2 0 0 0 0 0 1 2 4 0 1 2 1 1 1 2 1 0 0 0 1 2 0 0 2 1 0 2 0 2 2 2 2 0 0 0 0 1 0 3 0 0 0 2 0 1 0 0 1 1 0 1 0 0 3 0 3 2 0 4 0 0 1 0 0 3 1 0 0 0 0 0 1 1 2 1 1 1 1 2 0 2 1 2 0 0 1 0 1 0 0 0 0 0 0 2 2 7 0 2 0 1 1 0 4 1 1 0 2 0 2 0 4 0 3 2 0 1
"bold" 1 1 0 1 0 0 0 0 0 2 1 0 0 0 2 1 0 2 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 2 0 1 0 0 0 3 0 2 1 3 0 1 2 0 0 0 1 1 0 1 0 2 0 3 1 0 0 0 0 0 1 0 1 0 2 1 1 2 1 0 2 1 0 1 1 1 2 1 1 0 2 0 2 1 0 0 3 1 0 0 0 0 3 0 1 0 0 0 0 1 0 1 0 0 1 0 2 0 1 0 0 0 0 1 1 1 0 0 0 0 0 3 0 0 6 0 1 1 0 0 0 4 0 2 0 1 0 1 1 1 1 1 0 0 1
"brisk" 1 0 0 1 0 0 0 1 0 0 0 3 0 1 1 2 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 2 0 2 1 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 1 1 1 3 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 2 0 1 0 2 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
"busy" 1 3 1 0 0 0 0 0 0 0 3 4 0 1 1 4 0 0 0 0 0 0 1 1 0 0 0 0 4 1 1 1 0 0 3 1 0 2 0 1 0 4 3 2 0 2 3 0 1 0 0 2 1 0 1 0 2 0 0 0 2 2 0 1 1 2 0 0 0 0 0 1 1 2 1 1 0 1 0 1 1 0 0 0 1 0 0 2 3 1 4 0 1 4 0 0 1 2 1 3 0 1 0 0 0 0 1 1 1 0 1 3 0 2 1 1 1 1 2 0 1 0 0 0 1 1 0 0 3 0 1 3 1 1 0 0 0 2 2 0 0 0 2 0 1 0 0 0 1 2 0 0
"calm" 1 0 0 1 0 1 0 0 0 1 0 1 0 1 1 4 2 0 1 1 1 0 0 1 1 0 0 0 0 0 2 0 0 0 1 1 0 1 1 0 0 1 3 1 1 2 1 1 0 3 0 0 0 1 0 1 0 1 0 2 0 2 1 4 0 0 1 1 1 1 1 0 1 0 0 0 1 3 0 1 0 1 0 3 0 0 0 0 2 3 1 1 0 1 0 1 1 0 1 2 1 0 0 1 3 2 3 0 1 1 0 1 0 0 2 3 0 0 1 0 1 2 1 1 1 0 1 1 1 0 0 4 0 1 0 0 1 0 1 1 0 0 2 1 1 2 3 1 1 0 1 0
"careful" 0 1 3 1 0 0 0 0 0 0 2 0 0 0 1 4 1 0 1 2 0 0 0 0 2 0 1 3 3 2 4 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 2 0 0 2 0 0 2 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 0 0 4 2 0 0 0 1 2 0 1 0 1 1 1 2 0 1 0 1 1 2 0 0 2 0 1 1 1 2 2 0 0 0 1 1 0 0 2 1 0 2 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1 0 0 6 0 3 6 0 0 1 0 2 0 4 2 1 0 1 0 0 1 3 0 2 0 1 2
"careless" 0 0 0 0 2 0 0 1 0 0 0 1 0 0 3 2 1 0 0 0 2 1 1 1 1 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 3 0 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 2 4 0 0 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 1 1 2 0 0 0 0 1 0 0 0 2 0 1 1 0 1 0 1 2 1 0 0 0 0 2 0 4 0 1 1 0 0 0 0 1 1 0 0 0 3 0 1 3 0 0 1 0 0 0 2 1 0 0 0 1 0 1 3 2 2 0 0 0
"certain" 3 4 6 2 1 0 3 0 2 0 0 6 0 3 4 6 0 2 1 4 2 4 4 3 4 0 2 4 3 4 8 0 3 1 3 3 0 0 1 2 2 5 4 3 1 0 8 0 6 3 1 0 2 3 3 3 0 1 3 6 2 7 1 3 1 2 1 1 1 2 2 2 1 8 3 3 2 5 0 2 2 1 1 12 3 2 0 1 13 6 9 3 2 8 1 2 5 2 2 12 1 2 2 1 2 2 3 4 3 2 1 11 3 11 4 5 2 6 1 2 1 6 2 1 2 1 2 1 14 5 4 34 3 3 2 2 5 1 9 2 1 3 6 3 2 2 8 2 4 3 2 2
"cheerful" 3 2 2 1 0 3 4 1 0 1 6 0 1 1 2 5 2 0 0 0 2 0 0 1 2 0 0 0 4 1 0 1 2 1 3 1 0 1 0 1 0 5 6 2 0 0 2 3 2 2 0 0 0 0 0 0 1 0 1 1 3 5 0 5 0 2 1 0 1 2 0 1 0 3 2 2 1 2 0 1 0 0 1 2 0 1 1 1 6 3 6 0 0 5 2 1 3 2 2 7 0 1 2 0 1 1 0 0 1 3 1 2 1 1 1 6 1 2 2 1 2 0 1 2 2 0 0 0 5 3 0 9 3 2 0 1 1 0 2 2 0 0 1 2 1 2 1 1 2 1 0 1
"civil" 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 1 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1
"clean" 1 0 0 0 0 1 1 1 0 0 3 1 0 0 2 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 3 0 0 1 1 0 1 1 0 0 0 3 0 1 0 0 2 1 1 0 0 0 1 0 2 1 0 0 3 0 1 3 0 2 1 1 0 0 0 0 0 0 0 2 0 0 0 5 0 2 0 0 1 1 1 0 0 1 2 0 1 0 0 4 0 0 1 0 0 1 0 0 1 0 1 1 1 1 3 0 3 4 0 3 2 2 0 1 0 0 0 2 1 0 0 1 0 0 3 2 1 5 0 0 0 0 1 0 3 0 1 0 3 0 0 0 1 0 0 1 0 0
"close" 1 3 2 0 2 1 1 1 1 3 4 2 0 2 0 5 0 2 0 2 1 2 1 0 0 0 0 1 1 1 1 0 3 1 0 0 1 1 0 0 1 3 1 1 2 0 3 0 3 3 1 1 2 1 2 1 0 0 2 1 1 2 1 1 0 0 1 1 3 2 0 2 1 2 1 0 2 7 2 2 2 2 1 3 1 0 1 4 11 5 5 0 0 4 1 2 2 1 2 8 2 1 0 0 1 0 1 1 3 1 0 4 0 3 0 3 1 0 0 1 2 3 0 0 1 0 0 2 6 1 1 5 0 3 1 0 1 1 5 1 0 1 2 1 1 0 4 1 1 1 1 1
