"active" "affable" "affectionate" "bold" "busy" "calm" "candid" "careful" "careless" "certain" "cheerful" "clean" "close" "cold" "complacent" "confidential" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "domestic" "eager" "earnest" "easy" "eloquent" "exact" "expressive" "faithful" "familiar" "fearful" "fiery" "free" "fresh" "friendly" "gay" "general" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "haughty" "heavy" "honest" "hopeful" "hopeless" "humble" "immovable" "impatient" "indifferent" "industrious" "jealous" "joyful" "keen" "kind" "languid" "lively" "lofty" "lonely" "loud" "loving" "melancholy" "merry" "mild" "military" "musical" "natural" "neat" "nervous" "observant" "open" "original" "particular" "patient" "playful" "pleasant" "polite" "practical" "proud" "quick" "quiet" "reasonable" "responsible" "restless" "rough" "rusty" "sad" "second" "selfish" "sensible" "serene" "serious" "severe" "shy" "silent" "simple" "slow" "smooth" "soft" "solemn" "sorrowful" "spirited" "stable" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vehement" "violent" "watchful" "weak" "willing" "zealous" "worldly" "wise"
"active" 0 0 1 0 3 0 1 3 0 5 0 3 3 3 2 1 0 1 2 0 0 1 0 1 0 0 1 3 0 1 1 2 1 1 0 1 0 0 1 9 1 0 0 0 3 0 2 0 0 1 0 1 1 1 1 2 0 1 0 1 0 0 0 0 1 2 0 2 1 0 1 2 0 1 0 2 4 0 0 0 5 1 0 0 2 1 0 1 2 1 5 2 2 1 0 0 1 2 0 1 0 0 0 1 3 0 0 1 1 1 0 0 0 1 0 0 1 0 8 0 1 8 1 1 0 0 0 1 2 1 0 3 0 0 1 0 0 0 1 0 1
"affable" 0 0 1 0 0 0 0 0 0 3 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 2 0 0 0 0 1 0 0 2 0 0 0 3 0 0 1 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 2 0 0 0 2 0 0 0 0 0 1 0 1 0 3 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 1 0 0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 0 0
"affectionate" 1 1 0 1 4 0 1 1 1 4 2 1 0 1 1 1 0 2 1 2 0 5 2 1 0 1 1 2 1 1 2 3 1 0 1 2 4 1 1 5 0 1 1 3 1 1 2 1 2 2 1 0 1 1 0 0 0 0 3 1 2 1 1 2 4 1 1 1 0 0 2 2 2 1 1 1 3 3 0 0 7 0 2 2 0 3 1 1 0 3 5 0 1 0 2 3 0 2 1 2 0 2 3 2 3 3 0 0 1 0 2 1 0 3 3 0 2 1 2 0 1 11 0 2 1 2 1 2 7 1 0 5 1 0 0 2 3 1 1 0 1
"bold" 0 0 1 0 1 0 0 0 1 2 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 4 0 0 0 2 1 1 0 2 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 1 0 2 0 0 2 1 1 1 0 2 0 0 1 2 2 0 0 0 1 1 1 0 0 0 1 0 0 1 3 1 0 0 2 0 0 0 0 2 0 0 4 0 0 0 1 0 0 3 1 0 0 0 0 0 0 1 2 0 0 0
"busy" 3 0 4 1 0 1 0 6 1 6 6 2 0 4 0 2 3 2 2 1 2 7 2 0 2 0 2 7 0 1 0 1 4 0 0 5 7 1 2 6 2 1 1 5 2 0 2 3 0 7 0 0 7 4 2 0 0 0 1 2 1 2 2 1 5 0 1 1 2 2 2 2 3 2 2 3 2 4 0 0 10 0 7 1 0 8 2 2 3 3 4 2 0 3 2 1 1 3 2 2 3 1 1 0 7 2 0 1 1 1 0 1 4 1 1 1 0 0 9 1 1 17 3 1 1 2 1 0 9 0 2 6 1 1 0 0 3 3 0 1 0
"calm" 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 1 1 0 1 0 2 0 0 0 1 0 0 2 0 0 1 0 0 0 1 2 0 1 1 1 0 1 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 2 0 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 2 1 0 1 0 1 2 2 0 1 0 0 0 3 0 0 1 0 0 2 0 2 0 0 0 0
"candid" 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 1 0 0 1 0 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 4 0 0 1 3 3 1 3 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0
"careful" 3 0 1 0 6 2 0 0 2 4 1 0 2 0 0 1 2 1 0 1 2 5 1 0 3 0 3 2 0 0 0 2 1 0 1 2 3 1 0 6 1 1 0 1 1 0 0 0 1 1 3 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0 1 2 1 3 0 0 0 1 2 2 0 0 4 0 5 0 1 5 0 1 0 0 6 1 0 0 0 2 0 2 1 3 0 2 0 0 0 2 0 1 0 0 1 0 0 0 1 1 0 1 1 0 2 7 1 1 1 0 0 1 5 0 0 2 1 0 0 0 3 0 1 0 1
"careless" 0 0 1 1 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 2 0 0 1 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 2 0 0 3 0 1 0 1 2 1 0 0 0 0 0 2 0 1 0 1 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 5 0 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 1
"certain" 5 3 4 2 6 1 2 4 1 0 5 4 7 4 0 2 1 2 4 1 1 4 2 0 1 4 7 15 2 2 2 8 12 3 3 5 7 3 3 12 5 1 2 2 1 0 3 4 1 11 1 0 7 4 4 3 2 0 2 2 0 1 4 2 8 3 2 1 3 1 0 1 1 1 2 3 15 6 1 2 10 2 8 1 3 13 1 5 5 6 15 2 3 5 5 2 4 5 0 3 1 3 2 1 4 2 3 2 1 4 1 0 4 3 8 1 1 0 7 3 1 20 3 0 3 1 2 2 7 1 1 2 1 1 1 4 5 3 2 3 1
