"acute" "affectionate" "bold" "busy" "calm" "careless" "certain" "cheerful" "civil" "close" "cold" "constant" "cruel" "decided" "delicate" "determined" "domestic" "eager" "earnest" "easy" "faithful" "fearful" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "gloomy" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "humble" "impartial" "impatient" "independent" "indifferent" "intimate" "jealous" "joyful" "judicious" "just" "keen" "kind" "literary" "lively" "loud" "maternal" "mild" "moderate" "natural" "neat" "negligent" "open" "partial" "particular" "patient" "placid" "pleasant" "polite" "positive" "quick" "quiet" "rapid" "reasonable" "resentful" "resolute" "rude" "sad" "second" "selfish" "sensible" "serious" "severe" "silent" "simple" "sincere" "sober" "solemn" "speedy" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "true" "ungenerous" "unhappy" "unkind" "unsteady" "unsuspicious" "untoward" "urgent" "violent" "unprejudiced" "vain" "wise" "unpretending" "willing"
"acute" 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 0 1 0 1 2 2 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0
"affectionate" 0 0 0 0 1 1 2 2 0 0 2 1 0 0 0 1 0 3 1 3 0 1 1 0 1 0 2 0 0 1 2 0 2 1 0 1 0 0 0 1 1 1 1 1 0 0 0 2 0 0 0 1 0 0 2 0 0 2 2 0 0 0 1 1 1 1 1 0 2 0 0 0 1 2 1 3 0 2 3 0 0 0 0 1 1 2 2 0 4 1 1 2 1 0 1 0 2 1 1 0 1 2 1 0 0
"bold" 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 3 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 2 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"busy" 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 2 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1
"calm" 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"careless" 0 1 0 0 0 0 0 2 0 2 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 2 1 0 4 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0
"certain" 0 2 1 0 1 0 0 1 1 1 0 2 0 0 1 0 1 3 1 1 0 0 0 0 0 0 2 0 1 0 1 1 1 0 0 0 1 0 1 1 0 2 1 1 1 0 0 1 0 2 0 1 0 0 1 0 0 4 0 1 0 1 2 0 3 2 3 0 0 1 0 1 0 2 1 2 0 1 2 0 2 1 0 0 0 0 1 1 6 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0
"cheerful" 0 2 0 1 0 2 1 0 0 1 1 2 0 0 0 0 1 3 0 2 2 0 0 1 0 0 2 0 1 1 0 1 2 0 0 3 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 1 0 1 1 0 0 2 1 1 0 0 0 2 1 1 1 1 0 0 0 0 0 1 0 1 0 1 1 2 1 0 1 1 0 1 3 0 4 1 1 2 0 1 0 0 1 0 0 0 0 0 1 0 0
"civil" 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 0 0 0 1 0 3 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0
"close" 0 0 0 0 0 2 1 1 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 3 0 0 0 0 0 2 1 0 1 0 0 1 1 1 3 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0
"cold" 0 2 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 2 0 2 0 3 0 2 0 0 2 0 0 3 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 2 0 0 0 1 1 0 2 1 0 0 1 0 0 0 2 1 1 1 0 2 0 0 0 0 0 0 3 2 0 2 2 1 0 2 2 1 1 0 0 1 2 0 2 0 0 0
"constant" 0 1 0 0 0 1 2 2 1 2 1 0 0 0 1 0 1 1 0 2 1 0 0 1 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 1 0 1 3 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 1 1 0 0 0 0 2 1 0 5 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"cruel" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"decided" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"delicate" 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"determined" 0 1 2 0 0 0 0 0 1 0 1 0 1 0 0 0 0 2 0 2 0 1 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 2 1 3 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 2 0 0 5 2 1 2 1 0 1 0 0 0 1 0 0 1 0 0 0
"domestic" 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"eager" 0 3 1 1 1 1 3 3 0 0 2 1 0 0 1 2 0 0 0 3 0 1 0 2 1 0 1 1 1 1 0 0 3 0 0 0 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 1 0 0 3 0 0 2 3 1 0 0 0 2 1 2 1 1 0 1 1 1 0 3 2 3 0 1 3 1 0 0 0 0 1 2 3 1 5 4 1 1 2 1 1 0 1 0 1 0 0 3 1 0 0
"earnest" 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 2 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 2 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 1 0 1 0 1 0
"easy" 2 3 0 0 1 1 1 2 1 0 2 2 0 1 0 2 0 3 0 0 1 3 0 2 0 1 3 1 0 1 1 1 3 0 0 1 0 0 2 0 1 0 1 0 0 0 1 2 0 1 0 0 0 0 3 1 1 1 1 3 0 0 0 1 0 1 0 1 0 1 0 3 0 1 1 0 1 1 1 1 0 1 1 2 0 2 1 0 6 1 1 2 1 0 2 0 0 0 1 0 0 2 0 0 0
"faithful" 1 0 0 0 0 1 0 2 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 0 1 1 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"fearful" 1 1 0 0 1 0 0 0 3 0 3 0 0 0 0 1 0 1 0 3 0 0 0 0 1 1 5 0 0 2 0 1 3 1 2 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 1 1 0 4 1 2 0 0 2 0 1 1 0 1 0 1 1 2 0 4 1 1 2 1 1 0 0 2 1 0 1 1 2 0 1 2 0 1 1 2 1 0 0 0 0 3 1 2 1 0 0
