"abrupt" "active" "affable" "affectionate" "aloof" "awkward" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "candid" "capricious" "careful" "careless" "catholic" "cautious" "certain" "cheerful" "christian" "civil" "clean" "close" "cold" "complimentary" "conciliatory" "confidential" "consistent" "constant" "cool" "courteous" "cruel" "curious" "daring" "delicate" "determined" "direct" "distrustful" "domestic" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "fast" "fearful" "ferocious" "fickle" "fierce" "fiery" "firm" "forgetful" "frank" "free" "fresh" "friendly" "frugal" "gallant" "gay" "general" "generous" "genteel" "gentle" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "haughty" "headlong" "hearty" "heavy" "honest" "hopeful" "humble" "hurried" "impatient" "indifferent" "intense" "irreligious" "jaunty" "jovial" "keen" "kind" "lavish" "lazy" "lively" "lofty" "lonely" "loud" "loving" "melancholy" "merry" "mild" "military" "modest" "mournful" "musical" "mute" "natural" "nervous" "noisy" "obdurate" "open" "original" "particular" "patient" "peaceful" "placid" "pleasant" "precise" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "reckless" "religious" "resolute" "restless" "rigid" "rough" "rude" "rusty" "sad" "scornful" "second" "sensible" "sensitive" "serious" "severe" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "stable" "steady" "stealthy" "steep" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "suggestive" "sullen" "sunny" "sure" "surly" "suspicious" "sweet" "talkative" "tender" "thankful" "thorough" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "wise" "willing" "vagrant"
"abrupt" 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
"active" 0 0 0 0 1 0 0 2 3 1 2 4 0 0 0 2 1 2 0 4 2 0 0 1 2 3 1 0 1 0 1 3 1 2 1 1 0 0 0 1 0 3 0 1 1 1 1 0 1 1 0 2 1 0 1 0 2 2 0 0 1 2 4 0 0 1 1 3 0 1 0 0 0 0 4 0 1 1 3 1 0 2 0 0 2 1 0 0 0 0 0 0 1 1 0 0 3 0 0 1 1 0 0 0 2 0 1 0 1 1 6 0 2 0 0 0 1 0 1 1 4 3 1 1 1 0 0 0 0 2 0 0 0 0 2 0 1 1 0 3 0 0 0 0 1 0 0 2 3 0 1 0 0 1 0 0 9 1 1 0 0 0 4 0 0 0 0 0 1 0 2 1 1 2 0 1 1 1 3 0 2 0 2 2 1 0
"affable" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0
"affectionate" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 3 1 1 0 0 0 0 0 1 0 1 2 0 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0
"aloof" 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 2 0 1 0 0 3 3 1 1 0 0 1 1 0 0 0 0 0 1 2 1 1 0 0 0 1 0 0 1 0 2 0 0 0 0 0 0 1 1 0 0 2 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 3 0 2 1 0 1 1 2 2 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0
"awkward" 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 4 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 1 2 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0
"bitter" 0 0 0 1 0 1 0 0 2 0 0 1 0 0 0 1 0 2 1 2 4 0 0 1 1 3 0 2 1 0 2 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 1 0 3 0 1 0 1 1 3 0 3 0 0 1 0 0 1 1 1 2 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 3 1 0 0 2 2 1 0 0 0 3 0 3 0 0 3 0 1 0 1 0 2 1 0 1 0 0 2 0 1 1 0 0 2 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 2 1 1 0 0 0 3 0 0 2 0 0 1 0 2 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0
"boisterous" 0 2 0 0 0 0 0 0 2 0 0 2 0 0 0 1 1 1 0 3 3 0 0 0 0 4 0 1 0 0 1 0 0 1 1 2 0 0 0 0 0 0 0 1 0 1 1 1 0 0 2 3 0 0 2 0 1 0 1 0 1 0 4 1 0 2 1 1 0 0 0 0 0 0 2 0 0 1 2 1 0 3 0 1 0 1 0 0 0 0 1 0 0 2 1 0 4 0 1 0 0 0 0 0 1 0 0 1 1 0 4 0 2 1 1 0 2 0 2 0 4 4 0 0 2 0 0 2 0 1 0 2 0 0 1 0 0 2 0 3 0 0 1 2 0 0 1 1 1 1 2 0 0 2 0 1 4 1 1 0 2 0 3 1 0 1 0 1 0 0 1 1 0 4 1 1 0 0 0 0 2 1 1 1 0 0
"bold" 0 3 1 0 0 1 2 2 0 4 2 3 1 0 1 0 1 1 0 9 3 1 0 1 4 6 2 1 0 0 0 1 0 1 0 3 1 0 3 0 1 1 3 3 3 1 1 1 0 2 1 2 0 0 1 1 2 1 3 1 0 3 7 3 1 2 0 2 1 1 1 2 2 4 4 0 1 3 4 5 1 3 0 1 1 0 0 1 0 0 3 0 0 2 0 0 2 1 1 2 3 0 1 0 0 0 2 0 0 0 6 3 6 1 2 0 4 0 8 1 4 8 2 0 3 2 0 0 1 6 0 2 1 0 6 0 0 3 0 3 0 2 2 0 2 1 0 2 2 3 2 1 1 0 0 1 12 4 3 0 3 0 16 0 1 1 1 0 0 1 2 1 0 6 1 2 1 3 0 0 2 1 3 3 0 0
"brave" 0 1 0 0 0 0 0 0 4 0 2 2 0 0 1 0 0 1 1 3 1 0 2 0 2 3 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 1 3 2 0 0 1 1 1 0 2 0 2 1 1 4 0 2 0 3 2 2 1 0 2 0 4 1 1 0 0 1 2 2 0 0 1 1 2 1 2 2 2 2 2 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 2 1 5 1 3 0 0 0 2 0 2 0 3 3 3 0 0 0 1 0 1 2 2 3 1 1 4 1 0 1 1 3 0 0 1 0 1 0 1 2 1 2 0 1 1 1 0 1 7 1 0 1 1 0 8 1 1 3 1 0 0 0 0 0 1 3 1 0 0 1 0 0 1 0 2 2 1 1
