"abrupt" "active" "affectionate" "bitter" "bland" "boisterous" "bold" "busy" "calm" "careful" "careless" "cautious" "certain" "cheerful" "clean" "close" "cold" "compassionate" "confidential" "constant" "cool" "cruel" "cunning" "curious" "delicate" "domestic" "eager" "earnest" "easy" "exact" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "hurried" "impatient" "impetuous" "indifferent" "intimate" "jealous" "keen" "kind" "limp" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "modest" "mournful" "mute" "natural" "neat" "negative" "noiseless" "noisy" "obdurate" "open" "original" "particular" "patient" "peaceful" "placid" "pleasant" "polite" "practical" "proud" "prudent" "quick" "quiet" "rapid" "restless" "rough" "rude" "rusty" "sad" "second" "sentimental" "serious" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "stable" "stately" "steady" "stealthy" "stern" "strong" "submissive" "sudden" "sufficient" "sure" "suspicious" "sweet" "tearful" "tender" "thankful" "thoughtful" "thoughtless" "tight" "timid" "tranquil" "treacherous" "true" "ugly" "uncertain" "unhappy" "unmindful" "vague" "violent" "virtuous" "vocal" "watchful" "weak" "willing" "wise"
"abrupt" 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 1 0 0 0 2 0 0 3 0 0 0 1 0 0 0 0 1 0 2 0 1 2 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 3 0 0 0 2 0 0 1 0 1 2 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 3 1 0 1
"active" 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 4 2 1 0 1 0 0 0 0 1 0 0 2 1 0 0 1 1 0 1 0 1 1 0 1 0 2 0 0 1 2 0 1 0 0 1 0 0 2 0 2 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 4 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 2 1 0 0 0 1 0 0 3 0 0 1 1 1 2 0 3 1 2 0 0 0 2 0 0 1 0 0 0 0 3 1 2 0 0 1 0 0 0 0 0 0 0
"affectionate" 0 0 0 1 0 1 1 0 0 1 1 0 4 2 1 3 1 0 0 0 1 3 0 1 0 1 0 2 4 2 0 2 3 1 1 0 4 1 1 0 0 2 1 1 3 1 2 0 2 0 0 1 1 1 1 4 3 1 0 0 0 1 0 1 5 0 0 0 1 0 0 0 2 1 0 0 3 0 1 0 4 0 5 1 3 0 1 1 2 0 0 1 1 3 5 0 0 0 2 0 0 0 0 0 3 1 2 1 1 0 2 0 1 0 1 1 1 0 3 0 4 0 8 0 0 1 1 0 3 0 0 2 0 1 2 0 1 1 2 1 0 0 0 0 2 0 0
"bitter" 0 0 1 0 0 0 1 0 0 0 1 1 3 1 2 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 2 0 1 1 0 3 1 0 1 0 1 0 1 0 1 1 0 1 3 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 2 2 0 0 1 0 0 0 1 1 0 0 0 2 0 1 1 1 1 0 0 0 1 0 0 1 0 1 0 0 2 0 2 1 2 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"bland" 0 0 0 0 0 0 0 0 0 1 0 0 3 2 0 0 2 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"boisterous" 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 3 0 2 0 2 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 2 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 0 1 1
"bold" 0 0 1 1 0 0 0 0 1 2 0 1 2 1 2 1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 2 1 1 0 0 3 0 1 0 1 1 0 0 0 1 0 0 1 1 2 2 0 1 1 0 0 0 0 3 0 0 1 0 0 1 2 0 0 1 1 0 0 0 0 1 0 1 2 2 0 2 0 0 0 0 0 1 1 4 0 0 0 1 1 1 0 0 0 2 1 1 3 0 0 0 0 2 0 0 1 0 0 2 1 2 0 6 1 1 0 2 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0
"busy" 0 0 0 0 0 0 0 0 1 1 0 0 3 5 2 3 6 1 0 3 1 1 4 2 0 0 4 2 3 0 0 2 0 1 1 1 3 1 0 0 0 0 0 1 1 2 0 1 2 2 0 0 1 4 1 0 3 0 2 1 1 0 0 1 3 0 0 0 2 0 1 0 0 0 3 0 2 0 0 0 4 1 9 2 0 0 2 0 3 0 0 1 0 1 7 1 1 3 1 2 3 3 0 1 4 1 1 5 2 2 0 2 3 1 0 0 0 0 2 0 0 1 9 0 4 0 1 1 2 0 1 0 0 0 1 2 1 1 1 1 0 0 0 0 3 0 1
"calm" 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 0 2 0 0 5 2 0 0 1 1 0 1 1 4 0 1 1 2 0 0 0 3 2 1 0 0 0 1 0 4 0 0 0 0 1 1 1 1 0 1 1 1 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 1 1 1 1 1 0 0 1 0 1 4 2 1 2 1 1 4 0 1 0 0 0 7 1 3 0 1 1 0 2 0 0 3 2 1 3 0 0 0 0 3 0 2 0 0 1 6 1 1 0 5 2 3 0 0 1 2 0 0 1 0 0 1 1 0 0 0 4 1 0 0 1 2 0 1
"careful" 0 0 1 0 1 1 2 1 2 0 0 2 5 3 0 2 4 0 0 0 3 0 1 1 1 0 0 1 2 0 0 1 3 0 0 0 4 4 2 0 0 2 0 0 0 0 0 1 5 0 1 1 1 0 1 2 2 0 1 0 0 0 0 0 3 1 0 1 2 1 0 1 2 1 1 2 3 0 1 0 2 1 3 0 3 0 1 2 3 0 0 0 0 2 6 0 1 1 0 1 5 1 1 2 3 1 2 3 0 2 0 3 2 0 0 1 0 0 7 2 2 0 10 1 1 0 1 0 1 0 0 1 0 0 4 2 1 1 1 1 0 1 1 0 3 0 1
"careless" 0 0 1 1 0 0 0 0 0 0 0 1 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 2 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 3 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"cautious" 0 0 0 1 0 0 1 0 0 2 1 0 3 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 2 0 2 0 1 0 2 0 0 1 1 1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 0 1 0 0 1 1 1 0 0 0 1 1 1 0 1 0 1 0 2 0 0 0 1 0 1 0 1 0 0 2 0 1 0 4 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 2 0 1 0 0 0 0
