"abrupt" "active" "affectionate" "benevolent" "bitter" "boisterous" "bold" "busy" "calm" "careful" "careless" "certain" "chaste" "cheerful" "civil" "clean" "close" "cold" "communicative" "constant" "cool" "critical" "cruel" "curious" "delicate" "dependent" "determined" "dignified" "direct" "dogged" "domestic" "dutiful" "eager" "earnest" "easy" "exact" "excitable" "expressive" "faithful" "familiar" "fast" "fearful" "ferocious" "fierce" "firm" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "handy" "hasty" "haughty" "headlong" "hearty" "heavy" "helpless" "honest" "hopeless" "humane" "humble" "hurried" "impatient" "impetuous" "incredulous" "independent" "inflexible" "intense" "ironical" "irrepressible" "irritable" "kind" "lazy" "lively" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "modest" "musical" "mute" "natural" "neat" "nervous" "noiseless" "noisy" "observant" "open" "original" "particular" "passionate" "peaceful" "philosophical" "pleasant" "polite" "political" "precise" "prompt" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "respectful" "rigid" "rough" "rude" "rueful" "rusty" "sad" "sanguine" "second" "selfish" "serious" "silent" "simple" "slow" "sober" "soft" "solemn" "sorrowful" "stately" "steady" "steep" "stern" "stiff" "straight" "strict" "strong" "sudden" "sunny" "sure" "surly" "suspicious" "sweet" "thankful" "thoughtful" "tight" "tremulous" "true" "ugly" "ungrateful" "vicious" "violent" "virtuous" "weak" "unhappy" "willing" "zealous" "wary" "wise" "windy" "unkind" "vague"
"abrupt" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"active" 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 1 1 1 0 0 2 3 0 3 2 0 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 0
"affectionate" 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 2 2 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"benevolent" 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 3 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0
"bitter" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 2 1 0 0 0 0 0 1 1 0 1 0 0 4 0 0 2 0 0 1 0 1 0 0 0 2 0 0 1 0 0 1 0 0 0 0
"boisterous" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bold" 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 2 0 0 2 0 2 0 0 0 0 0 0 0 0
"busy" 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 1 0 1 4 1 0 0 0 1 1 2 0 1 0 1 0 0 0 0 0 1 1 1 2 0 1 0 0 0 0 2 0 0 0 1 0 1 3 1 1 1 1 0 1 0 0 1 0 2 0 4 0 3 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 1 0 1 1 1 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 2 0
"calm" 0 0 1 0 0 0 0 0 0 0 0 2 0 2 1 0 2 4 0 0 1 0 1 0 0 1 0 1 0 0 1 0 1 1 2 0 0 1 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 3 1 0 0 0 0 0 0 1 0 0 5 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 0 1 2 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 1 0 0 1 0 1 0 1 3 1 0 0 2 1 0 0 1 0 0 3 0 0 2 2 0 0 2 3 1 0 0 0 0 1 0 0 3 2 0 2 0 0 1 0 0 1 0 1 0 0 0 0 0 3 0 1 0 0 0 0 0 0
"careful" 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 3 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 3 2 0 0 0 1 0 1 1 0 0 0 3 2 0 0 1 1 0 1 2 0 0 2 0 0 0 0 0 0 0 3 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0 2 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 2 1 2 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0
