"active" "affectionate" "assiduous" "awkward" "benevolent" "busy" "calm" "candid" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "civil" "cold" "confident" "consistent" "constant" "cool" "courteous" "cruel" "curious" "decided" "delicate" "dependent" "determined" "direct" "domestic" "eager" "earnest" "easy" "eloquent" "exact" "fearful" "fervent" "formal" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "gentlemanlike" "grateful" "grave" "handsome" "hearty" "helpless" "hopeless" "hospitable" "humble" "hysterical" "impatient" "independent" "indifferent" "intimate" "jealous" "kind" "lively" "melancholy" "moderate" "modest" "natural" "negative" "nervous" "obliging" "observant" "open" "particular" "pensive" "pleasant" "polite" "positive" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "resolute" "responsible" "rough" "sad" "sanguine" "scrupulous" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "sincere" "solicitous" "steady" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "sympathetic" "thankful" "thoughtful" "true" "uncertain" "unkind" "vain" "violent" "unhappy" "weak" "wise" "zealous" "worldly" "willing"
"active" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 3 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 1 1 0 0 3 1 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0
"affectionate" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"assiduous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0
"awkward" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"benevolent" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 2 2 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"busy" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0 1 1 0 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"calm" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"candid" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0
"careful" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 2 0 1 0 0 0 2 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 2 1 0 0 0 1 0 0 0 1 1 1 2 0 1 0 0 0 3 0 0 1 0 0 0 0 0 0 0
"careless" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 1 1 0 0 0 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 3 2 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 1 1 1 0 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1
