"active" "affectionate" "busy" "calm" "candid" "careful" "cautious" "certain" "cheerful" "civil" "close" "cold" "compassionate" "confident" "constant" "cruel" "delicate" "dependent" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "expressive" "fearful" "fervent" "frank" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hopeless" "hurried" "impatient" "impertinent" "independent" "indifferent" "intimate" "invariable" "jealous" "kind" "languid" "lively" "maternal" "melancholy" "musical" "natural" "nervous" "noisy" "observant" "open" "partial" "particular" "pleasant" "polite" "positive" "proud" "prudent" "quick" "quiet" "rapid" "rapturous" "reasonable" "resolute" "restless" "romantic" "rude" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "soft" "speedy" "spirited" "steady" "strong" "stubborn" "sudden" "sufficient" "sure" "sweet" "thankful" "thorough" "thoughtful" "true" "uncertain" "undiscerning" "unhappy" "unkind" "unobtrusive" "urgent" "vain" "violent" "willing" "wise"
"active" 0 0 0 1 0 0 0 2 1 1 0 1 0 0 4 0 0 0 1 1 0 0 0 2 2 0 1 0 0 2 1 1 0 1 0 0 1 0 0 2 1 2 0 0 0 0 1 1 1 0 2 0 0 0 1 1 0 1 2 0 2 0 0 0 2 0 1 0 0 0 0 0 2 0 0 1 2 1 1 1 0 0 2 2 0 1 2 1 0 2 2 2 1 0 1 0 0 0 0 0 0 4 0 1 0 1 1 1 0 1 0 0 1 0 1 1 0
"affectionate" 0 0 0 3 2 0 0 7 1 2 1 4 1 1 1 0 2 2 1 2 1 2 4 0 1 1 1 0 1 0 2 0 1 5 2 0 1 1 0 1 1 3 0 3 2 0 1 2 0 2 2 1 1 0 2 1 3 1 4 1 5 1 0 0 6 0 6 1 0 0 0 3 1 3 0 2 2 0 0 1 1 0 0 1 1 1 3 0 0 5 1 2 0 0 0 0 1 5 1 3 1 9 2 0 0 0 0 0 1 3 0 1 1 2 2 0 0
"busy" 0 0 0 1 1 0 0 2 2 1 0 1 0 0 0 0 0 0 2 0 0 0 2 2 1 0 1 0 0 1 1 1 0 2 1 1 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 1 0 1 1 1 0 0 2 0 0 0 1 0 4 2 3 3 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 2 1 0 2 0 0 2 0 0 1 1 0 0 0 0 0 0 0 3 0 1 1 1 1 1 0 0 0 0 0 1 0 2 1
"calm" 1 3 1 0 1 0 0 4 2 0 0 3 0 2 1 0 1 1 3 2 0 1 0 2 2 1 3 1 0 1 3 2 0 3 0 0 1 0 1 0 2 1 0 2 1 1 1 0 0 0 1 3 0 0 1 1 2 0 1 0 2 0 1 0 3 2 2 1 2 0 1 2 1 2 2 0 4 1 0 0 0 0 0 1 0 0 1 1 0 4 2 2 1 0 1 0 2 6 1 3 1 4 1 1 1 1 2 2 0 3 0 1 1 1 1 0 0
"candid" 0 2 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 2 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0
"careful" 0 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 1 1 2 0 1 0 3 0 1 0 0 1 0 0 2 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 1 0 3 1 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0
"cautious" 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"certain" 2 7 2 4 1 2 1 0 2 1 0 1 1 1 5 1 2 3 3 2 2 2 3 1 2 2 1 0 2 2 2 1 3 8 0 0 1 1 1 2 5 0 1 1 2 1 1 3 1 2 3 4 0 3 3 0 2 0 4 1 6 0 0 1 12 1 8 4 0 1 1 2 2 3 0 3 1 0 1 1 0 1 0 4 2 1 3 0 1 6 8 2 0 0 2 0 1 4 1 3 3 15 3 1 1 0 5 1 0 3 0 0 1 2 2 1 0
"cheerful" 1 1 2 2 0 0 0 2 0 1 0 3 0 2 2 0 0 1 1 0 0 1 1 2 3 1 0 1 0 1 2 0 2 4 1 0 0 0 0 1 2 2 0 3 1 1 0 2 0 2 1 1 0 0 2 3 0 0 0 0 0 0 1 0 2 1 4 0 0 0 0 0 1 3 1 0 1 0 1 0 0 1 3 2 2 1 5 2 0 6 1 2 2 1 1 0 2 2 0 2 1 4 0 1 2 0 3 0 0 1 1 0 1 0 3 3 0
"civil" 1 2 1 0 0 0 1 1 1 0 1 2 0 1 2 0 1 0 1 0 0 0 1 1 2 0 0 0 1 1 0 2 0 2 0 1 2 0 0 0 0 3 0 0 0 0 0 1 2 1 0 0 1 0 2 0 0 1 1 0 2 1 1 0 2 0 3 2 0 0 0 0 1 2 0 1 0 0 0 0 1 1 0 1 0 1 2 0 0 3 1 0 0 0 0 0 0 2 0 0 0 8 2 1 1 0 1 1 0 1 0 0 1 0 3 0 2
