"active" "affectionate" "awkward" "bashful" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "complimentary" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "direct" "domestic" "dutiful" "eager" "earnest" "easy" "exact" "expressive" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "fiery" "firm" "frank" "free" "fresh" "friendly" "gallant" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "impatient" "independent" "indifferent" "intense" "jealous" "keen" "kind" "literary" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "military" "moderate" "modest" "natural" "neat" "nervous" "noisy" "open" "original" "particular" "peaceful" "pecksniffian" "pious" "placid" "playful" "pleasant" "polite" "practical" "proud" "prudent" "punctual" "quick" "quiet" "rapid" "reasonable" "restless" "rough" "rusty" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "spiritual" "stable" "stealthy" "stern" "stiff" "straight" "strong" "sudden" "sufficient" "sure" "surly" "sweet" "talkative" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "unhappy" "unmindful" "vague" "vain" "violent" "virtuous" "watchful" "weak" "worldly" "wise" "willing" "zealous"
"active" 0 0 0 0 0 0 0 0 1 0 1 1 0 4 1 0 0 3 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 1 1 0 1 0 1 3 0 1 0 0 3 0 0 1 0 1 1 0 0 0 0 0 1 1 0 2 0 0 0 1 0 2 0 0 0 0 0 0 0 2 0 4 0 1 0 1 2 3 0 0 1 1 0 1 1 0 0 0 0 1 1 0 1 0 1 2 0 0 2 2 0 0 0 0 1 0 1 0 0 0 0 1 0 0 2 0 1 1 0 2 0 0 0 0 1 0 0 3 1 1 0 0 0 1 0 0 0 0 0 1 0
"affectionate" 0 0 0 0 2 0 1 0 3 1 1 1 0 7 1 2 1 0 0 0 0 2 0 1 1 2 2 0 0 0 0 0 1 2 0 1 0 1 0 0 1 1 1 2 0 2 2 2 0 3 2 2 3 1 0 0 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 1 0 3 1 2 1 1 0 2 1 0 1 3 0 3 0 0 2 1 0 2 0 0 2 0 1 0 2 0 0 0 0 0 2 0 2 0 0 1 0 0 0 5 2 1 0 1 0 2 3 1 1 0 0 1 0 1 3 2 0 3 0 2 1 0 1 0 0 2 1 1 0 1 2 0 1 2 0 0 0 2 1 0 0
"awkward" 0 0 0 0 0 0 1 0 1 2 0 1 0 1 1 1 1 0 3 1 0 0 0 0 0 2 0 0 0 0 0 1 2 1 1 0 0 1 0 0 0 0 1 0 1 1 1 0 0 2 1 0 2 0 1 0 0 2 0 1 0 0 0 2 4 1 1 2 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 2 0 0 2 0 0 1 3 2 0 0 1 0 0 1 1 0 1 3 1 0 1 4 1 1 0 0 1 0 0 0 1 1 0 1 0 0 3 0 1 5 0 3 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0
"bashful" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 3 0 0 2 0 1 1 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 1 4 0 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0
"bitter" 0 2 0 0 0 0 3 0 1 0 0 0 1 2 2 1 0 0 4 0 0 0 1 0 1 1 2 0 0 0 1 0 0 0 0 0 1 2 1 0 0 3 1 0 0 2 1 1 1 4 1 1 2 0 0 0 0 2 1 2 1 0 0 1 0 0 0 2 0 0 2 0 0 0 1 1 0 0 0 2 1 0 2 0 1 2 1 0 1 0 1 1 0 0 4 1 1 0 0 1 1 0 1 0 1 1 2 2 1 1 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 2 1 0 1 0 1 0 0 5 1 0 4 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0
"boisterous" 0 0 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 1 0 0 0 2 0 1 1 0 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 1 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 3 1 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 2 0 1 1 0 0 0 0
"bold" 0 1 1 0 3 0 0 0 0 2 1 2 0 10 4 3 0 3 3 0 3 3 1 0 1 1 1 1 0 2 0 0 0 7 0 0 0 0 1 2 1 3 1 1 0 4 4 1 0 6 1 1 2 0 1 0 0 3 1 0 1 1 0 0 0 0 1 0 0 1 1 2 0 0 1 1 0 3 1 1 2 0 3 1 0 1 0 1 3 2 1 0 6 2 5 2 0 1 0 0 7 1 0 4 1 0 2 6 2 2 0 0 0 0 1 1 0 0 2 1 0 0 3 1 3 0 1 0 1 1 0 0 1 2 1 0 3 2 2 2 10 0 5 1 2 2 0 2 2 0 4 1 2 0 0 1 1 0 1 1 0 0 1 0
"brave" 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 3 1 1 2 0 0 1 0 0 3 1 0 1 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 0 0 0 1 0 2 0 3 0 1 0 0 0 3 0 1 0 0 1 0 3 0 0 0 0 0 2 1 0 0 0 1 0 1 0 2 2 1 0 0 0 0 0 0 0 0 0 0 1 0 4 0 1 4 0 2 0 0 0 0 0 1 0 4 1 1 0 0 0 1 0 0 2 0 1 0 0
"brisk" 1 3 1 0 1 0 0 0 0 2 0 0 0 3 3 0 0 0 4 0 0 0 0 0 1 1 2 0 0 1 0 1 1 3 0 0 1 0 0 0 0 0 0 1 0 5 3 0 1 3 1 0 1 0 0 0 0 0 1 1 0 0 1 4 1 1 0 0 0 0 0 0 1 0 2 4 0 2 0 0 0 0 3 2 0 0 0 1 2 1 0 1 0 0 1 0 1 1 1 0 4 0 0 0 0 0 2 3 1 0 0 1 0 2 1 2 0 0 1 0 1 2 3 1 0 1 1 1 2 2 0 1 0 0 0 0 0 3 1 1 6 0 1 0 0 2 1 0 0 1 2 2 0 0 1 0 0 0 0 1 0 2 0 0
"busy" 0 1 2 0 0 0 2 0 2 0 1 2 1 7 5 0 1 5 2 1 0 1 1 0 1 3 1 1 0 4 1 1 1 2 0 1 1 0 2 0 2 0 0 1 0 2 4 2 0 5 2 1 4 0 1 0 0 2 6 3 0 1 0 2 5 0 1 1 0 0 0 0 1 0 3 4 0 2 1 0 1 0 1 1 0 0 0 0 6 3 0 1 5 0 5 1 0 0 0 0 6 0 0 2 0 0 5 9 0 1 1 0 0 1 0 1 1 1 2 1 1 0 7 0 1 2 1 2 1 1 0 0 0 0 1 0 0 4 3 0 6 1 1 1 0 2 0 1 0 1 1 2 0 0 0 3 0 0 1 0 0 2 0 0
