"acceptable" "active" "affectionate" "awkward" "careful" "cautious" "certain" "cheerful" "civil" "cold" "consistent" "constant" "cruel" "curious" "decided" "delicate" "determined" "domestic" "eager" "earnest" "easy" "exact" "familiar" "fearful" "formal" "free" "fresh" "friendly" "general" "generous" "gentle" "gracious" "grateful" "grave" "handsome" "hasty" "haughty" "heavy" "hopeless" "humble" "impatient" "impertinent" "indifferent" "intimate" "kind" "lively" "melancholy" "natural" "nervous" "nonsensical" "open" "original" "partial" "particular" "pleasant" "polite" "proud" "quick" "quiet" "reasonable" "rude" "second" "selfish" "sensible" "serious" "severe" "silent" "sincere" "solemn" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "true" "uncivil" "unguarded" "unhappy" "vain" "violent" "weak" "wise" "ungenerous" "willing"
"acceptable" 0 1 1 1 0 0 3 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 0 1 1 0 0 0 1 0 0 2 0 0 0 1 2 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 3 2 0 1 1 1 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 2 0
"active" 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 1 1 1 1 1 0 1 0 0 2 1 0 1 0 1 0 0 0 0 2 0 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0
"affectionate" 1 1 0 1 1 0 2 0 0 0 1 3 1 0 0 1 1 2 1 3 3 0 0 1 0 2 1 1 4 2 0 1 2 2 2 0 0 0 0 0 1 0 1 2 3 2 0 3 1 0 1 0 2 1 1 0 2 1 2 4 0 2 0 1 2 0 1 4 0 2 4 1 0 7 2 0 5 0 1 1 2 2 1 0 1 0
"awkward" 1 0 1 0 0 0 3 0 3 1 1 0 1 1 0 0 1 0 0 2 2 0 0 0 3 0 0 1 0 0 0 0 2 0 3 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 1 3 2 3 2 1 1 0 3 0 1 1 0 2 1 1 1 1 0 0 5 0 0 3 0 0 1 0 1 0 0 0 0
"careful" 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1
"cautious" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 3 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 2 0 1 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0
"certain" 3 0 2 3 1 1 0 1 2 4 1 4 2 2 1 0 5 2 5 3 5 2 3 1 2 0 3 2 15 1 2 3 4 2 6 1 1 1 1 2 2 2 2 2 5 2 1 6 0 2 4 1 3 7 7 1 3 1 2 2 0 8 2 6 5 5 6 3 3 3 4 1 2 18 1 1 7 0 2 5 4 3 2 0 0 3
"cheerful" 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 1 2 0 1 0 2 1 0 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 3 0 1 1 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 2 0 0 0
"civil" 1 0 0 3 0 1 2 0 0 2 0 0 1 1 1 2 1 0 2 0 3 1 0 1 1 4 0 1 6 1 0 1 0 1 5 0 0 1 1 1 1 0 2 1 1 1 0 3 0 1 0 1 0 2 4 1 5 1 0 2 1 2 2 4 4 0 1 0 0 1 1 1 1 10 1 0 2 0 0 0 1 1 2 0 1 0
"cold" 0 0 0 1 1 0 4 1 2 0 0 0 0 1 0 1 1 0 2 1 2 0 0 1 1 1 1 1 3 0 0 1 0 2 1 0 0 0 1 1 1 0 3 0 3 0 0 1 0 1 1 1 0 2 3 1 2 0 0 2 1 5 0 1 2 1 3 1 1 2 1 0 1 5 1 1 2 3 0 2 2 0 1 0 0 1
