"affectionate" "bashful" "bold" "boyish" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "compassionate" "confident" "confidential" "constant" "cordial" "cruel" "curious" "delicate" "determined" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "giddy" "gloomy" "gracious" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "hopeful" "humble" "hurried" "immovable" "indifferent" "jealous" "kind" "lazy" "lively" "lonely" "loving" "melancholy" "merry" "mild" "modest" "natural" "neat" "nervous" "open" "orderly" "original" "particular" "passionate" "patient" "placid" "pleasant" "polite" "practical" "proud" "quick" "quiet" "reproachful" "respectful" "restless" "romantic" "rough" "rusty" "sad" "second" "selfish" "sensible" "sensitive" "serious" "severe" "silent" "simple" "slow" "smooth" "sober" "soft" "solemn" "sorrowful" "steady" "stern" "stiff" "stormy" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "willing" "wise" "worldly"
"close" 2 1 1 1 4 0 1 8 2 0 0 2 1 1 0 0 1 1 0 0 1 1 0 5 0 0 2 2 3 3 3 1 4 0 4 1 0 2 1 0 3 4 1 4 5 1 2 0 0 1 0 4 1 0 0 0 1 1 0 2 1 0 1 6 0 1 5 0 0 2 6 1 1 1 1 6 1 0 2 2 1 4 0 0 0 2 1 1 1 2 0 3 1 3 3 1 1 3 1 2 3 4 1 2 10 6 0 1 2 0 3 2 2 2 0 0 0 1 1 0 0
"cold" 1 1 1 1 4 2 1 5 5 1 2 0 0 1 1 0 1 3 1 2 1 3 2 2 1 0 2 1 4 3 3 2 8 0 0 6 2 0 0 2 1 2 3 6 2 2 3 1 1 1 0 5 2 2 0 3 1 0 1 1 5 0 0 3 0 1 3 0 1 0 7 1 1 3 0 7 2 0 1 1 4 1 2 2 1 2 4 1 1 5 0 1 0 2 4 2 0 0 2 2 1 5 2 3 11 2 2 1 1 4 3 1 0 4 2 1 1 1 1 1 1
"compassionate" 1 0 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 4 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 0 3 0 0 1 0 0 0 0 0 0 1 1 1 2 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 3 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"confident" 1 0 1 0 0 2 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 2 2 1 0 0 0 0 1 1 0 2 0 2 2 1 1 1 1 0 0 3 0 0 0 1 0 0 0 1 0 1 1 0 1 0 2 1 0 2 0 0 1 2 1 0 1 1 2 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 1 6 1 0 0 0 1 0 0 0 2 0 0 0 1 0 1 0
"confidential" 1 0 1 0 1 0 1 6 1 0 0 1 1 0 0 0 0 1 0 1 0 5 3 0 0 0 3 0 1 0 2 0 1 1 1 1 0 1 0 0 0 2 0 1 1 0 0 0 0 0 2 4 0 0 0 0 0 0 0 1 2 0 3 1 0 2 1 0 1 0 1 0 2 0 0 1 0 3 0 0 0 0 0 0 1 2 0 3 1 1 0 0 0 1 0 0 0 0 0 0 0 5 0 1 7 1 1 1 1 0 2 0 0 3 1 0 0 0 0 0 0
"constant" 0 0 2 0 2 0 1 4 1 0 0 0 0 0 0 0 0 1 3 1 0 1 1 0 0 1 1 0 2 0 0 1 5 2 0 0 0 0 0 2 0 0 0 1 1 0 0 0 1 2 0 1 0 2 0 2 0 0 0 0 1 2 1 0 0 1 3 0 1 0 1 0 1 1 1 2 0 0 1 1 3 1 1 1 0 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 2 3 0 6 1 0 0 0 0 1 1 0 1 0 1 0 2 0 1 0
"cordial" 1 0 1 1 1 1 0 2 2 1 1 1 0 0 0 0 0 0 0 0 1 0 3 2 0 0 1 1 0 1 1 0 2 0 0 3 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 3 0 0 1 0 0 2 0 0 0 2 0 0 1 3 3 0 0 0 0 0 0 4 0 0 1 0 1 0 2 1 0 0 1 0 0 1 1 1 0 0 3 1 0 3 2 0 0 2 0 2 0 0 2 0 1 0 0 0 0 0
"cruel" 3 0 0 1 2 2 2 2 3 0 1 3 0 0 1 1 0 0 1 2 0 3 4 2 0 1 1 1 2 1 2 2 4 3 0 1 1 1 1 1 4 1 0 3 3 3 0 1 0 0 2 4 1 0 0 0 1 0 0 0 4 0 0 3 0 1 2 1 1 1 7 0 0 2 1 7 1 3 2 0 0 0 0 3 2 2 1 4 2 8 0 1 1 1 2 2 0 0 0 1 0 7 2 0 12 2 3 2 1 0 9 1 0 3 1 1 1 1 3 0 1
"curious" 1 1 4 0 7 1 2 6 0 0 0 1 0 0 0 3 0 1 0 1 0 2 0 1 1 1 2 2 1 3 3 1 3 1 2 2 0 1 1 3 1 1 1 4 0 0 0 0 0 2 0 4 1 2 0 0 0 0 0 0 0 1 0 6 0 0 0 0 1 0 4 0 0 2 2 3 0 1 1 0 3 0 0 2 1 2 1 0 0 4 1 0 0 1 1 1 0 2 3 0 1 2 5 0 8 2 0 0 2 1 4 1 1 0 0 2 1 4 0 0 2
"delicate" 1 0 1 0 1 3 0 3 1 0 0 2 0 0 1 1 0 2 1 0 0 1 0 1 0 1 0 1 0 1 1 1 4 0 1 2 0 0 1 2 2 1 1 2 1 0 1 0 0 0 0 4 0 1 0 0 0 0 0 0 3 0 2 1 0 3 1 1 2 1 3 1 2 1 2 4 0 2 0 0 0 1 1 4 0 3 1 3 0 1 1 1 2 0 2 0 1 0 1 0 1 4 3 0 7 2 1 0 3 3 1 0 1 5 0 1 2 3 0 2 0
