"affectionate" "bashful" "bold" "boyish" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "compassionate" "confident" "confidential" "constant" "cordial" "cruel" "curious" "delicate" "determined" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "gay" "general" "generous" "genteel" "gentle" "giddy" "gloomy" "gracious" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "hopeful" "humble" "hurried" "immovable" "indifferent" "jealous" "kind" "lazy" "lively" "lonely" "loving" "melancholy" "merry" "mild" "modest" "natural" "neat" "nervous" "open" "orderly" "original" "particular" "passionate" "patient" "placid" "pleasant" "polite" "practical" "proud" "quick" "quiet" "reproachful" "respectful" "restless" "romantic" "rough" "rusty" "sad" "second" "selfish" "sensible" "sensitive" "serious" "severe" "silent" "simple" "slow" "smooth" "sober" "soft" "solemn" "sorrowful" "steady" "stern" "stiff" "stormy" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "willing" "wise" "worldly"
"hearty" 0 0 0 0 2 1 1 0 1 0 1 3 0 1 0 0 0 0 1 1 0 2 0 4 0 0 2 0 0 1 2 1 4 0 0 1 0 0 0 0 1 2 0 1 1 0 0 0 0 0 0 4 0 0 0 1 0 0 1 0 1 1 0 2 0 0 2 0 0 0 2 1 0 4 0 0 0 0 0 0 3 0 0 1 1 1 2 1 0 2 0 1 0 0 2 0 1 0 1 0 1 4 1 0 6 2 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0
"heavy" 1 3 1 1 5 2 0 8 5 4 4 6 1 1 1 1 1 3 4 2 1 1 2 8 2 2 7 2 5 4 5 2 5 1 3 3 0 3 0 3 6 2 1 0 3 2 2 0 3 3 1 4 2 2 2 0 1 1 1 1 7 1 0 10 2 1 4 1 0 0 5 0 0 3 1 7 2 1 3 1 3 4 2 5 1 3 0 3 0 5 3 3 5 0 1 3 1 2 3 2 1 6 3 2 13 2 2 1 1 2 4 1 0 4 1 2 2 3 1 0 1
"honest" 1 0 2 1 0 1 1 5 2 0 5 2 0 1 1 1 1 3 0 1 1 2 1 3 2 0 1 0 2 2 0 2 3 1 0 3 2 0 1 0 3 2 1 3 0 2 0 0 0 2 0 3 2 1 0 0 0 1 0 0 3 1 0 1 0 1 3 0 0 0 5 1 0 2 0 3 0 0 1 0 3 0 1 4 2 0 1 1 2 5 1 5 0 1 3 2 0 1 3 1 1 5 2 0 6 3 0 1 1 3 4 1 1 2 1 0 0 1 1 0 0
"hopeful" 2 0 0 2 2 3 0 1 3 0 1 2 0 1 0 0 0 3 0 0 1 1 1 1 1 0 3 0 1 0 3 1 3 0 0 1 0 0 1 2 4 0 0 2 2 0 0 1 1 0 0 2 1 0 0 0 0 0 0 0 2 0 1 4 0 0 2 0 0 0 4 0 0 1 0 4 1 0 0 0 1 1 0 3 0 1 1 0 0 2 0 0 0 0 0 1 1 0 0 1 0 4 0 0 5 2 0 0 0 1 2 0 0 1 0 0 2 0 0 0 0
"humble" 1 0 0 0 0 0 0 2 0 1 2 3 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 2 0 0 0 0 3 0 0 0 2 2 0 0 2 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 2 0 0 1 0 1 0 0 1 0 1 0 1 2 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 2 0 1 0 0 1 0 0 0 2 0 1 0
"hurried" 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 0 2 0 0 1 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 3 2 0 2 0 2 0 0 0 0 0 0 0 0 1 3 0 0 0 0 1 0 0 2 0 1 0 0 0 1 1 1 0 0 2 1 0 0 0 1 0 2 0 0 6 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0
"immovable" 0 0 1 0 1 2 0 1 2 1 0 1 0 3 0 1 0 0 0 0 0 0 2 1 1 0 0 0 1 0 1 0 2 0 1 1 1 1 2 2 2 1 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 3 1 0 2 0 0 1 2 0 0 3 1 2 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 2 0 4 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 1
"indifferent" 1 2 3 1 1 0 0 4 1 0 1 1 0 0 0 2 1 0 2 0 0 1 3 2 0 1 4 0 1 2 1 0 3 1 0 3 0 0 0 1 1 2 0 3 2 0 0 0 0 0 0 2 0 1 0 1 0 0 2 0 2 3 0 2 0 1 2 1 0 0 1 0 2 0 1 5 0 0 1 1 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0 2 1 2 0 2 1 0 4 1 0 0 1 1 1 0 1 1 1 1 0 1 0 0 1
"jealous" 1 0 1 0 0 0 1 1 1 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 1 0 0 1 3 1 0 2 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 3 0 1 1 0 1 1 0 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 3 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1
"kind" 5 0 2 1 4 2 2 11 6 1 4 5 0 0 4 1 0 4 4 4 0 2 4 5 1 2 7 2 5 1 6 1 8 2 1 6 3 3 2 4 3 6 4 4 3 2 1 0 0 2 1 0 1 2 3 2 2 0 3 1 7 1 5 7 1 3 5 2 3 0 6 0 1 2 1 8 2 2 2 2 8 0 2 6 1 4 2 5 1 10 2 2 0 0 4 4 2 3 1 0 1 10 4 3 27 4 1 6 1 3 8 1 4 7 2 1 1 3 1 3 3
"lazy" 1 0 0 0 0 1 0 0 0 0 1 2 1 1 0 0 0 1 1 0 0 1 2 0 1 0 0 0 2 1 0 1 1 1 0 1 1 0 0 0 0 0 0 2 2 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 1 0 0 0 2 0 1 2 0 1 0 1 0 1 2 0 0 2 0 1 0 1 0 2 0 2 0 0 0 2 1 0 1 1 1 4 0 0 3 1 0 0 1 2 2 0 0 1 0 0 1 0 1 0 0
"lively" 0 1 0 0 1 0 0 5 2 0 0 2 0 0 0 2 0 0 2 1 1 0 0 0 0 0 3 0 1 2 0 2 3 0 0 1 0 0 0 1 0 2 0 2 1 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 2 2 2 2 0 1 2 0 0 2 2 0 0 0 1 3 1 0 0 1 0 0 0 4 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 8 1 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0
"lonely" 3 0 1 0 1 1 1 2 1 2 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 1 0 1 0 2 0 0 4 1 2 2 1 0 0 0 2 0 0 1 0 0 0 1 3 0 0 0 1 1 0 1 1 1 0 0 2 1 0 0 0 0 0 1 0 0 3 0 6 1 0 2 1 2 1 4 0 1 4 0 1 0 2 1 0 1 0 0 1 1 1 0 1 1 3 0 1 6 1 0 0 0 1 2 0 0 3 0 1 0 1 0 0 0
"loving" 1 0 1 0 0 2 0 2 1 1 0 3 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 4 0 0 3 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0 1 0 1 1 1 1 0 2 0 0 0 1 5 0 0 1 0 0 0 1 0 1 1 0 1 1 1 2 0 0 0 0 0 0 1 0 6 2 0 1 0 1 4 0 0 1 0 1 0 0 0 0 0
"melancholy" 0 1 0 0 1 1 0 0 1 0 1 1 1 1 0 0 0 1 0 0 2 2 1 0 0 0 0 0 3 2 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1 1 0 0 0 1 1 5 0 1 2 0 0 0 0 0 1 3 0 0 1 1 1 2 0 0 0 0 1 1 5 0 1 1 0 0 0 0 1 0 1 0 1 1 1 1 0 0 2 1 0 4 2 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0
"merry" 1 0 1 0 0 1 1 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 3 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 1 0 0 0 0 4 0 0 0 0 3 0 0 1 0 1 1 0 1 0 0 1 1 1 1 2 0 0 0 2 0 0 0 0 0 0 1 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"mild" 1 0 2 1 1 2 0 6 1 0 0 1 0 1 0 0 1 0 0 0 0 1 2 3 1 1 3 1 0 0 3 0 5 1 1 1 1 0 2 0 1 1 1 1 0 0 0 0 1 2 1 3 0 0 1 0 1 0 0 0 5 1 0 1 0 0 1 0 0 0 1 0 0 2 1 2 1 0 0 1 0 0 2 0 2 0 0 0 2 2 4 2 1 0 0 0 0 1 0 1 0 5 0 1 5 0 0 0 2 2 2 0 0 4 1 1 1 0 1 3 1
"modest" 1 1 3 0 0 3 1 2 2 0 2 1 0 1 1 0 1 0 0 0 0 2 4 0 0 2 0 0 0 1 1 0 1 0 0 3 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 2 0 0 2 1 0 2 0 0 2 3 1 1 0 3 3 1 0 0 0 0 0 1 1 0 3 1 3 0 4 0 0 0 1 2 0 0 1 0 0 0 5 3 0 10 2 1 0 2 1 3 0 0 1 0 0 1 0 0 0 0
"natural" 4 1 3 3 4 4 0 11 7 0 1 5 1 0 2 1 3 4 0 3 1 4 5 6 1 3 5 1 5 9 5 4 8 2 0 7 0 2 4 3 5 5 1 7 3 2 2 3 1 2 3 7 2 2 1 1 5 2 5 2 0 2 4 7 3 4 11 2 1 3 7 0 1 4 6 11 3 3 0 1 3 3 3 14 0 4 1 5 1 8 8 5 2 1 7 1 1 2 2 3 1 11 5 2 31 7 2 4 6 3 4 1 1 8 1 1 1 3 0 4 3
"neat" 2 0 1 0 0 1 0 4 1 0 0 0 0 1 0 2 0 0 1 0 0 3 0 1 0 1 3 1 2 1 0 0 5 1 0 2 0 0 0 2 1 3 1 1 1 0 0 2 0 3 0 1 0 2 0 1 0 0 1 0 2 0 0 2 1 0 0 1 0 1 1 1 1 4 1 6 0 0 1 0 1 0 1 1 0 1 0 1 1 1 0 2 0 0 1 1 1 0 0 3 1 2 1 1 9 2 0 1 0 0 0 0 2 1 1 0 0 1 0 0 1
"nervous" 0 0 1 0 2 0 0 4 1 0 1 0 0 0 3 1 0 0 0 2 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 5 0 2 0 0 1 0 0 0 4 0 0 2 0 1 1 0 1 2 3 0 3 0 1 3 0 1 0 0 1 1 1 3 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 2 1 1 10 4 0 0 1 1 0 0 0 2 0 0 2 1 0 2 0
"open" 3 1 4 2 7 7 1 14 6 1 6 3 3 2 1 0 1 3 6 1 0 5 1 7 4 3 6 1 5 6 8 2 9 0 3 3 2 1 6 0 4 4 2 10 1 4 1 2 3 2 1 7 1 2 2 1 2 3 1 2 7 2 2 0 0 2 4 2 0 1 5 1 1 7 5 7 2 1 1 2 7 0 2 3 1 5 1 3 1 8 0 4 2 2 3 2 3 4 3 1 0 6 3 1 27 9 1 3 2 0 4 2 1 7 2 3 1 4 1 1 0
"orderly" 0 1 1 0 0 2 1 2 3 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 0 1 0 1 0 2 2 0 3 0 2 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 3 1 0 0 0 1 0 1 0 2 0 0 0 2 0 5 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 1 1 0 0 0 2 1 1 0 1 5 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0
"original" 2 0 1 0 1 1 1 2 2 0 1 1 0 0 2 1 0 1 0 3 1 1 0 0 0 1 1 0 0 3 1 0 1 0 1 2 0 0 0 2 0 0 0 1 1 0 1 2 0 1 1 3 0 1 0 0 0 1 0 0 4 0 1 2 1 0 1 0 1 1 0 0 1 0 0 4 0 1 1 0 0 0 0 1 0 1 0 0 0 2 1 0 0 1 1 0 1 0 0 0 1 4 0 2 6 1 0 0 1 1 1 0 1 2 0 1 0 1 0 1 0
"particular" 3 1 1 1 3 2 1 8 3 2 5 3 1 2 1 3 2 2 0 1 1 2 3 2 2 0 5 2 4 4 5 0 9 2 1 4 0 3 0 3 5 1 2 4 3 2 0 0 2 2 1 5 1 2 0 1 0 0 1 2 11 0 1 4 0 1 0 1 2 0 7 0 3 8 2 11 1 0 1 1 2 1 0 10 2 4 2 4 0 2 2 2 1 3 3 1 1 2 0 1 0 10 4 0 20 3 2 5 2 2 6 2 0 3 1 2 0 2 1 3 3
"passionate" 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 2 1 0 0 0 0 0 1 0 1 1 1 1 2 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 2 1 0 2 1 0 1 0 0 1 2 0 1 1 1 2 1 1 0 0 1 0 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 3 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0
"patient" 1 0 0 0 0 3 0 5 1 0 0 1 0 0 1 1 0 1 1 2 0 2 1 0 0 0 0 0 0 0 0 0 4 1 1 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 3 0 0 0 1 0 0 0 0 1 0 1 0 0 1 2 0 0 0 0 0 1 2 0 3 0 0 0 0 2 0 0 1 1 1 0 1 0 2 0 0 0 0 1 0 1 1 0 0 0 3 1 0 5 1 0 2 0 1 4 0 1 2 0 0 0 2 0 3 2
"placid" 1 0 1 0 2 2 0 1 0 0 2 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 2 3 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 2 3 1 2 1 2 1 0 1 0 0 2 0 0 1 1 4 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 0 2 0 0 0 0 0 1 3 1 0 7 4 1 0 1 2 2 1 1 1 0 0 1 1 0 0 0
"pleasant" 2 1 3 2 6 2 2 5 4 0 6 7 0 2 1 1 2 7 4 3 1 1 5 4 0 1 4 1 4 3 7 2 10 1 2 5 1 1 3 4 5 4 2 5 5 4 1 0 2 1 2 6 2 2 1 1 3 4 1 3 7 1 3 5 0 0 7 2 0 2 0 2 1 3 5 12 1 2 3 1 4 3 1 5 4 2 3 4 0 8 4 2 2 0 5 2 2 0 1 1 1 5 5 0 21 9 2 4 1 4 8 1 0 2 0 3 1 1 1 1 3
"polite" 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 3 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 2 1 0 1 0 0 0 0 0 4 1 1 1 0 2 0 0 0 1 0 0 2 0 1 4 2 0 1 0 0 1 0 0 2 1 0 0 1 0 0 0
"practical" 1 0 2 0 0 0 0 2 1 0 1 1 0 0 2 1 0 0 0 2 0 2 2 1 0 0 1 1 1 0 0 0 2 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 2 0 1 1 0 0 1 0 0 0 1 1 1 3 1 0 1 3 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1 2 0 2 1 4 0 0 0 0 0 0 1 0 0 2 0 0 2 4 0 1 9 2 1 0 1 1 4 0 0 2 0 0 1 1 1 1 1
"proud" 1 1 0 1 2 5 0 7 2 3 1 3 1 1 0 1 1 2 2 1 0 2 4 3 0 1 3 0 1 3 3 0 6 3 2 3 0 1 0 3 1 5 4 3 2 1 2 0 3 0 1 2 2 0 3 1 1 0 2 0 4 4 0 7 2 0 8 1 2 1 3 2 1 0 1 9 0 0 2 2 4 1 2 4 3 4 0 0 1 2 3 3 1 1 1 2 4 2 1 2 1 8 2 1 16 4 0 1 0 1 5 1 0 4 0 3 1 2 0 2 2
"quick" 1 2 3 1 3 1 0 5 1 0 1 0 1 1 0 1 3 1 2 2 2 0 3 0 1 1 4 2 1 2 4 0 3 0 3 6 0 0 2 0 2 1 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 3 6 1 1 5 0 0 2 1 0 1 5 1 1 1 0 4 0 2 0 0 0 2 1 1 0 1 0 3 0 2 2 1 0 1 0 0 0 1 1 0 0 5 2 1 9 1 0 0 4 0 3 1 1 1 0 0 0 1 0 0 0
"quiet" 9 2 10 4 2 8 3 14 11 2 6 7 1 2 1 2 3 7 3 4 2 4 6 4 0 4 9 2 5 7 4 2 14 2 2 11 2 4 1 8 8 7 0 7 3 4 1 3 2 5 1 8 1 3 6 2 1 3 2 3 11 6 3 7 5 4 11 2 3 4 12 0 1 9 4 0 3 1 3 0 5 1 6 8 4 5 1 5 2 11 4 3 5 2 7 2 4 2 3 6 4 14 9 5 32 11 2 2 5 6 12 5 3 15 2 8 1 4 1 3 2
"reproachful" 2 1 0 1 0 1 0 1 5 0 1 2 2 0 0 0 0 1 0 0 0 2 1 0 0 0 3 0 0 1 1 0 1 0 0 2 1 0 1 1 1 0 0 2 0 1 0 0 0 0 0 2 0 1 1 0 2 0 1 1 3 0 0 2 0 0 1 1 0 0 1 0 0 0 0 3 0 0 2 0 0 0 1 1 1 1 2 0 0 0 0 0 1 1 2 1 0 0 0 1 0 2 1 0 4 3 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0
"respectful" 0 0 0 0 0 0 0 4 0 1 0 0 0 0 3 0 0 3 1 2 0 1 1 1 0 1 1 1 2 0 1 0 2 0 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 3 0 1 1 0 1 0 1 0 0 2 0 1 0 2 1 0 0 0 0 0 0 0 1 0 2 0 1 0 2 0 0 1 0 0 1 0 0 0 0 0 2 0 0 6 0 1 1 1 0 2 0 0 0 1 1 1 1 0 0 0
"restless" 3 0 1 0 1 1 0 1 0 0 2 1 1 1 0 1 0 2 1 0 0 0 1 0 0 2 1 0 2 1 0 0 3 1 0 2 0 0 1 2 1 0 0 3 1 0 0 0 0 1 0 2 0 0 2 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 3 0 0 2 0 3 2 0 0 0 2 1 1 1 2 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 1 2 0 0 7 2 0 0 0 0 1 0 1 2 0 1 1 2 1 0 1
"romantic" 0 1 0 0 3 0 0 2 0 1 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 2 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 2 1 1 1 1 0 0 1 0 1 0 0 2 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 0 0 2 1 0 2 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1
"rough" 2 0 5 0 2 2 0 3 1 1 1 4 0 0 0 3 0 0 3 0 0 1 3 2 3 1 2 0 3 0 3 3 4 2 0 4 1 1 0 3 2 5 3 3 3 1 0 1 0 1 0 8 2 0 2 5 0 1 0 0 3 1 1 7 0 0 2 1 2 0 4 2 1 4 0 5 0 0 2 1 0 0 1 3 0 0 1 1 0 6 2 1 2 0 2 4 2 1 1 0 1 5 2 2 14 2 0 5 1 3 8 0 0 0 1 1 0 3 0 1 1
"rusty" 0 0 0 0 2 0 0 4 1 1 4 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 1 2 0 2 0 1 2 1 1 1 0 0 4 0 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 3 0 1 0 1 0 1 0 0 1 3 1 0 1 2 1 0 0 1 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 4 0 1 7 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0
"sad" 2 0 1 1 0 3 0 4 2 0 0 2 0 1 0 1 4 0 0 1 2 1 2 1 0 1 0 0 2 1 0 0 3 0 0 2 1 2 0 2 1 1 0 2 1 0 0 0 1 0 0 2 0 0 4 0 1 0 2 1 3 1 1 2 0 0 0 0 0 0 1 0 1 2 1 6 1 0 1 0 1 2 0 3 3 2 0 1 1 2 1 0 1 0 1 2 2 0 0 0 2 3 0 0 6 2 0 0 1 2 4 0 1 4 1 2 2 0 0 0 0
"second" 1 1 0 2 2 0 0 7 5 1 0 2 1 1 0 1 0 3 2 4 1 2 3 1 2 3 2 2 4 4 3 2 8 1 1 3 0 1 2 2 7 1 1 5 4 3 1 2 1 1 1 6 2 4 0 1 5 1 0 1 14 1 3 3 1 1 10 1 1 1 5 1 2 4 1 8 1 1 1 0 3 2 3 0 1 2 2 1 0 3 3 4 1 1 6 3 2 1 1 4 1 7 3 1 20 4 1 1 1 4 7 1 0 7 1 4 2 3 2 2 1
"selfish" 1 0 1 1 0 1 0 3 1 0 0 1 0 1 1 0 0 2 1 0 0 3 2 1 0 0 0 0 0 0 2 0 2 0 1 0 0 2 0 0 0 1 1 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 0 2 0 1 0 4 0 0 3 0 4 1 0 2 0 0 0 3 1 0 0 0 1 1 1 2 0 1 0 1 2 0 0 1 0 1 1 1 0 4 1 0 0 1 1 2 0 0 2 0 2 0 0 0 1 2
"sensible" 3 0 2 0 1 2 0 5 5 0 2 2 3 0 2 1 1 2 2 3 0 2 2 2 3 1 0 1 1 3 1 0 6 0 2 3 0 0 2 1 0 1 1 3 0 1 1 1 1 1 1 4 1 1 4 0 1 0 0 3 4 1 0 5 0 1 4 1 1 0 2 0 2 4 1 5 1 2 1 1 0 0 2 2 0 0 1 3 0 3 0 0 0 0 2 2 2 2 0 3 0 7 2 2 14 3 1 1 0 0 4 1 1 3 1 1 3 2 1 2 1
"sensitive" 0 1 0 1 1 0 1 1 3 0 1 4 0 0 0 0 0 1 1 1 0 2 1 1 1 0 1 0 0 2 1 2 4 0 1 2 1 0 0 0 2 0 2 0 1 1 0 0 0 0 0 2 0 0 0 0 1 1 0 1 1 0 0 1 0 0 2 0 0 0 3 0 1 0 0 1 2 0 0 0 1 0 0 2 0 1 0 1 0 1 0 0 0 0 2 0 0 0 1 0 1 2 1 0 4 1 1 2 0 0 2 1 0 0 0 0 1 1 1 0 0
"serious" 5 0 2 1 1 1 1 5 3 0 1 1 0 1 3 1 1 4 0 3 0 5 3 2 0 3 0 1 1 1 1 0 4 0 0 4 0 1 1 3 4 2 1 3 1 0 0 0 0 1 1 5 1 1 1 1 0 1 0 3 5 1 1 3 0 0 4 2 1 1 4 0 4 0 3 5 0 1 0 1 1 0 1 1 1 3 1 0 1 1 1 2 1 1 1 0 1 2 1 0 0 4 3 2 14 3 3 1 1 1 3 1 0 4 1 0 1 1 1 1 2
"severe" 2 0 0 0 0 1 1 4 0 0 1 1 0 0 1 0 0 2 0 0 0 2 1 2 1 0 2 0 0 0 1 0 1 0 0 1 0 1 0 0 0 2 0 0 2 0 0 0 0 1 1 1 0 1 0 0 0 1 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 2 0 1 0 1 0 0 0 1 0 1 0 0 2 1 0 0 0 1 3 1 1 1 2 0 1 0 2 0 1
"silent" 5 1 1 2 1 4 5 6 6 0 2 5 0 0 1 0 2 8 4 1 0 2 3 3 3 1 3 1 3 2 2 3 6 1 0 6 4 2 1 3 4 3 2 5 5 2 0 1 0 0 0 10 2 1 2 1 0 1 2 4 8 1 1 8 2 2 2 1 2 1 8 4 0 2 2 11 0 2 1 1 6 0 2 3 1 3 1 1 1 0 2 3 1 1 3 2 1 0 2 1 2 11 3 3 23 5 2 2 3 0 8 0 1 7 1 3 2 2 0 2 1
"simple" 0 0 2 1 3 0 0 6 5 0 0 0 0 0 0 2 1 0 1 1 0 0 3 2 0 2 2 0 1 1 3 0 2 1 0 2 0 1 1 1 2 0 0 3 1 0 2 1 1 1 0 2 0 0 1 1 0 2 4 0 8 0 0 0 0 1 2 0 0 0 4 1 0 3 2 4 0 0 0 1 2 0 1 3 2 0 0 1 1 2 0 0 3 0 2 1 0 1 0 0 1 5 3 0 7 0 0 0 2 0 3 1 0 6 0 0 0 1 0 2 3
"slow" 2 1 0 1 1 2 0 5 1 1 3 1 0 0 0 0 0 1 0 1 1 2 3 3 2 0 4 0 3 1 1 2 5 0 1 1 1 0 1 0 5 1 1 3 5 0 0 1 1 0 0 2 2 0 0 0 1 0 2 0 5 2 0 4 1 0 2 0 0 1 2 1 0 3 1 3 0 0 0 1 1 0 0 4 0 0 0 2 2 3 0 0 0 1 1 1 2 1 3 1 0 5 1 0 6 1 1 2 1 3 4 2 1 2 1 1 1 2 2 0 0
"smooth" 1 1 1 0 2 2 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 1 0 2 0 0 2 0 1 0 1 0 0 0 0 0 0 1 1 0 2 3 0 5 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 2 0 0 2 0 0 1 0 0 1 2 1 0 1 0 5 1 1 0 1 2 0 1 1 1 0 0 1 0 1 3 0 0 0 3 0 0 0 1 1 1 2 1 1 6 2 0 0 3 0 3 0 0 2 0 2 0 1 0 0 0
"sober" 0 1 0 0 1 1 0 3 2 0 3 2 1 0 1 0 1 1 1 0 0 2 0 1 0 0 1 1 0 1 2 0 1 0 1 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 0 2 0 1 3 0 0 0 0 0 0 1 1 2 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 2 1 1 3 2 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0
"soft" 1 0 3 2 2 3 1 3 4 0 3 4 0 1 0 0 0 2 1 2 0 0 2 2 1 2 1 0 1 3 1 2 4 1 1 5 3 0 1 1 5 3 2 1 3 0 0 2 1 0 0 4 0 1 0 1 0 2 0 2 7 1 0 3 1 1 3 1 1 2 5 2 1 1 0 7 2 0 0 0 2 0 1 6 1 2 2 1 0 3 2 1 3 0 0 1 1 1 2 2 1 3 1 1 12 6 1 4 2 2 5 1 2 3 2 1 1 3 0 0 0
"solemn" 1 0 0 0 1 0 0 3 2 0 1 2 1 0 0 0 0 2 1 0 0 1 1 2 1 1 2 1 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0 3 2 1 0 1 0 0 0 4 2 1 1 2 1 0 0 0 1 1 0 2 1 0 1 0 0 0 2 0 0 2 0 2 1 1 2 0 4 0 2 3 2 2 0 0 1 2 1 1 0 0 1 0 1 0 0 1 0 2 1 0 7 3 0 0 0 2 3 0 1 0 0 0 1 0 1 0 0
