"abrupt" "affectionate" "awkward" "bold" "brutal" "busy" "careless" "certain" "cheerful" "civil" "concise" "contrary" "cruel" "curious" "delicate" "dependent" "determined" "dutiful" "eager" "earnest" "easy" "explicit" "faithful" "fearful" "flighty" "free" "friendly" "gay" "general" "generous" "genteel" "gentle" "giddy" "grateful" "grave" "hasty" "hearty" "heavy" "helpless" "hospitable" "humane" "humble" "impatient" "impertinent" "indifferent" "intimate" "kind" "lively" "loud" "melancholy" "modest" "natural" "obedient" "obliging" "officious" "open" "partial" "particular" "pleasant" "polite" "proud" "prudent" "quick" "quiet" "respectful" "romantic" "rude" "second" "sensible" "serious" "severe" "silent" "simple" "solemn" "spirited" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "thoughtful" "true" "ugly" "ungrateful" "unhappy" "unsteady" "urgent" "vain" "violent" "weak" "willing"
"prudent" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 1 0
"quick" 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 2 0 1 0 0 0 0 0 1 2 0 1 5 1 0 2 0 0 0 1 0 1 0 0 0 0 1 3 0 1 0 1 2 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 2 0 0 1 0 0 1 3 0 1 0 1 1 0 5 2 0 0 2 0 0 1 2 1 2 1 0 0
"quiet" 0 1 2 2 0 1 0 2 0 1 0 0 4 0 0 0 0 0 3 1 2 1 0 0 0 2 0 1 2 0 0 0 0 2 0 1 0 0 0 1 0 0 1 2 1 0 1 1 4 2 1 0 1 0 0 0 1 1 0 2 0 1 0 0 0 1 2 0 1 1 0 1 1 0 0 0 0 1 7 2 0 0 2 0 0 2 0 0 0 1 1 2
"respectful" 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 4 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 1 3 0 3 1 2 0 0 2 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 0 1 1 1 2 1 0 0
"romantic" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 3 0 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 2 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 1
"rude" 0 0 0 0 1 0 0 1 1 2 0 0 3 2 0 0 1 0 1 1 2 0 0 1 0 3 0 2 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 2 4 1 1 0 1 0 0 1 0 0 0 0 2 1
"second" 1 2 0 0 0 0 0 3 1 0 0 0 4 0 1 1 1 1 2 0 1 0 0 1 0 0 1 0 5 3 1 0 1 4 0 1 0 1 1 0 1 1 1 1 1 0 3 1 1 1 0 0 0 0 1 2 1 3 0 2 2 0 1 0 2 0 0 0 3 0 2 4 2 1 0 1 4 3 7 3 1 1 1 0 2 3 2 0 2 3 2 2
"sensible" 0 1 2 2 0 0 0 2 2 0 1 1 4 1 2 2 2 0 0 1 2 2 0 1 2 3 0 1 3 3 0 3 1 4 0 1 0 0 3 1 0 0 1 4 3 1 4 1 0 1 3 1 0 0 0 3 3 2 0 1 2 1 0 1 0 1 0 3 0 2 2 5 1 1 1 3 3 3 11 5 0 0 4 0 0 3 1 0 2 3 5 2
"serious" 2 0 0 1 1 0 0 2 1 1 0 0 3 1 2 0 0 0 2 0 3 0 1 1 0 2 0 0 2 2 0 1 0 4 5 1 3 0 0 1 0 1 2 0 2 0 1 2 0 0 2 2 1 1 0 4 1 5 0 2 2 1 0 1 0 1 0 0 2 0 2 6 1 0 2 3 1 3 11 1 0 1 1 1 0 4 0 0 0 2 3 1
"severe" 0 0 0 1 0 0 0 2 0 2 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 2 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 2 2 2 0 1 0 0 1 0 0 0 4 1 0 0 0 0 0 0 2 0 1 0 1 0
"silent" 3 2 0 2 1 1 0 3 5 1 1 1 8 1 4 2 3 1 4 1 7 0 0 2 3 5 1 0 6 5 0 2 1 8 4 5 0 0 1 1 1 2 0 6 3 1 2 1 4 2 4 5 0 2 1 3 1 7 1 0 1 0 3 1 0 1 1 4 5 6 1 0 2 1 0 5 4 4 19 4 1 2 7 1 2 5 1 0 5 3 4 1
"simple" 0 1 1 1 2 0 0 1 1 0 0 0 1 0 0 0 0 1 2 0 0 0 1 0 0 2 1 0 2 1 0 2 0 2 0 1 1 0 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 2 1 1 0 2 0 1 1 1 1 3 5 2 1 0 1 0 1 2 0 0 1 0 1 1
"solemn" 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 3 0 0 2 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 3 1 2 0 0 0 1 0 0 2 0 0 1 1 0 1
"spirited" 0 1 0 2 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 2 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 2 1 0 1 0 0 0 1 1 5 0 1 0 0 1 0 2 1 0 0 0 1 0
"strong" 0 1 0 0 1 0 0 2 1 0 2 2 6 0 1 1 1 0 2 2 3 1 1 3 1 2 2 0 2 3 0 1 0 2 2 2 1 0 1 0 2 0 1 2 2 0 0 0 0 1 1 2 1 2 0 0 0 4 0 0 2 0 1 0 0 0 0 1 3 3 0 5 1 1 0 0 2 0 7 1 2 0 3 1 1 2 0 1 1 3 4 1
"sudden" 0 0 0 0 0 0 0 2 0 0 1 1 2 1 2 0 1 1 0 1 2 1 0 1 0 2 0 0 4 2 1 0 0 2 0 2 0 0 0 0 1 1 1 0 0 0 0 0 2 2 0 1 0 0 0 2 0 2 0 1 2 0 1 0 0 0 1 4 3 1 0 4 1 3 1 2 0 1 7 2 0 0 1 1 0 4 0 0 2 4 0 2
"sufficient" 1 0 1 1 0 0 0 1 4 1 0 1 1 1 1 0 0 1 1 0 0 1 0 0 1 2 0 1 4 2 0 2 0 3 1 3 0 1 0 1 0 0 0 0 0 1 3 1 0 1 0 0 0 1 1 2 2 4 0 0 2 0 0 1 0 0 2 3 3 3 0 4 3 1 1 0 1 0 8 4 1 2 2 0 0 6 0 0 1 1 1 3
"sure" 4 4 4 6 4 3 3 10 2 4 2 2 13 3 7 2 8 3 6 6 10 2 1 4 3 11 1 4 21 9 4 3 2 12 7 4 2 2 3 2 2 6 2 13 8 0 7 2 13 5 5 10 3 5 1 7 2 14 3 5 8 1 5 7 3 1 4 7 11 11 4 19 5 2 5 7 7 8 0 12 3 3 12 4 3 16 3 2 9 14 10 4
"sweet" 0 2 3 3 0 1 0 2 3 0 0 0 4 2 0 2 2 1 4 1 0 0 0 0 1 1 1 3 7 4 0 3 0 6 2 1 0 1 2 0 0 2 0 3 4 1 3 1 3 3 1 2 1 1 0 3 0 4 1 0 2 1 2 2 1 2 1 3 5 1 1 4 2 0 0 1 2 4 12 0 2 0 5 0 2 4 1 1 3 2 5 2
"thankful" 0 2 0 1 0 1 0 0 1 0 1 1 2 1 1 0 0 1 1 1 0 0 1 0 0 0 2 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 2 0 1 3 2 0 0 1 0 1 1 0 1 0 1 3 0
"thoughtful" 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 3 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 2 3 0 0 0 1 0 0 0 0 0 2 0 2 0
"true" 0 1 1 1 0 1 0 3 4 0 1 2 6 2 0 1 2 0 2 1 6 1 0 1 1 5 0 1 5 3 1 1 0 0 1 0 0 1 2 0 1 1 1 2 4 1 4 0 2 0 4 3 0 2 0 0 0 2 0 1 1 1 2 2 0 0 1 1 4 1 0 7 1 1 0 3 1 2 12 5 1 1 0 0 0 2 0 0 3 1 2 2
"ugly" 0 1 1 0 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 1 2 0 0 0 0 1 0 0 2 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 4 0 0 0 0 0 0 1 0 0 0 2 0 0
"ungrateful" 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 3 0 0 0 2 0 1 0 0 0 0 0 1 0 0 2 0 2 1 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 2 1 0 0 1 0 0 3 2 1 0 0 0 0 0 0 0 0 0 2 1
"unhappy" 2 1 3 2 1 0 3 1 2 0 1 2 6 0 4 2 3 2 2 1 6 1 1 0 0 1 1 0 7 6 0 1 0 8 2 2 0 3 3 0 1 2 0 3 1 0 3 0 2 5 2 2 3 0 1 4 1 8 1 1 1 0 1 2 1 1 1 3 3 4 0 5 2 2 2 2 4 6 16 4 1 0 2 1 0 0 1 2 4 5 4 3
"unsteady" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 2 0 0 0 0 2 0 1 0 0 2 1 0 2 1 0 0 1 0 0 0 3 1 0 0 0 0 0 1 0 0 1 0 0 0
"urgent" 0 0 0 1 0 0 0 1 0 0 1 1 2 0 1 0 1 0 1 2 1 0 1 0 0 1 1 0 1 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 2 1 1 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 2 0 0 1 1 1 0
"vain" 2 0 0 2 1 1 0 0 2 2 2 1 3 0 1 1 1 1 2 1 2 1 0 0 0 3 0 2 5 2 0 1 1 3 3 2 0 2 3 1 0 2 0 5 0 1 3 1 3 2 2 1 0 1 1 2 0 1 2 0 2 0 2 0 2 0 0 2 2 0 1 5 1 1 0 1 2 1 9 3 0 2 3 0 0 4 1 1 0 2 3 1
"violent" 0 1 1 3 0 1 1 3 0 0 1 2 5 0 2 1 2 0 3 2 3 0 1 1 1 6 1 0 3 5 0 1 0 3 0 1 1 0 1 0 1 2 1 4 2 1 1 1 4 2 0 0 2 1 1 3 2 5 0 0 1 2 1 1 1 1 0 3 3 2 0 3 0 1 0 3 4 1 14 2 1 0 1 2 0 5 0 1 2 0 2 3
"weak" 2 2 1 2 1 1 0 1 2 0 1 1 6 1 1 1 1 1 2 1 1 0 1 2 1 2 2 3 3 4 0 2 3 4 4 0 0 1 3 0 1 2 0 2 4 0 1 0 2 3 2 2 1 0 0 3 2 0 1 0 3 1 0 1 0 0 2 2 5 3 1 4 1 0 1 4 0 1 10 5 3 2 2 0 2 4 0 1 3 2 0 3
"willing" 1 1 1 0 0 0 0 3 0 0 1 1 1 0 1 1 0 0 1 2 0 1 0 0 0 2 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 1 0 3 0 0 1 0 2 1 0 0 0 0 0 1 1 1 0 1 1 0 0 2 0 1 1 2 2 1 0 1 1 1 0 1 2 3 4 2 0 0 2 0 1 3 0 0 1 3 3 0
