"active" "affectionate" "bitter" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cordial" "cruel" "curious" "dainty" "defiant" "delicate" "determined" "dignified" "direct" "disdainful" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "formal" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "haughty" "heavy" "honest" "hopeful" "hopeless" "hospitable" "humble" "impatient" "imperious" "incredulous" "indifferent" "inflexible" "intense" "intimate" "jealous" "joyful" "keen" "kind" "lively" "lofty" "lonely" "loud" "loving" "majestic" "melancholy" "mild" "military" "modest" "mute" "natural" "neat" "noiseless" "obdurate" "observant" "open" "original" "particular" "patient" "peaceful" "pensive" "pleasant" "polite" "practical" "presumptuous" "proud" "punctual" "quick" "quiet" "reckless" "resolute" "restless" "rigid" "romantic" "rough" "sad" "sarcastic" "scientific" "scornful" "second" "sensible" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stern" "stiff" "strong" "sudden" "sufficient" "sullen" "sunny" "sure" "sweet" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "tough" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "violent" "watchful" "weak" "worldly" "wise"
"active" 0 0 0 0 1 3 0 1 0 2 2 0 0 2 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 1 2 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 2 0 0 0 0 1 0 2 2 0 0 0 0 1 0 3 0 0 3 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 2 0 1 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 3 3 2 1 0 0 0 0 2 3 0 0 0 0 0 0 0 0 1 0 0
"affectionate" 0 0 1 0 0 0 2 0 0 3 0 0 1 2 3 1 0 2 1 1 0 0 0 1 0 0 1 0 1 1 0 4 0 1 1 0 0 1 1 1 0 0 0 2 1 0 2 0 3 0 0 5 0 0 1 0 1 0 1 0 2 3 3 0 0 0 0 0 0 1 2 1 0 0 1 0 0 3 1 0 3 0 0 1 1 1 0 0 1 3 0 1 1 0 1 0 2 0 0 0 0 0 1 2 3 1 0 5 0 1 0 1 0 1 1 0 0 0 2 1 0 1 0 2 5 0 0 0 0 1 0 3 2 1 3 1 2 1 1 3 0 0 0 4 5 2 1 1 1 0 0 2 3 0 0 0 2 1 0 1 0 1 0 2
"bitter" 0 1 0 0 1 1 1 0 0 1 0 1 0 0 3 1 0 0 1 1 2 1 0 0 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 1 0 1 1 2 1 0 0 4 1 2 0 0 1 1 1 0 0 2 0 0 0 2 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 2 1 3 1 0 1 2 0 0 0 2 0 3 0 2 0 0 0 0 0 0 0 2 0 0 1 1 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 0 0 5 2 1 0 0 5 3 0 0 0 0 1 1 0 3 0 1 0 0 1 0 1 0 1 0 0
"bold" 0 0 0 0 1 4 1 0 1 2 1 1 0 3 5 0 0 2 1 1 2 3 1 0 3 0 0 0 2 0 1 2 1 1 1 3 2 2 0 2 1 0 1 5 4 1 2 1 10 1 0 4 3 0 1 1 1 0 3 0 2 1 2 3 1 1 3 0 1 2 1 2 0 1 2 1 0 2 2 0 3 1 0 0 1 3 2 3 2 3 0 0 0 1 5 2 1 4 0 1 5 1 0 0 9 0 5 1 2 2 0 0 0 1 1 0 1 0 4 1 0 0 1 1 6 0 0 2 2 0 0 1 1 1 3 0 1 2 6 2 1 1 0 5 4 1 3 0 2 2 3 0 4 2 2 1 1 0 1 3 1 3 0 0
"brave" 1 0 1 1 0 3 1 0 0 0 2 0 0 1 2 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 2 1 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 2 0 1 1 1 0 0 1 0 2 0 3 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 3 2 0 1 0 0 1 1 0 1 0 0 1 2 1 0 0 1 0 1 3 0 0 0 0 4 3 1 0 0 1 0 1 0 2 0 1 0 1 0 0 0 0 0 1 0
"busy" 3 0 1 4 3 0 3 0 0 5 5 0 2 3 8 3 0 3 1 1 4 2 2 0 2 0 0 0 1 1 0 1 7 0 0 0 2 3 0 0 1 0 2 4 4 3 0 2 9 1 0 6 2 1 3 1 3 0 2 0 0 5 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 3 3 0 2 3 3 0 2 5 2 0 1 5 1 1 0 2 6 3 3 4 1 2 4 0 2 0 10 1 1 10 0 1 2 0 0 4 0 1 1 1 6 0 0 3 2 0 4 3 0 2 3 1 0 4 2 0 0 1 1 2 5 2 1 1 1 11 5 2 1 0 4 0 2 2 9 0 0 2 3 1 1 0 2 4 1 1
"calm" 0 2 1 1 1 3 0 1 0 5 3 1 1 1 5 3 0 1 4 1 3 1 0 0 1 0 1 0 2 0 0 1 3 0 0 0 2 1 0 0 3 0 1 1 3 0 3 1 4 0 0 3 1 1 1 0 1 0 2 1 1 3 3 2 0 0 0 0 0 0 3 1 2 0 0 0 1 2 1 1 1 1 1 0 3 1 0 2 0 1 3 1 1 1 3 0 2 2 2 3 4 0 0 1 3 0 0 6 0 0 0 2 0 0 1 0 1 0 2 1 0 3 2 2 2 1 0 2 3 0 0 2 4 1 3 0 0 2 2 5 0 0 1 1 5 0 1 0 2 2 0 0 3 0 0 0 2 2 1 2 0 2 0 0
"careful" 1 0 0 0 0 0 1 0 0 2 1 1 0 1 2 0 0 0 0 1 1 3 0 0 0 0 1 1 0 1 1 2 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 2 1 0 0 3 0 0 2 1 0 0 0 2 1 0 0 1 0 0 0 1 1 0 3 0 0 1 0 0 0 0 1 0 1 0 2 0 0 0 0 2 0 2 0 0 0 1 0 0 0 4 0 0 1 0 1 0 0 0 0 2 0 0 0 5 1 0 1 1 2 1 0 1 1 0 0 0 1 1 1 0 1 1 0 2 0 1 0 0 4 3 0 2 2 1 0 1 0 4 0 0 1 1 2 0 0 0 2 0 0
"careless" 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 2 0 0 0 0 3 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 2 1 2 1 0 1 0 0 0 1 1 1 2 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 2 0 0 0 0 0 2 1 0 0 3 1 2 1 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 2 1 2 0 0 0 1 1 2 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 1 0 1
"certain" 2 3 1 2 0 5 5 2 1 0 5 3 2 10 13 5 1 2 1 2 1 1 2 1 5 1 3 0 3 4 2 6 8 0 0 7 3 3 2 3 5 1 3 8 4 4 1 1 13 3 2 8 1 0 6 4 0 0 8 2 3 7 5 2 2 2 4 1 4 1 2 0 0 2 1 1 1 6 3 2 4 2 1 3 5 6 0 2 2 9 3 0 0 2 12 0 10 4 0 3 9 1 1 0 13 1 6 8 0 1 2 0 2 2 4 0 2 1 12 2 3 2 2 3 14 2 2 6 3 1 4 6 4 2 8 3 1 4 14 11 3 1 1 22 7 1 2 1 8 2 3 1 12 2 1 0 5 3 4 4 2 8 1 1
"cheerful" 2 0 0 1 2 5 3 1 1 5 0 1 2 1 7 1 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 2 4 0 0 1 3 3 0 0 1 1 2 5 4 0 0 0 2 1 0 4 1 1 0 4 1 0 1 0 0 3 2 3 2 0 0 0 0 0 0 0 0 0 0 0 1 4 2 2 1 1 2 1 1 3 0 2 1 4 1 0 0 1 9 1 0 0 1 1 2 0 1 1 4 1 3 4 1 0 1 1 0 3 2 0 0 0 2 2 1 1 3 1 1 2 0 1 0 0 1 2 6 1 2 0 2 3 5 0 1 0 1 5 6 1 1 0 2 2 1 0 7 1 1 0 1 1 1 1 1 3 0 0
"christian" 0 0 1 1 0 0 1 1 0 3 1 0 0 0 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 3 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 2 0 3 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 1 1 1 0 1 0 0 0 0 3 0 1 1 0 0 1 0 0 0 0 1 2 0 0 1 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0
"clean" 0 1 0 0 0 2 1 0 1 2 2 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 2 1 1 1 0 4 0 0 3 0 1 1 1 0 0 3 2 0 0 1 0 1 0 1 1 1 1 2 0 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 1 1 1 1 1 0 2 1 3 0 0 0 1 0 0 0 3 1 0 3 0 0 0 1 0 1 0 0 0 2 8 1 0 0 2 1 2 3 0 0 2 0 0 2 3 0 0 2 0 0 2 2 1 0 0 6 5 0 1 0 1 1 0 0 4 1 0 1 1 2 0 2 0 3 0 1
"close" 2 2 0 3 1 3 1 1 1 10 1 0 0 0 12 2 1 2 2 0 3 3 1 1 0 3 0 3 1 3 1 0 5 1 0 2 1 1 2 2 1 0 0 4 1 5 2 0 7 1 2 5 3 0 1 3 0 1 5 1 2 5 1 2 2 1 1 3 0 0 0 1 0 1 1 0 0 7 2 0 2 2 0 1 4 4 0 2 2 7 0 0 0 1 9 3 3 3 0 0 1 2 2 1 9 1 6 4 0 0 1 0 2 5 4 1 0 0 4 1 0 1 0 1 7 1 0 4 2 0 3 1 1 2 2 2 2 2 5 3 2 0 1 15 4 3 2 0 2 3 5 3 9 0 1 1 3 1 1 2 1 2 2 0
"cold" 2 3 3 5 2 8 5 2 1 13 7 2 2 12 0 5 1 3 2 0 6 4 1 2 7 3 1 2 4 4 0 3 7 3 4 4 2 4 1 2 5 1 0 14 3 4 1 1 12 2 2 12 5 4 3 2 2 1 11 0 9 13 2 2 3 1 2 4 4 1 2 4 4 2 0 1 2 6 3 3 7 3 2 1 10 5 0 3 2 10 1 2 3 2 16 4 7 3 0 3 3 5 0 1 16 1 9 13 1 1 1 2 1 6 3 1 0 2 13 1 3 4 2 5 11 6 0 4 3 0 6 8 10 2 11 4 3 5 13 6 5 3 2 19 11 2 3 4 6 5 5 5 11 4 0 2 5 4 2 2 2 9 3 3
