"acceptable" "active" "acute" "affectionate" "awkward" "benevolent" "busy" "calm" "careless" "certain" "cheerful" "civil" "close" "cold" "consistent" "constant" "cool" "decided" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "familiar" "fearful" "free" "fresh" "friendly" "gay" "general" "generous" "gentle" "grateful" "grave" "handsome" "hasty" "heavy" "honest" "hurried" "impatient" "independent" "indifferent" "indolent" "indulgent" "injudicious" "intimate" "jealous" "joyful" "judicious" "kind" "lively" "loud" "maternal" "melancholy" "mild" "modest" "natural" "noisy" "officious" "open" "partial" "particular" "playful" "pleasant" "proud" "quick" "quiet" "reasonable" "rough" "sad" "sanguine" "scrupulous" "second" "selfish" "sensible" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "sober" "solemn" "stable" "steady" "strict" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thorough" "thoughtful" "timid" "true" "uncertain" "ungrateful" "unhappy" "unkind" "unsuspicious" "vain" "worldly" "willing" "weak"
"acceptable" 0 1 0 1 0 0 1 0 0 4 0 1 2 1 0 3 0 0 0 0 0 3 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 2 0 1 0 1 1 0 2 1 0 0 0 0 0 1 1 3 0 0 0 1 0 0 1 1 0 0 0 2 0 1 3 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"active" 1 0 2 0 0 0 1 0 0 2 2 2 2 0 1 2 0 1 1 0 0 2 2 0 1 0 0 0 1 2 0 5 0 1 0 0 1 0 2 0 1 3 0 1 2 0 0 1 0 1 0 2 1 0 0 2 0 2 3 0 1 0 1 1 0 2 0 0 4 0 1 1 1 0 2 1 1 0 1 0 0 1 1 0 0 0 1 3 0 2 1 1 4 0 1 1 0 0 1 1 0 0 1 1 0 0 2 1 0
"acute" 0 2 0 0 1 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 2 0 0 0 0 0 2 0 1 1 0 1 0 0 0 0 2 0 0 1 0 0 1 0 1 1 2 1 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 2 1 0 0 0 0 0
"affectionate" 1 0 0 0 0 1 1 1 0 1 1 0 0 1 1 1 1 0 4 0 0 0 1 0 2 2 2 0 1 0 1 2 0 0 1 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 3 1 0 1 0 0 3 3 0 0 0 1 1 0 1 1 2 1 1 0 3 0 2 0 0 1 1 0 0 3 1 0 0 0 0 0 0 0 5 1 1 5 1 0 0 0 0 0 5 0 0 0 1 1 1 0 1 0
"awkward" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0
"benevolent" 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"busy" 1 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 2 1 0 0 1 1 3 0 0 1 0 2 2 5 0 0 0 2 0 0 0 0 1 2 0 1 1 1 0 0 1 0 0 1 0 1 1 0 0 2 3 0 0 1 1 2 1 2 0 2 3 2 0 3 1 0 2 1 1 3 1 0 1 1 0 2 0 1 0 1 0 1 0 1 5 1 1 1 0 0 0 2 0 0 0 1 0 0 0 0 0
"calm" 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 1 1 0 0 0 1 2 3 1 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 1 3 0 1 3 1 1 0 0 0 0 1 1 1 0 1 4 1 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0
"careless" 0 0 1 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 1 0 3 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 2 2 0 0 0 1 1 1 0 0 3 0 1 2 1 0 3 0 0 0 0 1 0 0 0 2 3 0 0 0 0 1 0 0 1 0 1 0 1 0 1 2 0 1 0 1 0 0 2 0 0 1 0 0 1 0 1 0
"certain" 4 2 1 1 0 0 1 2 0 0 2 0 1 5 1 3 0 2 1 2 0 3 1 0 2 2 0 1 1 0 0 6 0 2 0 1 3 1 2 1 1 0 1 2 0 0 0 4 0 0 0 2 2 0 0 2 1 2 7 0 2 2 1 4 1 4 1 3 6 2 2 0 1 2 2 2 2 3 0 0 2 2 0 0 1 2 0 2 0 5 3 3 15 1 3 1 2 2 0 2 1 1 1 1 0 0 1 2 2
"cheerful" 0 2 0 1 0 0 0 0 1 2 0 1 1 2 0 1 0 1 2 1 0 2 1 1 4 0 0 1 1 0 0 4 0 1 0 0 2 2 0 1 0 3 1 0 1 0 1 0 0 0 0 1 2 1 1 1 2 1 4 1 0 2 0 1 0 4 0 1 3 2 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 3 0 2 2 0 7 0 1 1 0 1 1 2 0 1 1 0 0 0 1 0 1
"civil" 1 2 0 0 0 0 1 0 0 0 1 0 3 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 2 0 1 3 0 1 1 0 2 0 2 0 1 4 1 0 0 0 0 0 0 0 0 4 1 0 0 1 0 1 3 0 0 1 0 1 0 3 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 2 0 1 1 1 2 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
"close" 2 2 0 0 0 1 1 1 1 1 1 3 0 4 0 2 0 2 1 0 1 2 3 2 2 1 0 0 3 1 1 5 0 3 1 2 2 0 1 0 0 3 0 1 2 0 0 1 1 2 0 3 3 0 0 0 1 2 4 0 0 2 0 2 1 4 1 2 3 1 1 0 1 1 2 1 1 3 1 1 2 1 0 2 0 2 1 6 2 3 2 2 4 0 0 1 0 0 2 4 0 1 0 0 0 2 0 2 0
"cold" 1 0 1 1 0 0 0 0 2 5 2 1 4 0 1 0 1 1 3 1 0 1 1 1 4 1 0 1 1 0 1 4 1 1 1 1 5 2 4 1 0 0 2 0 1 0 0 1 1 0 1 4 4 0 0 2 2 0 5 0 0 1 0 1 2 5 1 2 2 2 1 1 1 0 2 2 1 1 1 0 2 2 1 0 0 3 0 1 0 5 3 5 11 0 2 1 1 2 0 2 0 1 2 0 1 2 0 1 2
"consistent" 0 1 1 1 0 2 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 3 1 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 2 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 2 0 0 0 0 1 0 0 1 0 1 1 1 1 1 4 1 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0
"constant" 3 2 1 1 1 1 0 1 0 3 1 1 2 0 0 0 0 1 1 0 1 1 1 0 0 0 0 2 1 1 0 3 0 3 1 1 1 0 2 1 0 1 2 1 0 0 1 1 1 0 0 2 2 1 0 0 0 2 4 1 0 3 0 3 0 3 0 0 2 1 0 0 0 0 0 0 2 2 0 0 1 2 0 0 0 1 0 1 0 4 0 0 4 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"cool" 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 3 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0
"decided" 0 1 1 0 0 1 1 1 0 2 1 0 2 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 2 3 0 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 2 2 0 1 2 3 0 0 0 0 1 3 0 0 1 0 1 1 0 0 1 2 2 1 1 0 0 1 0 0 2 1 0 1 0 0 1 0 0 0 1 1 3 1 1 4 0 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1
"determined" 0 1 0 4 1 0 2 1 0 1 2 1 1 3 0 1 2 1 0 0 0 0 4 1 2 2 1 1 1 2 2 6 0 2 2 1 0 3 3 2 0 1 5 1 0 0 1 1 2 1 2 3 2 0 0 2 1 0 6 1 0 2 1 1 2 5 1 2 1 3 0 2 1 1 2 2 1 1 0 1 2 0 0 0 1 2 0 3 0 6 2 1 9 3 0 0 0 0 0 6 2 0 1 0 0 2 0 1 1
"dignified" 0 0 1 0 0 0 1 0 1 2 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0
"direct" 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 2 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 3 0 0 0 0 0 3 1 0 2 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"domestic" 3 2 0 0 0 0 0 1 0 3 2 0 2 1 0 1 0 0 0 0 0 0 1 2 2 2 2 0 0 0 0 3 1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1 0 2 2 0 1 1 1 0 4 1 0 3 0 2 0 2 1 1 1 1 0 0 0 0 0 2 4 3 0 0 3 0 2 1 0 1 0 2 0 3 1 1 3 2 1 1 0 0 1 3 0 0 2 0 0 0 3 1 0
"eager" 1 2 0 1 0 0 1 1 1 1 1 1 3 1 0 1 1 0 4 0 1 1 0 1 1 0 0 0 2 2 1 4 0 1 0 0 1 0 2 0 0 3 0 1 2 1 0 1 0 1 2 3 2 1 0 2 1 2 5 1 0 0 0 2 0 4 3 3 0 0 0 2 1 1 4 1 1 4 0 1 2 3 1 0 0 1 1 1 0 3 0 2 6 1 1 1 0 0 0 3 0 0 0 0 1 1 0 0 0
"earnest" 0 0 0 0 0 0 1 0 1 0 1 0 2 1 0 0 0 0 1 0 0 2 1 0 3 0 0 0 1 2 1 2 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 2 0 2 1 0 0 1 0 0 1 0 0 1 0 1 2 2 0 1 0 1 0 1 0 0 1 1 1 1 0 0 2 1 0 1 0 0 0 1 0 0 1 1 2 1 0 1 0 0 1 1 0 0 1 0 0 1 0 2 0
"easy" 0 1 1 2 2 0 3 1 1 2 4 0 2 4 0 0 3 0 2 1 1 2 1 3 0 0 0 3 1 3 1 14 2 0 0 1 3 1 0 1 1 0 0 3 5 1 2 0 1 0 0 6 2 2 1 0 1 2 5 1 1 2 3 4 2 6 0 2 3 3 1 1 2 1 0 2 2 4 3 2 2 1 0 2 0 1 1 3 0 5 4 2 9 3 2 2 1 1 1 6 1 0 2 2 1 1 1 2 1
