"active" "affectionate" "awkward" "bitter" "boastful" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "conventional" "cool" "cruel" "curious" "delicate" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "giddy" "gloomy" "gracious" "grateful" "grave" "greedy" "handsome" "heavy" "honest" "hopeful" "hospitable" "humble" "impatient" "impertinent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "jealous" "kind" "literary" "lively" "lofty" "lonely" "magnanimous" "majestic" "maternal" "melancholy" "mercenary" "methodical" "mild" "modest" "natural" "neat" "nervous" "observant" "open" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "romantic" "rough" "rusty" "sad" "scornful" "second" "selfish" "sensible" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "stable" "stately" "steady" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "sympathetic" "tender" "thankful" "thoughtful" "tight" "timid" "true" "uncertain" "ungrateful" "unhappy" "unsteady" "vague" "vain" "violent" "virtuous" "watchful" "weak" "willing" "wise"
"active" 0 0 0 0 0 2 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 2 1 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 5 0 0 1 0 1 0 0 0 2 0 0 1 1 1 1 0 0 0 0 0 0
"affectionate" 0 0 1 0 0 0 0 0 0 1 0 5 0 0 1 0 1 0 0 1 0 0 0 1 0 1 1 0 0 2 0 1 3 0 0 1 0 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 1 1 0 2 1 0 0 0 0 1 2 2 0 0 5 0 1 1 1 0 0 2 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 1 0 1 0 1 1 0 0 2 0 0 0 0 0 2 1 0 7 0 0 0 1 1 0 0 1 3 1 0 0 0 1 0 1 0 0 0 0 1
"awkward" 0 1 0 0 1 0 0 0 1 0 0 3 1 0 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 0 1 0 2 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 2 0 0 5 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 1 0 0 2 1 0 2 1 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0
"bitter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 3 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 2 1 0 0 0 1 0 0 0 1 1 1 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 4 0 1 1 0 1 0 0 2 0 0 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 2 0 0 1 2 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 1 1 1 0
"boastful" 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 2 0 0 2 1 0 0 1 0 0 0 2 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0
"bold" 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 1 2 0 0 0 1 1 0 2 0 1 1 1 1 0 2 1 0 0 2 0 0 0 1 3 1 0 0 2 0 2 0 1 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 1 2 1 0 0 4 0 1 2 0 1 1 0 2 0 2 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 2 1 1 0 0 0 1 0 0 5 0 0 0 0 2 0 0 2 3 0 0 1 0 0 1 0 0 0 0 0 0
"brave" 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 2 0 0 1 0 0 1 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 2 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1
"busy" 0 0 0 0 1 0 1 0 0 1 0 4 1 0 3 0 2 0 0 2 1 3 0 0 0 0 1 0 0 3 1 1 0 1 0 0 0 2 1 0 3 2 2 0 0 0 1 0 0 1 0 2 1 0 1 0 0 2 0 2 0 0 1 0 3 1 0 1 0 0 0 0 0 0 1 0 1 1 0 1 1 3 1 2 2 0 2 0 0 2 0 1 3 0 3 5 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 3 2 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 7 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0
"calm" 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 1 1 1 0 2 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 2 0 3 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 2 1 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 3 0 0
"careful" 1 1 0 0 0 0 1 1 0 0 0 3 0 1 3 1 2 0 0 0 1 1 0 1 1 0 1 0 1 2 0 0 0 0 2 0 4 3 1 0 1 2 0 1 0 1 1 2 0 2 0 3 0 0 0 1 0 1 1 0 0 0 0 0 3 1 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 3 0 2 1 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1 1 0 0 2 1 0 0 0 1 1 2 1 0 1 0 1 1 0 0 0 1 0 0 0 3 1 0 6 0 0 0 0 2 2 0 0 5 0 1 0 1 1 0 0 0 0 2 0 1
"careless" 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 2 1 1 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 4 0 0 0 0 0 1 0 0 1 0 2 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 5 1 0 0 0 0 1 0 0 2 0 0 0 0 1 1 1 0 0 0 1 1
"certain" 1 5 3 0 1 0 0 4 3 3 4 0 5 3 4 7 7 8 1 7 1 6 9 6 3 1 6 3 3 10 2 5 8 4 2 2 9 9 9 3 18 6 5 1 5 6 2 4 1 8 14 10 3 4 4 3 6 4 3 4 3 3 4 7 10 7 5 0 4 2 4 2 3 4 5 2 6 13 8 2 4 21 2 7 14 3 3 5 3 7 5 1 10 4 6 14 2 1 3 0 7 3 2 3 10 4 1 0 6 5 3 9 2 5 4 4 2 2 2 2 3 1 3 3 2 19 7 2 40 2 6 1 1 3 5 0 4 24 2 1 2 1 3 3 3 1 1 8 3 5
"cheerful" 2 0 1 0 1 2 0 1 0 0 0 5 0 0 0 2 2 0 0 1 0 1 2 0 0 1 5 0 0 3 0 2 2 0 1 0 0 1 0 0 4 0 1 1 0 3 1 0 1 0 4 1 0 1 0 0 0 0 0 2 0 0 1 1 1 3 1 0 2 1 3 0 2 2 0 0 1 4 1 1 0 4 0 0 3 0 2 0 1 4 0 1 1 0 4 2 0 0 1 0 0 1 2 1 3 0 1 0 1 1 1 1 3 1 2 1 0 0 0 2 0 0 1 1 0 2 0 0 8 0 3 2 0 0 1 2 1 4 1 0 1 2 0 0 1 0 0 3 0 1
"christian" 0 0 0 0 0 0 0 0 1 1 0 3 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 2 0 0 1 0 3 0 1 1 0 0 0 0 1 3 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 4 0 2 0 0 1 1 0 3 0 1 1 1 1 5 0 0 0 0 0 1 0 0 2 1 0 0 0 0 2 2 0 2 2 1 0 2 0 0 1 0 1 0 0 1 1 0 6 0 1 1 1 0 3 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0
"clean" 0 1 1 2 1 0 1 3 0 3 0 4 0 0 0 1 4 1 0 1 1 1 1 0 0 0 0 0 0 5 1 1 0 1 1 0 3 2 0 0 4 0 1 0 0 1 3 0 0 0 2 4 1 0 2 0 0 1 0 0 0 0 0 0 2 1 2 0 0 1 0 1 0 1 2 0 0 4 1 0 2 6 2 1 1 0 0 0 1 2 1 1 2 0 1 2 0 0 1 0 0 1 0 0 3 0 0 1 0 2 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 2 0 2 6 2 1 0 2 0 0 0 0 3 0 0 0 0 0 0 0 1 1 1 1 2
"close" 0 0 2 2 0 1 0 0 1 1 1 7 2 1 1 0 4 1 0 1 1 1 1 0 0 1 2 1 1 4 2 0 0 0 1 1 0 1 1 0 4 0 2 0 0 0 2 1 0 2 7 2 1 3 1 1 1 1 1 0 0 0 0 0 2 0 1 0 1 0 1 1 1 0 0 0 1 2 0 0 2 4 1 3 4 0 1 1 0 2 2 0 0 0 3 4 1 0 1 0 2 1 3 0 4 0 2 0 1 1 0 2 0 3 3 0 1 1 0 2 1 0 1 1 2 4 2 2 4 3 2 1 0 3 1 4 1 1 0 1 0 1 0 0 0 0 0 1 1 2
"cold" 0 1 0 3 1 0 1 2 1 2 0 7 2 1 4 4 0 4 0 2 4 2 2 0 1 0 2 1 2 2 2 2 1 1 1 4 5 0 1 2 7 1 1 0 2 2 1 1 0 3 8 5 1 0 3 0 1 2 2 0 1 0 1 0 5 1 2 1 4 1 1 0 1 2 1 1 1 6 1 0 2 8 1 3 5 0 0 0 1 3 0 0 3 1 2 5 2 0 0 0 1 3 1 0 6 2 0 2 3 0 1 4 1 2 2 0 0 1 2 1 1 0 0 1 2 10 0 0 11 2 4 1 0 3 1 2 0 6 0 1 0 0 2 0 1 2 2 5 1 3
"confidential" 0 0 0 0 0 1 1 0 1 0 0 8 0 1 1 1 4 0 0 1 0 0 3 0 0 0 0 0 1 1 0 2 2 1 0 0 0 1 1 0 4 1 1 0 2 2 0 2 0 1 0 1 0 1 2 0 0 0 1 0 0 0 1 1 0 2 1 0 0 2 0 0 1 0 0 1 1 3 1 0 3 2 0 0 2 0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 6 1 0 5 0 0 1 0 1 1 0 1 6 0 1 0 0 0 0 0 1 0 2 0 2
"conventional" 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 2 0 1 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0
"cool" 0 1 1 0 0 0 1 2 2 0 0 7 1 1 1 1 2 1 1 0 0 0 0 1 1 0 1 1 0 3 0 2 1 0 0 1 0 2 1 0 3 1 0 0 1 0 0 1 1 3 1 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 2 1 1 0 0 6 0 2 2 1 1 0 0 1 0 0 0 0 2 1 1 0 1 1 0 0 0 0 1 1 0 0 3 0 0 3 0 2 1 1 0 1 0 0 1 0 1 1 0 1 0 0 6 0 3 1 1 1 0 0 0 5 0 0 0 0 1 0 0 2 0 1 3 0
"cruel" 0 0 0 0 1 0 0 1 0 1 0 1 0 0 1 1 4 0 0 0 0 1 0 1 0 0 0 0 2 1 1 1 0 1 1 0 2 1 0 0 2 2 0 0 1 1 1 0 0 1 2 2 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 3 0 0 0 1 0 0 2 1 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 4 0 0 4 0 0 0 0 0 0 2 0 3 0 0 1 0 1 0 0 0 0 2 0 1
"curious" 0 0 0 0 0 1 0 3 0 1 2 6 1 0 1 1 2 0 1 0 1 0 1 1 0 1 1 0 2 0 2 1 0 1 0 0 0 1 0 0 3 2 0 0 2 1 0 0 1 1 3 4 0 0 0 1 4 0 0 1 0 2 1 2 2 1 0 2 0 0 2 0 1 1 1 0 1 3 0 0 1 2 1 3 2 0 1 0 0 0 0 0 4 0 2 1 0 1 0 1 0 1 0 0 5 0 1 0 2 1 0 3 1 0 0 1 0 0 0 0 1 0 1 0 0 4 1 0 9 0 1 1 0 0 1 0 1 3 0 0 0 0 3 2 1 0 1 0 1 2
"delicate" 1 0 0 1 0 2 0 0 0 0 0 9 2 0 1 1 2 3 0 0 0 1 0 1 1 0 2 0 0 0 0 0 2 0 1 1 3 0 2 1 4 3 4 1 2 4 1 2 1 3 4 0 1 1 0 0 1 1 0 1 0 0 2 2 1 1 1 1 0 2 0 1 0 2 0 2 0 4 0 1 0 1 0 2 5 0 2 0 0 0 3 0 3 0 2 2 1 1 1 0 1 0 0 0 4 0 3 3 0 1 1 4 0 3 0 4 1 0 2 1 0 1 1 0 0 2 2 1 15 2 2 2 1 2 0 1 2 8 1 2 1 1 0 0 2 1 1 5 1 0
"determined" 0 1 0 0 1 0 0 0 1 1 0 6 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 0 1 0 2 0 2 0 1 0 0 1 1 0 1 0 0 0 1 2 1 2 1 0 0 0 0 0 1 1 2 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 3 1 0 0 0 0 0 2 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 4 1 0 4 1 0 0 0 0 1 0 1 3 0 0 0 1 0 0 0 1 0 2 0 0
