"terms";"clusters"
"simple";137
"sincere";226
"sleek";276
"slippery";37
"slovenly";116
"slow";14
"sluggish";245
"sly";236
"smooth";13
"snappish";130
"sober";18
"sociable";7
"social";242
"soft";65
"solemn";181
"solicitous";102
"sorrowful";88
"sour";97
"spasmodic";178
"spirited";143
"spontaneous";103
"sprightly";91
"stable";45
"staid";219
"stately";1
"steadfast";113
"steady";33
"stealthy";152
"steep";204
"stentorian";154
"stern";151
"stiff";262
"stolid";164
"stormy";126
"straight";209
"straightforward";214
"strict";266
"stubborn";48
"studious";203
"submissive";147
"subservient";79
"subtle";224
"sudden";1
"sufficient";207
"suggestive";240
"sullen";148
"sunny";56
"supercilious";29
"susceptible";268
"suspicious";177
"swift";90
"sympathetic";267
"systematic";237
"taciturn";67
"talkative";194
"tardy";159
"tasteful";182
"taut";36
"tearful";148
"tempestuous";80
"tender";151
"thankful";257
"thankless";27
"thorough";60
"thoughtful";65
"thoughtless";45
"tight";155
"timid";93
"tolerant";201
"tough";6
"treacherous";166
"tremulous";141
"trim";128
"trustful";142
"turbulent";259
"ugly";257
"unbending";78
"uncertain";239
"uncompromising";265
"unconstrained";99
"undecided";118
"undutiful";223
"ungrateful";230
"unguarded";89
"unhappy";88
"unimaginative";213
"unkind";193
"unmindful";38
"unrelenting";146
"unsuspicious";109
"untoward";225
"unyielding";107
"urgent";156
"vague";84
"vain";158
"vehement";118
"venturesome";119
"vindictive";134
"violent";1
"visionary";143
"vituperative";141
"voluble";274
"waggish";163
"watchful";19
"weak";181
"wheezy";32
"whimsical";18
"willing";191
"wiser";146
"wistful";111
"womanly";42
"unreserved";139
"windy";163
"worldly";188
"voracious";259
"virtuous";29
"upstart";251
"zealous";11
"valiant";195
"wise";5
"wry";240
"vicious";122
"wary";78
"vigilant";3
"unsparing";210
"worshipful";102
"verbal";77
"thoroughgoing";238
"vivacious";106
"wrathful";187
"vociferous";194
"tempered";199
"turbid";170
"unsteady";16
"unselfish";2
"tranquil";274
"unassuming";114
"unforgiving";70
"unctuous";183
"unresponsive";122
"unobservant";153
"unsympathetic";153
"unwinking";238
"uncomplaining";63
"unresisting";68
"tidy";252
"trusty";198
"unceremonious";251
"unflinching";139
