"affectionate" "bold" "busy" "calm" "certain" "cheerful" "clean" "close" "cold" "confidential" "constant" "cruel" "curious" "delicate" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "haughty" "heavy" "honest" "hopeful" "hopeless" "humble" "imperious" "indifferent" "jealous" "kind" "lively" "lofty" "lonely" "loud" "melancholy" "mild" "modest" "natural" "open" "original" "particular" "patient" "pleasant" "polite" "proud" "quick" "quiet" "rough" "sad" "second" "sensible" "serious" "severe" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stern" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thoughtful" "tight" "timid" "tough" "true" "ugly" "unhappy" "vague" "violent" "watchful" "weak"
"affectionate" 0 0 0 2 3 0 1 2 3 1 2 0 0 0 1 4 0 0 0 1 0 2 1 0 3 0 0 5 0 0 1 0 1 1 2 3 3 0 0 0 0 2 1 3 1 0 3 0 1 1 0 3 1 0 2 0 0 0 3 0 5 1 1 2 1 0 2 5 0 0 0 0 3 2 1 3 1 2 1 1 3 0 4 5 1 1 0 0 2 3 0 2 1 1 0 1
"bold" 0 0 4 1 2 1 0 3 5 0 2 2 3 3 0 2 1 3 2 2 1 5 4 1 10 1 0 4 3 0 1 1 1 3 2 1 2 3 1 3 1 1 2 2 2 0 3 1 1 3 3 3 5 2 1 4 5 1 9 5 1 1 1 4 1 1 1 6 0 2 2 0 1 1 1 3 0 1 2 6 2 1 5 4 3 2 2 3 0 4 2 1 0 3 1 3
"busy" 0 4 0 3 5 5 2 3 8 3 3 4 2 2 1 1 7 0 2 3 1 4 4 3 9 1 0 6 2 1 3 1 3 2 0 5 1 1 0 0 0 1 1 3 3 0 2 3 2 5 0 5 6 3 3 4 4 0 10 1 10 4 0 6 0 2 0 4 3 2 3 0 4 2 0 0 1 1 2 5 2 1 11 5 1 4 0 2 2 9 0 3 1 0 2 4
"calm" 2 1 3 0 5 3 1 1 5 3 1 3 1 1 0 1 3 0 2 1 3 1 3 0 4 0 0 3 1 1 1 0 1 2 1 3 3 2 0 0 0 3 0 2 1 1 1 1 3 1 2 1 3 0 2 2 4 0 3 0 6 0 1 2 1 2 2 2 1 2 3 0 2 4 1 3 0 0 2 2 5 0 1 5 1 2 2 0 0 3 0 2 2 2 0 2
"certain" 3 2 5 5 0 5 2 10 13 5 2 1 1 5 4 6 8 7 3 3 5 8 4 4 13 3 2 8 1 0 6 4 0 8 3 7 5 2 2 4 4 2 1 6 3 2 4 2 5 6 2 9 12 0 10 4 9 1 13 6 8 2 4 12 2 2 3 14 2 6 3 4 6 4 2 8 3 1 4 14 11 3 22 7 2 8 2 3 1 12 2 5 3 4 2 8
"cheerful" 0 1 5 3 5 0 2 1 7 1 0 2 0 1 0 2 4 1 3 3 1 5 4 0 2 1 0 4 1 1 0 4 1 1 0 3 2 3 2 0 0 0 0 4 2 2 1 1 1 3 2 4 9 1 0 0 2 0 4 3 4 3 2 2 2 3 1 1 2 1 0 1 2 6 1 2 0 2 3 5 0 1 5 6 1 2 2 1 0 7 1 1 1 1 1 3
"clean" 1 0 2 1 2 2 0 0 2 0 0 0 0 0 0 0 1 0 0 1 1 2 1 1 4 0 0 3 0 1 1 1 0 3 0 0 1 0 1 1 1 2 0 1 0 0 0 1 1 2 0 1 2 1 3 0 1 0 3 0 3 1 0 8 1 2 1 2 3 0 2 0 2 3 0 0 2 0 0 2 2 1 6 5 1 1 1 0 0 4 1 1 2 2 0 3
"close" 2 3 3 1 10 1 0 0 12 2 2 3 3 0 3 0 5 2 1 1 1 4 1 5 7 1 2 5 3 0 1 3 0 5 2 5 1 2 2 1 0 0 1 7 2 0 2 2 4 4 2 7 9 3 3 3 1 2 9 6 4 5 4 4 1 0 1 7 1 4 2 3 1 1 2 2 2 2 2 5 3 2 15 4 2 2 3 5 3 9 0 3 1 2 1 2
"cold" 3 5 8 5 13 7 2 12 0 5 3 6 4 7 4 3 7 4 2 4 5 14 3 4 12 2 2 12 5 4 3 2 2 11 9 13 2 2 3 2 4 2 0 6 3 3 7 3 10 5 3 10 16 4 7 3 3 5 16 9 13 6 3 13 1 2 5 11 6 4 3 6 8 10 2 11 4 3 5 13 6 5 19 11 3 6 5 5 5 11 4 5 4 2 2 9
"confidential" 1 0 3 3 5 1 0 2 5 0 1 4 1 0 3 3 3 2 1 2 0 1 0 2 6 1 1 0 0 0 0 0 1 2 1 2 0 0 0 1 1 1 1 0 1 1 0 0 1 1 0 3 1 1 2 0 1 2 7 2 3 0 0 1 2 1 1 0 0 2 5 1 3 1 0 3 2 0 2 4 2 1 9 1 0 0 1 0 2 2 1 3 2 0 3 2
"constant" 2 2 3 1 2 0 0 2 3 1 0 2 0 3 1 1 1 0 3 1 1 2 1 1 3 1 1 7 4 1 2 2 2 1 4 2 3 1 1 1 2 2 5 2 0 2 1 1 1 0 0 6 6 1 1 1 2 1 6 1 4 5 2 4 1 0 1 1 2 1 0 1 1 2 1 1 1 0 1 6 2 0 6 5 0 2 0 2 4 4 1 2 1 0 0 3
"cruel" 0 2 4 3 1 2 0 3 6 4 2 0 0 3 1 4 2 0 0 0 3 3 2 1 3 0 0 2 0 1 0 0 2 4 0 4 1 3 1 1 0 1 1 4 0 0 3 0 0 1 1 5 2 2 2 2 1 0 6 5 5 0 0 2 1 2 0 1 2 1 2 1 2 3 1 1 3 1 1 5 3 2 7 3 0 3 1 2 1 2 1 2 0 0 2 4
"curious" 0 3 2 1 1 0 0 3 4 1 0 0 0 1 1 2 3 2 0 0 0 2 2 0 4 0 3 2 0 1 4 1 0 1 1 3 1 3 0 1 1 0 0 6 0 0 0 1 1 1 4 4 5 1 4 0 2 1 6 0 5 1 2 5 2 0 1 5 0 1 1 0 0 2 1 1 1 1 0 5 3 0 11 3 3 1 1 1 0 7 1 0 2 2 1 3
"delicate" 0 3 2 1 5 1 0 0 7 0 3 3 1 0 1 2 1 2 0 2 0 1 2 2 6 1 0 3 1 1 2 3 1 2 3 1 3 3 2 2 2 1 1 1 0 3 3 0 4 2 1 3 6 1 5 2 4 1 5 3 4 3 1 3 1 0 1 3 2 2 0 1 2 1 0 3 1 2 1 5 1 2 7 5 1 1 0 1 1 3 1 1 1 1 1 2
"domestic" 1 0 1 0 4 0 0 3 4 3 1 1 1 1 0 1 3 1 0 3 1 1 0 0 4 0 2 1 0 0 0 0 0 3 1 7 1 0 1 1 2 2 1 2 1 0 2 1 2 0 0 3 2 2 2 1 1 1 5 0 2 1 1 1 1 0 1 2 2 0 2 1 1 1 0 1 1 0 0 3 2 1 6 3 1 0 0 1 2 6 0 0 2 0 3 2
"earnest" 4 2 1 1 6 2 0 0 3 3 1 4 2 2 1 0 3 1 1 0 2 6 2 1 4 2 1 5 0 2 2 0 0 5 3 5 1 2 1 1 1 4 0 8 1 1 6 0 2 1 3 7 4 0 3 2 2 0 11 4 6 2 3 1 2 2 3 6 1 1 1 0 4 1 3 5 2 2 0 6 4 2 10 3 2 3 3 0 1 3 1 2 2 3 2 4
"easy" 0 1 7 3 8 4 1 5 7 3 1 2 3 1 3 3 0 2 2 4 0 3 3 3 8 0 2 5 2 1 2 0 3 5 0 7 2 1 0 1 0 1 2 5 1 0 7 1 2 2 1 5 8 2 3 3 7 2 3 0 11 3 1 5 3 2 2 4 2 3 3 2 3 4 0 1 3 1 2 9 3 2 13 8 1 4 0 3 0 5 0 0 2 2 1 5
"expressive" 0 3 0 0 7 1 0 2 4 2 0 0 2 2 1 1 2 0 2 1 0 2 0 2 7 1 1 1 0 0 3 3 0 1 2 2 2 0 0 2 1 2 1 1 1 1 1 0 1 2 0 1 3 0 4 1 4 0 5 3 1 0 1 3 1 0 2 1 1 0 0 1 1 0 1 3 2 2 0 2 2 3 11 3 2 0 1 1 0 2 0 0 2 1 0 3
"faithful" 0 2 2 2 3 3 0 1 2 1 3 0 0 0 0 1 2 2 0 1 0 1 0 2 2 1 0 1 1 0 0 1 0 0 0 1 1 1 0 0 0 2 1 3 1 1 1 1 0 0 0 2 4 0 1 1 1 0 3 1 4 4 1 1 0 0 1 2 1 0 1 1 0 1 1 1 0 0 0 1 2 0 4 3 2 1 1 0 2 6 1 1 1 0 1 2
"familiar" 1 2 3 1 3 3 1 1 4 2 1 0 0 2 3 0 4 1 1 0 1 1 1 0 5 1 1 3 0 1 1 0 2 2 1 2 2 0 0 1 1 0 1 1 0 0 2 3 1 3 1 4 7 3 2 0 1 3 7 0 5 4 2 4 3 0 0 2 1 2 2 0 2 2 0 2 0 0 2 1 1 2 5 4 0 2 1 0 1 4 0 1 0 1 2 0
"fierce" 0 1 1 3 5 1 1 1 5 0 1 3 0 0 1 2 0 0 0 1 0 1 1 0 3 0 2 2 2 0 0 0 0 5 1 3 1 1 0 1 0 3 1 1 2 0 1 3 1 2 0 1 3 1 0 0 1 0 5 4 3 0 1 0 0 1 0 3 1 1 2 1 2 3 1 1 0 0 0 3 3 2 5 2 0 1 1 1 0 4 2 0 1 2 0 1
"free" 2 5 4 1 8 5 2 4 14 1 2 3 2 1 1 6 3 2 1 1 1 0 0 3 8 0 1 6 1 1 3 3 3 3 1 5 1 2 2 4 1 1 1 4 3 0 5 1 3 4 2 6 14 2 2 1 3 2 7 5 10 2 5 7 0 3 4 7 4 1 1 3 4 7 4 4 1 4 4 10 1 3 13 8 1 5 1 5 0 5 1 5 3 2 1 8
"fresh" 1 4 4 3 4 4 1 1 3 0 1 2 2 2 0 2 3 0 0 1 1 0 0 0 4 1 0 4 0 1 3 0 2 3 1 5 3 2 0 3 0 0 3 4 0 1 1 1 1 1 2 2 8 1 2 2 2 0 4 2 4 4 1 2 3 2 1 4 2 4 1 0 1 5 1 2 0 0 1 6 0 1 6 3 1 2 2 4 0 3 3 1 0 2 0 2
"friendly" 0 1 3 0 4 0 1 5 4 2 1 1 0 2 0 1 3 2 2 0 0 3 0 0 4 1 1 2 0 1 3 3 1 1 0 2 2 0 1 0 0 1 0 3 3 0 0 0 4 0 0 3 3 0 7 1 2 0 7 5 3 3 2 3 0 2 2 4 1 1 3 3 3 0 2 1 2 0 1 2 2 0 13 2 1 1 2 1 4 4 1 0 0 3 2 3
"general" 3 10 9 4 13 2 4 7 12 6 3 3 4 6 4 4 8 7 2 5 3 8 4 4 0 3 7 8 4 5 6 4 7 11 8 12 4 1 2 3 5 5 2 3 7 3 7 3 10 9 4 9 17 6 17 0 8 3 19 4 14 3 3 10 6 2 5 11 5 7 6 8 9 8 3 9 4 3 4 16 7 2 28 13 3 5 1 7 3 10 3 6 4 4 6 12
"generous" 0 1 1 0 3 1 0 1 2 1 1 0 0 1 0 2 0 1 1 1 0 0 1 1 3 0 0 3 1 0 0 1 0 2 1 3 1 3 0 1 0 0 2 1 0 2 0 0 1 0 0 2 5 2 1 2 2 0 4 4 4 1 0 3 2 0 1 2 2 1 0 1 2 1 2 0 0 0 0 1 0 1 7 0 0 0 0 0 0 5 1 0 1 1 2 1
"genteel" 0 0 0 0 2 0 0 2 2 1 1 0 3 0 2 1 2 1 0 1 2 1 0 1 7 0 0 1 1 2 2 0 2 6 1 2 1 1 0 0 0 1 0 3 0 2 0 1 2 0 1 0 5 1 3 0 3 3 6 0 0 0 1 2 2 0 1 0 2 1 0 2 0 3 0 2 0 1 0 4 1 0 0 2 0 0 0 1 1 2 1 0 1 1 0 3
"gentle" 5 4 6 3 8 4 3 5 12 0 7 2 2 3 1 5 5 1 1 3 2 6 4 2 8 3 1 0 3 3 5 4 1 4 3 7 2 3 3 3 1 2 1 7 2 3 6 1 2 5 3 8 11 3 3 6 4 1 11 4 12 6 2 7 2 3 0 8 10 1 2 1 9 6 2 1 1 4 1 8 3 2 14 11 4 4 0 4 2 9 0 4 2 2 0 5
"gloomy" 0 3 2 1 1 1 0 3 5 0 4 0 0 1 0 0 2 0 1 0 2 1 0 0 4 1 1 3 0 1 0 0 0 2 1 3 0 1 0 1 1 0 1 0 2 1 3 1 2 1 0 1 3 0 1 1 3 0 5 3 1 2 1 2 1 0 0 4 0 0 0 0 2 2 1 1 0 0 1 4 0 0 2 0 0 0 1 3 2 3 0 1 1 1 1 2
"graceful" 0 0 1 1 0 1 1 0 4 0 1 1 1 1 0 2 1 0 0 1 0 1 1 1 5 0 2 3 1 0 1 1 2 3 3 1 1 0 1 1 1 1 0 2 1 1 0 0 1 0 2 2 3 1 4 0 3 1 5 1 5 0 1 3 0 0 1 4 3 2 2 0 6 4 0 2 2 0 0 2 0 0 5 5 1 0 2 0 1 2 0 2 2 0 1 3
"gracious" 1 1 3 1 6 0 1 1 3 0 2 0 4 2 0 2 2 3 0 1 0 3 3 3 6 0 2 5 0 1 0 1 0 2 3 2 1 1 0 2 0 0 0 4 1 1 1 0 2 2 0 1 2 0 5 1 2 0 3 1 3 0 2 2 0 1 1 5 2 3 0 0 1 2 2 1 1 1 0 2 1 0 12 9 1 1 2 1 1 5 0 0 0 2 0 3
"grateful" 0 1 1 0 4 4 1 3 2 0 2 0 1 3 0 0 0 3 1 0 0 3 0 3 4 1 0 4 0 1 1 0 2 0 0 2 2 0 3 1 1 0 0 4 0 0 0 0 3 2 1 2 7 0 1 0 4 1 5 2 5 1 3 2 3 1 1 2 2 2 0 0 1 1 2 2 1 1 1 5 0 1 12 6 2 2 0 0 0 4 0 1 3 1 2 4
"grave" 1 1 3 1 0 1 0 0 2 1 2 2 0 1 0 0 3 0 0 2 0 3 2 1 7 0 2 1 0 2 0 2 0 2 3 0 1 0 1 1 0 2 1 4 1 0 1 0 2 2 2 1 3 2 3 0 4 4 4 1 4 0 2 2 1 3 2 2 1 1 0 2 0 4 0 2 2 1 1 1 1 0 11 1 0 1 2 1 0 2 1 1 1 1 2 2
"handsome" 1 3 2 2 8 1 3 5 11 2 1 4 1 2 3 5 5 1 0 2 5 3 3 1 11 2 6 4 2 3 2 0 2 0 4 5 2 0 0 2 3 3 2 3 0 1 5 2 1 2 2 3 9 2 2 2 2 2 18 2 7 1 0 7 3 1 1 8 3 4 2 4 5 3 0 9 2 3 0 8 5 2 10 4 1 5 2 4 0 8 5 0 2 5 2 2
"haughty" 2 2 0 1 3 0 0 2 9 1 4 0 1 3 1 3 0 2 0 1 1 1 1 0 8 1 1 3 1 3 3 0 3 4 0 2 2 1 0 2 5 2 1 0 1 3 1 0 4 2 1 5 4 1 0 0 0 1 12 1 2 2 0 3 1 2 0 2 0 0 2 3 4 3 0 4 2 2 2 3 3 5 5 5 0 0 1 0 1 5 0 4 1 1 1 1
"heavy" 3 1 5 3 7 3 0 5 13 2 2 4 3 1 7 5 7 2 1 2 3 5 5 2 12 3 2 7 3 1 2 2 0 5 2 0 3 1 0 2 2 1 3 7 3 2 5 2 5 0 3 7 7 3 5 0 7 2 9 1 6 9 1 4 0 2 4 6 6 2 2 3 4 5 2 2 0 1 4 13 1 1 12 13 1 5 1 5 2 10 0 2 3 5 3 5
"honest" 3 2 1 3 5 2 1 1 2 0 3 1 1 3 1 1 2 2 1 2 1 1 3 2 4 1 1 2 0 1 1 2 1 2 2 3 0 2 3 1 0 4 1 6 2 3 3 0 2 1 0 3 4 0 3 1 3 1 5 3 5 4 1 3 4 1 0 2 1 3 2 0 1 2 1 2 2 1 2 6 2 1 13 4 0 0 1 1 1 7 0 1 0 2 1 2
"hopeful" 0 3 1 2 2 3 0 2 2 0 1 3 3 3 0 2 1 0 1 0 1 2 2 0 1 3 1 3 1 0 1 0 0 0 1 1 2 0 0 1 0 0 0 2 0 2 1 0 1 0 1 1 5 0 0 1 2 0 3 1 2 1 2 0 2 0 0 1 1 0 2 0 0 1 1 1 1 1 1 4 1 0 2 3 0 1 0 1 0 0 0 0 0 1 0 1
"hopeless" 0 1 0 0 2 2 1 2 3 0 1 1 0 2 1 1 0 0 0 0 0 2 0 1 2 0 0 3 0 1 0 3 1 0 0 0 3 0 0 1 1 1 0 2 0 0 0 0 2 2 1 0 5 0 1 1 1 0 2 4 4 0 0 2 0 1 0 3 0 0 0 0 0 2 1 1 0 0 0 4 1 2 9 2 0 2 1 1 0 0 0 0 1 1 1 4
"humble" 0 3 0 0 4 0 1 1 2 1 1 1 1 2 1 1 1 2 0 1 1 4 3 0 3 1 0 3 1 1 2 1 1 2 2 2 1 1 1 0 4 0 3 2 1 2 2 0 2 4 1 4 6 0 3 0 1 0 7 2 5 0 2 4 1 1 1 3 1 1 0 0 3 2 1 1 1 1 0 3 1 2 6 3 0 1 1 3 0 4 0 1 4 1 0 3
"imperious" 0 1 0 0 4 0 1 0 4 1 2 0 1 2 2 1 0 1 0 1 0 1 0 0 5 0 0 1 1 1 0 1 0 3 5 2 0 0 1 4 0 1 0 0 0 1 0 0 1 0 2 1 2 0 0 0 2 0 8 1 2 1 0 4 2 2 0 3 0 0 1 1 2 0 1 2 2 0 1 4 2 0 2 1 0 1 0 0 0 2 1 2 1 0 1 0
"indifferent" 2 1 1 3 2 0 2 0 2 1 2 1 0 1 2 4 1 2 2 0 3 1 0 1 5 0 1 2 0 1 0 0 2 3 2 1 4 0 1 0 1 0 0 4 2 1 1 1 1 0 0 2 3 2 1 0 2 0 8 1 3 2 1 7 0 0 2 1 2 0 3 3 1 2 1 2 1 1 0 1 3 1 7 3 0 2 0 0 3 5 3 1 2 2 0 1
"jealous" 1 2 1 0 1 0 0 1 0 1 5 1 0 1 1 0 2 1 1 1 1 1 3 0 2 2 0 1 1 0 0 0 1 2 1 3 1 0 0 3 0 0 0 0 0 0 1 1 0 0 0 2 1 2 2 0 1 0 6 2 2 2 0 2 2 0 0 4 0 3 0 0 1 1 1 0 0 0 2 2 0 2 7 2 0 1 1 1 2 4 1 2 1 1 1 1
"kind" 3 2 3 2 6 4 1 7 6 0 2 4 6 1 2 8 5 1 3 1 1 4 4 3 3 1 3 7 0 2 4 4 4 3 0 7 6 2 2 2 0 4 0 0 3 1 6 3 2 1 4 11 10 3 7 2 2 3 9 4 6 3 6 6 3 2 3 10 5 4 2 2 1 3 2 3 3 3 0 9 2 0 20 12 0 6 2 2 1 12 1 2 1 1 1 8
