"active" "affectionate" "bitter" "bold" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "cruel" "curious" "delicate" "dignified" "eager" "earnest" "easy" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "free" "fresh" "general" "gentle" "gloomy" "gracious" "grateful" "handsome" "hasty" "haughty" "hearty" "heavy" "helpless" "honest" "humane" "humble" "hurried" "impatient" "intense" "irrepressible" "kind" "lively" "lonely" "loud" "melancholy" "merry" "mute" "natural" "neat" "noisy" "open" "particular" "peaceful" "pleasant" "precise" "proud" "quick" "quiet" "rapid" "respectful" "rigid" "rough" "rueful" "rusty" "sad" "second" "serious" "silent" "simple" "slow" "soft" "solemn" "stiff" "strong" "sudden" "sure" "surly" "sweet" "thoughtful" "tight" "tremulous" "true" "ugly" "ungrateful" "violent" "virtuous" "weak" "wise"
"active" 0 0 0 0 1 0 0 1 0 2 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 3 2 0 1 0 0 1 1 1 0 0 1 0 0 0 0 1 2 0 1 0 0 1 2 3 3 2 0 0 0 0 1 0 0 0 1 1 0
"affectionate" 0 0 0 1 0 1 0 1 1 0 1 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 2 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2 2 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 2 1 0 2 2 0 2 1 2 0 0 0 0 0 1 1 0 0 0 1 0
"bitter" 0 0 0 0 1 0 0 0 1 1 1 3 1 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 0 2 0 0 2 1 1 1 0 4 0 2 0 1 0 1 0 0 2 0 0 0
"bold" 0 1 0 0 0 0 1 1 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 2 0 2 0 2 0
"busy" 1 0 1 0 0 0 0 1 0 0 0 2 0 0 2 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 2 0 0 0 0 1 1 4 1 0 0 1 1 2 0 0 0 1 1 2 1 0 2 0 0 0 3 1 1 1 1 2 4 0 3 1 0 0 0 0 1 0 1 1 0 0 0 0 0 2 1 1 1 1 1 0 0 1 0 0 2 0 1 0
"calm" 0 1 0 0 0 0 0 2 2 0 2 4 1 0 0 1 1 1 2 0 1 0 0 0 2 0 0 1 0 3 1 0 0 0 0 1 0 5 0 1 1 0 0 0 0 0 2 1 2 1 0 1 0 0 1 0 1 0 2 1 1 1 1 3 1 0 2 1 0 1 0 3 0 2 2 0 2 3 1 3 2 2 0 1 0 1 0 1 0 0 0 0 3 0
"careful" 0 0 0 1 0 0 0 1 1 0 1 3 0 1 0 0 0 3 2 0 0 1 0 1 1 0 3 2 1 2 0 0 2 0 0 0 0 3 0 2 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 2 0 0 0 0 0 1 1 1 0 1 1 0 1 2 1 1 1 1 0 0 0 1 2 2 0 1 0 1 0 1 1 0 1 0 1 1
"certain" 1 1 0 1 1 2 1 0 2 1 2 12 2 1 3 0 1 1 1 0 0 1 3 0 0 2 1 3 3 3 3 1 1 2 3 0 0 4 0 2 1 0 0 1 0 0 3 1 2 3 1 0 1 1 1 0 5 4 0 2 1 1 1 8 4 0 1 2 1 1 1 6 0 3 2 0 2 1 1 10 4 6 2 4 0 0 1 3 1 1 4 1 0 2
"cheerful" 0 1 1 0 0 2 1 2 0 2 1 3 1 2 0 0 0 3 1 0 0 0 0 1 1 0 0 2 0 2 1 0 1 2 0 0 0 4 1 3 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 5 0 1 2 0 0 1 1 0 1 0 3 0 1 1 1 1 4 1 1 4 2 1 4 2 8 0 2 0 0 0 2 1 1 1 0 1 0
"clean" 2 0 1 0 0 0 0 1 2 0 2 3 0 1 2 0 1 1 0 0 0 0 0 0 1 0 0 1 1 4 0 2 1 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 3 2 0 2 1 2 0 0 3 1 0 1 0 0 0 0 2 1 0 1 0 0 2 1 2 2 3 4 1 2 0 0 0 1 1 0 1 0 2 0
