"affectionate" "bold" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "constant" "cool" "cruel" "cunning" "curious" "earnest" "easy" "exact" "faithful" "familiar" "fearful" "free" "fresh" "friendly" "gay" "general" "genteel" "gentle" "gloomy" "graceful" "grateful" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "impatient" "kind" "lonely" "loud" "melancholy" "merry" "mild" "modest" "mournful" "natural" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "quick" "quiet" "restless" "rough" "rusty" "sad" "second" "serious" "silent" "simple" "slow" "smooth" "sober" "soft" "solemn" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "vague" "violent" "weak"
"affectionate" 0 1 0 0 1 4 2 1 3 1 0 1 3 0 1 2 4 2 2 3 1 4 1 1 0 2 1 3 1 2 2 0 1 1 1 1 4 3 0 5 0 1 0 0 2 1 0 3 4 5 1 3 0 1 2 3 5 0 0 0 0 0 0 3 1 1 1 0 0 1 3 4 0 8 0 1 0 3 0 2 2 0 1 1 0 2
"bold" 1 0 0 1 2 2 1 2 1 2 0 0 0 0 0 0 0 0 0 1 0 2 1 1 0 3 1 0 1 1 0 1 0 0 1 1 2 2 1 3 1 0 1 2 0 0 1 0 1 1 2 2 0 2 0 1 4 0 0 1 1 0 0 2 1 3 0 0 0 2 2 2 0 6 1 2 0 1 0 1 1 0 0 1 1 0
"busy" 0 0 0 1 1 3 5 2 3 6 3 1 1 4 2 2 3 0 2 0 1 3 1 0 0 0 1 1 2 0 2 0 0 1 4 1 0 3 2 3 0 2 1 0 0 0 3 2 4 9 2 0 0 2 3 1 7 1 3 2 3 3 1 4 1 5 2 2 2 3 2 0 1 9 4 1 1 2 1 0 1 2 1 1 0 3
"calm" 0 1 1 0 2 1 0 0 0 2 5 2 0 0 1 1 4 0 1 2 0 3 2 1 0 0 0 4 0 0 0 1 1 1 0 1 1 1 0 2 0 1 0 0 1 1 1 1 0 4 2 1 2 1 4 0 7 3 0 1 0 2 0 3 2 3 0 0 0 3 6 1 0 5 3 0 1 2 0 1 1 1 0 4 1 2
"careful" 1 2 1 2 0 5 3 0 2 4 0 3 0 1 1 1 2 0 1 3 0 4 4 2 0 2 0 0 0 0 5 1 1 1 0 1 2 2 1 3 1 2 0 1 2 1 1 3 2 3 0 3 0 1 3 2 6 1 1 1 5 1 2 3 1 3 0 2 3 2 7 2 0 10 1 1 0 1 0 1 4 2 1 1 0 3
"certain" 4 2 3 1 5 0 10 0 4 10 3 5 1 5 4 5 12 5 0 3 3 13 5 4 1 6 4 10 3 3 5 2 1 1 8 1 6 3 1 6 6 3 0 1 7 3 1 7 2 8 9 12 2 3 9 6 6 2 5 2 3 8 2 6 8 4 1 4 2 4 15 3 4 18 6 4 4 5 4 3 9 3 2 5 2 6
"cheerful" 2 1 5 0 3 10 0 0 3 11 3 1 0 1 0 5 8 1 2 3 3 8 3 4 3 2 2 5 5 1 5 0 0 2 4 1 3 2 1 2 4 6 2 0 4 1 8 5 2 12 3 7 0 1 13 2 9 1 4 3 7 5 2 8 4 4 1 0 4 3 8 4 1 10 3 0 1 6 3 3 5 5 1 2 0 4
"clean" 1 2 2 0 0 0 0 0 2 3 1 2 0 1 1 1 1 1 2 1 3 0 2 1 1 0 0 1 0 1 1 1 0 0 2 0 0 3 0 1 0 0 1 0 1 1 1 2 2 4 0 1 0 1 2 1 1 2 2 0 0 1 0 3 0 4 1 1 0 0 2 2 0 5 2 1 0 0 1 1 1 1 1 1 0 2
"close" 3 1 3 0 2 4 3 2 0 12 3 2 4 1 3 4 7 1 3 3 1 6 3 4 2 3 0 6 5 2 2 1 1 1 5 2 5 5 2 5 5 3 1 3 3 3 2 4 2 11 4 4 1 2 5 6 9 2 4 2 3 3 1 7 2 4 3 3 3 5 6 5 1 6 2 2 1 1 1 4 5 4 5 4 2 5
"cold" 1 2 6 2 4 10 11 3 12 0 4 0 4 2 0 6 7 2 4 2 2 7 8 8 1 7 2 10 8 2 8 0 2 1 8 1 5 8 4 5 5 4 2 3 2 3 5 6 4 19 13 7 4 2 8 6 13 6 5 4 5 4 1 12 4 8 3 5 2 8 16 5 3 14 7 2 4 6 3 2 4 5 3 3 3 7
"constant" 0 0 3 5 0 3 3 1 3 4 0 1 0 1 2 1 3 0 1 4 2 4 2 1 1 1 1 4 3 0 1 0 0 1 3 0 1 2 0 1 0 1 0 1 1 0 1 2 1 6 3 1 1 1 3 3 3 4 3 0 1 0 0 6 1 4 1 2 2 2 7 2 2 6 5 3 1 6 0 2 2 2 2 3 0 0
"cool" 1 0 1 2 3 5 1 2 2 0 1 0 0 0 3 0 0 0 1 2 1 3 5 0 0 1 0 1 0 0 1 1 1 1 2 1 0 3 0 1 0 0 0 0 1 1 0 3 2 5 1 2 0 0 1 0 4 2 1 1 1 2 1 4 0 4 1 1 0 1 3 2 0 6 0 1 0 0 0 1 5 2 0 1 0 2
"cruel" 3 0 1 0 0 1 0 0 4 4 0 0 0 1 1 0 3 0 1 0 0 0 0 0 0 1 0 3 0 0 1 0 2 1 1 0 2 2 1 2 1 0 2 0 0 0 0 1 1 2 0 1 0 1 1 2 4 0 0 0 1 1 1 3 0 1 0 0 0 0 1 1 0 5 0 1 0 2 0 0 1 0 2 1 0 2
"cunning" 0 0 4 0 1 5 1 1 1 2 1 0 1 0 2 0 0 1 1 1 1 3 2 0 2 1 0 2 0 0 2 0 0 0 2 0 0 2 2 1 1 0 0 1 0 0 0 1 1 4 2 3 0 2 3 1 2 0 1 1 0 2 0 0 0 3 0 1 0 0 1 1 1 3 3 0 1 1 2 1 0 1 0 2 1 1
"curious" 1 0 2 1 1 4 0 1 3 0 2 3 1 2 0 2 2 0 1 3 3 3 4 1 0 0 1 3 1 0 2 0 1 0 5 1 0 3 0 2 1 0 0 0 1 0 1 2 3 3 0 3 1 0 1 3 2 2 2 1 1 1 1 4 1 6 1 2 1 1 4 1 1 5 1 1 1 2 1 1 3 1 2 2 1 1
"earnest" 2 0 2 1 1 5 5 1 4 6 1 0 0 0 2 0 4 0 1 2 3 1 2 4 2 3 1 6 5 0 2 0 1 1 2 1 2 4 2 7 2 0 1 2 2 1 1 4 3 5 2 5 3 1 7 3 9 2 0 0 1 5 0 4 3 1 0 0 2 1 6 7 2 10 1 2 2 3 2 4 6 3 3 1 0 2
"easy" 4 0 3 4 2 12 8 1 7 7 3 0 3 0 2 4 0 2 1 4 2 6 4 5 1 1 1 8 5 3 2 2 2 2 3 4 3 4 1 1 4 1 1 1 1 0 4 5 3 11 4 10 1 1 9 2 12 2 3 4 2 6 1 5 2 5 1 0 3 3 13 6 2 10 1 3 0 4 1 8 8 2 5 2 3 5
"exact" 2 0 0 0 0 5 1 1 1 2 0 0 0 1 0 0 2 0 0 3 0 1 0 1 0 1 0 3 0 2 2 1 0 1 0 0 0 1 0 0 2 0 0 1 1 2 0 2 2 2 2 3 0 0 1 0 2 0 0 2 0 2 1 0 1 0 1 1 0 1 2 0 0 4 1 1 1 0 1 1 1 0 3 0 1 1
"faithful" 2 0 2 1 1 0 2 2 3 4 1 1 1 1 1 1 1 0 0 0 1 2 0 0 0 0 0 3 1 0 1 1 1 1 2 0 1 1 0 4 1 0 0 1 0 0 0 1 1 3 1 0 1 1 3 2 3 0 1 0 1 1 0 3 0 2 1 0 1 1 2 2 0 3 1 0 1 2 1 0 2 1 0 1 0 2
"familiar" 3 1 0 2 3 3 3 1 3 2 4 2 0 1 3 2 4 3 0 0 2 4 4 1 0 3 1 3 2 1 1 0 0 1 2 1 2 4 0 3 1 0 2 1 0 1 1 4 3 7 3 2 0 0 3 1 4 2 0 2 3 1 0 5 0 3 0 1 2 1 7 3 0 4 0 1 1 4 1 2 3 2 0 1 1 1
"fearful" 1 0 1 0 0 3 3 3 1 2 2 1 0 1 3 3 2 0 1 2 0 1 2 0 0 1 1 0 2 2 0 0 0 1 2 1 1 1 0 0 0 1 0 0 0 0 0 1 2 6 1 0 0 0 7 4 2 1 2 0 1 1 1 1 1 6 0 0 0 0 2 2 0 4 0 0 1 2 2 2 3 0 1 1 0 2
