"affectionate" "bitter" "brave" "busy" "calm" "careless" "certain" "cheerful" "christian" "close" "cold" "compassionate" "confidential" "cool" "cruel" "curious" "delicate" "determined" "direct" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "general" "gentle" "gloomy" "gracious" "handsome" "heavy" "honest" "hopeless" "hurried" "kind" "lonely" "loud" "natural" "observant" "open" "original" "particular" "patriotic" "pleasant" "polite" "quick" "quiet" "restless" "rough" "rusty" "second" "shrewd" "silent" "slow" "soft" "solemn" "steady" "steep" "stiff" "straight" "strong" "submissive" "sudden" "sunny" "sure" "sweet" "swift" "thankful" "timid" "true" "unhappy" "violent" "watchful" "weak"
"affectionate" 0 0 0 2 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 1 0 1 1 0
"bitter" 0 0 0 0 1 0 0 1 1 0 2 0 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 3 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 0
"brave" 0 0 0 1 0 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 0 0 0 1 0 1 2 1 0 1 1 0 0 2 3 0 0 0 1 0 2 1 0 3 1 0 0 0 1 1 1 1 0 0 2 0 2 0 1 0 0 0 0 0 4 2 1 1 2 2 1 1 0 2 1 0 0 1
"busy" 2 0 1 0 0 1 3 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 3 0 1 0 0 3 1 0 1 1 0 1 2 1 2 1 1 1 1 0 0 1 0 1 0 3 0 3 0 0 1 0 1 1 0 5 1 0 0 2 0 1 0 1 0 1 1 0 0
"calm" 0 1 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 1 0 0 1 1 0 2 1 0 0 2 3 0 0 0 1 1 1 0 1 1 0 0 0 0
"careless" 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 1 0 2 0 0 1 2 3 0 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 2 0 2 1 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 3 1 0 1 0
"certain" 1 0 0 3 2 1 0 3 1 4 2 2 0 2 1 2 2 1 2 1 3 4 3 0 1 1 2 1 0 7 1 1 2 1 7 1 2 2 1 2 2 6 1 7 1 1 0 4 0 0 6 0 3 1 4 2 4 0 0 5 1 1 1 2 5 1 2 1 7 2 1 1 1 4 2 1 0 0
"cheerful" 0 1 0 0 1 0 3 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 1 1 0 0 0 2 0 0 4 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 2 1 0 0 0
"christian" 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 3 1 1 0 1 2 0 1 1 0 0 0 0 0 1 0 1 0 0 0 2 0 0 1 0 3 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1
"close" 1 0 0 0 0 0 4 0 1 0 5 1 2 2 4 3 3 1 2 0 1 2 0 0 1 0 5 1 1 2 1 1 1 1 4 4 1 4 2 2 3 2 1 9 0 3 0 1 0 3 6 0 2 1 4 0 2 4 0 1 3 1 1 1 4 1 4 0 4 0 1 2 1 5 1 0 0 1
"cold" 0 2 1 1 1 1 2 1 0 5 0 2 2 1 2 1 2 0 1 1 2 3 0 1 1 1 3 3 0 2 3 2 0 3 6 4 0 2 1 1 1 4 1 6 1 3 1 3 1 2 6 3 3 2 2 1 2 2 3 1 1 0 0 0 8 0 3 0 6 3 0 1 0 6 1 1 2 1
"compassionate" 0 0 0 0 0 1 2 1 0 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 1 1 2 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0 1 0 0 0 2 0 1 0 0 2 0 0 0 2 0 0 0 1
"confidential" 0 1 0 1 0 0 0 0 0 2 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 2 0 0 0 0 0 0 1 1 0
"cool" 0 0 2 0 0 0 2 1 1 2 1 0 0 0 3 2 2 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0 0 2 3 0 0 2 0 2 3 0 1 3 0 1 0 2 1 2 4 0 0 0 2 2 0 0 0 0 0 0 1 1 1 1 0 2 1 2 1 0 0 1 0 0 0 0
"cruel" 1 1 1 1 0 1 1 0 1 4 2 1 0 3 0 1 2 0 1 0 0 1 0 1 0 2 3 0 2 0 1 3 0 2 2 1 1 2 0 0 3 0 1 2 0 0 3 0 2 3 4 0 2 0 2 0 1 0 1 0 3 1 0 2 3 2 2 1 1 0 0 0 0 5 0 0 0 1
"curious" 1 0 1 0 0 0 2 0 0 3 1 0 0 2 1 0 1 0 0 0 2 0 0 0 2 0 1 2 1 3 1 0 1 1 4 0 0 1 1 0 2 2 0 3 0 1 0 3 1 0 2 0 2 0 1 2 0 0 0 0 2 1 0 0 6 0 1 1 0 1 1 0 0 3 0 0 0 1
"delicate" 1 1 0 1 1 0 2 1 1 3 2 0 1 2 2 1 0 0 1 1 1 0 1 0 1 0 0 2 0 1 0 1 1 1 1 0 0 1 2 1 0 3 1 3 0 3 0 2 1 2 1 1 0 0 4 1 1 1 1 0 1 0 1 1 3 0 0 1 5 0 0 1 0 0 0 2 0 1
"determined" 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 1 0 0 1 2 0 1 0 2 1 1 0 1 1 0 0 1 0
