"active" "adventurous" "affectionate" "benevolent" "bitter" "bold" "busy" "calm" "certain" "cheerful" "chivalrous" "close" "cold" "congratulatory" "constant" "cruel" "dependent" "docile" "domestic" "eager" "earnest" "enthusiastic" "expressive" "familiar" "fearful" "firm" "free" "fresh" "gallant" "gay" "general" "generous" "genial" "gentle" "gloomy" "grateful" "hateful" "heartless" "heavy" "helpless" "hopeless" "humane" "immutable" "impatient" "indifferent" "inquisitive" "intense" "intimate" "invincible" "joyous" "kind" "laborious" "listless" "lively" "lofty" "loud" "majestic" "melancholy" "metaphysical" "mild" "moderate" "mournful" "natural" "nervous" "open" "passionate" "patient" "peaceful" "placid" "pleasant" "pleasurable" "precipitous" "proud" "quick" "rapid" "rough" "rude" "sad" "saintly" "scientific" "second" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "soft" "solemn" "sorrowful" "steady" "strong" "sudden" "sufficient" "supple" "sweet" "thoughtful" "tranquil" "true" "tumultuous" "ugly" "unhappy" "vain" "vehement" "vicious" "violent" "watchful" "weak" "virtuous" "woeful"
"active" 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1
"adventurous" 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0
"affectionate" 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 1 2 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 2 1 2 0 2 0 1 0 0 0 0 1 1 0 0 1 0 0 2 0 0 0 0 1 0 0 1
"benevolent" 1 0 1 0 1 0 0 2 0 3 0 1 5 1 2 1 0 2 1 0 0 0 3 1 0 0 1 0 0 1 1 1 0 3 1 2 2 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 3 0 2 2 1 1 0 1 1 1 1 1 0 1 3 0 1 2 2 0 0 0 0 0 2 0 1 1 1 1 1 0 0 0 1 0 3 1 4 0 1 3 1 1 2 1 0 0 1 0 0 1 0
"bitter" 0 0 0 1 0 0 2 1 0 0 0 1 5 0 0 0 1 1 1 0 0 1 1 0 0 2 3 1 0 0 0 3 1 4 1 1 0 0 0 2 0 0 0 0 0 1 0 0 0 1 2 0 1 0 2 1 2 1 0 1 0 0 2 0 1 1 1 1 1 0 0 0 0 0 0 0 1 2 1 0 1 2 0 0 0 0 3 1 1 0 1 2 1 0 1 4 1 1 0 0 7 2 0 1 1 0 1 0 0 1 2 0
"bold" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1
"busy" 0 1 0 0 2 0 0 2 0 0 1 0 1 0 0 0 1 0 1 1 1 0 0 0 1 1 2 1 1 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 0 0 2 0 0 0 0 1 0 2 1 1 0 0 0 2 1 3 0 0 2 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 2 1 0 1 1 1 0 0
"calm" 0 1 1 2 1 0 2 0 0 0 1 2 5 0 3 0 0 1 1 1 1 0 2 2 2 1 3 1 1 0 2 0 0 1 2 0 1 1 1 0 1 1 0 1 1 0 1 2 0 0 1 1 0 1 0 2 1 2 1 2 0 0 2 2 2 0 0 2 1 2 0 0 1 2 1 1 0 2 1 0 2 1 0 2 1 0 3 3 1 2 1 1 1 1 2 3 1 2 1 2 0 0 0 4 4 1 0 3 1 1 1 0
"certain" 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 2 2 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0
"cheerful" 1 0 1 3 0 0 0 0 2 0 0 0 2 1 1 0 0 0 1 0 0 0 0 2 2 0 1 3 0 2 0 0 1 5 0 1 0 0 1 0 0 0 1 0 0 1 0 0 2 0 2 2 1 0 0 1 0 2 0 0 0 1 1 0 1 0 1 0 3 2 0 0 0 1 0 0 2 2 0 0 0 1 0 1 1 0 3 1 1 1 2 2 0 1 0 2 1 2 0 2 1 0 0 2 0 0 0 0 1 0 0 0
