"affectionate" "awkward" "benevolent" "boisterous" "bold" "busy" "calm" "careful" "cautious" "certain" "cheerful" "christian" "clean" "close" "cold" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dignified" "domestic" "eager" "earnest" "easy" "eloquent" "emphatic" "enthusiastic" "expressive" "facetious" "faithful" "familiar" "fearful" "fierce" "firm" "free" "fresh" "friendly" "general" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeless" "hospitable" "humble" "hurried" "indefatigable" "intense" "intimate" "kind" "lively" "lonely" "loud" "majestic" "melancholy" "merry" "mute" "natural" "neat" "nervous" "noisy" "open" "particular" "pleasant" "poetic" "precise" "proud" "quiet" "rapid" "reasonable" "restless" "romantic" "rusty" "second" "sensible" "serious" "severe" "silent" "slow" "soft" "solemn" "spirited" "stable" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "surly" "suspicious" "sweet" "thoughtful" "tight" "true" "uncertain" "unhappy" "vain" "violent" "willing" "wise" "weak"
"affectionate" 0 1 1 0 0 2 0 0 1 4 2 0 1 0 3 1 0 1 1 0 0 0 2 0 0 0 1 0 0 1 0 2 0 0 1 0 0 1 0 0 1 1 0 2 0 1 2 1 0 3 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 1 3 2 0 0 3 2 3 1 1 2 1 0 2 0 0 0 0 0 0 1 1 2 0 2 0 0 0 0 0 0 4 3 1 3 1 1 1 1 1 2 1 0 0 2 0 0 0
"awkward" 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 1 0 1 1 1 1 1 1 2 1 3 0 3 0 0 1 0 0 0 1 1 0 0 1 1 2 1 3 0 0 0 0 1 0 0 0 2 2 2 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 3 0 0 1 0 1 0 2 2 0 1 1 0 0
"benevolent" 1 1 0 1 0 1 0 0 0 2 1 1 2 0 2 3 0 0 0 1 0 1 1 0 0 2 1 1 0 1 0 0 0 0 1 0 0 2 1 2 1 1 0 0 1 1 0 0 1 2 0 1 1 1 0 1 0 0 1 0 0 2 0 3 2 2 1 0 0 0 2 3 2 1 1 0 2 0 0 1 0 1 1 1 1 0 2 0 1 3 0 0 0 0 0 1 0 0 1 3 0 0 0 0 0 0 0 1 0 0 1 0 2
"boisterous" 0 0 1 0 0 3 0 0 0 0 2 1 1 2 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 2 0 0 1 1 2 0 3 1 2 0 1 0 1 2 2 0 1 0 0 3 0 1 1 0 0 0 0 1 0 2 0 0 2 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 3 0 0 2
"bold" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0 0 1 2 0 0 0 0 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 3 0 1 0 0 0 2 2 1 0 0 2 1 0 0 0 0 0 1 0 1 1 0 0 1 2 0 0 0 0 0 0 2 4 0 1 0 0 0 0 0 3 0 0 1 0 0 1 0
"busy" 2 0 1 3 0 0 1 0 0 5 1 0 4 2 8 0 0 0 1 2 3 2 0 1 1 4 0 2 1 0 1 1 0 0 0 1 0 5 1 2 0 1 0 1 0 0 0 0 1 3 1 1 0 0 1 1 1 0 0 0 1 4 1 3 0 0 2 2 0 1 2 4 2 0 0 2 4 1 1 5 0 1 1 0 0 1 5 1 0 2 2 0 0 2 0 0 2 4 2 3 2 0 0 0 0 1 0 0 0 1 0 0 1
"calm" 0 0 0 0 1 1 0 2 0 1 1 0 0 2 1 1 2 0 0 1 0 1 0 0 1 1 1 0 0 1 0 2 0 0 1 1 0 2 1 5 2 1 0 0 0 1 0 0 0 1 1 1 0 1 0 1 1 0 0 2 0 2 0 0 1 1 1 0 0 0 5 3 3 1 0 2 0 1 0 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 0 1 4 2 0 0 1 1 0 0 0 1 0 0 1 3 0 0 0
"careful" 0 0 0 0 0 0 2 0 1 4 2 1 0 1 2 0 0 0 0 1 1 1 2 0 0 0 1 0 0 1 0 1 1 0 0 1 0 2 2 2 1 0 1 2 2 1 1 0 1 3 2 2 0 1 1 1 0 2 2 5 0 2 1 2 0 2 8 2 1 0 4 6 5 2 1 1 4 0 0 0 3 1 3 3 1 1 1 1 1 2 0 2 2 1 1 0 2 2 1 3 0 0 3 1 0 4 1 2 0 0 1 2 0
"cautious" 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 1 1 0 0 0 0 2 1 0 0 1 2 0 1 2 1 0 0 1 0 0 0 0 3 0 1 0 2 4 0 1 0 0 1 1 0 0 0 0 2 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 2 0 1 0
"certain" 4 0 2 0 0 5 1 4 1 0 4 2 3 3 6 1 1 1 1 8 1 1 1 1 2 1 1 2 4 0 2 1 0 1 1 0 1 6 0 3 2 2 0 1 2 1 1 1 3 6 1 2 1 0 2 0 1 0 2 2 1 6 1 4 0 0 5 1 2 1 9 11 7 1 1 4 8 0 2 2 1 5 7 1 4 0 3 4 0 4 1 2 0 1 0 1 5 6 1 8 2 0 5 1 1 9 3 0 1 6 0 1 2
