"active" "bitter" "boisterous" "bold" "brave" "busy" "calm" "careful" "careless" "catholic" "certain" "cheerful" "close" "cold" "constant" "cool" "cruel" "curious" "delicate" "earnest" "easy" "faithful" "familiar" "fierce" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "gentle" "giddy" "gloomy" "graceful" "gracious" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "impatient" "indifferent" "keen" "kind" "lively" "lofty" "lonely" "loud" "melancholy" "merry" "mild" "military" "mournful" "natural" "noisy" "open" "original" "particular" "patient" "placid" "pleasant" "proud" "quick" "quiet" "rapid" "reckless" "religious" "restless" "rough" "rusty" "sad" "second" "sensible" "serious" "silent" "slow" "smooth" "sober" "solemn" "stable" "steady" "stealthy" "stern" "strong" "sudden" "sufficient" "sullen" "sure" "sweet" "thoughtful" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "wise"
"active" 0 0 2 3 1 4 0 2 1 2 4 2 2 3 1 3 2 1 0 0 1 1 1 2 0 2 2 0 1 2 4 1 1 3 0 1 0 0 4 1 3 1 2 0 2 0 0 1 0 0 3 0 1 1 0 0 1 1 6 0 2 0 0 1 1 4 3 1 1 0 0 2 0 0 2 0 1 3 0 0 1 2 3 0 1 0 9 1 1 0 4 0 2 1 2 0 1 1 1 3 2 2 2
"bitter" 0 0 0 2 0 1 0 1 0 2 2 4 1 3 2 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 0 0 0 1 1 3 0 1 1 3 3 0 1 1 2 0 0 0 3 0 0 0 0 0 3 0 2 2 1 0 0 3 3 0 3 0 0 1 2 0 0 0 0 1 0 2 1 0 0 0 1 1 0 0 2 1 1 0 3 2 2 1 1 0 0 0 0 0 1 1 1
"boisterous" 2 0 0 2 0 2 0 1 1 1 3 3 0 4 1 0 1 1 0 0 1 1 1 3 0 1 0 1 1 0 4 2 1 1 0 0 0 0 2 1 2 1 3 1 0 0 1 2 1 0 4 1 0 0 0 0 0 1 4 0 2 1 0 2 2 4 4 0 2 0 2 1 2 0 1 0 2 3 1 2 0 1 1 1 2 0 4 1 1 2 3 1 1 0 4 1 1 0 0 0 2 1 1
"bold" 3 2 2 0 4 3 1 0 1 1 9 3 4 6 0 1 1 0 1 3 3 1 1 2 1 2 1 3 0 3 7 2 0 2 1 1 2 4 4 3 4 5 3 1 1 0 3 2 0 0 2 1 2 3 0 0 2 0 6 3 6 1 0 4 8 4 8 2 3 2 0 6 2 1 6 0 3 3 2 0 2 2 2 3 2 1 12 4 3 3 16 1 2 0 6 1 2 1 3 0 2 3 3
"brave" 1 0 0 4 0 2 0 0 0 1 3 1 2 3 1 1 0 0 1 1 3 0 0 2 1 4 0 2 3 2 2 2 0 4 1 1 0 2 2 1 1 2 2 2 2 1 0 0 0 1 0 0 1 1 1 0 1 2 5 1 3 0 0 2 2 3 3 3 0 0 0 2 3 1 4 1 1 3 1 0 1 2 1 2 0 1 7 1 0 1 8 3 0 1 3 1 0 0 1 0 1 2 2
"busy" 4 1 2 3 2 0 1 1 1 1 3 4 1 3 2 5 1 1 0 1 3 1 4 1 0 3 2 1 1 2 2 3 1 2 0 1 0 3 0 1 4 2 1 1 2 0 0 1 2 3 2 2 1 0 1 1 1 2 3 2 5 3 0 3 2 1 7 2 1 1 2 1 2 4 2 0 1 5 1 1 3 3 1 1 3 1 12 1 2 1 3 2 4 1 1 1 0 1 3 2 3 1 3
"calm" 0 0 0 1 0 1 0 0 0 0 1 1 1 2 0 0 1 2 1 1 4 0 0 1 1 2 1 0 0 0 1 1 0 0 1 1 2 0 1 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 2 3 1 0 3 0 0 0 0 2 0 2 1 1 0 4 0 1 0 0 0 0 0 2 2 0 0 0 4 0 0 0 2 1 0 1 2 0 0 1 1
"careful" 2 1 1 0 0 1 0 0 1 0 3 1 2 2 1 0 2 1 1 0 3 0 1 2 0 4 0 0 0 0 3 0 0 1 0 0 1 1 1 2 2 2 1 1 0 0 0 0 1 1 3 0 0 0 1 0 2 1 4 2 2 0 0 2 5 1 3 0 1 3 0 0 0 3 0 0 0 3 1 0 1 0 3 1 0 0 4 1 0 1 5 1 1 0 0 2 1 0 0 0 0 2 0
"careless" 1 0 1 1 0 1 0 1 0 0 4 2 1 2 0 2 1 1 1 0 1 0 0 2 1 1 1 1 1 1 4 1 0 1 1 0 1 2 0 1 2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 2 0 2 1 1 0 1 2 1 0 1 0 2 1 1 1 1 1 0 0 1 5 0 1 1 1 1 2 0 0 2 0 0 1 3 0 1 1 1 1 0 0 0 0 3 0 1
"catholic" 2 2 1 1 1 1 0 0 0 0 4 0 1 1 1 0 1 0 0 3 0 1 0 1 0 3 0 1 0 0 0 0 0 0 0 0 1 2 1 0 1 2 1 0 3 1 0 0 1 0 2 0 0 2 0 0 3 0 5 2 0 1 0 0 2 3 2 1 0 2 2 1 1 0 1 0 0 0 1 1 0 2 0 1 0 0 2 1 3 0 3 1 0 1 5 0 0 1 1 0 2 0 1
