"acceptable" "active" "affable" "affectionate" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cruel" "curious" "delicate" "determined" "direct" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "jealous" "kind" "lively" "lofty" "loud" "melancholy" "modest" "natural" "neat" "open" "original" "particular" "passionate" "patient" "pleasant" "polite" "practical" "precise" "proud" "quick" "quiet" "rapid" "reasonable" "responsible" "rigid" "rough" "rusty" "sad" "sagacious" "second" "sensible" "serious" "severe" "silent" "simple" "slow" "smooth" "social" "soft" "spirited" "steady" "stern" "stiff" "strong" "submissive" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "wise" "worldly"
"close" 1 1 1 1 4 1 1 12 2 3 0 5 0 0 2 1 1 3 2 2 0 1 0 4 0 2 3 4 5 0 5 1 0 3 4 1 2 1 2 4 4 0 1 0 1 1 1 1 0 1 3 2 2 2 2 0 5 2 10 6 4 2 1 3 0 1 0 1 1 3 2 0 1 0 5 1 2 0 9 2 0 0 4 1 3 2 1 3 1 1 1 0 10 0 4 0 9 2 2 1 0 2 2 7 5 0 0 0 0 3 4 1 2
"cold" 0 1 2 1 2 2 5 11 4 2 5 0 1 0 3 1 3 5 3 0 0 2 2 7 1 2 3 1 4 2 3 0 1 3 2 0 2 2 2 2 3 3 1 1 3 0 1 0 0 3 8 0 1 3 0 2 5 2 11 3 2 0 0 5 1 1 0 2 4 8 3 1 2 2 2 1 2 0 6 3 0 4 3 1 3 0 1 3 0 1 3 2 13 1 1 2 10 2 1 2 0 0 4 6 3 1 0 0 0 1 7 1 1
"confidential" 0 0 0 2 0 0 1 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 2 0 2 1 0 0 1 1 1 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 2 0 1 4 0 3 1 3 2 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 2 1 0 0 2 3 0 0 0 1 0 5 2 0 1 0 0 0 3 0 1 0 1 2 0 0 1 0
"considerate" 0 0 0 1 1 0 0 2 2 0 0 0 0 0 1 1 1 3 1 0 1 0 0 1 0 0 1 2 1 3 2 1 1 2 1 1 0 1 0 1 4 0 2 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 2 1 1 0 0 0 0 1 2 3 1 2 1 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 2 0 0 0 2 0 2 0 4 0 0 0 0 0 0 2 2 1 0 0 1 1 4 1 0
"constant" 1 1 0 2 0 1 0 5 0 1 2 3 1 1 0 0 1 0 1 0 1 0 0 3 1 0 2 1 2 0 3 0 1 2 1 0 0 0 0 4 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 2 2 4 1 1 1 0 1 1 1 0 4 1 1 0 0 2 0 1 3 5 1 1 1 3 2 1 1 0 1 0 0 0 0 3 0 0 0 3 0 0 0 1 0 3 3 2 2 2 0 0 0 2 3 0
"cool" 0 0 0 1 2 0 0 3 1 0 1 1 0 1 0 0 3 0 1 1 0 0 0 3 1 0 0 4 1 1 1 1 1 2 3 1 0 0 1 2 4 0 1 0 1 0 0 1 1 0 2 1 0 0 0 0 3 1 4 0 1 0 0 1 2 0 1 2 2 0 0 0 0 1 0 0 0 0 3 4 1 1 2 2 0 0 1 2 0 0 1 1 6 0 2 1 2 1 4 1 1 0 0 1 0 1 2 0 0 1 2 0 0
"cruel" 0 0 0 2 1 1 0 4 0 1 1 3 0 1 1 3 0 1 4 0 1 1 2 4 2 3 4 2 0 2 3 1 0 1 2 2 1 3 0 2 6 4 2 3 2 1 1 1 2 0 5 0 1 1 0 0 5 0 7 1 2 1 3 0 1 1 0 3 5 3 0 3 0 2 1 0 0 0 2 3 2 0 5 1 1 1 1 0 0 1 1 0 10 1 4 0 8 1 4 0 0 1 3 10 2 0 4 1 0 1 3 1 1
"curious" 2 0 0 2 1 0 0 13 2 0 3 5 0 3 0 0 1 0 3 0 0 1 2 10 1 4 5 2 3 2 3 1 1 1 3 1 1 1 2 4 4 3 3 1 0 1 1 1 0 1 2 1 1 2 1 0 4 0 8 2 0 2 1 6 1 2 1 2 3 7 3 1 0 1 2 1 1 0 4 2 0 1 1 1 1 0 4 4 3 1 0 2 4 0 4 4 11 1 1 1 0 1 0 4 3 3 2 2 0 0 2 0 2
"delicate" 1 1 2 1 4 2 2 8 1 2 2 3 0 1 1 1 4 3 0 0 1 1 1 3 2 3 4 0 2 1 7 1 1 1 1 2 3 5 0 3 2 3 3 0 4 1 0 1 1 2 5 0 1 0 1 1 7 2 6 2 5 0 3 5 1 1 0 4 4 8 0 1 1 0 1 0 3 2 12 0 2 2 2 0 3 0 1 1 0 0 1 0 6 0 2 1 8 2 1 1 0 1 2 9 4 0 3 0 1 0 2 0 1
"determined" 0 0 0 0 0 0 1 2 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 0 2 0 0 1 1 0 1 0 1 0 1 0 0 2 0 1 0 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 1 1 0 0 2 0 3 0 1 0 4 0 1 2 1 0 0 2 0 0 2 0 0 0 1 0 0
