"acceptable" "active" "affable" "affectionate" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cruel" "curious" "delicate" "determined" "direct" "domestic" "earnest" "easy" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "jealous" "kind" "lively" "lofty" "loud" "melancholy" "modest" "natural" "neat" "open" "original" "particular" "passionate" "patient" "pleasant" "polite" "practical" "precise" "proud" "quick" "quiet" "rapid" "reasonable" "responsible" "rigid" "rough" "rusty" "sad" "sagacious" "second" "sensible" "serious" "severe" "silent" "simple" "slow" "smooth" "social" "soft" "spirited" "steady" "stern" "stiff" "strong" "submissive" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "uncertain" "unhappy" "vague" "vain" "violent" "weak" "wise" "worldly"
"impatient" 0 0 0 2 0 1 2 3 1 0 1 0 0 0 1 1 1 1 1 1 0 0 1 5 2 0 1 1 0 1 5 1 0 2 2 0 3 2 0 3 3 1 0 0 0 1 2 0 0 0 3 1 1 1 1 0 2 0 5 1 2 0 0 1 2 0 0 2 2 3 1 0 1 0 2 1 0 0 2 2 0 0 1 0 1 1 0 1 0 0 0 0 4 3 0 0 5 3 0 0 1 0 0 2 2 0 3 0 0 0 2 0 0
"indifferent" 2 0 1 2 0 0 2 1 1 1 0 0 0 1 0 1 2 0 1 0 1 1 0 1 2 0 0 4 0 1 2 1 2 1 1 2 2 1 1 2 2 0 0 0 2 0 0 0 0 0 2 0 0 0 0 1 2 2 1 2 4 0 1 0 1 1 0 3 1 3 1 1 1 0 0 1 0 1 1 1 1 0 2 1 0 0 0 0 0 0 0 0 4 0 1 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 1
"jealous" 1 0 1 0 0 0 2 4 1 1 1 3 0 1 1 0 0 1 2 0 1 0 0 3 1 1 0 1 2 1 5 1 1 1 1 0 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 4 1 2 0 1 0 0 0 0 1 1 0 0 0 0 0 1 2 2 0 2 1 1 0 4 1 2 1 0 3 0 0 0 1 2 1 2 0 6 0 0 0 0 0 1 2 3 0 1 1 0 1 1 2 0
"kind" 1 1 3 2 3 2 4 12 1 0 3 8 1 1 1 2 5 2 5 2 1 2 2 3 5 2 5 8 3 2 7 3 2 4 2 1 8 4 3 4 6 3 0 0 3 4 0 3 2 0 0 1 1 1 2 2 7 0 5 3 6 2 1 6 2 2 0 4 4 13 2 1 2 1 1 1 1 0 5 7 2 1 2 1 2 0 3 3 2 2 3 0 9 3 2 1 17 1 1 0 0 2 1 12 1 1 3 1 2 4 4 2 0
"lively" 0 0 0 0 0 0 0 3 0 0 2 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 1 3 2 2 2 1 0 1 4 0 1 0 0 2 3 0 0 1 1 0 0 1 0 0 1 0 0 2 1 1 3 1 1 1 4 0 0 1 0 0 0 2 3 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 4 0 1 2 0 1 1 0 1 1 0 0 3 2 3 1 1 0 0 5 2 1 2 0 0 1 0 0 0
"lofty" 0 1 1 0 1 0 0 3 0 0 2 1 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 2 0 2 2 1 1 2 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 1 0 3 2 1 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 0 0 2 1 1 1 0 1 0 0 1 0 0 0 1 2 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0
"loud" 0 0 0 0 1 1 0 1 1 1 2 3 0 0 0 0 1 2 0 1 0 0 1 2 1 0 1 3 2 1 3 0 0 2 2 0 1 1 1 1 4 2 1 2 1 0 0 1 0 0 1 2 0 0 0 0 2 0 3 3 2 0 0 1 0 2 0 3 4 3 1 1 0 1 0 0 1 0 1 1 0 0 3 1 2 1 0 1 0 2 0 0 3 0 0 0 3 1 1 0 2 2 2 2 1 0 2 0 1 0 0 1 1
"melancholy" 0 0 1 0 0 1 0 3 1 0 2 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 3 1 0 1 0 1 1 3 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 2 1 2 0 0 0 1 0 2 0 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 4 0 0 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0
"modest" 0 0 2 1 1 0 2 1 1 0 0 2 1 0 1 0 0 0 1 0 2 1 1 2 0 2 2 4 4 2 1 0 0 0 0 0 3 0 0 0 2 0 1 0 1 1 0 0 1 0 2 1 0 0 0 0 1 3 0 0 3 0 1 2 0 1 2 2 0 4 1 1 0 0 1 0 0 2 1 0 0 1 1 2 0 0 1 1 0 2 0 0 2 0 0 1 0 0 0 0 0 0 1 5 0 1 0 1 2 0 0 2 1
"natural" 2 1 1 5 3 1 5 14 3 0 5 5 0 0 0 3 5 4 7 1 3 1 5 10 0 5 4 9 4 2 11 2 1 2 2 4 3 5 4 5 8 3 2 1 3 2 0 2 2 3 7 3 1 2 1 1 0 1 10 2 9 0 4 6 3 2 3 6 7 10 1 2 4 0 2 4 1 1 9 2 3 2 2 5 9 1 0 3 1 3 1 2 12 2 2 3 19 2 3 1 4 3 5 12 3 1 4 1 0 2 7 4 3
"neat" 1 0 0 0 2 0 1 2 0 1 2 2 0 0 1 1 0 0 2 0 1 1 1 3 0 2 1 4 1 1 2 0 0 1 1 0 3 1 0 2 0 1 0 0 1 0 0 0 2 1 0 1 0 0 0 3 1 0 1 1 4 0 1 1 1 0 1 1 1 4 0 1 0 0 0 0 1 2 3 0 0 0 1 1 0 0 0 2 0 2 0 0 1 0 0 0 4 1 0 0 0 0 2 5 0 2 0 1 0 1 1 1 1
"open" 2 1 2 3 3 2 2 15 5 1 10 11 1 2 2 4 7 8 6 1 1 1 0 9 4 2 4 13 2 4 8 4 1 3 6 2 4 3 3 5 7 3 3 1 2 1 1 5 1 4 5 1 3 3 2 0 10 1 0 6 7 1 0 7 1 4 0 7 6 10 3 2 0 2 3 5 1 1 7 5 3 2 3 2 7 2 1 4 1 5 4 2 21 3 5 1 21 4 4 1 4 4 2 11 3 2 3 1 1 2 8 5 3
"original" 2 2 0 1 3 0 1 8 0 0 6 3 1 1 2 0 1 2 2 0 0 2 1 4 0 2 3 3 4 0 5 1 1 2 2 0 6 2 0 2 4 1 0 0 2 0 0 1 2 1 3 1 2 3 0 0 2 1 6 0 6 2 2 2 2 5 1 3 3 4 3 0 0 0 1 1 2 1 3 1 0 0 2 0 3 0 1 0 0 1 0 1 4 2 1 0 5 0 3 0 0 0 0 5 1 0 0 0 0 2 3 2 3
"particular" 1 4 1 3 2 0 3 8 1 2 4 2 2 1 4 1 2 0 5 1 1 3 2 4 2 2 3 11 3 1 7 1 3 1 2 0 5 2 0 4 8 3 0 2 5 0 1 2 4 2 6 4 1 2 1 3 9 4 7 6 0 0 2 6 2 2 3 4 7 7 2 1 1 0 0 1 1 3 9 6 0 0 4 5 5 4 0 3 0 2 3 1 12 2 0 2 10 3 3 1 0 0 1 6 1 2 3 2 3 2 4 3 2
"passionate" 0 0 0 1 2 1 0 2 1 0 2 0 0 0 1 0 1 2 0 0 0 1 1 2 1 0 1 1 0 0 0 0 0 0 1 0 1 1 1 2 1 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 1 2 0 0 0 3 0 2 0 3 2 1 1 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 1 2 2 1 1 0 0 0
"patient" 0 1 0 1 2 0 2 6 0 0 1 0 1 0 1 0 3 1 3 0 1 1 2 3 1 3 3 2 0 1 0 0 2 0 0 1 2 1 0 1 2 3 1 1 0 0 0 0 1 1 1 0 0 0 0 1 4 1 0 2 2 0 0 2 0 3 1 1 1 4 0 1 1 0 3 0 0 1 5 0 0 0 3 3 0 0 1 0 0 1 0 0 3 0 3 0 0 0 1 0 0 0 1 3 2 2 2 1 0 2 1 1 0
"pleasant" 0 0 2 4 1 0 4 9 5 0 3 5 4 0 1 1 0 6 5 2 1 1 2 7 4 1 2 5 2 2 6 2 1 0 2 1 2 1 3 3 2 2 2 2 2 2 1 1 0 0 6 1 0 1 1 2 6 1 7 2 6 3 2 0 0 4 2 2 6 10 1 1 1 1 2 0 1 1 1 4 0 2 4 3 2 2 2 1 1 1 1 0 7 0 3 2 11 3 1 2 0 1 1 6 2 3 2 3 2 1 1 1 1
"polite" 0 1 0 1 1 1 0 2 0 0 0 1 0 0 0 2 1 1 1 0 1 0 1 2 1 0 0 1 1 1 1 0 0 0 0 1 2 3 0 1 0 1 0 0 0 0 1 2 1 0 2 0 0 0 0 0 3 1 1 2 2 0 0 0 0 0 0 1 0 1 1 1 1 2 0 0 1 2 1 1 0 0 0 1 2 1 2 0 0 0 1 1 1 0 3 2 2 1 1 0 0 0 1 6 0 0 0 0 0 1 1 0 0
"practical" 2 1 1 1 2 0 0 6 1 0 1 1 3 1 1 0 1 2 1 1 0 0 0 6 0 0 1 2 2 2 2 0 0 2 1 1 1 0 3 1 4 1 0 1 1 0 1 0 1 0 2 0 2 2 0 1 2 0 4 5 2 2 3 4 0 0 0 1 2 4 2 0 1 0 2 2 0 1 1 1 1 1 2 0 0 0 1 0 0 1 1 0 2 0 2 1 3 2 1 0 1 2 0 2 0 1 3 1 1 1 0 0 1
"precise" 0 0 0 2 0 0 2 3 0 0 0 0 1 2 1 1 0 1 0 0 1 0 1 1 0 0 0 2 0 3 1 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 3 1 0 1 3 0 1 2 0 0 0 1 2 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 2 1 0 0 0 1 0 1 0 0 1 0 1 1 1 1 0 0 0 1 1 1 1 2 1 0 1 2 0
"proud" 2 0 2 5 4 0 1 11 4 1 1 2 3 3 1 2 3 2 4 1 2 4 2 6 3 3 2 11 1 3 11 3 2 4 3 1 3 1 3 6 8 2 2 1 3 3 2 2 3 1 4 2 1 3 1 2 6 1 7 3 4 3 1 2 1 1 1 0 1 6 3 1 0 1 2 0 2 0 5 3 2 0 2 2 2 2 2 3 3 3 2 0 5 0 2 1 18 4 3 2 2 1 3 9 2 1 4 3 4 1 7 2 0
"quick" 0 0 2 2 5 1 1 10 1 3 1 4 2 1 0 2 5 3 4 0 1 1 3 5 0 1 2 6 3 8 3 2 0 2 2 1 2 3 2 3 6 1 1 0 5 1 1 2 1 1 4 3 0 4 0 0 7 1 6 3 7 2 1 6 0 2 2 1 0 5 2 0 2 2 1 2 2 1 2 3 2 0 1 2 6 2 0 3 0 1 0 1 7 2 4 2 11 4 2 1 1 3 2 9 5 1 1 1 1 2 1 2 1
"quiet" 1 3 1 3 6 4 5 14 1 2 3 8 1 2 4 0 3 7 8 3 3 1 3 6 6 4 6 9 7 4 7 6 1 4 4 1 4 4 3 3 5 6 3 3 1 2 2 3 3 0 13 1 0 3 0 4 10 4 10 4 7 1 4 10 1 4 1 6 5 0 1 2 1 0 5 3 5 5 6 5 1 1 7 3 3 4 3 5 4 4 0 1 15 0 5 1 18 2 4 3 2 3 2 14 2 3 3 3 2 4 8 3 3
"rapid" 1 0 1 0 4 0 0 2 2 1 2 3 0 1 1 0 0 3 0 0 0 1 2 2 1 0 1 1 3 0 2 0 1 1 0 0 1 1 0 1 5 0 0 0 1 2 0 1 1 0 2 0 0 1 0 1 1 0 3 3 2 1 0 1 1 2 1 3 2 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 2 0 1 1 4 1 0 0 0 0 0 2 0 1 0 0 0 1 2 1 1
"reasonable" 1 0 0 3 1 2 2 1 1 0 0 1 0 1 1 0 3 1 1 0 1 0 1 1 0 1 2 2 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 1 2 1 2 0 1 1 1 1 1 0 1 1 0 2 0 0 0 1 0 0 0 1 1 1 3 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 3 0 0 1 0 0 1 5 0 2 2 1 0 0 0 1 0
"responsible" 0 0 1 0 1 0 1 2 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 2 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 1 0 1 1 1 0 2 1 1 0 1 0 4 0 0 0 1 0 1 1 1 1 1 0 2 1 0 0 0 0 0 0 1 0 1 1 2 2 0 0 1 0 0 0 0 0 0 1 2 0 0 1 2 1 0 0 0 0 0 2 2 0 1 0 0 0 1 0 0
"rigid" 0 2 0 0 1 1 0 2 0 0 0 2 0 1 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 2 1 0 1 0 0 1 1 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 1 2 0 1 1 2 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 2 1 4 0 4 0 1 1 1 2 0 0 2 3 1 0 1 0 0 0 2 1 0
"rough" 0 0 1 2 1 0 1 4 0 1 5 2 1 1 2 0 1 2 1 0 0 0 0 2 1 0 1 1 3 1 4 3 1 0 2 0 0 1 0 0 5 0 0 1 0 1 1 2 0 1 1 1 0 0 0 1 2 0 3 1 0 0 3 2 0 2 0 2 1 5 0 0 0 0 0 2 1 1 2 1 0 0 5 2 0 3 0 2 1 0 0 0 5 1 4 0 3 1 0 0 1 1 1 0 2 0 1 0 1 2 1 0 0
"rusty" 1 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 2 0 0 1 2 2 2 0 0 0 1 2 0 0 1 0 0 1 0 0 0 1 0 1 1 1 2 1 0 0 0 0 0 4 0 5 1 1 0 0 0 0 2 0 0 2 3 1 0 0 0 2 0 0 1 1 0 0 0 2 0 2 1 0 1 0 2 1 2 5 0 0 1 4 0 1 0 1 0 1 1 1 0 0 0 0 1 1 2 1
"sad" 1 0 0 0 1 0 0 0 0 1 2 2 0 1 1 0 0 1 3 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 1 1 2 0 1 2 1 0 0 1 0 0 0 0 2 1 0 0 1 1 0 1 1 1 2 1 0 0 1 1 0 0 2 2 5 0 0 1 0 1 0 0 0 2 1 1 0 3 0 0 0 0 1 1 0 0 0 2 0 0 0 3 0 0 1 0 0 1 2 2 0 1 0 1 0 2 0 0
"sagacious" 0 1 0 0 0 2 1 3 0 0 0 0 0 0 3 0 0 0 2 0 2 0 1 2 0 0 0 2 3 1 1 0 0 0 0 1 1 2 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 2 1 1 3 0 1 1 2 1 1 0 1 5 0 1 0 0 1 1 0 0 1 1 0 0 1 3 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 4 0 2 0 1 0 1 0 2 0
"second" 2 3 1 1 7 2 4 13 2 4 9 6 0 0 5 3 2 4 12 1 2 3 2 11 2 5 6 4 4 2 9 2 2 2 2 1 4 4 1 9 4 3 4 1 3 1 2 2 1 2 5 1 2 1 0 1 9 3 7 3 9 0 5 1 1 1 1 5 2 6 1 1 1 1 2 1 2 1 0 3 1 3 6 1 0 1 3 5 2 0 1 1 13 1 2 0 9 2 3 3 0 1 3 7 4 2 3 0 1 1 5 3 0
"sensible" 1 2 3 1 0 1 2 7 1 0 2 3 1 0 1 4 3 2 0 0 2 1 0 4 4 2 0 4 0 2 6 5 2 3 4 0 5 0 1 6 5 2 0 0 2 0 2 2 1 1 7 0 1 1 0 0 2 0 5 1 6 1 0 4 1 1 1 3 3 5 0 1 1 1 1 0 1 1 3 0 0 1 4 2 0 1 2 1 0 1 1 1 6 1 2 3 6 0 4 0 0 2 0 6 0 0 1 2 0 4 4 3 0
"serious" 1 0 0 3 2 1 1 0 0 0 0 0 0 0 1 1 2 0 2 0 0 0 0 2 0 0 1 2 0 2 2 1 0 1 1 1 0 1 2 1 1 0 1 0 1 0 0 0 1 1 2 1 1 0 0 0 3 0 3 0 0 2 0 0 0 1 1 2 2 1 0 3 2 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 7 1 1 1 1 0 0 5 2 0 5 2 1 0 0 1 1
"severe" 0 0 1 0 0 0 1 2 1 0 0 4 1 0 1 1 0 1 2 0 1 0 0 4 1 0 0 1 1 0 1 0 1 0 2 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 0 2 0 0 0 0 2 0 1 1 0 0 1 1 0 2 1 0 0 0 0 3 1 1 0 1 0 1 0 0 1 0 0 2 1 2 0 0 1 2 0 1 0 0 0 0 3 0 1 1 0 0 0 1 1 0
"silent" 1 0 0 0 2 2 3 3 1 2 4 3 0 1 3 2 5 1 2 2 0 0 0 6 4 3 3 4 5 4 6 1 1 2 3 2 2 0 3 4 10 6 3 3 0 1 1 1 2 4 2 0 0 3 0 1 2 1 3 2 4 0 3 4 0 2 0 2 1 7 0 0 0 0 5 2 3 1 6 4 0 1 0 2 3 3 0 5 0 0 1 0 10 1 6 0 8 1 1 0 0 1 1 2 2 1 3 1 1 4 1 1 1
"simple" 0 0 0 1 0 0 1 5 2 0 1 1 0 0 2 2 1 1 0 0 1 0 1 2 0 1 0 5 1 0 3 2 3 2 0 1 0 0 1 1 3 0 0 0 1 2 0 0 1 1 1 1 1 1 0 2 5 1 2 0 5 0 3 3 1 0 1 2 2 3 0 1 0 0 2 0 0 3 1 2 0 0 2 0 1 0 1 0 1 1 0 1 3 1 2 0 1 0 1 0 0 0 2 2 0 1 3 1 0 1 2 1 0
"slow" 0 1 1 3 1 1 2 6 0 1 3 3 1 1 1 0 1 1 3 0 0 0 2 4 0 3 3 3 3 4 6 1 1 4 4 3 2 1 2 4 3 1 2 1 0 0 0 1 0 2 2 4 0 2 1 0 9 0 7 3 5 0 0 2 2 0 2 2 6 3 1 0 1 0 0 2 0 1 0 0 1 1 3 1 0 3 0 1 0 0 0 1 5 2 0 3 6 4 1 1 2 2 0 6 2 0 1 1 1 1 7 3 0
"smooth" 0 1 0 1 0 1 0 1 0 1 2 0 2 0 1 0 1 0 0 1 0 0 1 0 2 0 1 1 0 3 2 0 0 1 1 0 0 0 1 1 2 2 1 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 2 0 4 0 0 2 1 0 1 2 2 4 0 0 0 0 3 1 0 0 1 1 0 0 3 0 3 0 0 0 0 0 0 0 2 1 1 0 2 2 0 2 0 2 0 0 0 1 0 1 2 1 0 2 0
"social" 1 1 0 1 0 0 1 6 0 0 1 1 1 1 0 1 1 4 1 1 0 1 0 1 1 3 2 3 0 3 6 0 2 2 0 0 0 0 0 3 1 1 0 0 2 1 0 0 0 0 3 1 1 0 0 1 0 0 1 1 0 0 1 2 2 1 0 2 0 3 0 0 0 1 0 0 0 0 3 2 0 0 0 1 0 0 0 0 0 1 1 2 4 0 3 1 5 0 0 1 0 0 1 2 2 0 0 1 0 0 1 0 0
"soft" 1 0 1 0 3 0 0 5 1 2 3 3 0 1 1 2 0 4 1 1 1 0 0 2 0 0 3 4 2 0 3 0 0 0 3 0 0 1 1 3 2 0 1 0 0 2 0 1 0 3 3 2 0 1 1 1 3 2 4 0 3 0 0 1 0 0 0 3 3 5 1 1 0 0 2 1 1 0 5 1 0 1 5 0 1 0 0 0 1 0 0 0 4 1 0 1 7 1 1 0 1 0 2 2 2 3 0 0 3 1 2 1 0
"spirited" 0 0 0 0 0 0 0 5 2 0 1 0 0 2 0 0 0 3 0 0 0 2 0 3 0 0 1 3 0 0 1 1 0 0 1 0 1 0 0 2 2 0 2 0 0 0 0 0 0 0 2 0 0 0 2 0 1 0 1 0 0 1 0 1 0 0 0 3 0 4 0 1 0 0 1 0 1 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 2 1 0 1 5 2 0 0 0 0 0 4 0 1 1 2 1 1 1 0 0
"steady" 1 0 0 0 0 0 1 5 0 1 1 1 2 0 0 0 1 1 0 0 2 0 1 3 1 1 0 5 3 3 2 1 0 1 3 1 0 1 0 1 3 1 0 0 0 1 1 0 0 0 2 1 0 2 0 2 3 2 5 1 2 0 1 1 0 1 1 3 1 4 0 1 0 1 0 2 0 2 0 1 0 0 0 1 0 0 1 0 1 0 3 1 5 2 0 0 5 1 0 0 0 0 1 4 1 1 0 2 0 1 0 2 1
"stern" 0 1 0 0 1 0 1 2 0 0 1 3 3 0 0 1 1 0 1 2 2 1 0 0 1 1 1 1 0 2 2 1 0 2 5 1 1 1 0 1 4 0 1 1 0 1 1 0 0 0 3 1 1 0 0 0 1 0 4 0 3 0 0 1 1 1 0 2 0 0 1 0 0 2 0 1 0 0 1 1 1 2 1 0 0 0 1 0 0 3 0 1 5 1 3 0 5 1 1 3 1 0 1 4 1 1 1 0 0 0 2 0 0
"stiff" 1 1 1 0 0 0 0 2 0 0 0 2 0 0 0 1 0 2 0 0 1 0 1 3 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 2 0 0 0 2 0 2 1 1 0 0 0 1 0 1 0 1 1 0 0 1 1 0 2 0 0 1 1 1 1 0 1 1 0 2 0 0 1 1 0 3 0 1 2 2 0 1 1 0 0 1 1 0 0 1 0 0 0 2 0 1
"strong" 0 2 3 4 4 3 2 16 5 2 10 13 0 2 3 6 10 4 6 3 1 6 2 7 6 9 7 11 7 4 13 5 2 3 10 3 4 2 2 7 13 2 4 1 5 4 5 4 4 2 9 1 1 3 4 2 12 1 21 4 12 0 3 7 1 2 0 5 7 15 2 1 2 4 5 5 2 0 13 6 1 2 10 3 5 2 4 4 2 5 5 3 0 4 5 4 17 5 4 3 3 2 7 10 6 2 2 1 1 3 13 3 3
"submissive" 0 0 0 0 0 0 1 2 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 1 1 1 2 1 0 2 2 1 1 1 0 2 2 0 0 0 0 1 1 3 0 1 3 1 0 0 0 0 2 0 3 2 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 2 1 0 1 1 2 1 0 4 0 0 0 5 1 0 0 0 0 0 2 1 0 0 1 0 0 1 0 0
"sudden" 0 1 0 0 1 0 1 9 2 0 4 1 1 2 0 2 4 4 2 1 1 1 2 4 3 5 0 1 3 2 4 3 2 2 2 2 1 1 1 1 6 1 2 1 1 0 1 0 1 2 2 0 1 0 0 0 2 0 5 1 0 0 3 3 3 2 1 2 4 5 1 0 0 4 4 0 0 0 2 2 0 0 6 2 0 1 3 0 0 0 3 1 5 0 0 1 7 2 2 1 0 0 1 4 2 1 2 1 0 3 2 0 1
"sufficient" 0 0 2 1 0 0 1 4 2 0 0 2 0 0 0 1 0 4 1 0 0 1 2 4 0 0 2 4 2 1 2 0 0 0 2 1 0 0 1 0 2 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 3 0 1 0 2 0 0 2 2 1 0 1 2 1 1 0 1 0 0 1 0 0 0 3 0 1 0 0 3 0 1 1 1 0 0 2 4 0 1 0 1 0 1 0 0 1 0 3 0 0 1 0 1 0 3 0 0
"sure" 2 0 2 8 9 4 5 27 7 1 9 10 5 4 3 2 8 11 8 4 3 0 6 9 3 4 7 17 5 5 22 8 0 7 2 5 4 6 4 8 12 7 5 2 4 5 2 5 2 6 17 3 1 3 1 0 19 4 21 5 10 3 0 11 2 3 1 18 11 18 4 3 2 1 3 4 3 1 9 6 7 2 8 1 6 2 5 7 5 5 5 2 17 5 7 1 0 6 3 2 3 3 4 25 1 5 5 6 5 5 8 3 5
"sweet" 0 2 0 1 0 1 0 3 0 1 2 2 2 0 0 1 1 1 2 0 0 1 0 0 0 1 0 2 1 2 4 0 0 2 1 0 0 3 1 2 3 0 0 2 4 0 0 3 0 0 1 2 0 1 1 0 2 1 4 0 3 0 0 3 1 2 1 4 4 2 1 0 1 1 1 0 0 0 2 0 1 0 1 0 4 2 0 1 2 1 1 0 5 1 2 0 6 0 1 2 2 2 0 3 4 2 0 2 2 1 3 1 2
"tender" 0 0 0 0 0 0 1 3 1 0 2 1 0 0 0 4 4 1 1 1 0 1 2 2 0 1 1 4 0 1 1 1 0 1 2 1 2 1 0 0 4 0 1 1 1 0 0 0 0 0 1 3 1 1 0 0 3 0 4 3 3 0 1 1 1 1 1 3 2 4 0 0 0 1 0 1 0 0 3 4 1 1 1 1 1 0 0 1 0 0 1 1 4 0 2 1 3 1 0 1 1 1 1 7 0 0 2 0 0 0 2 1 1
"thankful" 0 2 0 1 1 1 0 1 0 0 1 2 1 0 0 1 0 1 1 2 0 0 1 0 0 1 0 0 0 2 1 0 0 0 1 0 0 1 2 0 3 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 2 0 0 1 2 1 3 0 1 0 2 0 0 1 0 3 0 1 0 0 0 1 2 1 0 0 0 3 1 3 0 1 0 2 2 1 0 1 0 1 3 0 0 2 1 1 0 3 0 0
"thoughtful" 0 0 0 0 0 2 0 5 0 1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 0 4 2 2 0 0 0 2 2 0 0 2 0 2 0 1 0 0 0 0 0 1 0 0 0 1 0 2 0 0 4 0 4 0 0 0 0 0 0 1 0 2 1 2 0 0 0 0 1 1 0 1 0 0 1 0 0 0 2 0 0 1 0 0 1 0 3 0 0 0 3 2 1 1 0 2 2 4 0 1 2 0 0 0 2 0 0
"tight" 1 0 1 0 0 1 0 3 1 2 2 0 0 0 0 0 1 1 1 0 0 1 1 2 0 0 1 2 0 2 3 1 0 2 1 0 2 0 3 1 1 2 1 1 0 0 0 0 0 0 2 0 0 2 0 0 3 0 4 0 0 0 0 1 0 2 0 1 3 3 0 0 0 0 1 0 0 0 1 2 0 0 1 0 2 2 0 0 0 0 0 0 2 0 0 1 3 2 1 0 2 0 1 4 0 0 0 0 0 0 1 1 1
"timid" 1 1 0 2 1 0 0 3 2 1 2 4 0 0 3 0 3 0 2 0 0 1 2 1 0 2 2 2 1 1 2 1 0 1 0 1 0 3 1 0 1 0 2 0 0 1 2 0 0 1 1 0 0 2 0 1 5 2 2 0 1 0 1 1 1 0 0 3 2 2 0 1 0 2 1 1 1 0 3 0 0 0 1 2 0 0 1 2 0 1 1 1 7 0 1 0 4 0 1 1 2 1 0 5 1 0 2 0 0 0 1 0 0
"true" 0 0 2 3 7 7 3 15 4 2 7 6 3 2 3 1 10 4 9 2 4 3 3 8 1 9 7 13 5 6 8 2 0 2 3 4 7 6 1 7 7 5 4 2 5 2 1 2 3 2 12 5 1 2 1 5 12 5 11 5 6 2 3 6 6 2 1 9 9 14 2 5 2 3 0 1 2 4 7 6 5 3 2 2 6 0 2 2 4 4 4 1 10 2 4 3 25 3 7 3 4 4 5 0 3 5 4 4 0 3 5 3 3
"ugly" 0 0 1 0 1 0 2 3 1 0 5 3 0 2 2 0 2 3 4 0 0 0 0 2 1 1 4 1 3 3 2 0 0 1 3 0 0 1 0 3 1 2 0 1 1 0 1 2 0 3 1 2 0 1 1 0 3 0 3 1 1 0 2 2 0 0 1 2 5 2 0 0 2 1 2 1 2 0 4 0 2 0 2 0 2 0 2 2 0 1 1 0 6 1 2 0 1 4 0 0 0 0 1 3 0 0 0 0 0 0 1 0 2
