"active" "affectionate" "busy" "careful" "certain" "cheerful" "clean" "close" "cold" "confidential" "cool" "curious" "delicate" "earnest" "easy" "faithful" "familiar" "free" "fresh" "friendly" "general" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "heavy" "honest" "hopeful" "indifferent" "joyful" "kind" "melancholy" "military" "natural" "neat" "open" "particular" "pleasant" "polite" "practical" "proud" "quick" "quiet" "rough" "rusty" "second" "sensible" "serious" "silent" "simple" "slow" "stately" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thoughtful" "tight" "true" "unhappy" "watchful" "weak" "willing"
"active" 0 1 3 3 5 0 3 3 3 1 2 1 0 1 3 2 1 1 0 0 9 0 3 2 0 0 1 1 1 1 1 0 1 2 0 4 0 5 0 1 0 1 2 1 5 0 0 2 1 0 3 0 0 1 0 8 0 1 8 1 0 0 2 3 0 0 0
"affectionate" 1 0 4 1 4 2 1 0 1 1 1 5 2 1 2 3 1 2 4 1 5 3 1 2 1 2 2 1 1 0 1 1 4 2 1 3 3 7 2 3 1 1 0 3 5 2 3 2 2 2 3 3 0 3 3 2 0 1 11 0 2 1 7 5 2 3 1
"busy" 3 4 0 6 6 6 2 0 4 2 2 7 2 2 7 1 4 5 7 1 6 5 2 2 3 0 7 7 4 2 2 2 5 2 2 2 4 10 7 8 2 2 3 3 4 2 1 3 2 1 7 2 0 1 1 9 1 1 17 3 2 1 9 6 0 3 3
"careful" 3 1 6 0 4 1 0 2 0 1 0 5 1 3 2 2 1 2 3 1 6 1 1 0 0 1 1 0 1 1 1 1 1 3 0 2 2 4 5 5 0 1 0 0 6 0 2 2 3 2 0 2 0 0 1 1 0 2 7 1 0 0 5 2 0 3 0
"certain" 5 4 6 4 0 5 4 7 4 2 4 4 2 7 15 8 12 5 7 3 12 2 1 3 4 1 11 7 4 4 2 4 8 1 2 15 6 10 8 13 1 5 5 6 15 5 2 5 3 3 4 2 3 3 8 7 3 1 20 3 1 2 7 2 4 5 3
"cheerful" 0 2 6 1 5 0 1 3 3 1 0 6 0 1 4 3 2 2 6 2 4 4 2 1 2 1 2 5 3 4 0 3 1 1 1 2 0 8 3 5 0 2 2 2 9 3 0 3 4 2 3 2 0 0 2 2 1 1 10 1 3 0 3 2 1 2 1
"clean" 3 1 2 0 4 1 0 1 1 1 0 3 0 1 2 1 3 0 5 0 1 1 0 2 0 0 0 2 1 0 0 0 1 0 0 2 1 6 2 0 0 0 1 3 3 1 2 1 0 1 1 0 1 0 1 5 0 0 8 1 1 1 2 0 0 1 0
"close" 3 0 0 2 7 3 1 0 4 2 3 5 0 2 5 2 2 2 4 3 7 0 2 0 2 1 5 7 0 0 1 2 3 2 3 7 1 7 1 6 1 0 4 0 9 1 4 1 2 3 7 0 1 3 4 3 2 1 12 1 1 2 5 0 3 1 1
"cold" 3 1 4 0 4 3 1 4 0 0 2 8 0 2 8 1 7 6 8 2 6 1 7 3 3 3 5 12 0 1 3 2 5 5 3 7 2 11 7 5 3 0 7 2 11 2 5 6 3 1 2 2 8 5 4 7 3 2 15 5 1 1 9 5 3 5 1
"confidential" 1 1 2 1 2 1 1 2 0 0 0 5 0 1 2 0 1 1 0 3 5 0 1 0 1 0 1 6 1 0 0 0 2 0 2 2 2 3 4 3 0 1 2 2 6 1 1 0 0 0 0 1 0 2 1 2 0 0 4 0 1 1 5 0 1 2 1
"cool" 2 1 2 0 4 0 0 3 2 0 0 0 1 0 5 0 1 1 1 3 5 3 3 0 0 1 0 2 1 1 1 2 2 0 1 4 1 5 1 3 1 1 0 0 5 2 0 3 2 0 2 1 1 0 2 0 1 0 5 1 0 2 3 2 0 0 3
"curious" 1 5 7 5 4 6 3 5 8 5 0 0 5 3 8 3 4 7 7 1 12 2 3 3 2 1 7 8 2 3 1 0 7 1 2 9 4 12 6 7 2 3 4 5 13 3 2 6 2 2 5 3 4 1 1 11 4 1 21 1 4 1 10 1 3 6 2
"delicate" 0 2 2 1 2 0 0 0 0 0 1 5 0 0 4 1 0 3 5 1 6 1 1 2 0 1 2 0 1 0 1 1 2 1 1 3 2 5 5 3 0 1 2 4 2 0 0 0 1 0 4 0 1 1 2 2 3 0 8 2 2 0 3 0 1 1 0
"earnest" 1 1 2 3 7 1 1 2 2 1 0 3 0 0 6 2 4 1 2 1 2 1 1 0 1 1 4 2 0 0 1 1 4 1 0 5 3 3 3 5 2 0 4 4 8 0 1 2 1 3 4 1 0 1 2 2 2 1 10 1 1 0 5 2 1 3 0
"easy" 3 2 7 2 15 4 2 5 8 2 5 8 4 6 0 1 7 12 3 4 6 4 1 4 3 3 7 5 1 5 4 0 6 4 4 9 2 11 4 7 4 1 6 6 13 2 6 6 5 3 6 4 2 2 2 10 3 2 25 4 2 1 10 4 3 3 4
"faithful" 2 3 1 2 8 3 1 2 1 0 0 3 1 2 1 0 1 2 3 0 3 3 0 1 0 3 3 3 1 0 2 0 1 2 1 6 0 3 3 2 1 0 3 3 3 1 1 1 1 2 2 1 0 2 2 5 1 1 6 2 0 0 5 3 0 1 0
"familiar" 1 1 4 1 12 2 3 2 7 1 1 4 0 4 7 1 0 2 5 5 6 0 1 1 2 1 3 7 0 1 1 1 2 2 2 5 2 6 5 3 1 1 2 3 6 4 2 3 1 3 3 1 3 1 3 3 3 2 11 2 1 1 9 1 2 2 1
"free" 1 2 5 2 5 2 0 2 6 1 1 7 3 1 12 2 2 0 7 1 5 3 0 5 3 1 6 4 1 2 1 1 2 3 3 6 1 7 3 4 2 3 2 4 7 0 4 1 3 2 3 1 3 1 2 8 4 2 17 3 1 2 4 2 2 2 2
"fresh" 0 4 7 3 7 6 5 4 8 0 1 7 5 2 3 3 5 7 0 2 7 4 1 4 1 4 7 9 3 0 4 4 2 3 4 9 4 10 7 7 0 1 0 4 9 2 4 4 1 0 5 0 4 3 6 8 1 3 21 2 3 1 6 1 3 4 1
"friendly" 0 1 1 1 3 2 0 3 2 3 3 1 1 1 4 0 5 1 2 0 2 0 1 0 3 0 2 4 3 2 1 0 2 0 3 6 0 6 5 4 0 1 1 2 1 3 0 5 5 1 1 1 2 2 2 0 1 0 6 1 2 1 12 2 1 1 2
"general" 9 5 6 6 12 4 1 7 6 5 5 12 6 2 6 3 6 5 7 2 0 3 5 3 2 3 6 7 2 3 1 3 8 11 2 13 4 19 14 7 3 6 5 6 8 3 4 10 2 2 8 4 0 4 1 9 7 6 28 2 2 5 14 4 5 3 2
"gentle" 0 3 5 1 2 4 1 0 1 0 3 2 1 1 4 3 0 3 4 0 3 0 0 1 1 0 2 2 1 1 0 2 3 0 0 2 2 5 2 1 1 0 0 1 5 1 0 2 1 4 3 2 0 1 0 3 1 0 7 0 1 1 6 3 0 1 3
"gloomy" 3 1 2 1 1 2 0 2 7 1 3 3 1 1 1 0 1 0 1 1 5 0 0 1 2 2 1 3 0 1 2 1 1 0 0 2 2 3 3 0 1 1 3 0 4 1 3 4 2 1 4 1 3 3 3 2 2 0 7 2 1 0 4 3 0 3 0
"gracious" 2 2 2 0 3 1 2 0 3 0 0 3 2 0 4 1 1 5 4 0 3 1 1 0 0 0 4 3 0 2 1 1 1 2 1 5 0 5 3 2 1 0 2 2 3 0 1 0 2 0 3 1 0 4 2 4 4 0 14 1 3 1 4 2 0 0 0
"grateful" 0 1 3 0 4 2 0 2 3 1 0 2 0 1 3 0 2 3 1 3 2 1 2 0 0 0 2 2 0 0 0 1 2 0 0 1 1 1 0 2 0 3 2 2 4 0 0 5 2 1 2 0 1 0 1 1 0 1 8 1 0 0 5 2 1 0 0
"grave" 0 2 0 1 1 1 0 1 3 0 1 1 1 1 3 3 1 1 4 0 3 0 2 0 0 0 3 1 1 0 1 1 1 2 2 4 1 3 2 1 1 0 2 1 2 2 0 1 0 1 2 1 1 1 2 5 2 2 7 1 0 0 3 3 0 1 1
"handsome" 1 2 7 1 11 2 0 5 5 1 0 7 2 4 7 3 3 6 7 2 6 2 1 4 2 3 0 5 1 2 2 2 9 5 4 8 3 6 4 4 2 0 7 4 4 0 1 2 4 3 6 0 2 7 2 4 4 1 12 4 0 1 4 0 3 2 2
"heavy" 1 1 7 0 7 5 2 7 12 6 2 8 0 2 5 3 7 4 9 4 7 2 3 3 2 1 5 0 3 2 4 0 5 2 3 10 2 13 8 4 2 4 3 6 13 3 3 7 2 4 3 2 3 3 5 7 3 0 12 4 1 1 7 0 1 1 2
"honest" 1 1 4 1 4 3 1 0 0 1 1 2 1 0 1 1 0 1 3 3 2 1 0 0 0 1 1 3 0 3 0 1 1 2 2 5 1 8 1 2 0 1 1 2 3 1 0 3 1 1 0 3 2 0 0 4 0 1 10 2 2 0 5 1 0 2 0
"hopeful" 1 0 2 1 4 4 0 0 1 0 1 3 0 0 5 0 1 2 0 2 3 1 1 2 0 0 2 2 3 0 1 0 1 0 1 4 0 4 1 1 1 0 2 1 3 0 0 2 3 1 4 1 0 0 0 1 2 0 10 2 2 0 3 2 0 1 1
"indifferent" 1 1 2 1 2 0 0 1 3 0 1 1 1 1 4 2 1 1 4 1 1 0 2 1 0 1 2 4 0 1 0 2 0 0 1 5 1 4 3 2 1 0 1 2 3 1 3 2 1 0 1 1 1 1 0 4 1 0 5 1 2 0 2 2 0 1 2
