"active" "affectionate" "busy" "certain" "cheerful" "civil" "close" "cold" "constant" "decided" "determined" "domestic" "eager" "easy" "free" "fresh" "friendly" "gay" "general" "gentle" "grateful" "grave" "handsome" "hasty" "heavy" "impatient" "independent" "indifferent" "indolent" "intimate" "kind" "lively" "melancholy" "mild" "modest" "natural" "open" "particular" "pleasant" "quick" "quiet" "reasonable" "sad" "sanguine" "second" "selfish" "sensible" "serious" "silent" "simple" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "tender" "thankful" "true" "unhappy" "vain" "willing"
"free" 0 0 1 1 1 0 0 1 2 0 1 0 0 3 0 0 0 0 4 0 2 0 1 0 0 0 0 0 2 0 3 1 1 1 1 1 1 2 4 0 1 0 1 2 1 1 2 1 0 2 2 2 0 1 5 1 1 0 1 0 0 0
"fresh" 1 1 0 1 1 2 3 1 1 2 1 0 2 1 0 0 0 0 2 0 1 0 2 0 1 2 1 0 1 2 2 1 0 0 3 1 2 2 5 2 1 0 0 0 1 0 0 0 0 1 2 1 0 2 6 1 0 1 1 0 1 1
"friendly" 2 0 2 0 0 0 1 0 1 3 2 0 2 3 0 0 0 2 7 2 0 2 1 0 0 0 1 2 1 0 2 1 1 0 1 4 2 2 3 2 2 3 3 0 2 1 0 3 2 1 1 2 2 1 7 1 1 2 2 1 0 1
"gay" 0 1 2 0 0 1 1 1 0 0 2 0 1 1 0 0 2 0 4 0 0 1 2 0 0 2 0 1 0 1 3 0 0 1 0 0 0 3 1 1 1 1 1 0 0 2 0 1 2 0 0 1 1 4 3 1 0 0 1 0 0 0
"general" 5 2 5 6 4 3 5 4 3 1 6 3 4 14 4 2 7 4 0 8 6 5 4 0 5 5 4 5 6 3 9 6 3 2 7 12 7 8 15 7 9 5 4 3 6 4 5 14 9 1 6 16 6 6 37 7 5 4 11 3 1 5
"gentle" 1 0 0 2 1 1 3 1 3 1 2 0 1 0 0 0 2 0 8 0 1 1 1 0 1 0 1 1 0 1 2 1 1 0 2 2 3 2 2 1 2 1 0 2 2 0 0 3 3 0 3 4 1 0 7 2 2 0 3 1 0 2
"grateful" 0 1 0 0 0 1 1 1 1 0 2 0 0 0 2 1 0 0 6 1 0 1 0 1 1 0 0 1 0 0 5 2 0 1 1 5 5 2 5 1 1 0 1 1 1 1 4 3 1 0 2 2 0 1 5 2 0 2 2 1 0 1
"grave" 0 0 2 1 0 0 2 1 1 1 1 0 0 1 0 0 2 1 5 1 1 0 0 0 0 0 0 2 0 0 2 2 0 0 1 4 2 1 1 1 2 1 1 0 0 1 2 2 1 1 1 1 0 0 5 2 0 0 1 2 0 0
"handsome" 1 0 0 3 2 2 2 5 1 1 0 1 1 3 1 2 1 2 4 1 0 0 0 2 2 0 2 0 1 2 3 2 1 2 0 2 2 4 3 1 1 0 1 1 2 2 0 2 1 1 1 1 2 3 8 3 1 1 0 2 0 0
"hasty" 0 2 0 1 2 0 0 2 0 0 3 1 0 1 0 0 0 0 0 0 1 0 2 0 1 0 2 0 0 0 1 2 0 0 0 2 2 1 2 1 1 0 1 0 0 0 2 0 1 0 0 2 3 0 4 1 0 1 1 2 1 1
