"active" "careful" "careless" "cautious" "certain" "charitable" "cheerful" "civil" "cold" "constant" "cruel" "decided" "determined" "domestic" "eager" "easy" "exact" "fresh" "friendly" "general" "gentle" "grateful" "handsome" "hopeless" "impatient" "indifferent" "intimate" "jealous" "kind" "lively" "natural" "observant" "open" "particular" "pleasant" "polite" "prudent" "quick" "quiet" "reasonable" "sad" "second" "selfish" "sensible" "serious" "severe" "silent" "sincere" "steady" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "true" "uncertain" "vain" "unhappy" "worldly" "willing"
"active" 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 3 0 1 0 0 0 1 1 0 0 1 1 0 0 3 1 0 2 0 0 0 0 0
"careful" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 1 1 0 0 2 0 0 0 0 2 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 2 1 0 0 1 0 0 1 1 1 2 0 1 3 0 1 0 0 0
"careless" 0 0 0 1 1 0 0 0 2 0 1 0 2 0 2 1 0 0 0 2 0 0 0 1 0 0 0 0 2 0 1 0 3 2 0 0 1 0 0 0 1 0 0 2 2 0 0 0 0 1 1 1 0 3 0 0 1 0 0 0 0 1
"cautious" 0 0 1 0 0 2 0 1 0 1 0 0 0 1 2 1 1 0 0 2 1 0 0 0 0 1 0 0 0 0 2 1 1 1 0 1 0 1 0 0 0 1 0 3 2 1 0 0 1 1 2 0 0 1 1 1 2 0 0 0 1 0
"certain" 1 0 1 0 0 0 2 1 3 1 2 0 2 3 0 3 0 1 0 4 1 2 4 1 0 2 1 1 1 1 6 0 4 5 1 1 1 1 1 0 2 2 0 3 3 2 2 1 1 0 3 1 0 6 1 0 2 2 1 1 0 1
"charitable" 0 0 0 2 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 2 1 1 0 0 1 1 2 0 0 1 1 0 1 0 0 0 1 0
"cheerful" 1 0 0 0 2 0 0 0 1 1 0 1 1 2 2 0 0 2 0 3 1 3 1 1 0 2 1 0 0 1 1 0 0 2 1 0 0 0 0 1 0 2 0 1 1 3 3 0 0 1 2 0 0 3 0 2 0 1 0 1 0 0
"civil" 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 1 2 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 2 1 0 0 0 1 2 0 0 2 0 1 2 0 0 2 0 0
"cold" 1 0 2 0 3 0 1 0 0 1 1 1 4 2 2 2 0 0 1 4 1 0 1 1 1 0 1 0 1 0 4 0 3 3 1 1 1 1 0 1 1 2 0 4 2 2 2 1 1 0 5 0 1 5 1 0 0 1 0 1 0 1
"constant" 0 0 0 1 1 1 1 1 1 0 0 2 0 3 0 3 0 0 1 5 1 1 1 1 0 3 2 0 0 1 1 1 0 3 0 1 0 0 1 0 1 4 0 3 1 2 1 0 4 0 4 0 0 5 1 0 0 0 0 2 2 0
