"affectionate" "bold" "busy" "certain" "chaste" "cheerful" "clean" "close" "cold" "compassionate" "cool" "cruel" "curious" "delicate" "domestic" "earnest" "easy" "exact" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "gentle" "graceful" "grateful" "handsome" "heavy" "honest" "hopeful" "hopeless" "humble" "impatient" "independent" "indifferent" "kind" "loud" "mechanical" "melancholy" "natural" "open" "particular" "patient" "pleasant" "polite" "political" "practical" "proud" "quick" "quiet" "rapid" "reasonable" "reserved" "rough" "second" "sensible" "sentimental" "serene" "silent" "simple" "slow" "sober" "social" "stately" "statistical" "steady" "stern" "stiff" "strong" "submissive" "sufficient" "sure" "thoughtful" "tight" "true" "uncertain" "vague" "violent" "watchful" "wiser" "weak"
"affectionate" 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 0 0 1 0 1 0 0 1 3 0 0 0 0 3 1 1 4 2 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 2 0 0 4 1 0 2 0 0 0 0 1 0
"bold" 0 0 2 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 2 1 1 1 1 0 0 0 0 2 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0
"busy" 0 2 0 2 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 2 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3 0 1 0 0
"certain" 1 1 2 0 0 3 1 1 4 2 1 1 0 1 0 0 0 0 0 2 0 1 1 0 6 3 0 1 1 3 2 0 0 0 0 1 1 0 0 1 3 1 2 2 1 2 0 1 0 0 3 6 1 0 0 1 0 1 1 1 1 1 3 0 0 2 0 1 3 0 3 1 1 4 1 0 5 1 1 1 1 0 2
"chaste" 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"cheerful" 1 1 0 3 0 0 1 0 4 3 1 1 3 1 1 0 1 0 0 0 2 0 1 1 0 1 1 1 1 2 1 1 1 1 0 1 0 0 0 0 2 4 1 1 0 1 1 1 1 1 1 4 0 0 1 0 0 2 2 3 0 2 2 0 0 1 1 1 1 1 1 0 0 4 1 0 4 1 0 0 1 0 1
"clean" 0 1 2 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 2 1 1 0 1 2 0 2 0 1 0 1 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0
"close" 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 1 0 0 0 0 0 2 1 1 1 1 0 1 0 1 2 0 1 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 4 0 0 1 0 0 3 0 2 1
"cold" 2 0 1 4 1 4 1 2 0 2 1 2 2 2 0 0 1 1 0 0 0 2 0 1 1 0 2 0 1 4 0 1 1 1 0 1 3 0 2 1 4 4 1 3 0 0 1 2 2 3 1 3 1 0 2 0 0 0 1 2 0 2 1 0 1 1 2 1 0 0 2 1 0 6 1 0 4 0 0 1 3 1 0
"compassionate" 0 0 0 2 0 3 0 0 2 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 0 3 0 0 2 0 0 0 0 0 0
"cool" 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 2 1 0 1 1 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0
"cruel" 0 0 0 1 1 1 0 0 2 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 0 0 0 2 1 2 0 0 0 0 1 0 0 0 0 0 1 1 2 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 2 0 0 2 0 0 0 0 0 0
"curious" 0 0 0 0 1 3 1 1 2 1 0 1 0 1 1 0 1 0 0 0 2 2 1 2 2 1 2 1 1 2 1 0 2 1 0 1 1 1 0 0 0 2 1 3 1 0 0 0 1 2 0 2 0 0 0 0 0 2 1 0 0 4 2 0 0 0 0 1 1 2 2 0 1 6 0 1 1 0 0 1 0 0 1
"delicate" 0 0 0 1 1 1 0 1 2 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 1 1 0 0 1 1 0 0 2 1 2 1 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1
"domestic" 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 2 1 1 0 0 0 0 0 0 1 2 1 0 0 0 2 1 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 2 0 1 2 0 1 0 1 0 0
"earnest" 2 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 2 0 1 1 0 0 0 1 0 0 0 0 1 2 0 3 0 0 1 0 0 3 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 2 0 0 3 1 0 2 0 0 1 0 1 0
"easy" 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 0 1 1 1 3 0 0 1 1 3 1 0 0 0 0 0 2 0 1 1 1 2 0 1 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 2 1 0 0 0 0 0 0 3 0 0 3 0 0 2 1 0 0 0 1 0
"exact" 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 1 0 1 2 1 0 1 1 1 3 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 2 0 1 1 1 0 1 1 0 0 1 2 0
"expressive" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 2 1 0 0 1 1 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 3 0 1 0 0 0 1 0 0 0
"faithful" 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 3 2 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 0 1 1 0 2 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 2 0 0 4 0 0 3 0 0 0 0 0 1
"familiar" 0 2 1 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 3 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 2 0 0 0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 2 0 0 1 0 1 0 0 0 1
"free" 0 1 1 1 0 0 1 2 2 0 1 0 2 0 1 1 1 1 0 1 0 0 1 1 3 3 1 0 1 1 3 0 1 2 0 1 2 0 0 0 1 3 0 0 3 0 1 1 1 3 0 3 0 0 1 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 2 0 1 4 0 0 3 0 1 1 2 1 1
"fresh" 0 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 3 0 0 0 0 0 1 1 1 0 2 1 2 0 0 1 0 0 1 0 2 3 0 1 0 0 0 0 0 0 2 1 2 0 1 0 0 0 0 0 0 1 0 5 0 0 1 0 1 0 0 0 1
"friendly" 0 1 1 0 0 1 2 1 1 0 0 0 2 0 1 0 1 0 0 0 0 1 1 0 1 0 0 1 1 1 2 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 1 1 0 0
"general" 0 1 2 6 0 0 1 1 1 0 1 0 2 0 1 1 3 1 2 3 2 3 1 1 0 2 0 2 0 4 2 0 1 2 0 0 2 1 0 2 2 4 4 5 2 5 2 2 2 0 3 5 0 1 0 2 1 2 2 0 4 4 5 1 1 1 0 0 3 1 9 2 1 9 1 2 6 1 1 1 0 2 2
