"awkward" "busy" "certain" "cheerful" "civil" "cold" "delicate" "determined" "eager" "easy" "fresh" "friendly" "gallant" "general" "gentle" "grateful" "handsome" "humble" "impatient" "independent" "indifferent" "kind" "lively" "natural" "nervous" "obliging" "open" "particular" "pleasant" "quick" "quiet" "reasonable" "sad" "second" "sensible" "serious" "severe" "silent" "simple" "strong" "sudden" "sure" "sweet" "thorough" "true" "unhappy" "vain" "willing"
"awkward" 0 2 1 2 2 1 0 1 0 1 0 3 0 3 2 2 0 1 1 0 0 3 1 1 1 1 3 1 2 2 0 0 3 1 1 3 1 3 1 1 0 8 1 3 4 1 1 0
"busy" 2 0 3 2 2 3 1 2 5 1 4 2 2 9 0 4 2 2 3 2 3 6 0 4 0 2 1 4 3 5 1 4 2 3 4 1 1 2 3 4 2 11 3 1 3 2 1 1
"certain" 1 3 0 1 1 3 1 2 2 3 3 4 2 6 0 2 2 1 1 2 4 5 2 5 1 2 3 6 4 3 4 2 3 3 1 1 2 5 1 9 1 14 2 2 7 3 2 5
"cheerful" 2 2 1 0 3 6 1 2 1 6 0 6 2 12 5 0 8 2 2 1 1 5 5 8 2 0 6 2 8 1 3 3 5 3 4 3 2 5 2 6 2 14 2 0 8 3 3 2
"civil" 2 2 1 3 0 2 2 1 0 2 2 2 0 4 2 3 2 3 1 0 4 6 1 5 1 3 3 4 6 2 1 2 3 1 3 2 3 0 1 1 0 8 0 2 5 0 0 0
"cold" 1 3 3 6 2 0 1 5 4 6 1 3 4 7 2 3 3 2 5 1 3 8 1 6 4 5 4 5 6 4 4 6 7 5 4 5 2 6 3 4 2 20 4 3 6 0 1 2
"delicate" 0 1 1 1 2 1 0 0 0 2 0 1 1 3 2 0 2 0 2 1 2 4 0 4 0 1 2 3 2 2 2 1 3 2 3 1 3 0 0 2 1 6 0 1 4 2 0 1
"determined" 1 2 2 2 1 5 0 0 0 2 1 2 1 5 0 2 1 3 0 2 2 5 1 2 0 2 1 4 5 2 0 1 3 1 2 4 1 4 0 4 1 8 2 1 1 1 1 1
"eager" 0 5 2 1 0 4 0 0 0 5 2 1 2 5 2 2 4 0 1 2 0 3 0 0 3 1 2 2 3 2 2 0 2 1 3 1 1 3 2 2 0 12 3 1 5 3 2 2
"easy" 1 1 3 6 2 6 2 2 5 0 1 3 3 8 5 1 8 2 1 2 1 4 2 7 5 2 3 5 6 2 3 4 4 3 4 3 4 3 1 8 2 16 4 1 4 1 6 0
