"bitter" "busy" "careful" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "constant" "cruel" "curious" "determined" "direct" "domestic" "eager" "easy" "expressive" "faithful" "familiar" "fearful" "fierce" "firm" "free" "fresh" "friendly" "gay" "general" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "heavy" "helpless" "honest" "hopeful" "hopeless" "humble" "impatient" "indifferent" "kind" "lively" "lonely" "loud" "melancholy" "natural" "neat" "nervous" "open" "particular" "pleasant" "polite" "proud" "quick" "quiet" "responsible" "rusty" "second" "sensible" "sensitive" "serious" "severe" "silent" "slow" "smooth" "soft" "steady" "strict" "strong" "sudden" "sure" "suspicious" "sweet" "tender" "thoughtful" "true" "ugly" "uncertain" "unhappy" "vain" "violent" "weak" "willing"
"bitter" 0 0 0 2 0 0 0 1 2 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 2 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 1 1 1 3 0 0 0 0 0 0 0 0 0 1 0 1
"busy" 0 0 1 3 2 1 3 2 1 0 1 1 2 1 0 1 0 2 0 0 2 0 0 1 1 0 1 1 2 1 1 1 1 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 2 3 1 1 0 0 2 1 0 2 0 0 1 0 2 1 0 1 0 0 1 2 4 0 2 0 1 2 2 4 0 3 1 0 0
"careful" 0 1 0 2 1 0 1 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0 1 1 0 2 0 0 0 0 2 1 0 1 0 1 0 0 1 2 0 0 1 1 1 0 0 0 0 0 0
"certain" 2 3 2 0 6 3 2 3 8 2 1 2 3 5 2 2 1 5 1 2 5 2 0 1 4 2 3 1 9 3 3 1 0 3 4 7 2 7 1 4 0 2 2 0 2 1 2 0 3 3 3 10 7 6 3 5 2 6 1 2 4 1 1 6 2 5 1 1 2 3 1 9 5 14 4 0 1 0 6 4 2 2 0 2 2 1
"cheerful" 0 2 1 6 0 1 4 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 4 2 2 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 2 0 2 6 2 3 1 0 1 3 1 0 1 0 0 1 0 2 0 0 0 1 0 1 1 3 0 0 0 0 1 0 1 0 0 1 0 0
"christian" 0 1 0 3 1 0 0 0 2 0 0 0 2 2 0 1 0 2 0 0 2 1 0 0 0 2 0 0 3 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 1 1 2 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 1 0
"clean" 0 3 1 2 4 0 0 0 2 1 0 1 2 0 0 1 1 1 0 0 1 0 0 0 3 1 0 1 5 1 0 1 3 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 1 1 3 1 4 0 1 0 0 1 1 2 1 0 1 0 2 1 1 0 1 0 0 1 5 2 1 1 2 2 0 1 0 1 0 0 1
"close" 1 2 0 3 0 0 0 0 5 0 1 0 1 0 0 0 0 1 3 0 0 0 0 1 0 0 0 0 1 0 2 0 0 2 1 2 0 0 0 0 1 2 0 1 0 0 0 0 3 0 1 5 1 0 0 0 0 3 0 1 1 0 1 0 0 2 1 0 0 0 1 4 1 6 1 1 0 0 3 1 0 1 0 3 1 3
"cold" 2 1 0 8 0 2 2 5 0 1 4 1 2 2 0 1 1 6 0 2 1 2 5 2 4 2 1 1 4 1 2 0 3 0 2 8 0 2 2 0 0 1 1 0 1 2 2 3 5 1 2 12 5 3 2 5 0 8 1 3 1 2 2 3 0 3 0 2 1 5 1 8 4 12 2 3 2 2 7 4 2 2 0 4 2 4
"confidential" 0 0 0 2 1 0 1 0 1 0 1 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 1 0 0 0 0 0 2 1 0 4 0 0 0 0 0 0 1 2 0 3 1 0 0 1 1 0 0 0 0 0 0 0
