"affectionate" "bold" "certain" "cheerful" "cruel" "delicate" "determined" "eager" "earnest" "easy" "free" "general" "generous" "gentle" "grateful" "grave" "hasty" "helpless" "humble" "impertinent" "indifferent" "kind" "loud" "melancholy" "modest" "natural" "open" "particular" "polite" "proud" "quick" "quiet" "second" "sensible" "serious" "silent" "simple" "strong" "sudden" "sufficient" "sure" "sweet" "true" "unhappy" "vain" "violent" "weak" "willing"
"affectionate" 0 1 2 1 2 0 0 2 1 0 0 2 0 0 2 0 0 1 0 3 1 1 0 1 0 2 1 1 0 1 0 1 2 1 0 2 1 1 0 0 4 2 1 1 0 1 2 1
"bold" 1 0 0 0 2 0 1 0 0 1 4 3 1 1 2 2 1 0 1 4 1 2 3 2 2 2 2 2 1 0 0 2 0 2 1 2 1 0 0 1 6 3 1 2 2 3 2 0
"certain" 2 0 0 0 5 0 2 5 2 2 3 2 2 1 2 1 0 0 2 5 3 1 2 1 2 4 0 3 1 1 0 2 3 2 2 3 1 2 2 1 10 2 3 1 0 3 1 3
"cheerful" 1 0 0 0 2 1 0 2 0 1 2 1 1 1 1 2 1 2 0 0 2 2 0 0 2 0 1 2 0 1 0 0 1 2 1 5 1 1 0 4 2 3 4 2 2 0 2 0
"cruel" 2 2 5 2 0 1 2 4 3 7 4 5 4 1 1 2 0 2 1 7 3 2 1 3 4 1 2 3 3 4 2 4 4 4 3 8 1 6 2 1 13 4 6 6 3 5 6 1
"delicate" 0 0 0 1 1 0 0 1 1 2 1 1 3 1 3 0 1 1 2 2 1 0 1 3 0 2 2 4 1 1 0 0 1 2 2 4 0 1 2 1 7 0 0 4 1 2 1 1
"determined" 0 1 2 0 2 0 0 2 0 2 2 3 3 0 2 0 0 0 3 2 0 1 2 0 0 2 2 1 1 2 2 0 1 2 0 3 0 1 1 0 8 2 2 3 1 2 1 0
"eager" 2 0 5 2 4 1 2 0 1 3 3 2 2 1 2 2 1 2 1 4 4 0 3 0 1 3 0 4 0 2 1 3 2 0 2 4 2 2 0 1 6 4 2 2 2 3 2 1
"earnest" 1 0 2 0 3 1 0 1 0 1 3 1 1 0 0 0 0 1 0 3 1 0 3 2 0 2 2 1 1 1 0 1 0 1 0 1 0 2 1 0 6 1 1 1 1 2 1 2
"easy" 0 1 2 1 7 2 2 3 1 0 4 4 5 0 4 1 1 1 2 3 3 0 1 1 2 4 1 6 3 2 0 2 1 2 3 7 0 3 2 0 10 0 6 6 2 3 1 0
"free" 0 4 3 2 4 1 2 3 3 4 0 2 4 2 3 2 1 1 3 4 2 1 5 1 4 3 0 3 2 0 2 2 0 3 2 5 2 2 2 2 11 1 5 1 3 6 2 2
"general" 2 3 2 1 5 1 3 2 1 4 2 0 4 2 3 3 1 1 3 7 2 1 4 0 1 3 4 7 6 1 5 2 5 3 2 6 2 2 4 4 21 7 5 7 5 3 3 0
"generous" 0 1 2 1 4 3 3 2 1 5 4 4 0 1 4 1 1 2 3 4 0 2 2 3 2 3 2 1 2 2 1 0 3 3 2 5 1 3 2 2 9 4 3 6 2 5 4 3
"gentle" 0 1 1 1 1 1 0 1 0 0 2 2 1 0 0 2 1 1 2 3 1 0 0 1 0 1 4 3 0 0 2 0 0 3 1 2 2 1 0 2 3 3 1 1 1 1 2 0
"grateful" 2 2 2 1 1 3 2 2 0 4 3 3 4 0 0 1 2 1 3 4 4 4 4 3 1 3 1 5 1 1 0 2 4 4 4 8 2 2 2 3 12 6 0 8 3 3 4 1
"grave" 0 2 1 2 2 0 0 2 0 1 2 3 1 2 1 0 0 1 0 0 1 0 1 2 2 1 3 2 1 0 0 0 0 0 5 4 0 2 0 1 7 2 1 2 3 0 4 0
