"active" "affectionate" "awkward" "bitter" "bold" "busy" "calm" "careful" "careless" "certain" "cheerful" "clean" "close" "cold" "confidential" "constant" "cool" "cruel" "curious" "delicate" "eager" "earnest" "easy" "expressive" "faithful" "familiar" "free" "fresh" "friendly" "general" "genteel" "gentle" "gloomy" "graceful" "gracious" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "impatient" "jealous" "kind" "lively" "loud" "melancholy" "merry" "natural" "nervous" "open" "original" "particular" "pleasant" "proud" "quick" "quiet" "rough" "rusty" "sad" "second" "selfish" "serious" "severe" "silent" "slow" "soft" "solemn" "spirited" "stately" "stern" "strong" "sudden" "sufficient" "sure" "sweet" "tight" "true" "ugly" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing"
"active" 0 1 0 0 1 1 1 0 0 3 3 1 1 4 0 2 1 0 0 2 0 1 0 0 0 0 0 1 0 0 1 2 1 0 0 1 1 1 3 2 0 1 1 0 1 2 2 1 1 1 0 2 0 2 0 0 2 3 1 0 2 2 0 1 3 1 0 1 1 0 0 0 1 2 0 5 1 0 3 0 0 1 1 0 1 0 0 0
"affectionate" 1 0 1 0 1 3 0 1 0 4 2 0 3 4 2 0 1 1 2 1 1 0 1 1 0 0 1 0 0 4 2 2 3 1 1 1 2 0 2 5 2 3 3 1 2 1 2 0 1 4 1 8 5 4 3 2 0 3 2 0 1 4 1 1 0 3 0 1 1 0 0 3 9 0 0 3 0 0 2 1 0 1 1 1 2 1 0 0
"awkward" 0 1 0 1 0 1 0 3 0 6 2 0 2 3 1 2 2 1 0 1 1 0 1 1 1 0 1 3 1 6 1 0 1 0 0 0 0 2 0 1 2 1 1 4 1 1 4 4 0 1 1 3 2 4 2 3 0 4 0 0 0 2 0 1 0 2 2 2 0 0 1 0 5 2 0 5 3 1 3 1 0 0 0 1 2 0 4 0
"bitter" 0 0 1 0 1 0 1 1 0 2 1 0 0 5 1 1 0 1 0 2 3 3 2 0 2 0 2 4 0 1 1 2 0 0 1 0 2 1 0 2 2 2 0 1 3 0 2 1 0 1 0 3 0 3 4 1 0 3 1 1 2 1 1 2 0 2 2 1 0 1 0 0 0 2 2 7 2 1 4 1 2 0 2 0 4 0 3 2
"bold" 1 1 0 1 0 0 0 0 2 1 0 0 2 1 2 0 0 1 0 1 0 0 1 1 1 0 0 3 0 3 1 2 0 1 1 1 2 0 3 1 0 0 0 2 1 2 2 0 1 2 1 0 2 1 3 0 0 3 1 0 1 1 0 2 0 1 0 1 1 1 0 0 3 0 0 6 1 0 4 0 1 0 1 1 1 1 1 0
"busy" 1 3 1 0 0 0 0 0 0 3 4 1 1 4 0 0 0 0 1 0 4 1 1 0 3 1 4 3 2 3 1 0 1 0 1 2 0 0 2 2 1 2 0 1 2 1 1 1 1 0 1 3 1 4 4 1 1 3 1 1 1 3 0 2 1 1 1 1 0 0 0 1 3 0 1 3 1 0 2 0 2 0 1 0 0 0 1 2
"calm" 1 0 0 1 0 0 0 0 1 0 1 1 1 4 0 1 1 0 1 1 0 0 2 0 1 1 1 3 1 1 0 3 0 1 0 0 0 2 0 2 4 0 1 0 0 0 3 1 0 3 0 2 3 1 1 1 1 2 3 0 1 1 0 0 2 3 0 1 2 1 1 0 1 0 0 4 1 1 1 1 2 1 1 2 3 1 1 0
"careful" 0 1 3 1 0 0 0 0 0 2 0 0 1 4 0 2 0 0 0 2 3 2 4 0 0 1 0 1 1 2 0 2 2 0 0 0 1 1 1 1 0 0 1 4 0 0 2 1 0 1 2 1 1 2 2 1 2 2 0 2 1 1 1 1 1 1 0 1 1 0 1 1 6 0 3 6 0 2 4 2 1 0 0 1 3 0 2 0
"careless" 0 0 0 0 2 0 1 0 0 0 1 0 3 2 0 0 2 1 1 1 0 1 2 0 0 0 1 1 1 3 0 0 2 0 1 0 1 1 0 0 2 0 2 0 1 1 1 1 1 1 0 1 1 2 0 0 0 2 1 2 1 0 0 2 0 4 1 0 0 0 1 0 3 0 1 3 0 0 2 1 0 1 0 1 3 2 2 0
"certain" 3 4 6 2 1 3 0 2 0 0 6 3 4 6 2 4 2 4 3 4 3 4 8 1 3 3 5 4 3 8 6 3 2 3 3 0 3 6 2 7 3 2 1 2 8 3 5 2 2 12 3 13 6 9 8 5 2 12 3 4 3 11 3 11 4 5 6 1 6 2 1 1 14 5 4 34 3 5 9 2 6 3 2 2 8 2 4 3
