"awkward" "calm" "careful" "certain" "charitable" "cheerful" "christian" "close" "cold" "constant" "contrary" "eager" "earnest" "easy" "exact" "faithful" "fierce" "firm" "free" "fresh" "friendly" "general" "grave" "handsome" "handy" "hearty" "heavy" "honest" "humble" "impatient" "just" "kind" "melancholy" "merciless" "merry" "natural" "open" "particular" "pensive" "pleasant" "quiet" "reasonable" "religious" "rough" "sad" "second" "sensible" "serious" "sincere" "smooth" "sober" "soft" "solemn" "straight" "strong" "sudden" "sufficient" "sure" "swift" "thankful" "true" "ugly" "unhappy" "vain" "violent" "weak" "willing" "wise"
"awkward" 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 2 0 0 1 0 0 0
"calm" 0 0 0 1 1 1 1 2 0 0 3 2 1 2 1 1 0 1 1 7 1 1 2 0 0 0 1 0 0 1 0 0 2 1 1 0 5 1 2 2 3 1 1 1 2 5 0 2 0 3 1 1 0 0 7 4 1 3 0 1 3 0 1 1 2 1 1 2
"careful" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 2 0 1 0 1 0 1 1 1 0 0 0 1 0
"certain" 1 1 0 0 2 2 2 2 2 3 0 2 0 1 2 2 0 0 0 1 2 1 0 1 0 0 2 2 1 0 2 0 1 1 0 1 1 5 2 1 1 0 2 0 2 5 2 3 1 0 0 1 1 0 1 1 2 9 0 3 6 1 1 0 1 1 2 3
"charitable" 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0
"cheerful" 0 1 0 2 0 0 0 3 1 0 1 0 0 3 1 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 2 1 0 0 0 2 0 1 3 0 2 3 0 0 0 0 0 0 1
"christian" 0 1 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 2 0 0 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 2 1 1 0 2 2 0 0 0 0 0 0 2
"close" 0 2 0 2 0 3 1 0 0 1 3 2 0 6 0 0 1 1 0 4 0 1 1 1 0 1 1 2 1 0 0 0 0 0 0 0 1 2 1 3 0 0 0 2 1 3 0 1 0 2 1 0 0 1 5 1 0 4 0 2 3 1 0 0 1 1 1 2
"cold" 0 0 0 2 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 1 2 1 0 0 0 0 0 0 0 2 0 1 2 0 1 1 0 0 0 1 1 1 0
"constant" 0 0 0 3 0 0 0 1 1 0 0 0 0 2 1 0 0 1 0 2 0 3 0 1 0 0 0 0 1 0 2 0 1 1 0 1 0 2 1 1 0 0 1 0 1 3 1 2 0 1 0 0 0 0 4 1 3 4 0 0 2 0 2 0 1 1 0 1
"contrary" 0 3 0 0 0 1 0 3 0 0 0 1 0 3 0 1 0 0 1 4 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 2 1 0 0 1 1 2 0 1 0 1 1 0 0 0 3 0 0 3 0 1 3 0 0 0 1 0 1 1
"eager" 0 2 1 2 0 0 0 2 1 0 1 0 1 2 0 0 0 0 0 2 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 2 1 0 2 1 0 0 0 0 3 1 1 0 0 0 1 0 0 3 0 1 4 0 1 1 0 0 0 1 0 1 0
"earnest" 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 0
"easy" 2 2 1 1 0 3 0 6 1 2 3 2 0 0 2 3 2 2 2 3 0 2 4 4 1 3 3 3 1 1 0 1 1 1 1 2 2 6 0 4 1 1 2 3 2 4 2 5 2 1 2 0 2 1 8 3 2 9 2 6 12 0 1 0 2 1 6 2
"exact" 0 1 0 2 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 2 0 1 1 0 0 0 1 0 0 0
"faithful" 0 1 0 2 2 0 0 0 0 0 1 0 0 3 0 0 0 0 0 1 0 2 0 1 1 1 0 3 0 0 1 0 1 0 1 0 0 1 0 1 3 0 1 0 0 2 0 0 2 0 0 0 1 0 2 0 1 3 0 1 3 0 0 1 0 0 3 0
"fierce" 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 0 1 0 1 2 0
"firm" 0 1 1 0 0 0 0 1 0 1 0 0 0 2 0 0 1 0 0 2 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 2 0 2 0 1 1 0 2 0 1 1 1 0 1 4 1 0 0 1 0 1 1 1 2 1 0 2 0
"free" 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 0 1 0 0 1 0 0 1 0 0 0 2 1 0 0 0 1 0 0 0 1 1 0 0 0 0 2 0 0 0 3 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 1
"fresh" 1 7 0 1 1 2 0 4 1 2 4 2 2 3 1 1 0 2 1 0 1 0 1 1 0 0 2 2 0 0 0 0 1 1 1 0 4 2 2 5 3 2 0 1 1 4 1 1 0 4 1 1 0 0 12 2 0 5 0 1 4 2 1 2 2 1 3 1
"friendly" 0 1 0 2 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0
"general" 0 1 0 1 1 0 0 1 1 3 0 1 0 2 0 2 0 0 0 0 0 0 0 2 0 1 0 2 0 0 2 0 0 0 0 0 1 2 0 0 2 0 1 0 2 4 0 0 0 3 0 0 1 0 2 0 3 2 0 3 1 0 0 0 1 1 2 0
