"active" "affectionate" "busy" "calm" "certain" "cheerful" "civil" "cold" "constant" "cruel" "delicate" "determined" "domestic" "eager" "earnest" "easy" "fearful" "free" "fresh" "friendly" "gay" "general" "gentle" "grateful" "grave" "handsome" "heavy" "honest" "hopeless" "impatient" "independent" "indifferent" "intimate" "kind" "lively" "melancholy" "natural" "open" "partial" "particular" "pleasant" "positive" "proud" "prudent" "quick" "quiet" "rapid" "reasonable" "second" "selfish" "sensible" "serious" "silent" "simple" "sincere" "steady" "strong" "sudden" "sufficient" "sure" "sweet" "thankful" "true" "uncertain" "unhappy" "vain" "violent" "willing"
"active" 0 0 0 1 2 1 1 1 4 0 0 1 0 0 2 2 1 2 1 1 0 1 1 2 1 2 0 0 0 1 0 2 0 1 0 2 2 2 0 1 0 0 0 0 2 0 0 2 2 0 1 2 2 2 2 0 0 0 0 4 0 1 1 1 1 0 1 1
"affectionate" 0 0 0 3 7 1 2 4 1 0 2 1 2 4 0 1 1 0 2 0 1 5 1 1 1 3 3 2 0 2 2 2 1 2 3 4 5 6 0 6 1 0 0 3 1 3 0 2 1 1 1 3 5 1 2 1 5 3 1 9 2 0 0 0 3 2 2 0
"busy" 0 0 0 1 2 2 1 1 0 0 0 2 0 2 2 1 1 1 1 1 0 2 0 1 0 2 2 0 0 0 0 0 1 1 0 2 0 4 2 3 3 1 0 0 0 1 1 0 2 1 0 2 2 0 0 0 0 0 0 3 0 1 1 1 0 1 0 2
"calm" 1 3 1 0 4 2 0 3 1 0 1 3 1 0 2 2 3 1 3 2 0 3 1 0 2 1 2 1 1 0 0 1 3 1 2 1 2 3 2 2 1 0 1 2 1 2 2 4 1 0 0 1 4 2 2 2 6 3 1 4 1 1 2 2 3 1 1 0
"certain" 2 7 2 4 0 2 1 1 5 1 2 3 2 3 1 2 1 2 2 1 3 8 1 2 5 0 1 2 1 3 2 3 4 3 2 4 6 12 1 8 4 1 1 2 2 3 0 1 4 2 1 3 6 8 2 1 4 3 3 15 3 1 5 1 3 2 2 1
"cheerful" 1 1 2 2 2 0 1 3 2 0 0 1 1 1 2 3 0 1 2 0 2 4 0 1 2 2 3 1 1 2 2 1 1 2 0 0 0 2 1 4 0 0 0 0 1 3 1 1 2 2 1 5 6 1 2 2 2 2 1 4 0 1 3 0 1 0 3 3
"civil" 1 2 1 0 1 1 0 2 2 0 1 1 0 1 1 2 0 1 0 2 0 2 2 0 0 3 0 0 0 1 1 0 0 2 0 1 2 2 0 3 2 0 0 0 1 2 0 0 1 0 1 2 3 1 0 0 2 0 0 8 2 1 1 1 1 0 3 0
"cold" 1 4 1 3 1 3 2 0 3 0 1 1 1 5 3 2 0 1 1 2 1 8 2 2 1 7 3 1 0 0 3 2 1 2 2 1 4 4 0 8 2 1 0 1 3 2 2 2 1 2 2 3 4 2 1 1 5 1 2 5 0 0 2 3 2 1 4 0
"constant" 4 1 0 1 5 2 2 3 0 0 0 3 2 0 4 4 0 3 2 1 1 7 2 1 0 3 2 2 0 3 2 4 3 2 2 1 3 5 0 8 1 1 2 3 3 1 2 2 3 1 3 4 5 4 3 1 5 1 0 12 1 1 3 1 3 0 2 1
"cruel" 0 0 0 0 1 0 0 0 0 0 1 0 0 0 3 1 1 1 1 0 0 3 1 1 1 0 1 0 1 1 2 0 1 0 0 0 3 2 0 2 1 2 1 0 0 2 0 1 0 1 1 1 3 1 1 0 0 1 0 2 0 0 1 1 1 1 0 1
"delicate" 0 2 0 1 2 0 1 1 0 1 0 2 1 1 1 2 1 0 0 1 0 6 1 1 1 2 0 0 2 0 1 1 2 0 1 0 2 2 0 2 0 0 0 0 1 1 0 1 1 1 0 0 3 0 2 0 3 0 0 5 1 1 0 0 1 0 0 1
"determined" 1 1 2 3 3 1 1 1 3 0 2 0 1 3 0 2 1 2 2 1 1 2 1 3 3 1 1 1 1 0 0 1 1 2 0 2 1 6 0 3 3 1 1 2 0 0 1 1 2 2 2 1 5 1 2 0 5 1 0 9 1 4 0 0 2 1 1 2
"domestic" 0 2 0 1 2 1 0 1 2 0 1 1 0 1 1 0 0 1 0 0 1 2 1 0 1 2 0 0 1 1 1 0 1 0 2 1 2 3 0 4 0 0 1 2 1 1 1 1 1 1 1 0 2 2 2 0 2 0 0 2 1 0 2 0 0 0 1 0
"eager" 0 4 2 0 3 1 1 5 0 0 1 3 1 0 1 4 2 2 2 0 2 6 0 2 2 2 1 0 0 0 0 1 0 0 2 0 2 6 2 4 2 2 1 1 0 1 1 1 1 5 1 3 5 2 0 1 5 1 3 6 1 1 3 3 2 0 2 2
"earnest" 2 0 2 2 1 2 1 3 4 3 1 0 1 1 0 4 2 2 1 1 1 11 1 2 3 5 1 0 2 1 2 2 2 1 3 5 8 3 2 5 1 1 2 0 1 1 2 2 2 2 4 6 6 3 3 1 6 2 1 10 1 0 2 1 5 0 2 1
"easy" 2 1 1 2 2 3 2 2 4 1 2 2 0 4 4 0 1 2 2 1 1 6 0 1 2 3 1 1 1 2 1 3 0 0 1 2 4 2 0 2 0 1 0 1 0 0 1 5 2 3 1 3 4 1 2 2 4 2 1 10 0 2 1 0 3 0 2 2
"fearful" 1 1 1 3 1 0 0 0 0 1 1 1 0 2 2 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 4 1 0 0 1 1 1 0 2 0 2 0 2 0 0 3 0 0 1 1 1 1 2 1 0 0 1 0 0 1 1
"free" 2 0 1 1 2 1 1 1 3 1 0 2 1 2 2 2 0 0 4 0 0 2 0 2 0 1 1 0 0 1 0 0 1 0 1 0 2 3 1 2 1 1 1 0 0 0 2 1 2 1 0 0 2 2 2 0 1 0 0 3 0 1 1 2 2 0 1 0
"fresh" 1 2 1 3 2 2 0 1 2 1 0 2 0 2 1 2 0 4 0 0 0 3 0 3 0 0 4 1 2 0 1 1 1 0 1 3 1 5 3 2 1 2 1 1 0 1 2 1 4 2 1 1 4 1 2 2 2 3 1 6 0 1 2 3 3 0 0 0
"friendly" 1 0 1 2 1 0 2 2 1 0 1 1 0 0 1 1 0 0 0 0 0 1 2 1 1 1 1 0 0 1 0 0 1 2 0 2 3 2 0 3 2 0 0 1 1 1 0 2 1 0 0 1 2 4 0 0 1 1 1 3 1 1 1 1 0 0 2 0
"gay" 0 1 0 0 3 2 0 1 1 0 0 1 1 2 1 1 0 0 0 0 0 3 0 1 3 1 1 0 1 1 1 1 0 0 1 0 1 0 1 2 2 0 0 0 0 0 0 0 0 0 2 2 4 1 0 0 1 0 0 5 1 0 1 0 2 0 0 0
"general" 1 5 2 3 8 4 2 8 7 3 6 2 2 6 11 6 1 2 3 1 3 0 2 2 6 7 5 1 3 3 3 5 3 3 7 7 10 10 5 16 2 2 2 2 4 7 3 3 4 4 4 8 12 3 2 1 8 4 1 18 5 0 6 5 7 1 3 2
"gentle" 1 1 0 1 1 0 2 2 2 1 1 1 1 0 1 0 0 0 0 2 0 2 0 0 2 0 1 2 0 1 0 2 1 0 1 0 3 2 0 2 0 1 0 0 1 2 0 0 1 1 2 1 3 1 0 0 2 0 0 5 2 1 1 0 1 1 1 0
"grateful" 2 1 1 0 2 1 0 2 1 1 1 3 0 2 2 1 0 2 3 1 1 2 0 0 0 0 1 2 2 1 0 0 0 2 0 2 3 3 0 4 1 1 0 0 1 0 1 1 2 0 0 1 4 3 3 0 3 0 3 7 1 1 0 0 4 0 0 0
