"acute" "affectionate" "careless" "certain" "cheerful" "close" "cold" "constant" "determined" "eager" "earnest" "easy" "faithful" "fearful" "free" "fresh" "general" "generous" "gentle" "gloomy" "grateful" "handsome" "heavy" "honest" "humble" "impatient" "independent" "intimate" "jealous" "joyful" "kind" "lively" "natural" "open" "partial" "particular" "pleasant" "positive" "quick" "quiet" "reasonable" "second" "selfish" "sensible" "serious" "severe" "silent" "simple" "sincere" "solemn" "speedy" "steady" "strong" "sudden" "sure" "sweet" "true" "ungenerous" "unhappy" "unkind" "violent" "vain"
"acute" 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 2 2 0 0 0 0 0 0 1 2 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 2 1 0 0 0 1 0 1
"affectionate" 0 0 1 2 2 0 2 1 1 3 1 3 0 1 1 0 2 0 0 1 2 2 0 1 0 0 1 1 1 1 2 0 2 2 2 0 1 1 1 1 2 2 1 3 0 2 3 0 0 0 1 1 2 2 4 1 2 1 0 1 0 2
"careless" 0 1 0 0 2 2 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 1 1 1 1 0 0 2 1 4 0 2 0 0 0 0 0
"certain" 0 2 0 0 1 1 0 2 0 3 1 1 0 0 0 0 2 0 1 0 1 1 0 0 1 1 1 2 1 1 1 2 1 4 0 1 2 3 2 3 0 2 1 2 0 1 2 0 2 0 0 0 0 1 6 1 1 0 0 0 0 1
"cheerful" 0 2 2 1 0 1 1 2 0 3 0 2 2 0 0 1 2 0 1 1 0 2 0 3 0 0 0 1 0 0 2 0 1 2 1 1 0 1 1 1 0 1 0 1 0 1 1 2 1 1 1 0 1 3 4 1 2 0 1 0 0 0
"close" 0 0 2 1 1 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 2 0 1 0 0 0 2 1 0 0 3 0 0 0 0 0 2 1 1 0 0 1 1 3 0 2 0 1 0 0 0
"cold" 0 2 1 0 1 0 0 1 1 2 0 2 0 3 0 2 2 0 0 3 0 1 1 1 0 0 0 0 1 0 1 0 0 2 2 0 1 0 2 1 0 2 1 1 1 0 2 0 0 0 0 0 3 2 2 2 0 2 2 1 2 2
"constant" 0 1 1 2 2 2 1 0 0 1 0 2 1 0 0 1 1 0 0 1 0 2 0 0 0 0 0 1 0 0 0 2 1 3 1 1 1 0 1 0 0 2 0 0 0 0 1 1 1 0 0 0 2 1 5 0 1 0 1 0 0 0
"determined" 0 1 0 0 0 0 1 0 0 2 0 2 0 1 0 0 2 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 1 2 1 3 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 2 0 5 2 2 1 0 1 0 1
"eager" 0 3 1 3 3 0 2 1 2 0 0 3 0 1 0 2 1 1 1 1 0 3 0 0 1 1 0 1 1 0 1 0 3 2 3 1 0 1 2 1 0 3 2 3 0 1 3 1 0 0 0 1 2 3 5 4 1 2 1 1 0 3
